"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"76","의료기기수리업","01_02_02_P","4201000","PHMG320164200028047400001","2016-12-06","","01","영업/정상","13","영업중","","","","","033-641-8666","","","강원특별자치도 강릉시 지변동 299-3","강원특별자치도 강릉시 경포로15번길 9-3 (지변동)","25465","글로벌사이언스","2021-01-19 14:26:46","I","2023-06-13 00:00:00","","365201.639835322","476123.685768381","","","","",
"77","의료기기수리업","01_02_02_P","4201000","PHMG320174200028047400001","2017-07-07","","01","영업/정상","13","영업중","","","","","033-645-4112","","","강원특별자치도 강릉시 홍제동 993-3","강원특별자치도 강릉시 강릉대로 100, 1층 (홍제동)","25526","강릉바이크프라자","2022-08-01 17:17:53","I","2023-06-13 00:00:00","","365813.904658018","474133.825154901","","","","",
"78","의료기기수리업","01_02_02_P","4201000","PHMG320184200028047400001","2018-03-07","","01","영업/정상","13","영업중","","","","","033-646-7477","","","강원특별자치도 강릉시 명주동 65-17","강원특별자치도 강릉시 경강로 2019, 1층 (명주동)","25535","(주)고려보조기","2025-04-11 11:38:15","U","2025-04-13 02:40:00","","366547.20729221","473598.788384008","","","","",
"79","의료기기수리업","01_02_02_P","4201000","PHMG320194200028047400001","2019-09-24","","01","영업/정상","13","영업중","","","","","033-653-2223","","","강원특별자치도 강릉시 송정동 612번지","강원특별자치도 강릉시 경강로 2368 (송정동)","25563","엘지전자(주) 강릉서비스센터","2024-04-02 17:38:52","U","2024-04-04 02:40:00","","369113.667165387","475932.371622597","","","","",
"80","의료기기수리업","01_02_02_P","4201000","PHMG320204200028047400002","2020-12-15","","01","영업/정상","13","영업중","","","","","033-646-9991","","","강원특별자치도 강릉시 포남동 1105-4","강원특별자치도 강릉시 가작로 290, 1층 (포남동)","25487","필립스 강릉서비스","2021-01-19 15:00:15","I","2023-06-13 00:00:00","","367948.881024565","475912.180979735","","","","",
"81","의료기기수리업","01_02_02_P","4201000","PHMG320214200028047400001","2021-07-02","","01","영업/정상","13","영업중","","","","","033-920-3363","","","강원특별자치도 강릉시 포남동 1167-15","강원특별자치도 강릉시 성덕포남로182번길 7(포남동)","25572","위니아서비스 강릉점","2021-07-06 08:55:47","I","2023-06-13 00:00:00","","368180.321913556","475724.171320358","","","","",
"82","의료기기수리업","01_02_02_P","4201000","PHMG320254201026047400002","2025-03-20","","01","영업/정상","13","영업중","","","","","033-651-1401","","","강원특별자치도 강릉시 포남동 1082-34","강원특별자치도 강릉시 보래미하길 19, 2층 (포남동)","25486","헬스케어의료기","2025-03-21 09:21:39","I","2025-03-23 00:10:24","","368180.92384803","476088.600751537","","","","",
"83","의료기기수리업","01_02_02_P","4201000","PHMG320254201026047400001","2025-01-02","","01","영업/정상","13","영업중","","","","","033-920-3682","","","강원특별자치도 강릉시 포남동 1241-1","강원특별자치도 강릉시 강릉대로 414, 2층 (포남동)","25572","주식회사 솔향메디","2025-01-02 16:34:59","I","2025-01-04 00:11:21","","368222.092178126","475953.333645193","","","","",
"84","의료기기수리업","01_02_02_P","4211000","PHMG320194211036047400001","2019-09-24","","01","영업/정상","13","영업중","","","","","033-531-7733","","","강원특별자치도 동해시 천곡동 883","강원특별자치도 동해시 중앙로 222, 2층 (천곡동)","25770","엘지전자(주)동해서비스센터","2024-03-26 10:48:01","I","2024-03-28 00:15:57","","386953.56378277","448607.26986347","","","","",
"85","의료기기수리업","01_02_02_P","4211000","PHMG320234211036047400001","2016-06-14","","01","영업/정상","13","영업중","","","","","033-532-6688","","","강원특별자치도 동해시 평릉동 160-1 가나빌딩","강원특별자치도 동해시 동해대로 5456, 가나빌딩 (평릉동)","25751","동해시 장애인보장구A/S지원센터","2023-10-25 14:29:39","U","2023-10-27 02:40:00","","386030.621834415","449507.59238912","","","","",
"86","의료기기수리업","01_02_02_P","4211000","PHMG320234211036047400002","2019-12-13","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 북평동 15-3","강원특별자치도 동해시 대동로 123 (북평동)","25813","삼천리자전거대리점","2024-01-03 09:59:48","U","2024-01-05 02:40:00","","388003.413859284","444415.091743353","","","","",
"87","의료기기수리업","01_02_02_P","4221000","PHMG320154220024047400001","2015-07-23","","03","폐업","03","폐업","2024-08-08","","","","033-552-5004","","235-019","강원특별자치도 태백시 황지동 95번지 9호","강원특별자치도 태백시 황지로 34-1 (황지동)","26021","태백희망복지용구","2024-08-08 16:44:36","U","2024-08-10 02:40:00","","376786.401135022","408519.915309989","","","","",
"88","의료기기수리업","01_02_02_P","4221000","PHMG320114220024047400001","2011-05-23","","01","영업/정상","13","영업중","","","","","033-554-0357","","","강원특별자치도 태백시 황지동 210-9","강원특별자치도 태백시 태백로 1134, 1층 103호 (황지동)","26039","사단법인 한국장애인문화협회 태백시지부","2021-01-11 16:00:11","I","2023-06-13 00:00:00","","376667.181156772","407938.055986475","","","","",
"89","의료기기수리업","01_02_02_P","4221000","PHMG320194220024047400001","2019-09-24","","01","영업/정상","13","영업중","","","","","033-553-7772","","","강원특별자치도 태백시 황지동 29번지 44호","강원특별자치도 태백시 번영로 367 (황지동)","26012","엘지전자(주) 태백서비스센터","2024-03-28 15:26:25","U","2024-03-30 02:40:00","","376980.885838081","409642.082139912","","","","",
"90","의료기기수리업","01_02_02_P","4231000","PHMG320184230018047400002","2018-11-26","","03","폐업","03","폐업","2020-07-07","","","","","","","강원특별자치도 속초시 중앙동 496번지 22호 영보국민주택","강원특별자치도 속초시 중앙시장로 34-1, 나동 102호 (중앙동, 영보국민주택)","24831","시원의료기 중앙점","2020-07-07 11:49:41","I","2023-06-13 00:00:00","","338986.280307946","523838.688413959","","","","",
"91","의료기기수리업","01_02_02_P","4231000","PHMG320194230018047400002","2019-09-24","","01","영업/정상","13","영업중","","","","","033-636-6700","","","강원특별자치도 속초시 조양동 1504번지 1호","강원특별자치도 속초시 동해대로 4109 (조양동)","24874","엘지전자(주) 속초서비스센터","2024-04-09 16:00:11","U","2024-04-11 02:40:00","","338760.846320217","521887.227991687","","","","",
"92","의료기기수리업","01_02_02_P","4231000","PHMG320114230018047400001","2011-04-18","","01","영업/정상","13","영업중","","","","","033-638-2998","","","강원특별자치도 속초시 금호동 625","강원특별자치도 속초시 번영로43번길 18-11, 상가동 103호 (금호동)","24842","대명의료기상사","2021-01-11 16:24:21","I","2023-06-13 00:00:00","","338506.092426003","523820.140617159","","","","",
"93","의료기기수리업","01_02_02_P","4231000","PHMG320114230018047400002","2011-03-03","","01","영업/정상","13","영업중","","","","","033-636-6901","","","강원특별자치도 속초시 교동 670-23","강원특별자치도 속초시 중앙로 12-11 (교동)","24854","사)한국신체장애인복지회속초지부","2021-01-11 16:29:27","I","2023-06-13 00:00:00","","338301.113716193","522796.895121196","","","","",
"94","의료기기수리업","01_02_02_P","4231000","PHMG320134230018047400001","2013-08-01","","01","영업/정상","13","영업중","","","","","033-631-2234","","","강원특별자치도 속초시 교동 658-46","강원특별자치도 속초시 중앙로 35 (교동)","24835","동방의료기","2021-01-11 16:26:50","I","2023-06-13 00:00:00","","338379.735505978","523045.811051285","","","","",
"95","의료기기수리업","01_02_02_P","4231000","PHMG320184230018047400001","2018-07-16","","01","영업/정상","13","영업중","","","","","033-635-8201","","","강원특별자치도 속초시 영랑동 165번지 4호","강원특별자치도 속초시 번영로 206-2 (영랑동)","24807","강원의료기.벨톤보청기","2024-04-17 15:59:21","U","2024-04-19 02:40:00","","339215.629175314","524973.993717833","","","","",
"96","의료기기수리업","01_02_02_P","4231000","PHMG320194230018047400001","2019-09-02","","01","영업/정상","13","영업중","","","","","033-638-0010","","","강원특별자치도 속초시 영랑동 163","강원특별자치도 속초시 번영로 208, 1층 (영랑동)","24807","설악의료기","2021-08-14 16:20:36","I","2023-06-13 00:00:00","","339229.833184214","524991.317397965","","","","",
"97","의료기기수리업","01_02_02_P","4241000","PHMG320164240025047400001","2016-10-17","","01","영업/정상","13","영업중","","","","","033-575-3669","","","강원특별자치도 삼척시 남양동 55번지 43호","강원특별자치도 삼척시 진주로 8, 1층 (남양동)","25920","삼척보청기센터굿모닝","2019-12-05 17:48:22","I","2023-06-13 00:00:00","","391478.637252056","439885.479881022","","","","",
"98","의료기기수리업","01_02_02_P","4241000","PHMG320194240025047400001","2019-01-22","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 삼척시 남양동 158번지 1호 반석교회","강원특별자치도 삼척시 중앙로4길 14-34, 반석교회 (남양동)","25930","정의료기","2019-04-08 09:46:49","I","2023-06-13 00:00:00","","391731.654662784","439324.251225364","","","","",
"99","의료기기수리업","01_02_02_P","4251000","PHMG320134250013047400001","2013-09-02","","01","영업/정상","13","영업중","","","","","033-433-7749","","","강원특별자치도 홍천군 홍천읍 신장대리 16-21","강원특별자치도 홍천군 홍천읍 번영로 62","25138","국제상사","2021-01-19 14:10:46","I","2023-06-13 00:00:00","","278187.039941424","465679.547432666","","","","",
"100","의료기기수리업","01_02_02_P","4251000","PHMG320144250013047400001","2014-08-05","","01","영업/정상","13","영업중","","","","","033-433-2280","","","강원특별자치도 홍천군 홍천읍 신장대리 55-43","강원특별자치도 홍천군 홍천읍 홍천로 358","25139","건강의료기","2021-01-19 15:18:16","I","2023-06-13 00:00:00","","278005.058766154","465537.745579123","","","","",
"101","의료기기수리업","01_02_02_P","4251000","PHMG320214250013047400001","2021-05-07","","01","영업/정상","13","영업중","","","","","033-436-5586","","","강원특별자치도 홍천군 홍천읍 결운리 334-7","강원특별자치도 홍천군 홍천읍 홍천로 699, 1층","25126","무한상사","2021-05-10 14:53:35","I","2023-06-13 00:00:00","","280385.809692755","467814.813883854","","","","",
"102","의료기기수리업","01_02_02_P","4261000","PHMG320244261024047400001","2024-02-06","","03","폐업","03","폐업","2024-03-11","","","","","","","강원특별자치도 횡성군 횡성읍 교항리 46-32","강원특별자치도 횡성군 횡성읍 앞들서1로 50","25235","대세엠케어","2024-03-14 11:10:18","U","2024-03-16 02:40:00","","286726.59378068","442984.931673547","","","","",
"103","의료기기수리업","01_02_02_P","4271000","PHMG320134270014047400001","2013-06-27","","03","폐업","03","폐업","2022-11-16","","","","033-375-7097","","","강원특별자치도 영월군 영월읍 영흥리 629 장애인자립장","강원특별자치도 영월군 영월읍 봉래산로 189, 장애인자립장","26224","영월군장애인보장구 수리쎈터","2022-11-16 11:36:14","I","2023-06-13 00:00:00","","330777.149446063","411848.055121415","","","","",
"104","의료기기수리업","01_02_02_P","4271000","PHMG320234270014047400001","2023-02-16","","01","영업/정상","13","영업중","","","","","033-375-0933","","","강원특별자치도 영월군 영월읍 하송리 236-1","강원특별자치도 영월군 영월읍 하송로 46-41, 장애인복지센터 3층 306호","26234","영월군 장애인 보조기기수리센터","2024-12-12 17:21:28","U","2024-12-14 02:40:00","","329687.401731387","410338.532655658","","","","",
"105","의료기기수리업","01_02_02_P","4301000","PHMG320174300012047400001","2017-04-24","","03","폐업","03","폐업","2022-01-10","","","","1522-2208","","","강원특별자치도 철원군 갈말읍 문혜리 1109-3","강원특별자치도 철원군 갈말읍 두루미로 103","24031","무한상사","2022-01-11 11:48:31","I","2023-06-13 00:00:00","","227989.769410003","520292.771558717","","","","",
"106","의료기기수리업","01_02_02_P","4301000","PHMG320174300012047400002","2017-08-17","","03","폐업","03","폐업","2021-08-03","","","","","","","강원특별자치도 철원군 갈말읍 지포리 2-14","강원특별자치도 철원군 갈말읍 명성로 183-1","24037","동아의료기","2021-08-26 15:49:51","I","2023-06-13 00:00:00","","226888.881853163","516179.994994928","","","","",
"107","의료기기수리업","01_02_02_P","4301000","PHMG320244301030047400001","2024-05-29","","01","영업/정상","13","영업중","","","","","","","","","강원특별자치도 철원군 철원읍 금학로 265-1","24006","이지케어","2024-06-04 17:04:23","I","2024-06-06 00:14:21","","218792.13027249","523230.818823343","","","","",
"108","의료기기수리업","01_02_02_P","4321000","PHMG320134320010047400001","2013-05-27","","03","폐업","03","폐업","2025-02-21","","","","","","255-806","강원특별자치도 양구군 양구읍 안대리 33번지 1호","강원특별자치도 양구군 양구읍 학안로 328","24518","양구의료기수리","2025-02-21 17:06:12","U","2025-02-23 02:40:00","","286537.96637311","509963.485105451","","","","",
"109","의료기기수리업","01_02_02_P","4321000","PHMG320144320010047400001","2014-01-03","","01","영업/정상","13","영업중","","","","","482-2448","","","","강원특별자치도 양구군 양구읍 비봉로 73","24521","장애인보장구수리센터","2016-09-22 16:08:05","I","2023-06-13 00:00:00","","","","","","","",
"110","의료기기수리업","01_02_02_P","4321000","PHMG320164320010047400001","2016-01-21","","01","영업/정상","13","영업중","","","","","033-481-6519","","","","강원특별자치도 양구군 양구읍 비봉로 64-53","24526","평남의료기","2016-01-21 17:14:20","I","2023-06-13 00:00:00","","286575.166440544","512103.209474429","","","","",
"111","의료기기수리업","01_02_02_P","4321000","PHMG320184320010047400001","2019-10-30","","01","영업/정상","13","영업중","","","","","033-481-9134","","","강원특별자치도 양구군 양구읍 정림리 195번지 1호","강원특별자치도 양구군 양구읍 비봉로 9","24538","무한상사 오토바이","2019-11-01 17:38:47","I","2023-06-13 00:00:00","","286465.087268225","511569.569079758","","","","",
"112","의료기기수리업","01_02_02_P","4321000","PHMG320254321023047400001","2025-02-19","","01","영업/정상","13","영업중","","","","","0334817898","","","강원특별자치도 양구군 양구읍 송청리 67-2","강원특별자치도 양구군 양구읍 중심로 31","24547","신체장애인복지회 양구의료기수리","2025-03-06 16:39:06","U","2025-03-08 02:40:00","","287285.145828286","510579.139195639","","","","",
"113","의료기기수리업","01_02_02_P","4321000","PHMG320254321023047400002","2025-03-27","","01","영업/정상","13","영업중","","","","","0334822992","","","강원특별자치도 양구군 양구읍 하리 97-3","강원특별자치도 양구군 양구읍 비봉로73번길 20","24521","양구장애인복지회","2025-03-27 14:44:05","I","2025-03-29 00:10:24","","286441.404434322","512224.654854256","","","","",
"114","의료기기수리업","01_02_02_P","6530000","201164200006000007","2005-06-22","","01","영업/정상","1","정상","","","","","0337448332","","","강원특별자치도 원주시 단계동  921번지 5호","강원특별자치도 원주시 이화4길 35 (단계동)","","계림메디칼","2018-04-12 09:16:30","I","2023-06-13 00:00:00","","282562.167994724","426907.955662528","일반기기, 방사선진료장치, 생체현상측정기기","Y","","",
"115","의료기기수리업","01_02_02_P","6530000","201164200006000035","2011-05-23","","01","영업/정상","1","정상","","","","","0335540357","","","강원특별자치도 태백시 황지동  114번지 25호","강원특별자치도 태백시 상장로 41 (황지동)","","한국장애인문화강원도협회 태백시지부","2011-10-30 14:01:35","I","2023-06-13 00:00:00","","376744.129100867","407209.743921664","환자운반차","N","","",
"116","의료기기수리업","01_02_02_P","6530000","201264200006000015","2012-08-13","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 원주시 판부면 서곡리 2014번지 3호","강원특별자치도 원주시 판부면 오성마을길 42","","휠스피아","2012-08-13 13:02:34","I","2023-06-13 00:00:00","","284184.474388384","424576.080508147","환자운반차(전동휠체어, 스쿠터,일반휠체어)","Y","","",
"117","의료기기수리업","01_02_02_P","6530000","201464200006000005","2014-06-20","","01","영업/정상","1","정상","","","","","0337316868","","","","강원특별자치도 원주시 문막읍 원문로 2170","","문막밧데리할인매장","2014-06-20 14:55:33","I","2023-06-13 00:00:00","","270395.859270932","422037.019128919","배터리","N","","",
"118","의료기기수리업","01_02_02_P","6530000","201164200006000002","2004-10-04","","01","영업/정상","1","정상","","","","","0336465596","","","강원특별자치도 강릉시 포남동  1082번지 34호","강원특별자치도 강릉시 보래미하길 19 (포남동)","","다현메디칼","2013-12-31 15:42:43","I","2023-06-13 00:00:00","","368180.92384803","476088.600751537","체외진단용기기","N","","",
"119","의료기기수리업","01_02_02_P","6530000","201164200006000004","2005-02-22","","01","영업/정상","1","정상","","","","","0317779880","","","강원특별자치도 원주시 문막읍 동화리 1654번지 1호","강원특별자치도 원주시 문막읍 동화공단로 151","","동진메디칼(주)","2013-12-31 15:41:28","I","2023-06-13 00:00:00","","273835.414311063","426086.711278111","방사선진료장치, 생체현상측정기기, 청진기","N","","",
"120","의료기기수리업","01_02_02_P","6530000","201164200006000006","2005-05-27","","01","영업/정상","1","정상","","","","","0337627127","","","강원특별자치도 원주시 흥업면 흥업리 115번지 1호","강원특별자치도 원주시 흥업면 울업2길 23","","리스템","2013-12-31 15:36:00","I","2023-06-13 00:00:00","","281706.36914785","422529.915669426","일반기기, 방사선진료장치, 방사선및레이저장해방어용기구, 방사선용품","N","","",
"121","의료기기수리업","01_02_02_P","6530000","201164200006000008","2005-06-02","","01","영업/정상","1","정상","","","","","0336362828","","","강원특별자치도 속초시 조양동  527번지 9호","강원특별자치도 속초시 소평로 126 (조양동)","","(주)다일","2013-12-31 15:33:50","I","2023-06-13 00:00:00","","337750.456757978","521894.712213203","진료대, 일반기기, 판금물, 시술기구, 주사기, 주사침및천자침, 치과용기기, 방사선용품, 봉합사및결찰사, 치과재료","N","","",
"122","의료기기수리업","01_02_02_P","6530000","201164200006000011","2007-05-23","","01","영업/정상","1","정상","","","","","0337646587","","","강원특별자치도 원주시 명륜동  821번지 11호","강원특별자치도 원주시 소방서길 30 (명륜동)","","미래엠텍","2013-12-31 15:10:09","I","2023-06-13 00:00:00","","283643.949937614","425658.052096019","진료대, 환자운반차","N","","",
"123","의료기기수리업","01_02_02_P","6530000","201164200006000012","2008-05-01","","01","영업/정상","1","정상","","","","","0337315203","","","강원특별자치도 원주시 판부면 서곡리 1988번지 1호","강원특별자치도 원주시 판부면 매봉길 8","","(자)와이앤드제이메디칼","2013-12-31 15:26:43","I","2023-06-13 00:00:00","","283424.681659297","424805.60126091","마취기, 방사선진료장치, 비전리진단장치, 심혈관용기계기구, 생체현상측정기기, 시술기구, 전기수술장치, 의약품주입기, 침 또는 구용기구","N","","",
"124","의료기기수리업","01_02_02_P","6530000","201164200006000018","2010-02-01","","01","영업/정상","1","정상","","","","","0335317733","","","강원특별자치도 동해시 천곡동  1015번지","강원특별자치도 동해시 중앙로 207 (천곡동)","","엘지동해서비스","2013-12-31 15:50:47","I","2023-06-13 00:00:00","","386935.841250548","448422.445797183","의료용물질생성기, 의료용진동기","N","","",
"125","의료기기수리업","01_02_02_P","6530000","201564200006000003","2015-07-24","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 원주시 관설동  1716번지 6호","강원특별자치도 원주시 단관초교길 30-5 (관설동)","","청백의료기","2015-07-24 15:55:12","I","2023-06-13 00:00:00","","285327.538680588","424224.657570322","수동휠체어, 전동휠체어, PT(재활기구), OS장비(정형외과), NS장비(신경외과)","N","","",
"126","의료기기수리업","01_02_02_P","6530000","201564200006000004","2015-12-11","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 춘천시 후평동  798번지 12호","강원특별자치도 춘천시 후석로 275 (후평동)","","춘천사랑종합유통 필립스AS","2020-12-08 17:46:21","I","2023-06-13 00:00:00","","266117.969520086","486222.180671109","적외선치료기, 저주파치료기, 유축기","Y","","",
"127","의료기기수리업","01_02_02_P","6530000","201664200006000001","2016-01-21","","01","영업/정상","1","정상","","","","","0334816519","","","","강원특별자치도 양구군 양구읍 비봉로 64-53","","평남의료기","2016-01-21 10:17:22","I","2023-06-13 00:00:00","","286575.166440544","512103.209474429","전동스쿠터, 휠체어","Y","","",
"128","의료기기수리업","01_02_02_P","6530000","201664200006000002","2016-03-10","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 원주시 북원로 2376, 2층 (학성동,LG전자)","","주식회사 원주서비스센터","2019-09-24 17:18:40","I","2023-06-13 00:00:00","","282947.858396457","428735.609135469","안마의자, 이온수기","Y","","",
"129","의료기기수리업","01_02_02_P","6530000","201664200006000003","2016-04-12","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 원주시 문막읍 동화공단로 107","","(주)굿플","2016-04-12 12:41:22","I","2023-06-13 00:00:00","","274245.483386841","426086.435031911","극초단파자극기 등 10종","N","","",
"130","의료기기수리업","01_02_02_P","6530000","201664200006000004","2016-04-28","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 원주시 태장공단길 42-10 (태장동)","","(주)가포넷","2019-11-18 10:17:33","I","2023-06-13 00:00:00","","284054.839907546","434219.573818976","사지압박순환장치 등","Y","","",
"131","의료기기수리업","01_02_02_P","6530000","201664200006000006","2016-06-14","","01","영업/정상","1","정상","","","","","0337425282","","","","강원특별자치도 원주시 평원로 107 (학성동)","","대림","2016-06-14 15:51:10","I","2023-06-13 00:00:00","","283904.150630792","428375.574364094","휠체어,전동휠체어","N","","",
"132","의료기기수리업","01_02_02_P","6530000","201664200006000005","2016-06-14","","01","영업/정상","1","정상","","","","","","","","","강원특별자치도 원주시 무실로43번길 24 (원동)","","케어존-동부지점","2016-06-14 15:51:16","I","2023-06-13 00:00:00","","283983.453677817","427435.866651786","전동휠체어, 전동스쿠터, 수동휠체어","Y","","",
"133","의료기기수리업","01_02_02_P","6530000","201664200006000009","2016-06-19","","01","영업/정상","1","정상","","","","","0337645163","","","","강원특별자치도 원주시 치악로 1608 (단구동)","","사단법인 원주시장애인단체연합회","2016-06-19 11:38:47","I","2023-06-13 00:00:00","","285090.022138385","425380.355260699","휠체어 및 전동휠체어","N","","",
"134","의료기기수리업","01_02_02_P","6530000","201664200006000010","2016-08-01","","01","영업/정상","1","정상","","","","","0334627241","","","","강원특별자치도 인제군 인제읍 비봉로30번길 58","","한국지체장애인협회 인제군지회","2016-08-01 14:09:28","I","2023-06-13 00:00:00","","","","휠체어, 전동휠체어, 전동스쿠터","N","","",
"135","의료기기수리업","01_02_02_P","6530000","201664200006000011","2016-10-30","","01","영업/정상","1","정상","","","","","0335753669","","","강원특별자치도 삼척시 남양동  55번지 42호","강원특별자치도 삼척시 진주로 8 (남양동)","","삼척보청기센터 굿모닝","2016-10-30 15:36:42","I","2023-06-13 00:00:00","","391480.213672625","439867.312270474","보청기","Y","","",
"136","의료기기수리업","01_02_02_P","6530000","201664200006000013","2016-11-23","","01","영업/정상","1","정상","","","","","0337343422","","","강원특별자치도 원주시 태장동  1720번지 26호 1동 207호","강원특별자치도 원주시 태장공단길 42-10, 1동 207호 (태장동)","","(주)엘칸","2017-04-04 14:22:16","I","2023-06-13 00:00:00","","284054.839907546","434219.573818976","MRI, X-RAY, Angio-system, 골밀도측정기, 초음파, 영상진단의료기기","Y","","",
"137","의료기기수리업","01_02_02_P","6530000","201664200006000014","2016-12-12","","01","영업/정상","1","정상","","","","","0336418666","","","","강원특별자치도 강릉시 경포로15번길 9-3 (지변동)","","글로벌사이언스","2016-12-12 10:53:11","I","2023-06-13 00:00:00","","365201.639835322","476123.685768381","원심분리기","Y","","",
"138","의료기기수리업","01_02_02_P","6530000","201664200006000015","2016-12-28","","01","영업/정상","1","정상","","","","","0337619948","","","강원특별자치도 원주시 관설동  1740번지 11호","강원특별자치도 원주시 관설안길 9-7 (관설동)","","피앤피메디칼","2016-12-28 11:18:43","I","2023-06-13 00:00:00","","285203.66290001","424455.359189498","마취기, 인큐베이커","N","","",
"139","의료기기수리업","01_02_02_P","6530000","201664200006000016","2016-12-28","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 원주시 명륜동  826번지 7호","강원특별자치도 원주시 소방서길 40-1 (명륜동)","","원주장애인보장구센터","2016-12-28 11:41:40","I","2023-06-13 00:00:00","","283571.970434234","425606.260475012","장애인보장구","N","","",
"140","의료기기수리업","01_02_02_P","6530000","201764200006000001","2017-02-13","","01","영업/정상","1","정상","","","","","0337669903","","","","강원특별자치도 원주시 천매봉길 51 (단구동)","","엠앤디","2017-02-13 09:09:06","I","2023-06-13 00:00:00","","283346.30617302","424936.29951039","진단용방사선발생장치, 저주파치료기, 초음파치료기(진단기), 재활운동장비","Y","","",
"141","의료기기수리업","01_02_02_P","6530000","201764200006000002","2017-03-03","","01","영업/정상","1","정상","","","","","0334420222","","","","강원특별자치도 화천군 화천읍 상승로 60","","평화바이크의료기","2017-03-03 11:40:25","I","2023-06-13 00:00:00","","261788.658740275","511693.528941924","전동스쿠터, 전동휠체어, 수동휠체어","Y","","",
"142","의료기기수리업","01_02_02_P","6530000","201764200006000003","2017-03-07","","01","영업/정상","1","정상","","","","","0337647644","","","","강원특별자치도 원주시 문막읍 원문로 1400","","한신메디칼 원주","2020-04-08 14:44:25","I","2023-06-13 00:00:00","","","","고압증기멸균기, EO가스멸균기, 프라즈마멸균기,혈액약품냉장고, 혈장약품냉동고, 자외선소독기, 석고절단기","Y","","",
"143","의료기기수리업","01_02_02_P","6530000","201164200006000039","2011-10-10","","01","영업/정상","1","정상","","","","","0337641364","","","강원특별자치도 원주시 중앙동  114번지 18호 중앙빌딩 2층","강원특별자치도 원주시 중평길 4, 2         층 (중앙동,중앙빌딩)","","금강디지털보청기 병원사업부","2012-05-18 21:44:01","I","2023-06-13 00:00:00","","284104.793335059","427879.616554239","보청기","Y","","",
"144","의료기기수리업","01_02_02_P","6530000","201164200006000040","2011-10-31","","01","영업/정상","1","정상","","","","","0337477657","","","강원특별자치도 원주시 문막읍 동화리 1647번지 1호","강원특별자치도 원주시 문막읍 동화공단로 130-1","","(주)씨유메디칼시스템","2011-10-31 11:54:42","I","2023-06-13 00:00:00","","274138.861051817","426239.682386931","이학진료용기기, 심혈관용기계기구, 생체현상측정기기","Y","","",
"145","의료기기수리업","01_02_02_P","6530000","201164200006000041","2011-11-17","","01","영업/정상","1","정상","","","","","0337441007","","","강원특별자치도 원주시 중앙동  60번지 13호 2층","강원특별자치도 원주시 원일로 112-1, 2         층 (중앙동)","","독일지멘스 보청기 중앙점","2011-11-17 10:21:17","I","2023-06-13 00:00:00","","283990.118216079","427970.085692733","보청기","Y","","",
"146","의료기기수리업","01_02_02_P","6530000","201164200006000042","2011-11-22","","01","영업/정상","1","정상","","","","","0332513131","","","강원특별자치도 춘천시 온의동  514번지 402호","강원특별자치도 춘천시 경춘로 2354, 4         층 402호 (온의동)","","스타키보청기 춘천난청센터","2011-11-22 08:34:55","I","2023-06-13 00:00:00","","263297.231644072","484808.077816798","보청기","Y","","",
"147","의료기기수리업","01_02_02_P","6530000","201264200006000002","2012-02-06","","01","영업/정상","1","정상","","","","","0332554262","","","강원특별자치도 춘천시 우두동  212번지 2호","강원특별자치도 춘천시 우두중리길 14 (우두동)","","CJ냉열","2012-02-06 10:14:17","I","2023-06-13 00:00:00","","265366.479921351","489548.901020671","의료용 정온기","N","","",
"148","의료기기수리업","01_02_02_P","6530000","201264200006000003","2012-02-16","","01","영업/정상","1","정상","","","","","","","","강원특별자치도 춘천시 후평동  701번지 8호 M타워 504호","강원특별자치도 춘천시 후석로 326, 504호 (후평동,M타워)","","맑은소리보청기","2012-02-16 17:57:03","I","2023-06-13 00:00:00","","265931.855070483","486647.974415337","보청기","Y","","",
"149","의료기기수리업","01_02_02_P","6530000","201264200006000004","2010-12-15","","01","영업/정상","1","정상","","","","","0332578452","","","강원특별자치도 춘천시 효자동  608번지 27호","강원특별자치도 춘천시 서부대성로 176-1 (효자동)","","디지털월드","2012-03-21 18:29:37","I","2023-06-13 00:00:00","","264880.840021574","486109.83035167","일반기기","N","","",
"150","의료기기수리업","01_02_02_P","6530000","201264200006000005","2012-02-27","","01","영업/정상","1","정상","","","","","0337344645","","","강원특별자치도 원주시 중앙동  28번지 1호","강원특별자치도 원주시 천사로 214 (중앙동)","","금강디지털보청기원주지사","2012-02-27 13:52:30","I","2023-06-13 00:00:00","","283914.045586056","428105.97946859","보청기","N","","",
