"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","승려수","신도수","창립연대","유래연혁","지정취소","지정취소일자","지정취소사유","전통사찰명",
"57","전통사찰","03_07_11_P","4201000","CDFD1002","1988-05-28","","01","영업/정상","05","지정","","","","","643-2985","","","강원특별자치도 강릉시 임당동 29","강원특별자치도 강릉시 강릉대로210번길 23-9 (임당동)","210-080","관음사","2011-10-30 14:57:17","I","2023-06-13 00:00:00","","366844.804464996","474333.365789458","0","0","","관음사는 조선시대 숭유억불책에 의해 산중에서 명맥을 유지해 오던 불교가 근대화에 의한 도심지로 진출을 모색하면서 창건된 대표적인 사찰 중의 하나이다. 당시 강원도의 3대본산이었던 금강산 유점사, 건봉사와 오대산 월정사의 3대 본사에서 불교연합으로 1923년 강릉불교포교소를 건립 강릉지역의 불교포교와 인재양성을 목적으로 건립되었으며, 아동불교 포교를 위한 금첨유치원도 설립되었다. 현재는 월정사에서 단독으로 운영하고 있다.","N","","","관음사",
"58","전통사찰","03_07_11_P","4201000","CDFD1003","2007-01-05","","01","영업/정상","05","지정","","","","","647-1234","","","강원특별자치도 강릉시 사천면 사기막리 821","강원특별자치도 강릉시 사천면 중앙서로 961","210-852","용연사","2016-12-05 16:58:05","I","2023-06-13 00:00:00","","356753.175325385","477853.744311757","0","0","","용연사는 대한불교 조계종 제4교구 월정사의 末寺로, 1650년 仁祖때 道僧 玉岑이 창건하였다고 전하며, 일설에는 왕침대사가 응봉산 동쪽 용연동 만월산에 창건하였다고 전한다. 1950년 한국전쟁 때 전소되었다가 한 女僧의 盡力으로 중건되었다 한다. 東國與地勝覽과 與地圖書 등 조선시대 문헌에는 기록이 전혀없어 정확한 창건연대와 내력에 대해서는 알 수 없다. 그러나 강릉읍지인 증수임영지 사찰조에는 순치년간(1644)에 승려 옥잠이 처음 이절을 세웠다고 전한다. 또한 용연사 경내의 석탑은 조선시대 조성된 것으로 원래는 2기의 雙塔이었을 것으로 보이나, 허물어져 흩어졌던 部材를 다시 모아 1기의 석탑으로 조립하였으며 문화재자료 제139호로 지정되어 있다.","N","","","용연사",
"59","전통사찰","03_07_11_P","4201000","CDFD1004","1988-05-28","","01","영업/정상","05","지정","","","","","648-9431","","","강원특별자치도 강릉시 성산면 보광리 산 544","강원특별자치도 강릉시 성산면 보현길 396","210-843","보현사","2016-12-05 17:08:39","I","2023-06-13 00:00:00","","354914.69403949","471860.514716444","0","0","","보현사는 신라 진덕여왕 4년 자장율사가 창건한 사찰로 후에 낭원대사에 의해 중창되고 지장선원으로 개칭되었다. 지금의 건물은 조선후기에 세운 건물로 3단의 장대석 기단을 설치하고 규모 정면 3칸, 측면 3칸의 팔작지붕이다. 보현사는 전설에 의하면 문수, 보현 두보살이 석주를 타고 건너와 강릉의 한송사와 보현사를 창건하엿다는 전설에 근거하여 보현사라 칭했다 한다. 보현가 대웅전을 비롯한 건물은 조선초기의 건축양식으로 믿어지며, 영동지역 사찰로는 가장 오래되고 규모도 크다. 2005년 지장선원 신축을 위한 발굴조사가 실시되었으며, 금동제 풍탁을 비롯한 자기류 등이 확인되었다.","N","","","보현사",
"60","전통사찰","03_07_11_P","4201000","CDFD1005","1988-05-28","","01","영업/정상","05","지정","","","","","647-9450","","","강원특별자치도 강릉시 구정면 어단리 926","강원특별자치도 강릉시 구정면 금평로 314-246","210-812","법왕사","2011-10-30 14:55:31","I","2023-06-13 00:00:00","","366865.749074525","465238.403467129","0","0","","법왕사는 본래 칠성암으로 산정상에 칠성대가 있어 세인들의 토속신앙인 칠성신앙에서 유래돤 것이다. 1946년 양경운선사가 만법의 왕인 부처님의 정법을 계승하는 수도장이라 하여 법왕사로 개칭하였다.본사는 신라 경덕왕 3년(704) 자장율사가 창건하였으며 범일국사가 삭발염의한 수선도량이다. 조선 고종대 鄭은이 독서재를 짓고 있던 것을 윤운곡선사가 10여칸의 가람을 지어 수도장으로 면모를 갖추었다. 사내에는 1930년 정위교가 게운 필성암기적비와 윤운곡선사비와 팔도도원장겸총섭사이비각이 건립되어 있다.","N","","","법왕사",
"61","전통사찰","03_07_11_P","4201000","CDFD1006","2007-01-05","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 강릉시 강동면 정동진리 산 17","강원특별자치도 강릉시 강동면 율곡로 1505-16","210-821","낙가사","2016-12-05 16:55:58","I","2023-06-13 00:00:00","","376529.184204878","469679.910913385","0","0","","신라 선덕여왕대 자장율사가 수다사란 이름으로 창건하였으며, 고려초 중창하면서 등명사로 개칭. 낙가사는 등명사의 옛절터에 1950년대 중창한 사찰이다. 등명사의 위치는 동국여지승람에 강릉도호부 동쪽 30리로 전하는 바로는 등명이란 이 절이 강릉부의 등불과 같은 존재이며 또한 書生들이 이곳에서 수학하다 삼경에 산에 올라 불을 밝히고 기도하면 과거급제가 빠르다함에서 연유하였다 한다. 또한 조선 중기에 어떤 왕이 안질이 심해 점술가에 물으니 동해 정동진의 큰 절에서 쌀 씻는 물이 동해로 흘러들어 용왕이 노한 탓이라 하므로 특사를 보내 알아보니 과연 그러한지라 등명사를 폐찰하였다는 전설도 있다.","N","","","낙가사",
"62","전통사찰","03_07_11_P","4201000","CDFD1007","2007-01-05","","01","영업/정상","05","지정","","","","","644-7756","","","강원특별자치도 강릉시 구정면 구정리 29","강원특별자치도 강릉시 구정면 청파로 176-38","210-812","청학사","2023-07-27 12:13:46","U","2023-07-29 02:40:00","","365046.654081672","467320.729138696","3","1500","","역사적으로 정확한 문헌적 고증을 할 수 없어 창건연대 및 연원은 알 수 없으나, 1994년 발간된 "명주군의 역사와 문화유적"에 의하면 청학사 주지스님이 흑암사지에 암자를 지어 수행하던 중 당시 유물인 석불과 석조광배,탑재,금동불상을 발견하여 보관하여 오다 1984년 옛 사찰 자리에 청학사를 건립하여 봉안 보관하고 있는 사찰이라 기술하고 있음","N","","","청학사",
"63","전통사찰","03_07_11_P","4211000","CDFD1001","1988-05-28","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 동해시 삼화동 172","강원특별자치도 동해시 삼화로 584 (삼화동)","240-350","삼화사","2011-10-30 13:50:15","I","2023-06-13 00:00:00","","378122.83907456","442061.186874544","0","0","",".","N","","","삼화사",
"64","전통사찰","03_07_11_P","4211000","CDFD1002","2006-03-30","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 동해시 용정동 502","강원특별자치도 동해시 해안로 120 (용정동)","240-140","감추사","2011-10-30 14:01:58","I","2023-06-13 00:00:00","","388318.302046968","447424.962967189","0","0","","","N","","","감추사",
"65","전통사찰","03_07_11_P","4221000","CDFD1001","2009-03-18","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 태백시 장성동 228-1","강원특별자치도 태백시 계산1길 66  (장성동)","","테스트","2009-03-18 11:37:39","I","2023-06-13 00:00:00","","377568.07335011","402884.653357115","2","150","","장명사는 원래 작은 암자로서 지금의 삼성각자리에 있었던 것을 일제시대 조선총독부 산하 삼척탄광개발주식회사(현 대한석탄공사)에서 헐어버리고 1945년 증축과 몇번의 개축으로 지금에 이르고 있다.","N","","","테스트",
"66","전통사찰","03_07_11_P","4231000","CDFD1002","1988-10-21","","01","영업/정상","05","지정","","","","","033-636-7188","","","강원특별자치도 속초시 설악동 산 40","","","계조암","2014-12-22 08:45:45","I","2023-06-13 00:00:00","","327717.243813955","521980.193334182","3","2000","","신라 진덕여왕 6년(652) 자장율사가 창건했는데 정확히 신흥사보다 먼저 창건
1548년 중건, 고종 27년(1890) 응화스님이 삼성각을 건립하여 현재에 이르고 있음.","N","","","계조암",
"67","전통사찰","03_07_11_P","4231000","CDFD1001","1988-05-28","","01","영업/정상","05","지정","","","","","033-636-7044","","","강원특별자치도 속초시 설악동 170 11통2반","강원특별자치도 속초시 설악산로 1137  (설악동)","","신흥사","2012-02-02 17:44:30","I","2023-06-13 00:00:00","","330016.079736653","520253.149761864","8","4000","","신라 진덕여왕 6년(652년) 자장율사가 창건
조선인조22년(1644) 영서, 연옥, 혜원스님이 하루저녁 같은 꿈을 동시에 꾼것을 계기로 중창을 시작하여 1647년 완공
1912년 조계종 본산 건봉사의 말사
1971년 조계종 제3교구 본사로 승격","N","","","신흥사",
"68","전통사찰","03_07_11_P","4241000","CDFD1001","1982-11-03","","01","영업/정상","05","지정","","","","","574-9302","","","강원특별자치도 삼척시 근덕면 궁촌리 924","강원특별자치도 삼척시 근덕면 궁촌길 1162","","영은사","2013-12-18 11:47:47","I","2023-06-13 00:00:00","","399997.566403595","422503.55486505","5","1500","","891년(진성여왕5년)에 창건되었으며, 1585년 (조선 선조 18년)에 사명대사가 현 위치에 이전하여 운망사라 개명했는데 후에 영은사로 다시 개명했다.","N","","","영은사",
"69","전통사찰","03_07_11_P","4241000","CDFD1002","1988-05-18","","01","영업/정상","05","지정","","","","","572-3600","","","강원특별자치도 삼척시 근덕면 동막리 1332","강원특별자치도 삼척시 근덕면 양리길 220","","신흥사","2013-12-18 11:44:29","I","2023-06-13 00:00:00","","395386.199179747","426903.552220947","2","1000","","신라 민애왕 원년(838년) 범일국사가 지흥사라 하여 북평읍 지흥리에서 창건한 것인데 현종 15면(1674년)현 위치로 이전하여 광운사라 하였고, 다시 운흥사로 고쳐 불렀다는데, 영조 46년 화재를 당하고, 영조 47년 영담노사가 중건했고, 순조 21년 부사 이헌규가 많은 재원을 지원해 주고, 신흥사라 개명하였고, 그후 철종 14년 (1863) 7월에 중사하였음.","N","","","신흥사",
"70","전통사찰","03_07_11_P","4241000","CDFD1003","2003-04-23","","01","영업/정상","05","지정","","","","","572-0333","","","강원특별자치도 삼척시 미로면 내미로리 785","강원특별자치도 삼척시 미로면 동안로 816","245-822","천은사","2013-01-08 11:05:31","I","2023-06-13 00:00:00","","380698.043692988","440021.945184556","1","250","","신라 흥덕왕 4년(829년)에 창건하였을 때는 백련대라 했고, 고려 충렬왕때 이승휴가 간장암을 다시 지었고, 조선조 선조 31년 청허대사가 이절을 중수하여 흑악사라 개명앴다. 그후 수차례 걸친 중수후 이중하가 천은사라 개명했다.","N","","","천은사",
"71","전통사찰","03_07_11_P","4241000","CDFD1004","2003-04-23","","01","영업/정상","05","지정","","","","","573-2487","","","강원특별자치도 삼척시 성내동 8-1","강원특별자치도 삼척시 죽서루길 61  (성내동)","","삼장사","2013-12-18 11:50:47","I","2023-06-13 00:00:00","","391095.41775993","439933.856431589","0","0","","신라말 범일국사가 죽서루 동쪽에 창건하여 죽장사라고 했다.","N","","","삼장사",
"72","전통사찰","03_07_11_P","4251000","CDFD1001","1971-12-16","","01","영업/정상","05","지정","","","","","033-436-6611","","","강원특별자치도 홍천군 영귀미면 덕치리 9","강원특별자치도 홍천군 영귀미면 수타사로 473","","홍천 수타사","2011-12-27 10:15:50","I","2023-06-13 00:00:00","","284528.210770047","466659.938521277","3","1900","","수타사는 신라 성덕왕 7년(708년)원효대사가 창건 하여 우적산 일월사로 칭하였으나, 조선 세종
3년 (1457년)에 현재 위치로 이전하여 수타사로 하였으며, 수타사 경내에는 대적광전(강원도유형문화재 제17호)을 중심으로 대적광전내에 후불탱화(강원도유형문화재 제122호)와 지장탱화(강원도 유형문화재 제123호)가 문화재로 지정되어 있으며 
월인석보(보물제845호)동종( 보물제11-3호)등 많은 문화유적 유물들을 소장하고 있음.","N","","","홍천 수타사",
"73","전통사찰","03_07_11_P","4251000","CDFD1003","2006-01-06","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 홍천군 내촌면 서곡리 19","강원특별자치도 홍천군 내촌면 여창길 402","250-863","쌍계사","2014-12-02 14:56:03","I","2023-06-13 00:00:00","","299655.533830081","481509.388105498","0","0","","","N","","","쌍계사",
"74","전통사찰","03_07_11_P","4261000","CDFD1001","1988-06-22","","01","영업/정상","05","지정","","","","","033-343-3007","","","강원특별자치도 횡성군 횡성읍 남산리 72-5","","","보광사","2012-01-26 10:49:31","I","2023-06-13 00:00:00","","288208.532956442","441459.917641041","3","300","","1934년 강대희에 의해 건립된 사찰로서 건립당시 요사1동뿐이었으나, 이후 보문전,삼성각,동별당이 건립되었으며, 처음에는 남산사이였으나, 1961년 보광사로 개칭되었음                    1988년 전통사찰 제15호로 등록되었으며 입구의 부도2기는 1949년 보광사 동북쪽 약1km지점에  위치한 법흥사지에서 옮겨온 것임","N","","","보광사",
"75","전통사찰","03_07_11_P","4261000","CDFD1002","1988-05-28","","01","영업/정상","05","지정","","","","","033-345-5656","","","강원특별자치도 횡성군 청일면 신대리 138","강원특별자치도 횡성군 청일면 청일로 909-88","","봉복사","2005-01-19 11:55:11","I","2023-06-13 00:00:00","","308224.822817233","455731.544785699","3","100","","신라 성덕여왕 16년에 자장율사가 창건하고 문무왕 11년 원효대사가 재건한 봉복사는 전옻사찰 14호로 등록되었으며, 덕고산 자락에 위치하고 있으며 엣날의 거찰다운 면모를 갖추고 있고     주변여건은 인근에 태기산, 횡성댐, 병지방계곡 등 관광지와 연계가 용이하고 자연을 주제로한  관광코스 개발가능성과 잠재성이 내재되어 있는 사찰임","N","","","봉복사",
"76","전통사찰","03_07_11_P","4271000","CDFD1001","1988-05-28","","01","영업/정상","05","지정","","","","","374-9177","","","강원특별자치도 영월군 무릉도원면 법흥리 422-2","","","법흥사","2009-06-16 18:27:52","I","2023-06-13 00:00:00","","311599.623471093","430852.149319346","7","1000","","신라의 자장율사가 당나라에 들어가 유학하던중 청량산에서 문수보살을 친견하고 가사, 진신사리,강경등을 전수받아 귀국하여 석가모니 진신사리일부를 이곳에 봉안함.","N","","","법흥사",
"77","전통사찰","03_07_11_P","4271000","CDFD1002","1988-05-28","","01","영업/정상","05","지정","","","","","374-3169","","","강원특별자치도 영월군 영월읍 영흥리 1110","강원특별자치도 영월군 영월읍 보덕사길 34","","보덕사","2009-06-16 18:32:20","I","2023-06-13 00:00:00","","329337.860933776","411654.739005955","2","500","","668년 의상조사가 창건, 발본산 지덕사라 하였음.  1457년 단종대왕이 노산국으로 강봉되어 이곳 영월로 유배되자 노릉사라 개칭하였으며 그후 태백산보덕사라 함.","N","","","보덕사",
"78","전통사찰","03_07_11_P","4281000","CDFD1001","1988-05-28","","01","영업/정상","05","지정","","","","","033-332-6664","","","강원특별자치도 평창군 진부면 63-1","강원특별자치도 평창군 진부면 오대산로 374-8","232-941","월정사","2012-01-18 10:59:24","I","2023-06-13 00:00:00","","340312.731106935","471103.270461203","20","5000","","신라 석덕여왕 당시 자장율사에 의해 창건
한국전쟁으로 거의 소실된 것을 후에 복원함","N","","","월정사",
"79","전통사찰","03_07_11_P","4281000","CDFD1002","1988-05-28","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 평창군 진부면 동산리 63-1 월정사","강원특별자치도 평창군 진부면 오대산로 374-8 (월정사)","232-941","월정사","2014-01-08 13:24:58","I","2023-06-13 00:00:00","","340312.731106935","471103.270461203","0","0","","","N","","","월정사",
"80","전통사찰","03_07_11_P","4281000","CDFD1003","2007-12-07","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 평창군 평창읍 중리 239 극락사","강원특별자치도 평창군 평창읍 노람들길 57 (극락사)","232-806","극락사","2014-01-08 13:40:05","I","2023-06-13 00:00:00","","324006.787995789","430643.084767168","0","0","","","N","","","극락사",
"81","전통사찰","03_07_11_P","4291000","CDFD1001","2003-05-06","","01","영업/정상","05","지정","","","","","033-591-2469","","","강원특별자치도 정선군 고한읍 고한리 산 213","강원특별자치도 정선군 고한읍 함백산로 1410","233-810","정암사","2016-06-25 14:39:46","I","2023-06-13 00:00:00","","367979.936184108","410724.485298952","3","2300","","신라 선덕왕 때 자장율사가 창건하였다고 함
소장 문화재로 정암사 수마노탑, 정암사 열목어서식지, 정암사 적멸보궁이 있음","N","","","정암사",
"82","전통사찰","03_07_11_P","4301000","CDFD1001","2003-04-14","","01","영업/정상","05","지정","","","","","033-455-3468","","","강원특별자치도 철원군 동송읍 상노리 72","","","심원사","2009-06-24 15:35:25","I","2023-06-13 00:00:00","","","","0","0","","","N","","","심원사",
"83","전통사찰","03_07_11_P","4301000","CDFD1002","1988-05-28","","01","영업/정상","05","지정","","","","","033-455-4713","","","강원특별자치도 철원군 동송읍 관우리 450","강원특별자치도 철원군 동송읍 도피동길 23","","도피안사","2011-09-26 08:53:59","I","2023-06-13 00:00:00","","219023.070671793","526420.475149482","0","0","","","N","","","도피안사",
"84","전통사찰","03_07_11_P","4331000","CDFD1001","2009-03-23","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 인제군 인제읍 상동리","","","백담사5","2009-03-23 11:45:29","I","2023-06-13 00:00:00","","","","0","0","","","","","","백담사5",
"85","전통사찰","03_07_11_P","4331000","CDFD1002","1988-05-28","","01","영업/정상","05","지정","","","","","033-462-6969","","","강원특별자치도 인제군 북면 용대리 690","강원특별자치도 인제군 북면 백담로 746","252-820","백담사","2022-04-22 10:26:00","I","2023-06-13 00:00:00","","320340.040381087","518917.608982776","15","150","","雪嶽山 尋源寺 寺蹟記』와 한용운의 『百潭寺 寺蹟記』에 의하면 백담사는 서기 674년 신라 제28대 진덕여왕 원년에 자장율사가 설악산 한계리에 한계사로 창건하고 아미타삼존불을 조성·봉안하였다. 한계사로 창건후 1775년(영조 51년)까지 운흥사, 심원사, 선구사, 영취사로 바뀌다가 1457년(세조 3년)과 1783년(정조 7년)에 最鵬과 雪潭이 백담사라 개칭하여 현재까지 전해지고 있다.","N","","","백담사",
"86","전통사찰","03_07_11_P","4331000","CDFD1003","1988-05-22","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 인제군 인제읍 상동리 산 1-2","강원특별자치도 인제군 인제읍 인제로167번길 365","252-800","백련정사","2011-10-30 14:19:02","I","2023-06-13 00:00:00","","300936.137728581","510497.738743052","1","150","","신라시대에 창건한 것으로 전해지고 있으며 원래 사찰 이름은 천곡사였다고 한다. 옛 건물은 한국전쟁시 소실디었다. 현재는 법당과 요사채만이 남아 있다. 사찰 북쪽 산사면에는 신남리 절뚜루 사지터에서 이전한 삼층석탑과 석불좌상이 보존되고 있다.","N","","","백련정사",
"87","전통사찰","03_07_11_P","4331000","CDFD1004","1988-10-21","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 인제군 북면 용대리 산 76","강원특별자치도 인제군 북면 백담로 1700","252-820","봉정암","2011-10-30 14:18:20","I","2023-06-13 00:00:00","","327593.282835802","514682.08789223","5","1000","","설악산 소청봉의 서북쪽에 있는 사찰로 백담사의 부속암자이다. 643년(선덕여왕 12)에 慈藏이 당나라에서 부처님의 眞身舍利를 가지고 귀국하여, 이곳에 사리를 봉안하고 창건하였다. 그 후 677년(문무왕 17)에 元曉大師가, 1188년(명종 18)에 知訥이 중건하였으며, 1518년(중종17)에 幻 寂이 중수하였다. 1548년(명종 3)에는 필마 騰雲(등운)이 중수하였고, 1632년(인조10)에는 雪淨이 중건하였다. 암자 이름을 鳳頂아리고 한 것은 신라 애장왕 때 조상 봉정이 이곳에서 수도하였기 때문에 붙여졌다는 설도 있다. 
암자와 석탑 사이의 깊옆의 큰 바위에 “釋迦舍利塔”이란 글자가 각인되어 있다. 현재의 요사채 건물은 1972년 옛 건물터에 증축하였다고 한다. 자연 암반을 이용하여 축대를 쌓고 계단을 만들어 뒤의 법당과 연결하였다.","N","","","봉정암",
"88","전통사찰","03_07_11_P","4331000","CDFD1005","1988-10-21","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 인제군 북면 용대리 산 75","강원특별자치도 인제군 북면 백담로 1325","252-820","오세암","2011-10-30 14:17:33","I","2023-06-13 00:00:00","","325021.932067032","517317.168280382","3","300","","백담사에서 영시암을 지나 약6㎞ 정도 올라가면 만경대 아래에 위치하고 있다. 조계종 소속의 백담사 부속암자이다. 643년(선덕여왕 12)에 창건하여 觀音庵이라 하였으며, 1548년(명종 3)에 보우가 중건하였다. 이 암자를 오세암이라 한 것은 1643년(仁祖 21)에 雪淨이 중건한 다음부터이다","N","","","오세암",
"89","전통사찰","03_07_11_P","4341000","CDFD1001","2003-05-02","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 고성군 토성면 신평리 476","강원특별자치도 고성군 토성면 잼버리로 163-100","219-832","화암사","2024-07-24 18:56:43","U","2024-07-26 02:40:00","","334432.41169984","529187.836510723","0","0","","신라 혜공왕 5년 진표율사가 창건,조선영조 6년에 소실 익년도에 재건,고종원년에 소실,동년에 재건","N","","","화암사",
"90","전통사찰","03_07_11_P","4341000","CDFD1002","2003-05-02","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 고성군 거진읍 냉천리 36","강원특별자치도 고성군 거진읍 건봉사로 723","","건봉사","2003-05-02 16:12:18","I","2023-06-13 00:00:00","","320308.951092776","545236.850806726","11","1370","","법흥왕 7년 아도화상이 건립했다고 전함, 고종태 소실된 후 1892년에 766칸 대사찰 건립,6.25때 전소","N","","","건봉사",
"91","전통사찰","03_07_11_P","4341000","CDFD1003","2003-05-02","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 고성군 간성읍 교동리 280","강원특별자치도 고성군 간성읍 교동2길 26","219-801","극락암","2011-10-30 16:47:11","I","2023-06-13 00:00:00","","325764.220982077","542936.75254775","2","150","","고려 혜종2년 묘적동에 창건,1878년 전소,1887년 사미봉진이 재건,6.25때 전소 1956년에 현사찰 재건","N","","","극락암",
"92","전통사찰","03_07_11_P","4341000","CDFD1004","1988-05-28","","01","영업/정상","05","지정","","","","","0336828100","","","강원특별자치도 고성군 거진읍 냉천리 36","강원특별자치도 고성군 거진읍 건봉사로 723","24708","대한불교조계종건봉사","2025-02-11 16:08:03","I","2025-02-13 00:10:48","","320308.951092776","545236.850806726","0","0","","","N","","","대한불교조계종건봉사",
"93","전통사찰","03_07_11_P","4351000","CDFD1004","1988-10-21","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 양양군 강현면 전진리 57-2","강원특별자치도 양양군 강현면 낙산사로 98-19","215-850","홍련암","2011-10-30 15:24:08","I","2023-06-13 00:00:00","","342844.667962909","514967.025713209","0","0","","신라 문무왕 12년 의상조사 창건
관음보살의 전신을 친견한 곳인 관음굴위에 지은 불전으로서 이 곳에서 밤낮없이 7일동안 기도를 하자 바다위에서 홍련이 솟아났고 그 꽃 속에서 관음보살이 헌신했다하여 홍련함으로 명명한 것으로 전해짐","N","","","홍련암",
"94","전통사찰","03_07_11_P","4351000","CDFD1005","2009-03-30","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 양양군 강현면 둔전리 124-5","강원특별자치도 양양군 강현면 화채봉길 368","215-850","진전사","2011-10-30 15:27:54","I","2023-06-13 00:00:00","","335438.157010156","514466.579531966","0","0","","","N","","","진전사",
"95","전통사찰","03_07_11_P","4351000","CDFD1001","1988-05-28","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 양양군 강현면 전진리 55","","","낙산사","2011-03-16 16:37:21","I","2023-06-13 00:00:00","","342631.0759872","514782.197555714","0","0","","신라 문무왕 11년(671) 의상대사가 관음보살의 진신이 이해변의 굴안에 머무신다는 말을 듣고  속에 들어가
예불하던중 관금보살이 수정을 만든 염주를 주면서 절을 지을 곳을 알려주어  곳에 사찰을 창건하고 낙산사라
하였다 한다
헌안왕 2년(858) 범일대사가 중창하였으나 몽고란으로 소실되었다
조선 세조 13년(1467) 왕명으로 크게 중창하였고 예종 원년91469)애도 왕명으로 중건이 있었으며, 인조 9년(1463)과 21년(1643)에 각각 재차 중건이 있었으나 정조 원년(1777)화재를 당하여 다음해 중건하였다
한국전쟁 당시 소실되어 1953년 재건되었으나 2005년 4월 5일 산불로 인하여 원통보전등의 전각이 또 다시 소실되었으며, 발굴조사를 끝내고 현재 복원사업이 추진되고 있다","N","","","낙산사",
"96","전통사찰","03_07_11_P","4351000","CDFD1002","1988-06-22","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 양양군 양양읍 화일리 산 323","","","영혈사","2011-10-30 15:26:09","I","2023-06-13 00:00:00","","335371.895174047","512909.320921016","0","0","","원효대사의 수도처로서 신라 문무왕 9년(669) 원효대사가 창건
조선 숙종 16년 사승 취원이 중건
고종24년 지화
도윤스님이 중수","N","","","영혈사",
"97","전통사찰","03_07_11_P","4351000","CDFD1003","1988-05-28","","01","영업/정상","05","지정","","","","","","","","강원특별자치도 양양군 현북면 어성전리 488","","","명주사","2009-06-15 14:11:36","I","2023-06-13 00:00:00","","346721.773553175","495777.104736333","0","0","","고려 목종 12년 창건
6.25때 전소된 것을 1963년부터 중수하기 시작","N","","","명주사",
