"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자","관리주체",
"52","병원","01_01_01_P","4191000","PHMA220034190023021200002","2003-12-01","","01","영업/정상","13","영업중","","","","","033762-0100","7189.05","","","강원특별자치도 원주시 판부면 치악로 1139-  ( )","00000","바른요양병원","2025-04-25 15:13:27","U","2025-04-27 02:40:00","요양병원(일반요양병원)","287769.044644282","421689.925766276","요양병원(일반요양병원)","49","72","292","7189.05","301 122 115 106 104 101","내과, 외과, 신경외과, 비뇨의학과, 가정의학과, 한방내과","","","","0","0","","","0","","시도",
"53","병원","01_01_01_P","4191000","PHMA219904190023021200001","1990-03-05","","01","영업/정상","13","영업중","","","","","033743-5412","0","","","강원특별자치도 원주시 남산로 199-0 (학성동,원주카톨릭병원)","26412","원주카톨릭병원","2025-02-19 14:23:57","U","2025-02-21 02:40:00","병원","283316.518675463","428391.532010113","병원","5","27","65","0","","","","","","0","0","","","0","","시도",
"54","병원","01_01_01_P","4191000","PHMA220074190023021200001","2007-05-30","","01","영업/정상","13","영업중","","","","","033-765-5001","3816.27","","강원특별자치도 원주시 명륜동 120번지 1호","강원특별자치도 원주시 남원로 631 (명륜동)","26441","연세요양병원","2023-11-30 11:47:21","U","2023-12-02 02:40:00","요양병원(일반요양병원)","284281.344123131","426855.575022067","요양병원(일반요양병원)","20","29","166","3816.27","308 122 120 106 105 104 101","내과, 외과, 정형외과, 신경외과, 재활의학과, 가정의학과, 침구과","","","","0","0","","","0","","시군구",
"55","병원","01_01_01_P","4191000","PHMA220194190023021200001","2019-01-28","","01","영업/정상","13","영업중","","","","","033813-9922","4850.95","","","강원특별자치도 원주시 문막읍 문막시장1길 16-0 ( )","26373","문막요양병원","2025-03-21 11:38:53","U","2025-03-23 02:40:00","요양병원(일반요양병원)","272365.940089907","423177.951148618","요양병원(일반요양병원)","13","35","189","4850.95","","","","","","0","0","","","0","","시도",
"56","병원","01_01_01_P","4191000","PHMA220204190023021200002","2020-09-04","","01","영업/정상","13","영업중","","","","","033734-7500","1508.04","","","강원특별자치도 원주시 지정면 신지정로 190-0 ( 5~6층)","26353","신원주한방병원","2024-12-20 17:11:17","U","2024-12-22 02:40:00","한방병원","277508.30609863","430604.682729714","한방병원","3","14","41","1508.04","","","","","","0","0","","","0","","시도",
"57","병원","01_01_01_P","4191000","PHMA220214190023021200001","2021-01-28","","01","영업/정상","13","영업중","","","","","033-749-9900","10957","","강원특별자치도 원주시 반곡동 1860-8","강원특별자치도 원주시 혁신로 5 (반곡동)","26460","의료법인삼산의료재단 삼산병원","2023-12-17 11:14:51","U","2023-12-19 02:40:00","병원","286368.932064117","425375.093838049","병원","27","34","205","10957","407 406 405 403 122 116 105 103 101","내과, 정신건강의학과, 정형외과, 영상의학과, 가정의학과, 치과보철과, 소아치과, 치주과, 치과보존과","","","","0","0","","","0","","시도",
"58","병원","01_01_01_P","4191000","PHMA220214190023021200002","2021-07-16","","01","영업/정상","13","영업중","","","","","033-765-7501","1697.71","","","강원특별자치도 원주시 시청로 528-0, 3~5층 (관설동)","26470","바른몸한방병원","2024-07-25 11:04:01","U","2024-07-27 02:40:00","한방병원","285566.842353589","424120.017865798","한방병원","11","18","65","1697.71","308 307 306 305 304 303 302 301 122","가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","","시도",
"59","병원","01_01_01_P","4191000","PHMA220214190023021200004","2021-12-08","","01","영업/정상","13","영업중","","","","","033-813-1111","4963.19","","","강원특별자치도 원주시 평원로 100-0 (학성동, (학성동))","26414","연세명인병원","2024-06-20 18:48:48","U","2024-06-22 02:40:00","병원","283992.304984137","428352.538835144","병원","23","39","123","4963.19","308 120 114 109 101","내과, 마취통증의학과, 피부과, 재활의학과, 침구과","","","","0","0","","","0","","시도",
"60","병원","01_01_01_P","4191000","PHMA220224190023021200001","2022-04-25","","01","영업/정상","13","영업중","","","","","0337345844","1914.08","","","강원특별자치도 원주시 양지로 80-0 (반곡동, 6층 (반곡동))","26462","강남한방병원","2024-09-05 13:08:50","U","2024-09-07 02:40:00","한방병원","287336.98603588","425561.69150027","한방병원","0","20","60","1914.08","","","","","","0","0","","","0","","시도",
"61","병원","01_01_01_P","4191000","PHMA219664190023021200001","1983-07-01","","01","영업/정상","13","영업중","","","","","033760-4500","41401.52","","","강원특별자치도 원주시 서원대로 387 (개운동, (개운동))","26448","강원특별자치도원주의료원","2025-09-03 17:53:12","U","2025-09-06 02:40:00","종합병원","284004.892022232","426080.573873519","종합병원","233","50","174","41401.52","","","","","","0","0","","","0","","시도",
"62","병원","01_01_01_P","4191000","PHMA219924190023021200001","1992-06-11","","01","영업/정상","13","영업중","","","","","033732-2111","7121.38","","","강원특별자치도 원주시 상지대길 80-0 (우산동, (우산동))","26338","상지대학교부속 한방병원","2025-02-25 19:40:04","U","2025-02-27 02:40:00","한방병원","282684.722957517","430234.756275329","한방병원","36","26","100","7121.38","","","","","","0","0","","","0","","시도",
"63","병원","01_01_01_P","4191000","PHMA220074190023021200003","2007-11-26","","01","영업/정상","13","영업중","","","","","033-747-1199","","","강원특별자치도 원주시 우산동 125번지 1호","강원특별자치도 원주시 상지대길 23 (우산동)","26342","현대중앙병원","2021-07-23 13:42:18","I","2023-06-13 00:00:00","병원","283094.965914142","430100.902774033","병원","5","16","31","1824.8","101 106 105 110 122","내과, 정형외과, 신경외과, 산부인과, 가정의학과","","","","0","0","","","0","","시군구",
"64","병원","01_01_01_P","4191000","PHMA220084190023021200004","2008-05-06","","01","영업/정상","13","영업중","","","","","033-733-9988","","","강원특별자치도 원주시 단계동 114번지 9호","강원특별자치도 원주시 원문로 141 (단계동)","26410","정병원","2021-03-23 14:50:41","I","2023-06-13 00:00:00","병원","282592.231264872","428536.016959888","병원","17","25","72","2775.58","107 105 101","내과, 정형외과, 심장혈관흉부외과","","","","0","0","","","0","","시군구",
"65","병원","01_01_01_P","4191000","PHMA220104190023021200001","2010-01-14","","01","영업/정상","13","영업중","","","","","033-741-5000","","","강원특별자치도 원주시 소초면 수암리 797번지 5호","강원특별자치도 원주시 소초면 치악로 2473","26309","원주성모병원","2022-06-10 16:09:12","I","2023-06-13 00:00:00","병원","287120.448723312","432848.690174154","병원","18","127","257","5008.88","122 120 119 116 110 106 105 104 101","내과, 외과, 정형외과, 신경외과, 산부인과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과","","","","0","0","","","0","","시군구",
"66","병원","01_01_01_P","4191000","PHMA220114190023021200001","2011-02-23","","01","영업/정상","13","영업중","","","","","033-746-4100","","","강원특별자치도 원주시 행구동 1440번지 1호","강원특별자치도 원주시 오리현길 236 (행구동, 영광재활의학과병원)","26456","영광병원","2022-05-13 17:30:35","I","2023-06-13 00:00:00","병원","287814.956845904","426438.392178082","병원","17","22","84","2891","301 120 101","내과, 재활의학과, 한방내과","","","","0","0","","","0","","시군구",
"67","병원","01_01_01_P","4191000","PHMA220114190023021200002","2011-02-23","","01","영업/정상","13","영업중","","","","","033742-9371","3615","","","강원특별자치도 원주시 백간길 95-  (단계동,단계동 1085-1 (단계동))","00000","센트럴병원","2025-10-17 18:19:32","U","2025-10-19 02:40:00","병원","282685.439732672","428204.333667541","병원","4","30","99","3615","","","","","","0","0","","","0","","시도",
"68","병원","01_01_01_P","4191000","PHMA220234191050021200001","2023-12-01","","01","영업/정상","13","영업중","","","","","033813-9955","1905.25","","","강원특별자치도 원주시 신림면 용소막길 20-1","26506","암오케이 요양병원","2024-09-26 09:20:02","U","2024-09-28 02:40:00","요양병원(일반요양병원)","296522.917048562","413217.195619627","요양병원(일반요양병원)","10","17","46","1905.25","","","","","","0","0","","","0","","시도",
"69","병원","01_01_01_P","4191000","PHMA219834190023021200001","1983-07-01","","04","취소/말소/만료/정지/중지","24","직권폐업","1983-07-01","","","","033-761-6911","","220-000","강원특별자치도 원주시 개운동 437","","","지방공사강원도원주의료원","2009-04-29 18:12:08","I","2023-06-13 00:00:00","종합병원","","","종합병원","1","58","250","0","101 104 110 111 105 106 102 116 109 120 119 125","내과, 신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과, 진단검사의학과, 재활의학과, 응급의학과","","","","0","0","","","0","","시군구",
"70","병원","01_01_01_P","4191000","PHMA220054190023021200001","2005-02-02","","04","취소/말소/만료/정지/중지","24","직권폐업","2005-02-02","","","","033-732-0270","","220-000","강원특별자치도 원주시 태장2동 1403-5","","","원주요양병원","2009-04-29 18:17:47","I","2023-06-13 00:00:00","요양병원(일반요양병원)","","","요양병원(일반요양병원)","1","14","119","3194","101 120","내과, 재활의학과","","","","0","0","","","0","","시군구",
"71","병원","01_01_01_P","4201000","PHMA220064200028021200008","2006-11-28","","03","폐업","03","폐업","2020-06-26","","","","033-530-7000","","210-834","강원특별자치도 강릉시 옥계면 현내리 311번지 2호","강원특별자치도 강릉시 옥계면 현내시장길 34","25634","의료법인라파의료재단 예수요양병원","2020-06-26 15:26:30","I","2023-06-13 00:00:00","요양병원(일반요양병원)","379855.07783425","458585.750044979","요양병원(일반요양병원)","9","23","97","2149.57","115 104 102 101","내과, 신경과, 외과, 비뇨의학과","","","","0","0","","","0","","시군구",
"72","병원","01_01_01_P","4201000","PHMA220054200028021200003","2005-07-04","","01","영업/정상","13","영업중","","","","","033-642-1100","4767.04","210-933","강원특별자치도 강릉시 옥천동 326번지","강원특별자치도 강릉시 용지로 129 (옥천동)","25552","(의)아나의료재단 강릉아나병원","2024-05-21 17:00:25","U","2024-05-23 02:40:00","정신병원","367629.928350308","474812.329131094","정신병원","32","37","202","4767.04","122 116 103 101","내과, 정신건강의학과, 영상의학과, 가정의학과","","","","0","0","","","0","","시도",
"73","병원","01_01_01_P","4201000","PHMA220074200028021200008","2007-09-19","","01","영업/정상","13","영업중","","","","","655-1133","","210-360","강원특별자치도 강릉시 난곡동 401번지 1호","강원특별자치도 강릉시 동해대로3304번길 11 (난곡동)","25463","강릉율곡병원","2023-05-25 11:31:48","I","2023-07-14 00:18:59","정신병원","365015.835526513","477663.227422463","정신병원","23","25","124","2478","103","정신건강의학과","","","","0","0","","","0","","시군구",
"74","병원","01_01_01_P","4201000","PHMA219944200028021200004","1994-05-20","","01","영업/정상","13","영업중","","","","","02-1688-9165","684","210-801","강원특별자치도 강릉시 주문진읍 교항리 320번지","강원특별자치도 강릉시 주문진읍 동해대로 4371-34","25422","국군강릉병원","2025-05-30 09:45:28","U","2025-06-01 02:40:00","병원","361039.91656288","486701.720836213","병원","51","17","97","684","407 406 403 402 125 122 120 116 115 114 113 112 108 106 105 103 101","내과, 정신건강의학과, 정형외과, 신경외과, 성형외과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과, 응급의학과, 구강악안면외과, 치과보철과, 치주과, 치과보존과","","","","0","0","","","0","","시군구",
"75","병원","01_01_01_P","4201000","PHMA219834200028021200003","1983-07-01","","01","영업/정상","13","영업중","","","","","033610-1200","9231.26","","","강원특별자치도 강릉시 경강로 2007-0 (남문동,강릉의료원)","25535","강원특별자치도강릉의료원","2025-07-22 17:33:31","U","2025-07-24 02:40:00","종합병원","366422.253758707","473561.999489545","종합병원","120","38","155","9231.26","","","","","","0","0","","","0","","시도",
"76","병원","01_01_01_P","4201000","PHMA219834200028021200002","1983-06-18","","01","영업/정상","13","영업중","","","","","033-650-6113","","210-940","강원특별자치도 강릉시 포남2동 1065번지 2호","강원특별자치도 강릉시 강릉대로419번길 42 (포남동)","25478","의료법인 강릉동인병원","2022-12-28 09:15:05","I","2023-06-13 00:00:00","종합병원","367961.096222131","476356.517469862","종합병원","206","121","444","24582","403 402 125 122 120 119 118 116 115 114 113 112 111 110 109 108 107 106 105 104 103 102 101","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과, 구강악안면외과, 치과보철과","","","","0","0","","","0","","시군구",
"77","병원","01_01_01_P","4201000","PHMA219944200028021200007","2007-10-04","","01","영업/정상","13","영업중","","","","","033-645-1400","2634.03","210-933","강원특별자치도 강릉시 옥천동 317번지","강원특별자치도 강릉시 옥가로 70 (옥천동)","25552","강릉연세요양병원","2023-09-07 11:55:52","U","2023-09-09 02:40:00","요양병원(일반요양병원)","367435.941335847","475012.538996757","요양병원(일반요양병원)","15","19","99","2634.03","115 110 104","외과, 산부인과, 비뇨의학과","","","","0","0","","","0","","시도",
"78","병원","01_01_01_P","4201000","PHMA219914200028021200005","1991-08-13","","01","영업/정상","13","영업중","","","","","033-642-1988","6814.44","210-933","강원특별자치도 강릉시 옥천동 286번지 1호","강원특별자치도 강릉시 옥가로 30 (옥천동)","25552","의산의료재단 강릉고려병원","2025-04-16 14:34:44","U","2025-04-18 02:40:00","종합병원","367353.30143391","474667.786305989","종합병원","57","42","120","6814.44","118 116 110 109 106 105 104 101","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 영상의학과, 병리과","","","","0","0","","","0","","시도",
"79","병원","01_01_01_P","4201000","PHMA219964200028021200008","1996-07-30","","01","영업/정상","13","영업중","","","","","033-610-3114","99390","210-852","강원특별자치도 강릉시 사천면 방동리 415번지","강원특별자치도 강릉시 사천면 방동길 38","25440","강릉아산병원","2025-07-31 11:15:12","U","2025-08-02 02:40:00","종합병원","363580.205089049","481138.750877628","종합병원","959","225","692","99390","403 402 125 123 122 120 119 118 117 116 115 114 113 112 111 110 109 108 107 106 105 104 103 102 101","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과, 치과보철과","","","","0","0","","","0","","시도",
"80","병원","01_01_01_P","4201000","PHMA220154200028021200002","2015-09-08","","04","취소/말소/만료/정지/중지","24","직권폐업","2022-10-13","","","","033-648-0990","","","","강원특별자치도 강릉시 사천면 안현로 85-39","25441","청강요양병원","2022-10-13 16:05:50","I","2023-06-13 00:00:00","요양병원(일반요양병원)","364453.539833439","479746.627374284","요양병원(일반요양병원)","10","14","96","2291.26","401 122 104 101","내과, 외과, 가정의학과, 치과","","","","0","0","","","0","","시군구",
"81","병원","01_01_01_P","4211000","PHMA220064210020021200001","2006-03-14","","02","휴업","02","휴업","","2025-02-01","2025-12-31","","033533-8275","2520.39","","","강원특별자치도 동해시 중앙로 210-  (천곡동,210)","00000","한마음병원","2025-02-20 17:21:24","U","2025-02-22 02:40:00","병원","386995.199984986","448481.419892167","병원","26","23","109","2520.39","116 109 106 105 101","내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과","","","","0","0","","","0","","시도",
"82","병원","01_01_01_P","4211000","PHMA220034210020021200001","2003-02-05","","03","폐업","03","폐업","2012-09-28","","","","033-530-3300","","240-812","강원특별자치도 동해시 천곡동 884","강원특별자치도 동해시 중앙로 218 (천곡동)","240-812","의료법인해람의료재단해람병원","2017-06-02 16:16:45","I","2023-06-13 00:00:00","병원","386974.192783286","448557.45116627","병원","26","28","168","4998.67","101 104 105 111 116 118 115 109","내과, 외과, 정형외과, 마취통증의학과, 소아청소년과, 비뇨의학과, 영상의학과, 병리과","","","","0","0","","","0","","시군구",
"83","병원","01_01_01_P","4211000","PHMA220064210020021200002","2006-10-13","","01","영업/정상","13","영업중","","","","","033533-7741","2603.87","","","강원특별자치도 동해시 덕골길 76-40 (천곡동, (천곡동))","25750","동해이레요양병원","2025-04-18 09:31:53","U","2025-04-20 02:40:00","요양병원(일반요양병원)","385324.062341138","448253.714969029","요양병원(일반요양병원)","19","29","150","2603.87","","","","","","0","0","","","0","","시도",
"84","병원","01_01_01_P","4211000","PHMA220154210020021200001","2015-12-24","","01","영업/정상","13","영업중","","","","","033531-2500","6534.43","","","강원특별자치도 동해시 중앙로 218-  (천곡동,218)","00000","동해요양병원","2025-06-18 17:06:45","U","2025-06-21 02:40:00","요양병원(일반요양병원)","386974.192783286","448557.45116627","요양병원(일반요양병원)","35","41","269","6534.43","406 301 120 110 108 102 101","내과, 신경과, 성형외과, 산부인과, 재활의학과, 한방내과, 치주과","","","","0","0","","","0","","시도",
"85","병원","01_01_01_P","4211000","PHMA220084210020021200001","2008-06-01","","01","영업/정상","13","영업중","","","","","033-520-7200","","240-160","강원특별자치도 동해시 효가동 363-8","강원특별자치도 동해시 동해대로 5143 (효가동)","25801","동해금강요양병원","2021-12-31 11:24:20","I","2023-06-13 00:00:00","요양병원(일반요양병원)","386195.709266966","446636.179304561","요양병원(일반요양병원)","13","23","92","4731.39","106","신경외과","","","","0","0","","","0","","시군구",
"86","병원","01_01_01_P","4211000","PHMA219834210020021200001","1983-01-25","","01","영업/정상","13","영업중","","","","","033530-3100","17470.16","","","강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))","00000","근로복지공단 동해병원","2025-03-28 10:39:04","U","2025-03-30 02:40:00","종합병원","386254.528257327","449765.816314041","종합병원","187","68","234","17470.16","","","","","","0","0","","","0","","시도",
"87","병원","01_01_01_P","4221000","PHMA219774220024021200001","1977-05-01","","01","영업/정상","13","영업중","","","","","033-580-3114","","235-100","강원특별자치도 태백시 장성동 195","강원특별자치도 태백시 보드미길 8 (장성동)","26052","근로복지공단 태백병원","2023-07-19 13:58:24","U","2023-07-22 02:40:00","종합병원","378094.499102264","402124.576851536","종합병원","182","76","247","2524.03","403 125 124 120 119 116 113 111 110 109 106 105 104 103 101","내과, 정신건강의학과, 외과, 정형외과, 신경외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 영상의학과, 진단검사의학과, 재활의학과, 직업환경의학과, 응급의학과, 치과보철과","","","","0","0","","","0","","시군구",
"88","병원","01_01_01_P","4221000","PHMA220244221026021200001","2024-01-31","","01","영업/정상","13","영업중","","","","","033-580-3700","948.7","","","강원특별자치도 태백시 보드미길 8, 4층 (장성동)","26052","근로복지공단 태백요양병원","2024-04-04 11:42:46","U","2024-04-06 02:40:00","요양병원(일반요양병원)","378094.499102264","402124.576851536","요양병원(일반요양병원)","13","11","55","948.7","122 110","산부인과, 가정의학과","","","","0","0","","","0","","시군구",
"89","병원","01_01_01_P","4231000","PHMA220034230018021200002","2003-02-12","","03","폐업","03","폐업","2013-09-02","","","","033-631-6300","","217-060","강원특별자치도 속초시 교동 670-6","강원특별자치도 속초시 중앙로 10 (교동)","217-803","속초영동병원","2013-09-02 10:54:12","I","2023-06-13 00:00:00","병원","338248.028221689","522808.901930154","병원","2","21","70","0","106 105 116","정형외과, 신경외과, 영상의학과","","","","0","0","","","0","","시군구",
"90","병원","01_01_01_P","4231000","PHMA220074230018021200001","2007-12-31","","03","폐업","03","폐업","2017-04-01","","","","033-636-5800","","217-010","강원특별자치도 속초시 영랑동 112-5","강원특별자치도 속초시 중앙로 271 (영랑동)","24823","속초요양병원","2017-04-04 18:56:09","I","2023-06-13 00:00:00","요양병원(일반요양병원)","339697.261256075","524610.705210548","요양병원(일반요양병원)","5","24","79","2542.78","122","가정의학과","","","","0","0","","","0","","시군구",
"91","병원","01_01_01_P","4231000","PHMA220104230018021200001","2010-04-05","","01","영업/정상","13","영업중","","","","","033-639-8500","14915","217-060","강원특별자치도 속초시 교동 669-1","강원특별자치도 속초시 중앙로 11 (교동)","24853","의료법인보광의료재단속초보광병원","2024-04-24 17:03:27","U","2024-04-26 02:40:00","종합병원","338197.766804118","522865.442373193","종합병원","67","90","299","14915","125 119 118 116 113 111 110 109 105 104 103 102 101","내과, 신경과, 정신건강의학과, 외과, 정형외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 영상의학과, 병리과, 진단검사의학과, 응급의학과","","","","0","0","","","0","","시도",
"92","병원","01_01_01_P","4231000","PHMA219874230018021200001","1987-07-01","","01","영업/정상","13","영업중","","","","","033-630-6000","13723.78","217-010","강원특별자치도 속초시 영랑동 591-10","강원특별자치도 속초시 영랑호반길 3 (영랑동)","24821","강원특별자치도속초의료원","2024-11-18 16:39:52","U","2024-11-20 02:40:00","종합병원","339079.48882574","524917.714740154","종합병원","85","48","152","13723.78","407 406 402 125 122 120 119 116 115 113 111 110 109 108 106 105 104 103 102 101","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 비뇨의학과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과, 구강악안면외과, 치주과, 치과보존과","","","","0","0","","","0","","시군구",
"93","병원","01_01_01_P","4231000","PHMA220154230018021200001","1900-01-01","","01","영업/정상","13","영업중","","","","","033-637-0757","","","강원특별자치도 속초시 조양동 1013번지 1호","강원특별자치도 속초시 동해대로 4084 (조양동)","24873","속초정요양병원","2024-11-18 16:12:13","U","2024-11-20 02:40:00","요양병원(일반요양병원)","339041.649440252","521964.949634866","요양병원(일반요양병원)","25","26","129","0","107 104 101","내과, 외과, 심장혈관흉부외과","","","","0","0","","","0","","시도",
"94","병원","01_01_01_P","4231000","PHMA220154230018021200002","1900-01-01","","01","영업/정상","13","영업중","","","","","1877-7007","810","","","강원특별자치도 속초시 동해대로 4236, 8층 (교동, 아남프라자)","24853","위덴치과병원","2024-03-05 17:32:55","U","2024-03-07 02:40:00","치과병원","338132.520338395","522766.508207672","치과병원","2","0","0","810","412 411","예방치과, 통합치의학과","","","","0","0","","","0","","시도",
"95","병원","01_01_01_P","4231000","PHMA220184230018021200001","2018-02-20","","01","영업/정상","13","영업중","","","","","033-638-0060","3489.96","","","강원특별자치도 속초시 온천로 291-0 (교동)","24858","속초우리요양병원","2024-09-13 16:19:20","U","2024-09-15 02:40:00","요양병원(일반요양병원)","337836.052479028","522299.520965202","요양병원(일반요양병원)","16","30","151","3489.96","301 109 106","신경외과, 마취통증의학과, 한방내과","","","","0","0","","","0","","시도",
"96","병원","01_01_01_P","4241000","PHMA220094240025021200001","2009-10-08","","01","영업/정상","13","영업중","","","","","033-554-4715","1553.18","245-903","강원특별자치도 삼척시 도계읍 심포리 197번지 4호","강원특별자치도 삼척시 도계읍 강원남부로 632","25952","도경요양병원","2024-07-18 11:10:06","U","2024-07-20 02:40:00","요양병원(일반요양병원)","380699.249407184","410600.748231267","요양병원(일반요양병원)","6","17","80","1553.18","301 106 105 104 101","내과, 외과, 정형외과, 신경외과, 한방내과","","","","0","0","","","0","","시도",
"97","병원","01_01_01_P","4241000","PHMA219834240025021200001","1983-07-01","","01","영업/정상","13","영업중","","","","","033-572-1141","9428.32","245-936","강원특별자치도 삼척시 남양동 55-9","강원특별자치도 삼척시 오십천로 418 (남양동)","25920","강원특별자치도삼척의료원","2023-10-30 17:07:27","U","2023-11-01 02:40:00","종합병원","391434.820290382","439773.856200338","종합병원","81","40","148","9428.32","401 125 120 119 116 111 110 109 105 104 102 101","내과, 신경과, 외과, 정형외과, 마취통증의학과, 산부인과, 소아청소년과, 영상의학과, 진단검사의학과, 재활의학과, 응급의학과, 치과","","","","0","0","","","0","","시군구",
"98","병원","01_01_01_P","4241000","PHMA220004240025021200002","2000-04-03","","01","영업/정상","13","영업중","","","","","033-574-9114","3667.84","","강원특별자치도 삼척시 정상동 385-3 선한이웃병원","강원특별자치도 삼척시 오십천로 506, 선한이웃병원 (정상동)","25928","선한이웃병원","2024-10-29 16:44:34","U","2024-10-31 02:40:00","병원","392228.467832434","439395.210180362","병원","21","32","102","3667.84","116 109 106 105 104 101","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 영상의학과","","","","0","0","","","0","","시군구",
"99","병원","01_01_01_P","4251000","PHMA220094250013021200001","2008-09-09","","02","휴업","02","휴업","","2025-02-28","2025-12-31","","033-430-9999","1769.17","","강원특별자치도 홍천군 홍천읍 희망리 376-33","강원특별자치도 홍천군 홍천읍 홍천로 342-10","25139","아름다운병원","2025-02-26 19:01:42","U","2025-03-01 02:40:00","병원","277834.571474723","465448.840549748","병원","6","15","30","1769.17","122 109","마취통증의학과, 가정의학과","","","","0","0","","","0","","시도",
"100","병원","01_01_01_P","4251000","PHMA220104250013021200001","2010-07-28","","02","휴업","02","휴업","","2024-11-24","2025-11-23","","033-436-2119","864","250-824","강원특별자치도 홍천군 두촌면 역내리 127번지","강원특별자치도 홍천군 두촌면 설악로 3871-4","250-824","홍천요양병원","2024-11-21 09:58:20","U","2024-11-23 02:40:00","요양병원(일반요양병원)","289442.677257112","482557.05236071","요양병원(일반요양병원)","2","6","48","864","101 104 106 105 122","내과, 외과, 정형외과, 신경외과, 가정의학과","","","","0","0","","","0","","시도",
"101","병원","01_01_01_P","4251000","PHMA220124250013021200001","2012-11-01","","03","폐업","03","폐업","2013-01-01","","","","033-433-9933","","250-911","강원특별자치도 홍천군 홍천읍 희망11리 385번지 1호 키즈메디빌딩","강원특별자치도 홍천군 홍천읍 홍천로 326","250-911","키즈메디병원","2013-01-02 11:40:12","I","2023-06-13 00:00:00","병원","277696.825370213","465447.362375227","병원","10","0","35","1322.18","101 104 105 111 114 113","내과, 외과, 정형외과, 소아청소년과, 이비인후과, 피부과","","","","0","0","","","0","","시군구",
"102","병원","01_01_01_P","4251000","PHMA220044250013021200001","2004-03-23","","01","영업/정상","13","영업중","","","","","033-262-5002","2375.85","250-881","강원특별자치도 홍천군 북방면 본궁리 94","강원특별자치도 홍천군 북방면 팔봉산로 2420-58","25111","의료법인 연호요양병원","2024-10-28 16:42:11","U","2024-10-30 02:40:00","요양병원(일반요양병원)","271723.032524382","470277.602750368","요양병원(일반요양병원)","25","43","164","2375.85","122 101 301","내과, 가정의학과, 한방내과","","","","0","0","","","0","","시도",
"103","병원","01_01_01_P","4251000","PHMA219944250013021200001","1994-05-17","","01","영업/정상","13","영업중","","","","","033-435-0473","9958.35","","강원특별자치도 홍천군 두촌면 철정리 806-1 국군홍천병원","강원특별자치도 홍천군 두촌면 아홉사리로 53, 국군홍천병원","25164","국군홍천병원","2024-05-22 13:30:09","U","2024-05-24 02:40:00","병원","287765.119715851","478468.569046208","병원","68","26","84","9958.35","407 406 403 402 125 122 116 115 114 113 112 110 106 105 104 103 101","내과, 정신건강의학과, 외과, 정형외과, 신경외과, 산부인과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 가정의학과, 응급의학과, 구강악안면외과, 치과보철과, 치주과, 치과보존과","","","","0","0","","","0","","시군구",
"104","병원","01_01_01_P","4251000","PHMA219894250013021200001","1989-12-01","","01","영업/정상","13","영업중","","","","","033-430-5211","6371.08","250-801","강원특별자치도 홍천군 홍천읍 갈마곡리 466-1","강원특별자치도 홍천군 홍천읍 산림공원1길 17","25131","홍천아산병원","2024-04-18 14:52:50","U","2024-04-20 02:40:00","종합병원","278852.231568625","465755.841290153","종합병원","78","37","135","6371.08","119 116 111 109 106 105 104 101","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 영상의학과, 진단검사의학과","","","","0","0","","","0","","시도",
