"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조기수","다중이용업소여부",
"561","세탁업","06_20_01_P","4261000","4261000-205-2001-00001","2001-08-03","","01","영업/정상","01","영업","","","","","033 3452004","40.00","","강원특별자치도 횡성군 횡성읍 읍하리 507-15","강원특별자치도 횡성군 횡성읍 읍하로25번길 4","25219","횡성세탁전문점","2009-08-31 10:24:56","I","2023-06-13 00:00:00","일반세탁업","287112.062979472","444051.859960528","일반세탁업","3","0","0","0","0","0","","","","","0","0","0","0","N",
"562","세탁업","06_20_01_P","4261000","4261000-205-1987-00009","1987-05-14","","01","영업/정상","01","영업","","","","","033 3432768","0.00","","강원특별자치도 횡성군 횡성읍 읍하리 110-1","강원특별자치도 횡성군 횡성읍 문정로19번길 5","25233","백양컴퓨터세탁","2012-02-17 14:53:07","I","2023-06-13 00:00:00","일반세탁업","287154.511478505","443546.961670369","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"563","세탁업","06_20_01_P","4261000","4261000-205-1988-00001","1988-03-03","","01","영업/정상","01","영업","","","","","033 3422454","0.00","","강원특별자치도 횡성군 둔내면 둔방내리 84-3","강원특별자치도 횡성군 둔내면 둔내로 36-1","25265","둔내제일세탁소","2012-02-17 14:55:40","I","2023-06-13 00:00:00","일반세탁업","307331.563293734","446285.18754411","일반세탁업","1","0","0","1","0","0","","","","","0","0","0","0","N",
"564","세탁업","06_20_01_P","4261000","4261000-205-1987-00005","1987-05-14","","01","영업/정상","01","영업","","","","","033 3421122","0.00","","강원특별자치도 횡성군 횡성읍 읍하리 311","강원특별자치도 횡성군 횡성읍 태기로 2","25233","대왕컴퓨터 세탁","2022-04-11 15:24:19","I","2023-06-13 00:00:00","일반세탁업","286938.007244705","443640.173947657","일반세탁업","1","0","0","0","0","0","","","","","0","0","0","0","N",
"565","세탁업","06_20_01_P","4261000","4261000-205-1987-00006","1987-05-14","","01","영업/정상","01","영업","","","","","033 3434633","0.00","","강원특별자치도 횡성군 횡성읍 읍상리 385-8","강원특별자치도 횡성군 횡성읍 읍상서로 20","25232","로타리세탁소","2013-01-07 11:41:17","I","2023-06-13 00:00:00","일반세탁업","287302.23957883","443632.039904313","일반세탁업","1","0","1","0","0","0","","","","","0","0","0","0","N",
"566","세탁업","06_20_01_P","4261000","4261000-205-1987-00007","1987-05-14","","01","영업/정상","01","영업","","","","","033 3430018","0.00","","강원특별자치도 횡성군 횡성읍 읍상리 290-1","강원특별자치도 횡성군 횡성읍 문정로19번길 11","25232","단골세탁소","2012-02-22 15:03:49","I","2023-06-13 00:00:00","일반세탁업","287222.575138574","443559.365569657","일반세탁업","1","0","0","0","0","0","","","","","0","0","0","0","N",
"567","세탁업","06_20_01_P","4261000","4261000-205-1987-00008","1987-05-14","","01","영업/정상","01","영업","","","","","033 3434128","0.00","","강원특별자치도 횡성군 횡성읍 읍상리 295-20","강원특별자치도 횡성군 횡성읍 문정로19번길 21-1","25232","락원세탁소","2013-12-18 16:55:59","I","2023-06-13 00:00:00","일반세탁업","287330.733746715","443548.698416703","일반세탁업","1","0","0","0","0","0","","","","","1","0","0","0","N",
"568","세탁업","06_20_01_P","4261000","4261000-205-2008-00001","2008-06-19","","01","영업/정상","01","영업","","","","","033 344 0360","840.00","","강원특별자치도 횡성군 우천면 오원리 527-2","강원특별자치도 횡성군 우천면 전재로 274","25250","(주)신진크린산업","2022-04-11 15:30:14","I","2023-06-13 00:00:00","일반세탁업","297129.94118687","437679.48873447","일반세탁업","2","0","1","0","0","0","","","","임대","4","0","0","0","N",
"569","세탁업","06_20_01_P","4261000","4261000-205-2018-00002","2018-12-10","","01","영업/정상","01","영업","","","","","","60.00","","강원특별자치도 횡성군 횡성읍 교항리 112-1","강원특별자치도 횡성군 횡성읍 교항북로 11","25234","날아라 세탁맨","2018-12-10 10:35:02","I","2023-06-13 00:00:00","세탁업 기타","286850.302316668","443126.416959606","세탁업 기타","1","0","0","0","0","0","","","","","1","0","1","1","N",
"570","세탁업","06_20_01_P","4261000","4261000-205-1998-00003","1998-06-03","","01","영업/정상","01","영업","","","","","033 3447789","18.09","","강원특별자치도 횡성군 횡성읍 읍하리 518","강원특별자치도 횡성군 횡성읍 읍하남로13번길 15","25222","대동세탁소","2019-09-09 09:42:35","I","2023-06-13 00:00:00","일반세탁업","287218.441697879","443977.078347598","일반세탁업","1","0","0","0","0","0","","","","","0","0","0","0","N",
"571","세탁업","06_20_01_P","4261000","4261000-205-2021-00001","2021-06-21","","01","영업/정상","01","영업","","","","","033 345 8830","39.00","","강원특별자치도 횡성군 둔내면 자포곡리 410-2","강원특별자치도 횡성군 둔내면 둔내로 62, 1층","25264","둔내세탁소","2021-06-21 15:15:26","I","2023-06-13 00:00:00","일반세탁업","307543.806837405","446199.062366244","일반세탁업","0","0","0","0","0","0","","","","","2","0","0","1","N",
"572","세탁업","06_20_01_P","4261000","4261000-205-2025-00001","2025-08-13","","01","영업/정상","01","영업","","","","","033 342 2511","120.40","","강원특별자치도 횡성군 둔내면 자포곡리 386-8 동산아파트","강원특별자치도 횡성군 둔내면 둔내로47번길 38-1, 동산아파트 1층","25264","횡성클린케어","2025-08-13 13:54:14","I","2025-08-15 00:20:12","일반세탁업","307545.494388173","446581.331302304","일반세탁업","0","0","1","1","0","0","","","","임대","2","4","0","0","Y",
"573","세탁업","06_20_01_P","4261000","4261000-205-2023-00002","2023-12-07","","01","영업/정상","01","영업","","","","","","41.10","","강원특별자치도 횡성군 횡성읍 읍상리 641-8","강원특별자치도 횡성군 횡성읍 읍마로 6, 1층","25227","전광수세탁숍 횡성점","2025-03-21 13:32:34","U","2025-03-23 02:40:00","일반세탁업","287729.948157705","443364.364197185","일반세탁업","0","0","0","0","0","0","","","","","1","0","0","1","N",
"574","세탁업","06_20_01_P","4261000","4261000-205-2023-00001","2023-10-24","","01","영업/정상","01","영업","","","","","033345 7134","148.33","","강원특별자치도 횡성군 둔내면 두원리 951","강원특별자치도 횡성군 둔내면 고원로 212","25263","더블케어","2023-10-24 14:03:02","I","2023-10-26 00:17:30","일반세탁업","308392.458287428","445976.110036208","일반세탁업","1","0","0","0","0","0","","","","","3","0","0","0","N",
"575","세탁업","06_20_01_P","4271000","4271000-205-1991-00001","1991-05-04","","01","영업/정상","01","영업","","","","","033 3738202","0.00","","강원특별자치도 영월군 영월읍 영흥리 959-37 2통","강원특별자치도 영월군 영월읍 단종로33번길 13","26233","까치컴퓨터세탁소","2020-10-22 16:48:18","I","2023-06-13 00:00:00","일반세탁업","330215.69258852","410291.915299587","일반세탁업","3","0","1","1","0","0","","","","","1","0","0","0","N",
"576","세탁업","06_20_01_P","4271000","4271000-205-1997-00004","1997-10-10","","01","영업/정상","01","영업","","","","","0333743 537","66.00","","강원특별자치도 영월군 영월읍 영흥리 1000-10","강원특별자치도 영월군 영월읍 영모전길 57","26227","유성세탁소","2020-10-22 16:46:01","I","2023-06-13 00:00:00","일반세탁업","330534.206417142","410370.239091908","일반세탁업","2","0","1","1","0","0","","","","","1","0","0","1","N",
"577","세탁업","06_20_01_P","4271000","4271000-205-1995-00003","1995-04-10","","01","영업/정상","01","영업","","","","","033 3742942","0.00","","강원특별자치도 영월군 영월읍 영흥리 993-5 5통","강원특별자치도 영월군 영월읍 영모전길 29","26232","뚝심세탁소","2020-10-22 16:45:29","I","2023-06-13 00:00:00","일반세탁업","330554.625223767","410224.61491021","일반세탁업","1","0","1","1","0","0","","","","","1","0","0","1","N",
"578","세탁업","06_20_01_P","4271000","4271000-205-2006-00001","2006-01-23","","01","영업/정상","01","영업","","","","","033 3743388","9.84","","강원특별자치도 영월군 영월읍 하송리 394-1 주공4차 아파트 상가2호","강원특별자치도 영월군 영월읍 하송로 123-7","26238","남양세탁소","2020-10-22 16:43:01","I","2023-06-13 00:00:00","일반세탁업","329514.384906881","409460.467262251","일반세탁업","1","0","1","0","0","0","","","","","1","0","0","0","N",
"579","세탁업","06_20_01_P","4271000","4271000-205-2006-00002","2006-11-24","","01","영업/정상","01","영업","","","","","033  3735500","44.05","","강원특별자치도 영월군 영월읍 영흥리 938-3","강원특별자치도 영월군 영월읍 중앙로 64","26236","모드세탁소","2020-10-22 16:35:01","I","2023-06-13 00:00:00","일반세탁업","330537.596631022","410066.765179939","일반세탁업","3","0","1","1","0","0","","","","자가","1","0","0","0","N",
"580","세탁업","06_20_01_P","4271000","4271000-205-2002-00001","2002-04-25","","01","영업/정상","01","영업","","","","","033 373 0345","39.00","","강원특별자치도 영월군 영월읍 영흥리 844-1","강원특별자치도 영월군 영월읍 중앙로 71-1","26232","대성세탁소","2022-07-12 15:30:31","I","2023-06-13 00:00:00","일반세탁업","330622.226578829","410103.025341185","일반세탁업","1","0","1","1","0","0","","","","","1","0","0","1","N",
"581","세탁업","06_20_01_P","4271000","4271000-205-2014-00001","2014-01-08","","01","영업/정상","01","영업","","","","","033 374 1501","33.00","","강원특별자치도 영월군 영월읍 영흥리 948-8","강원특별자치도 영월군 영월읍 단종로9번길 9","26233","토탈빨래방","2020-10-22 16:47:03","I","2023-06-13 00:00:00","빨래방업","330260.045327726","410150.588228954","빨래방업","5","1","1","1","0","0","","","","임대","2","0","0","1","N",
"582","세탁업","06_20_01_P","4271000","4271000-205-1987-00002","1987-06-10","","01","영업/정상","01","영업","","","","","033 3725028","0.00","","강원특별자치도 영월군 한반도면 쌍용리 607","강원특별자치도 영월군 한반도면 쌍용로 63-1","26214","아폴로세탁소","2020-10-22 16:50:19","I","2023-06-13 00:00:00","일반세탁업","317144.36990086","409624.927205053","일반세탁업","1","0","1","1","0","0","","","","","1","0","0","1","N",
"583","세탁업","06_20_01_P","4271000","4271000-205-2001-00003","2001-01-04","","01","영업/정상","01","영업","","","","","033 3741223","0.00","","강원특별자치도 영월군 영월읍 하송리 245-4","강원특별자치도 영월군 영월읍 하송로 39","26234","그린세탁소","2020-10-22 16:42:31","I","2023-06-13 00:00:00","일반세탁업","329929.438710032","410150.269846684","일반세탁업","2","0","1","1","0","0","","","","","1","0","0","0","N",
"584","세탁업","06_20_01_P","4271000","4271000-205-2001-00002","2001-04-09","","01","영업/정상","01","영업","","","","","033 3746171","59.50","","강원특별자치도 영월군 영월읍 덕포리 574-206","강원특별자치도 영월군 영월읍 중앙로 130-2","26229","제일세탁소","2020-10-22 16:44:49","I","2023-06-13 00:00:00","일반세탁업","331066.046527287","409762.558126167","일반세탁업","2","0","1","1","0","0","","","","","1","0","0","1","N",
"585","세탁업","06_20_01_P","4271000","4271000-205-2000-00001","2000-08-22","","01","영업/정상","01","영업","","","","","033 3735722","0.00","","강원특별자치도 영월군 영월읍 하송리 3 차 상가동 104호","강원특별자치도 영월군 영월읍 하송로 123-4","26238","골드세탁소","2020-10-22 16:43:33","I","2023-06-13 00:00:00","일반세탁업","329421.066118252","409410.449491767","일반세탁업","1","0","1","1","0","0","","","","","1","0","0","0","N",
"586","세탁업","06_20_01_P","4271000","4271000-205-1995-00001","1995-05-20","","01","영업/정상","01","영업","","","","","033 3744058","0.00","","강원특별자치도 영월군 영월읍 하송리 253-5","강원특별자치도 영월군 영월읍 중앙로 13","26234","중앙세탁소","2020-10-22 16:41:46","I","2023-06-13 00:00:00","일반세탁업","330024.125355396","410099.734324163","일반세탁업","2","0","1","1","0","0","","","","","1","0","0","1","N",
"587","세탁업","06_20_01_P","4271000","4271000-205-1987-00005","1987-05-20","","01","영업/정상","01","영업","","","","","033 3745448","0.00","","강원특별자치도 영월군 영월읍 하송리 253-6","강원특별자치도 영월군 영월읍 중앙1로 24","26236","터미널세탁소","2020-10-22 16:41:16","I","2023-06-13 00:00:00","일반세탁업","330114.66723706","410051.337474057","일반세탁업","2","0","1","1","0","0","","","","","1","0","0","0","N",
"588","세탁업","06_20_01_P","4271000","4271000-205-1987-00007","1987-05-29","","01","영업/정상","01","영업","","","","","033 3732509","0.00","","강원특별자치도 영월군 영월읍 하송리 184-19 3통","강원특별자치도 영월군 영월읍 하송안길 25","26235","하송세탁소","2020-10-22 16:44:16","I","2023-06-13 00:00:00","일반세탁업","329970.086277183","409832.202176892","일반세탁업","2","0","1","1","0","0","","","","","1","0","0","0","N",
"589","세탁업","06_20_01_P","4271000","4271000-205-2018-00001","2018-01-26","","01","영업/정상","01","영업","","","","","","45.40","","강원특별자치도 영월군 영월읍 영흥리 931","강원특별자치도 영월군 영월읍 제방안길 16-1, 영월엘에이치천년나무 상가동 204호","26236","천년나무세탁소","2020-10-22 16:35:26","I","2023-06-13 00:00:00","일반세탁업","330619.89226979","409995.554412446","일반세탁업","2","0","0","0","0","0","","","","임대","3","0","0","1","N",
"590","세탁업","06_20_01_P","4271000","4271000-205-2024-00001","2024-07-04","","01","영업/정상","01","영업","","","","","","30.00","","강원특별자치도 영월군 영월읍 영흥리 936","강원특별자치도 영월군 영월읍 중앙로 68","26236","세광세탁","2024-07-04 15:52:19","I","2024-07-06 00:13:55","일반세탁업","330572.358210127","410060.509200329","일반세탁업","0","0","0","0","0","0","","","","","3","0","0","1","N",
"591","세탁업","06_20_01_P","4271000","4271000-205-2025-00001","2025-02-24","","01","영업/정상","01","영업","","","","","","99.00","","강원특별자치도 영월군 주천면 주천리 1271-2","강원특별자치도 영월군 주천면 주천로58번길 24, 1층","26203","주천세탁소","2025-02-24 14:15:42","I","2025-02-26 00:10:37","일반세탁업","312421.400517174","419345.946924158","일반세탁업","1","0","1","0","0","0","","","","","3","0","1","1","N",
"592","세탁업","06_20_01_P","4271000","4271000-205-2024-00002","2024-12-09","","01","영업/정상","01","영업","","","","","","165.00","","강원특별자치도 영월군 영월읍 하송리 산 55 세경대학","강원특별자치도 영월군 영월읍 하송로 197, 세경대학 기숙사동 1층","26239","주식회사 세광","2024-12-09 14:32:49","I","2024-12-11 00:12:11","일반세탁업","328995.295721148","409063.213320207","일반세탁업","10","0","1","0","0","0","","","","임대","2","0","0","4","N",
"593","세탁업","06_20_01_P","4281000","4281000-205-1994-00001","1994-06-29","","01","영업/정상","01","영업","","","","","3350132","15.60","","강원특별자치도 평창군 봉평면 창동리 382-4","강원특별자치도 평창군 봉평면 기풍5길 25","25304","우리세탁소","2023-05-10 14:07:30","I","2023-06-13 00:00:00","일반세탁업","321535.753243817","458029.234006067","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"594","세탁업","06_20_01_P","4281000","4281000-205-1995-00001","1995-03-18","","01","영업/정상","01","영업","","","","","3359249","15.91","","강원특별자치도 평창군 진부면 하진부리 206-24","강원특별자치도 평창군 진부면 진부중앙로 73","25325","부림세탁소","2016-05-13 11:37:51","I","2023-06-13 00:00:00","일반세탁업","337532.683911155","460652.962549263","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"595","세탁업","06_20_01_P","4281000","4281000-205-1995-00002","1995-04-24","","01","영업/정상","01","영업","","","","","3335114","25.90","","강원특별자치도 평창군 평창읍 하리 156-4","강원특별자치도 평창군 평창읍 백오로 104","25376","늘또와세탁소","2023-11-13 14:16:16","U","2023-11-15 02:40:00","일반세탁업","323572.301056068","430414.401557527","일반세탁업","1","2","1","1","0","0","","","","","1","1","0","0","N",
"596","세탁업","06_20_01_P","4281000","4281000-205-1995-00004","1995-10-30","","01","영업/정상","01","영업","","","","","332 5922","20.68","","강원특별자치도 평창군 평창읍 중리 263-1","강원특별자치도 평창군 평창읍 노람들길 12","25375","동양컴퓨터세탁소","2019-03-21 09:41:27","I","2023-06-13 00:00:00","일반세탁업","324113.898292381","430439.721054415","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"597","세탁업","06_20_01_P","4281000","4281000-205-1997-00002","1997-10-15","","01","영업/정상","01","영업","","","","","3322107","32.80","","강원특별자치도 평창군 평창읍 하리 137-60","강원특별자치도 평창군 평창읍 백오1길 33","25376","서울컴퓨터크리닝","2023-11-13 14:25:21","U","2023-11-15 02:40:00","일반세탁업","323416.731066439","430400.778056632","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"598","세탁업","06_20_01_P","4281000","4281000-205-1998-00004","1998-12-02","","01","영업/정상","01","영업","","","","","3352232","28.06","","강원특별자치도 평창군 진부면 하진부리 206-25","강원특별자치도 평창군 진부면 진부중앙로 71-1","25325","서울세탁소","2014-01-07 15:39:36","I","2023-06-13 00:00:00","일반세탁업","337524.928982411","460640.338990128","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"599","세탁업","06_20_01_P","4281000","4281000-205-2002-00001","2002-06-24","","01","영업/정상","01","영업","","","","","3357614","21.11","","강원특별자치도 평창군 진부면 하진부리 146-7","강원특별자치도 평창군 진부면 진부시장뒷길 20","25325","제일세탁소","2013-03-21 18:37:14","I","2023-06-13 00:00:00","일반세탁업","337377.253191403","460580.389819197","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"600","세탁업","06_20_01_P","4281000","4281000-205-1997-00001","1997-06-20","","01","영업/정상","01","영업","","","","","330 6291","730.92","","강원특별자치도 평창군 봉평면 면온리 849-1 외1필지","강원특별자치도 평창군 봉평면 태기로 174","25307","휘닉스 세탁장","2024-10-02 14:03:24","U","2024-10-04 02:40:00","일반세탁업","318187.716150901","452979.560315757","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"601","세탁업","06_20_01_P","4281000","4281000-205-2009-00001","2009-08-13","","01","영업/정상","01","영업","","","","","033 339 0000","146.82","","강원특별자치도 평창군 대관령면 용산리 195-1 지하1층 102동","강원특별자치도 평창군 대관령면 솔봉로 325, 102동 지하1층","25351","알펜시아타운세탁실","2023-07-11 16:59:38","U","2023-07-13 02:40:00","일반세탁업","347532.136650789","463016.896475131","일반세탁업","0","0","0","0","1","1","","","","자가","2","5","0","1","N",
"602","세탁업","06_20_01_P","4281000","4281000-205-2007-00001","2007-11-22","","01","영업/정상","01","영업","","","","","3348939","170.00","","강원특별자치도 평창군 용평면 장평리 317-13","강원특별자치도 평창군 용평면 새이들길 9","25316","청수크린테크","2019-03-06 11:13:40","I","2023-06-13 00:00:00","일반세탁업","324606.093591023","454360.768215158","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"603","세탁업","06_20_01_P","4281000","4281000-205-2010-00001","2010-01-27","","01","영업/정상","01","영업","","","","","033 335 8285","102.81","","강원특별자치도 평창군 봉평면 창동리 419","강원특별자치도 평창군 봉평면 허생원장터길 3","25304","로즈마리세탁소","2022-02-07 17:20:07","I","2023-06-13 00:00:00","일반세탁업","321552.714413012","457802.051493315","일반세탁업","3","0","1","0","0","0","","","","임대","1","0","1","0","N",
"604","세탁업","06_20_01_P","4281000","4281000-205-2003-00001","2003-05-29","","01","영업/정상","01","영업","","","","","3363007","162.00","","강원특별자치도 평창군 대관령면 횡계리 310-1","강원특별자치도 평창군 대관령면 대관령로 135-12","25343","(주)CTR","2016-05-13 11:39:08","I","2023-06-13 00:00:00","일반세탁업","350922.30605558","464788.244621469","일반세탁업","1","0","1","1","0","0","","","","자가","0","0","0","0","N",
"605","세탁업","06_20_01_P","4281000","4281000-205-1987-00010","1987-08-18","","01","영업/정상","01","영업","","","","","3354314","26.66","","강원특별자치도 평창군 대관령면 횡계리 321-22","강원특별자치도 평창군 대관령면 축제길 42","25346","백양세탁소","2017-11-17 11:40:44","I","2023-06-13 00:00:00","일반세탁업","350621.526878391","464670.514383854","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"606","세탁업","06_20_01_P","4281000","4281000-205-1987-00001","1987-08-18","","01","영업/정상","01","영업","","","","","3322399","18.27","","강원특별자치도 평창군 평창읍 하리 46","강원특별자치도 평창군 평창읍 노산성길 6","25376","바로세탁소","2025-06-09 15:59:35","U","2025-06-12 02:40:00","일반세탁업","323580.77322076","430364.465377964","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"607","세탁업","06_20_01_P","4281000","4281000-205-1987-00002","1987-08-18","","01","영업/정상","01","영업","","","","","3336506","15.96","","강원특별자치도 평창군 평창읍 하리 48-2","강원특별자치도 평창군 평창읍 천변길 7","","제일세탁소","2010-06-21 09:36:50","I","2023-06-13 00:00:00","일반세탁업","323580.234467281","430299.302773123","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"608","세탁업","06_20_01_P","4281000","4281000-205-1987-00003","1987-08-18","","01","영업/정상","01","영업","","","","","3330635","49.59","","강원특별자치도 평창군 미탄면 창리 701-1","강원특별자치도 평창군 미탄면 미탄중앙로 18","25382","한영세탁소","2020-02-26 10:01:30","I","2023-06-13 00:00:00","일반세탁업","332721.134264092","427634.495922136","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"609","세탁업","06_20_01_P","4281000","4281000-205-1987-00005","1987-08-18","","01","영업/정상","01","영업","","","","","3321751","16.03","","강원특별자치도 평창군 대화면 대화리 1001-156","강원특별자치도 평창군 대화면 대화2길 15-7","25358","신흥세탁소","2023-11-13 14:19:35","U","2023-11-15 02:40:00","일반세탁업","328507.235909083","445146.83750867","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"610","세탁업","06_20_01_P","4281000","4281000-205-1987-00006","1987-08-18","","01","영업/정상","01","영업","","","","","3360187","14.40","","강원특별자치도 평창군 봉평면 창동리 382-4","강원특별자치도 평창군 봉평면 기풍5길 25","25304","봉평세탁소","2021-12-22 17:52:14","I","2023-06-13 00:00:00","일반세탁업","321535.753243817","458029.234006067","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"611","세탁업","06_20_01_P","4281000","4281000-205-1987-00007","1987-08-18","","01","영업/정상","01","영업","","","","","3357966","29.98","","강원특별자치도 평창군 진부면 하진부리 124-3","강원특별자치도 평창군 진부면 진부중앙로 42-1","25332","진부컴퓨터세탁소","2012-11-27 16:40:32","I","2023-06-13 00:00:00","일반세탁업","337384.042632464","460372.040467376","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"612","세탁업","06_20_01_P","4281000","4281000-205-1987-00009","1987-08-18","","01","영업/정상","01","영업","","","","","3358350","15.60","","강원특별자치도 평창군 진부면 송정리 2511-1","강원특별자치도 평창군 진부면 송정택지1길 10","25331","백조세탁소","2021-12-22 18:01:48","I","2023-06-13 00:00:00","일반세탁업","337748.921804045","460451.100605758","일반세탁업","1","0","1","1","0","0","","","","","0","1","0","0","N",
"613","세탁업","06_20_01_P","4281000","4281000-205-1987-00011","1987-08-18","","01","영업/정상","01","영업","","","","","3359321","65.72","","강원특별자치도 평창군 대관령면 횡계리 325-33","강원특별자치도 평창군 대관령면 횡계2길 7-6","25344","횡계세탁소","2014-01-07 15:37:42","I","2023-06-13 00:00:00","일반세탁업","350684.441890833","464776.323765765","일반세탁업","2","0","1","0","0","0","","","","임대","0","1","1","0","N",
"614","세탁업","06_20_01_P","4281000","4281000-205-1987-00013","1987-09-16","","01","영업/정상","01","영업","","","","","3323498","17.20","","강원특별자치도 평창군 평창읍 하리 137-74","강원특별자치도 평창군 평창읍 송학로 24","25376","신형컴퓨터세탁소","2016-05-13 11:36:07","I","2023-06-13 00:00:00","일반세탁업","323322.891163452","430356.758936253","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"615","세탁업","06_20_01_P","4281000","4281000-205-1987-00014","1987-11-26","","01","영업/정상","01","영업","","","","","033 335 5757","434.00","","강원특별자치도 평창군 대관령면 용산리 130 용평리조트","강원특별자치도 평창군 대관령면 올림픽로 715, 드래곤밸리호텔","25352","용평세탁소","2025-09-08 09:03:25","U","2025-09-10 02:40:00","일반세탁업","348259.144297804","461699.273918606","일반세탁업","0","0","0","0","0","0","","","","자가","0","0","0","0","N",
"616","세탁업","06_20_01_P","4281000","4281000-205-1992-00001","1992-12-30","","01","영업/정상","01","영업","","","","","3342000","27.31","","강원특별자치도 평창군 용평면 장평리 342-7","강원특별자치도 평창군 용평면 경강로 1663","25315","미도세탁소","2021-12-22 17:57:56","I","2023-06-13 00:00:00","일반세탁업","324901.613560325","454748.878802229","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"617","세탁업","06_20_01_P","4291000","4291000-205-2003-00002","2003-02-25","","01","영업/정상","01","영업","","","","","033 5625519","27.81","","강원특별자치도 정선군 정선읍 봉양리 329-9","강원특별자치도 정선군 정선읍 정선로 1335-1","26131","강릉사","2014-01-21 15:24:51","I","2023-06-13 00:00:00","일반세탁업","347162.723873268","432138.35478849","일반세탁업","2","0","1","1","0","0","","","","임대","0","0","0","0","N",
"618","세탁업","06_20_01_P","4291000","4291000-205-1995-00001","1995-12-11","","01","영업/정상","01","영업","","","","","033 5623293","26.70","","강원특별자치도 정선군 정선읍 봉양리 339-13","강원특별자치도 정선군 정선읍 정선로 1353-1","26130","백조세탁소","2017-12-13 16:08:56","I","2023-06-13 00:00:00","일반세탁업","347338.166373756","432178.33105017","일반세탁업","1","0","1","1","0","0","","","","임대","0","0","0","0","N",
"619","세탁업","06_20_01_P","4291000","4291000-205-1987-00007","1987-05-09","","01","영업/정상","01","영업","","","","","","37.40","","강원특별자치도 정선군 고한읍 고한리 62-155","강원특별자치도 정선군 고한읍 고한6길 15-12","","백조세탁소","2018-05-24 14:50:46","I","2023-06-13 00:00:00","일반세탁업","364598.497764915","412573.225688959","일반세탁업","2","0","1","1","0","0","","","","자가","0","0","0","0","N",
"620","세탁업","06_20_01_P","4291000","4291000-205-1989-00001","1989-09-11","","01","영업/정상","01","영업","","","","","033 5910732","32.76","","강원특별자치도 정선군 사북읍 사북리 369-1","강원특별자치도 정선군 사북읍 사북3길 9","26153","은성세탁소","2016-09-20 14:37:32","I","2023-06-13 00:00:00","일반세탁업","361307.63986033","415496.529291536","일반세탁업","1","0","1","1","0","0","","","","자가","0","0","0","0","N",
"621","세탁업","06_20_01_P","4291000","4291000-205-1987-00010","1987-05-09","","01","영업/정상","01","영업","","","","","","15.13","","강원특별자치도 정선군 사북읍 사북리 317-30","강원특별자치도 정선군 사북읍 사북중앙로 71","26150","백운세탁소","2024-10-18 09:18:05","U","2024-10-20 02:40:00","일반세탁업","361679.2466726","415487.659082233","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"622","세탁업","06_20_01_P","4291000","4291000-205-1992-00002","1992-03-12","","01","영업/정상","01","영업","","","","","","0.00","","강원특별자치도 정선군 사북읍 사북리 305-2","강원특별자치도 정선군 사북읍 지장천로 705","26150","유림세탁소","2022-04-12 17:57:10","I","2023-06-13 00:00:00","일반세탁업","361945.016614656","415340.41160005","일반세탁업","1","0","0","0","0","0","","","","","0","0","0","0","N",
"623","세탁업","06_20_01_P","4291000","4291000-205-1998-00001","1998-09-19","","01","영업/정상","01","영업","","","","","033 5922934","15.89","","강원특별자치도 정선군 사북읍 사북리 365-7","강원특별자치도 정선군 사북읍 사북중앙로 6-1","26153","미모사","2013-12-17 11:17:14","I","2023-06-13 00:00:00","일반세탁업","361074.418074986","415402.849950737","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
