"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","욕실수","발한실여부","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"184","목욕장업","11_44_01_P","4271000","4271000-202-2016-00002","2016-09-07","","01","영업/정상","01","영업","","","","","033  3787878","976.00","","강원특별자치도 영월군 상동읍 천평리 230","강원특별자치도 영월군 상동읍 태백산로 3018","26248","해밀온욕센터","2021-09-01 13:17:48","I","2023-06-13 00:00:00","공동탕업+찜질시설서비스영업","360869.034038435","404555.839124223","공동탕업+찜질시설서비스영업","2","1","0","0","1","1","2","Y","","","","자가","0","0","Y",
"185","목욕장업","11_44_01_P","4271000","4271000-202-2016-00003","2016-10-05","","01","영업/정상","01","영업","","","","","033 373 1008","413.19","","강원특별자치도 영월군 한반도면 신천리 456-3","강원특별자치도 영월군 한반도면 서강로 756","26212","한반도면 주민체육센터 목욕탕","2024-04-01 11:50:49","U","2024-04-03 02:40:00","공동탕업+찜질시설서비스영업","317855.064532931","415604.356026868","공동탕업+찜질시설서비스영업","2","0","1","1","0","0","2","Y","","","","임대","0","0","N",
"186","목욕장업","11_44_01_P","4271000","4271000-202-2016-00001","2016-01-11","","01","영업/정상","01","영업","","","","","033 905 2016","703.00","","강원특별자치도 영월군 영월읍 삼옥리 122","강원특별자치도 영월군 영월읍 사지막길 160","26223","동강시스타 CC 클럽하우스","2025-09-02 16:06:07","U","2025-09-04 02:40:00","공동탕업+찜질시설서비스영업","334570.86808474","413921.888357073","공동탕업+찜질시설서비스영업","2","1","1","2","0","0","2","Y","","","","","0","0","N",
"187","목욕장업","11_44_01_P","4271000","4271000-202-2003-00001","2003-07-29","","01","영업/정상","01","영업","","","","","033 3734922","679.50","","강원특별자치도 영월군 영월읍 영흥리 947-8","강원특별자치도 영월군 영월읍 단종로 3-1","26233","동방프라자목욕탕","2020-05-18 17:38:13","I","2023-06-13 00:00:00","공동탕업","330275.262912151","410121.384123244","공동탕업","7","1","6","6","1","1","2","N","","","","자가","0","0","N",
"188","목욕장업","11_44_01_P","4271000","4271000-202-1978-00001","1978-02-09","","01","영업/정상","01","영업","","","","","033 3743440","675.29","","강원특별자치도 영월군 영월읍 영흥리 987-1","강원특별자치도 영월군 영월읍 영모전길 15-1","26232","퀸사우나","2020-05-11 11:05:19","I","2023-06-13 00:00:00","공동탕업","330544.257430767","410166.073327898","공동탕업","4","1","1","1","1","1","2","Y","","","","","0","0","N",
"189","목욕장업","11_44_01_P","4271000","4271000-202-1987-00001","1987-01-19","","01","영업/정상","01","영업","","","","","033 3725116","249.48","","강원특별자치도 영월군 한반도면 쌍용리 606-2 5통","강원특별자치도 영월군 한반도면 무동길 13","26214","쌍용새마을목욕탕","2020-08-06 15:16:57","I","2023-06-13 00:00:00","공동탕업","317199.535685841","409693.555707771","공동탕업","1","0","1","1","0","0","2","N","","","","","0","0","N",
"190","목욕장업","11_44_01_P","4281000","4281000-202-1984-00001","1984-11-30","","01","영업/정상","01","영업","","","","","033 335 5757","569.00","","강원특별자치도 평창군 대관령면 용산리 130 용평리조트","강원특별자치도 평창군 대관령면 올림픽로 715, 드래곤밸리호텔 1층","25352","용평사우나1","2025-09-08 09:01:54","U","2025-09-10 02:40:00","공동탕업","348259.144297804","461699.273918606","공동탕업","9","1","1","2","0","0","8","Y","","","","","0","0","N",
"191","목욕장업","11_44_01_P","4281000","4281000-202-2019-00001","2019-09-23","","01","영업/정상","01","영업","","","","","","71.00","","강원특별자치도 평창군 진부면 하진부리 153-4","강원특별자치도 평창군 진부면 청송로 86, 2층","25333","편백찜질방","2024-04-12 11:07:37","U","2024-04-14 02:40:00","찜질시설서비스영업","337257.246278067","460486.438206472","찜질시설서비스영업","2","0","2","2","0","0","0","Y","","","","","1","1","Y",
"192","목욕장업","11_44_01_P","4281000","4281000-202-2006-00001","2006-11-02","","01","영업/정상","01","영업","","","","","3337752","404.92","","강원특별자치도 평창군 대화면 대화리 984","강원특별자치도 평창군 대화면 남산1길 15","25358","웰빙사우나","2021-12-10 14:23:27","I","2023-06-13 00:00:00","목욕장업 기타","328747.715962286","445238.196635559","목욕장업 기타","1","1","0","0","0","0","0","N","","","","","0","0","N",
"193","목욕장업","11_44_01_P","4281000","4281000-202-1964-00001","1964-10-28","","01","영업/정상","01","영업","","","","","333 7900","387.04","","강원특별자치도 평창군 평창읍 하리 135-1","강원특별자치도 평창군 평창읍 백오1길 44","25376","평창목욕탕","2021-12-10 14:17:04","I","2023-06-13 00:00:00","공동탕업","323451.837376166","430496.730352471","공동탕업","0","0","0","0","0","0","0","N","","","","","0","0","N",
"194","목욕장업","11_44_01_P","4281000","4281000-202-1989-00003","1989-09-11","","01","영업/정상","01","영업","","","","","335 4088","256.81","","강원특별자치도 평창군 진부면 하진부리 147-14","강원특별자치도 평창군 진부면 진부새싹길 25-5","25325","서울목욕탕","2021-12-10 14:29:50","I","2023-06-13 00:00:00","공동탕업","337356.572926419","460596.71321668","공동탕업","3","0","1","1","0","0","5","Y","","","","","0","0","N",
"195","목욕장업","11_44_01_P","4281000","4281000-202-2000-00001","2000-01-12","","01","영업/정상","01","영업","","","","","333 8815","432.20","","강원특별자치도 평창군 미탄면 창리 614-1","강원특별자치도 평창군 미탄면 횟골길 19-20","25382","미탄목욕탕","2021-12-10 14:22:17","I","2023-06-13 00:00:00","공동탕업","332668.516741711","427814.853651647","공동탕업","0","0","0","0","0","0","0","N","","","","","0","0","N",
"196","목욕장업","11_44_01_P","4281000","4281000-202-2008-00002","2008-07-01","","01","영업/정상","01","영업","","","","","033 335 5757","2202.69","","강원특별자치도 평창군 대관령면 용산리 130 용평리조트","강원특별자치도 평창군 대관령면 올림픽로 715, 용평워터파크","25352","용평워터파크 사우나","2025-09-08 09:02:30","U","2025-09-10 02:40:00","공동탕업","348259.144297804","461699.273918606","공동탕업","4","1","2","2","0","0","10","Y","","","","자가","0","0","N",
"197","목욕장업","11_44_01_P","4281000","4281000-202-2008-00003","2008-07-01","","01","영업/정상","01","영업","","","","","033 335 5757","913.23","","강원특별자치도 평창군 대관령면 용산리 130 용평리조트","강원특별자치도 평창군 대관령면 올림픽로 715, 용평워터파크","25352","용평워터파크 찜질방","2025-09-08 09:02:57","U","2025-09-10 02:40:00","공동탕업+찜질시설서비스영업","348259.144297804","461699.273918606","공동탕업+찜질시설서비스영업","4","1","4","4","0","0","0","Y","","","","자가","0","0","Y",
"198","목욕장업","11_44_01_P","4281000","4281000-202-2008-00001","2008-06-12","","01","영업/정상","01","영업","","","","","330 6000","2094.60","","강원특별자치도 평창군 봉평면 면온리 1089-5 외 15필지","강원특별자치도 평창군 봉평면 태기로 174","25307","휘닉스 블루캐니언사우나","2024-10-02 14:08:01","U","2024-10-04 02:40:00","목욕장업 기타","317177.713905004","454046.509523181","목욕장업 기타","2","1","1","0","2","0","2","Y","","","","자가","0","0","N",
"199","목욕장업","11_44_01_P","4281000","4281000-202-1989-00002","1989-07-09","","01","영업/정상","01","영업","","","","","334 0030","141.70","","강원특별자치도 평창군 용평면 장평리 351-1 외 2필지(353,354)","강원특별자치도 평창군 용평면 금송길 15-7","25315","장평목욕탕","2022-11-14 16:23:13","I","2023-06-13 00:00:00","공동탕업","324751.423069327","454615.776751555","공동탕업","4","1","1","1","0","0","4","Y","","","","","0","0","N",
"200","목욕장업","11_44_01_P","4281000","4281000-202-2017-00001","2017-12-04","","01","영업/정상","01","영업","","","","","033 336 3322","270.00","","강원특별자치도 평창군 봉평면 창동리 396-39","강원특별자치도 평창군 봉평면 기풍3길 7","25304","봉평면문화복지센터","2024-01-18 10:46:08","U","2024-01-20 02:40:00","공동탕업","321342.953304685","457896.612717406","공동탕업","3","0","1","1","0","0","4","Y","","","","","0","0","N",
"201","목욕장업","11_44_01_P","4281000","4281000-202-1997-00002","1997-01-14","","01","영업/정상","01","영업","","","","","033 3305411","432.20","","강원특별자치도 평창군 진부면 간평리 221-1","강원특별자치도 평창군 진부면 진고개로 231","25322","켄싱턴평창사우나","2024-05-17 09:55:43","U","2024-05-19 02:40:00","공동탕업","340818.137507753","466311.107992923","공동탕업","0","0","0","0","1","1","6","Y","","","","","0","0","N",
"202","목욕장업","11_44_01_P","4281000","4281000-202-2018-00001","2018-12-05","","01","영업/정상","01","영업","","","","","033 330 5735","1521.80","","강원특별자치도 평창군 대관령면 횡계리 245-66","강원특별자치도 평창군 대관령면 오목길 107, 라마다호텔&스위트평창(지하3층)","25342","호텔앤스위트평창","2024-07-03 15:23:28","U","2024-07-05 02:40:00","목욕장업 기타","351538.034311284","463340.257858173","목욕장업 기타","0","0","0","0","3","3","10","Y","","","","","2","4","Y",
"203","목욕장업","11_44_01_P","4281000","4281000-202-2015-00001","2015-10-23","","01","영업/정상","01","영업","","","","","033 3336657","231.00","","강원특별자치도 평창군 진부면 하진부리 100-23","강원특별자치도 평창군 진부면 청송로 109","25332","서림관광개발(유)사우나","2021-12-10 14:31:54","I","2023-06-13 00:00:00","공동탕업","337514.873701382","460509.571129095","공동탕업","5","1","0","0","1","1","2","Y","","","","자가","1","0","N",
"204","목욕장업","11_44_01_P","4281000","4281000-202-2003-00001","2003-04-25","","01","영업/정상","01","영업","","","","","031 80038045","115.92","","강원특별자치도 평창군 대관령면 횡계리 279-24","강원특별자치도 평창군 대관령면 종지목길 39","25343","용평솔한증막","2024-09-23 10:19:11","U","2024-09-25 02:40:00","한증막업","351199.279233678","464993.086125008","한증막업","2","1","1","2","0","0","3","Y","","","","자가","0","0","Y",
"205","목욕장업","11_44_01_P","4281000","4281000-202-2010-00003","2010-07-19","","01","영업/정상","01","영업","","","","","033 339 0101","1840.33","","강원특별자치도 평창군 대관령면 용산리 170-2 외 34필지","강원특별자치도 평창군 대관령면 솔봉로 325, 3층 (오션700, 외34필지)","25351","오션700사우나(Ocean700 Sauna)","2023-07-11 16:57:55","U","2023-07-13 02:40:00","공동탕업","345786.815844836","462590.554819645","공동탕업","3","1","2","3","0","0","0","N","","","","자가","0","0","N",
"206","목욕장업","11_44_01_P","4281000","4281000-202-2000-00003","2000-12-16","","01","영업/정상","01","영업","","","","","3333393","476.31","","강원특별자치도 평창군 방림면 운교리 558-1 가,나,바동","강원특별자치도 평창군 방림면 여우재길 307-11, 가, 나, 바동","25366","수가솔방 솔잎찜질방","2025-09-19 14:05:23","U","2025-09-21 02:40:00","한증막업","316313.894191006","437324.186493758","한증막업","0","0","0","0","0","0","4","Y","","","","","0","0","Y",
"207","목욕장업","11_44_01_P","4281000","4281000-202-2020-00001","2020-12-02","","01","영업/정상","01","영업","","","","","","108.00","","강원특별자치도 평창군 평창읍 중리 308-5","강원특별자치도 평창군 평창읍 천변길 51","25375","힐스템건강찜질","2025-05-07 16:19:52","U","2025-05-09 02:40:00","찜질시설서비스영업","323799.724008692","430324.518706779","찜질시설서비스영업","0","0","0","0","0","0","0","Y","","","","","0","1","Y",
"208","목욕장업","11_44_01_P","4281000","4281000-202-2022-00001","2022-11-11","","01","영업/정상","01","영업","","","","","033  3336655","1804.97","","강원특별자치도 평창군 봉평면 면온리 916-2","강원특별자치도 평창군 봉평면 태기로 306-7, 지하1층~지상2층","25309","제이디 평창휘닉스찜질방 힐링센터","2022-11-28 11:09:22","I","2023-06-13 00:00:00","공동탕업+찜질시설서비스영업","318133.888020133","453456.691598173","공동탕업+찜질시설서비스영업","3","1","1","2","1","1","4","Y","","","","","3","1","Y",
"209","목욕장업","11_44_01_P","4281000","4281000-202-2019-00002","2019-12-19","","01","영업/정상","01","영업","","","","","033 333 9500","106.79","","강원특별자치도 평창군 진부면 하진부리 206-30","강원특별자치도 평창군 진부면 진부시장뒷길 42, 2층","25325","힐스템건강찜질","2024-08-20 09:19:42","U","2024-08-22 02:40:00","찜질시설서비스영업","337428.705625302","460636.611427246","찜질시설서비스영업","7","2","2","2","0","0","0","Y","","","","","1","0","Y",
"210","목욕장업","11_44_01_P","4281000","4281000-202-1996-00001","1996-07-18","","01","영업/정상","01","영업","","","","","033 330 6533","618.05","","강원특별자치도 평창군 봉평면 면온리 1095-1","강원특별자치도 평창군 봉평면 태기로 174","25307","휘닉스평창 사우나","2024-10-02 13:43:12","U","2024-10-04 02:40:00","공동탕업","317177.713905004","454046.509523181","공동탕업","0","0","2","2","0","0","6","Y","","","","임대","0","0","N",
"211","목욕장업","11_44_01_P","4281000","4281000-202-2023-00001","2023-11-28","","01","영업/정상","01","영업","","","","","033 330 7156","397.50","","강원특별자치도 평창군 대관령면 용산리 425 알펜시아 리조트","강원특별자치도 평창군 대관령면 솔봉로 325, 알펜시아 리조트 인터컨티넨탈 호텔동 1층","25351","포레스트스파,사우나","2023-11-28 13:43:49","I","2023-11-30 00:17:00","공동탕업","345786.815844836","462590.554819645","공동탕업","0","0","1","1","0","0","2","N","","","","","0","1","N",
"212","목욕장업","11_44_01_P","4291000","4291000-202-2006-00001","2006-02-09","","01","영업/정상","01","영업","","","","","033 5917708","792.00","","강원특별자치도 정선군 사북읍 직전리 590-1","강원특별자치도 정선군 사북읍 직전로 226","26149","아로마","2024-12-23 13:35:49","U","2024-12-25 02:40:00","찜질시설서비스영업","360853.160472301","416724.394197838","찜질시설서비스영업","2","0","1","2","0","0","2","Y","","","","자가","0","0","N",
"213","목욕장업","11_44_01_P","4291000","4291000-202-2000-00001","2000-09-16","","01","영업/정상","01","영업","","","","","033 5907445","782.92","","강원특별자치도 정선군 고한읍 고한리 424","강원특별자치도 정선군 고한읍 고한7길 399","26154","하이원C.C사우나","2021-05-04 15:05:51","I","2023-06-13 00:00:00","공동탕업","363592.970612937","409600.862966256","공동탕업","5","1","1","1","0","0","2","Y","","","","자가","0","0","Y",
"214","목욕장업","11_44_01_P","4291000","4291000-202-2006-00002","2006-12-04","","01","영업/정상","01","영업","","","","","033 5907841","1065.00","","강원특별자치도 정선군 고한읍 고한리 424","강원특별자치도 정선군 고한읍 고한7길 399","26154","하이원콘도미니엄사우나","2024-12-24 17:49:29","U","2024-12-27 02:40:00","공동탕업+찜질시설서비스영업","363592.970612937","409600.862966256","공동탕업+찜질시설서비스영업","5","1","1","0","0","0","2","Y","","","","자가","0","0","N",
"215","목욕장업","11_44_01_P","4291000","4291000-202-2003-00004","2003-02-20","","01","영업/정상","01","영업","","","","","033 560 3475","441.89","","강원특별자치도 정선군 신동읍 예미리 758-2","강원특별자치도 정선군 신동읍 예미1길 11","26142","예미종합복지회관목욕장","2023-01-16 14:32:26","I","2023-06-13 00:00:00","공동탕업","345705.348527692","413553.68434485","공동탕업","0","0","0","0","0","0","0","N","","","","자가","0","0","N",
"216","목욕장업","11_44_01_P","4291000","4291000-202-2003-00002","2003-06-02","","01","영업/정상","01","영업","","","","","033 5920050","0.00","","강원특별자치도 정선군 사북읍 사북리 356-27","강원특별자치도 정선군 사북읍 사북1길 37","26152","석탄회관사우나","2020-08-07 14:41:06","I","2023-06-13 00:00:00","공동탕업","360900.728082379","415501.61057105","공동탕업","0","0","0","0","0","0","0","N","","","","","0","0","N",
"217","목욕장업","11_44_01_P","4291000","4291000-202-2003-00005","2003-07-21","","01","영업/정상","01","영업","","","","","033 5920008","1519.00","","강원특별자치도 정선군 사북읍 사북리 294-14","강원특별자치도 정선군 사북읍 파랑새길 20","26150","황실사우나","2020-01-17 10:51:04","I","2023-06-13 00:00:00","찜질시설서비스영업","361950.631295916","415051.856793276","찜질시설서비스영업","10","1","0","0","1","1","2","Y","","","","자가","0","0","Y",
"218","목욕장업","11_44_01_P","4291000","4291000-202-2010-00001","2010-12-06","","01","영업/정상","01","영업","","","","","033 560 7777","430.65","","강원특별자치도 정선군 사북읍 사북리 469 지하1층","강원특별자치도 정선군 사북읍 하이원길 202 (지하1층)","26154","캐슬사우나","2024-12-30 10:34:10","U","2025-01-01 02:40:00","공동탕업","361009.463361826","413098.581569649","공동탕업","0","0","0","0","1","1","2","N","","","","","0","0","N",
"219","목욕장업","11_44_01_P","4291000","4291000-202-2015-00001","2015-01-20","","01","영업/정상","01","영업","","","","","033 560 3474","202.00","","강원특별자치도 정선군 북평면 북평리 693-11","강원특별자치도 정선군 북평면 북평중앙로 45","26101","북평면복지회관목욕장","2023-01-16 14:31:38","I","2023-06-13 00:00:00","공동탕업","347317.084007621","439827.251562524","공동탕업","0","0","0","0","0","0","2","Y","","","","임대","0","0","N",
"220","목욕장업","11_44_01_P","4291000","4291000-202-2008-00002","2008-02-22","","01","영업/정상","01","영업","","","","","","102.50","","강원특별자치도 정선군 정선읍 용탄리 524","강원특별자치도 정선군 정선읍 이평길 25-10","26133","정선찜질방","2024-02-19 15:33:33","U","2024-02-21 02:40:00","찜질시설서비스영업","343123.431297315","430934.581329193","찜질시설서비스영업","0","0","1","1","0","0","0","N","","","","","0","0","Y",
"221","목욕장업","11_44_01_P","4291000","4291000-202-2009-00001","2009-02-05","","01","영업/정상","01","영업","","","","","033 560 3472","91.74","","강원특별자치도 정선군 임계면 송계리 782","강원특별자치도 정선군 임계면 서동로 4584","26110","임계복지회관목욕탕","2023-01-16 14:29:27","I","2023-06-13 00:00:00","공동탕업","363756.743927437","445114.311246351","공동탕업","0","0","1","1","0","0","2","N","","","","","0","0","N",
"222","목욕장업","11_44_01_P","4291000","4291000-202-2007-00001","2007-11-21","","01","영업/정상","01","영업","","","","","033 590 8230","2179.93","","강원특별자치도 정선군 고한읍 고한리 142","강원특별자치도 정선군 고한읍 물한리길 8","26155","메이힐스남여사우나찜질방","2025-05-29 14:43:33","U","2025-05-31 02:40:00","공동탕업+찜질시설서비스영업","362830.993425228","413767.741591068","공동탕업+찜질시설서비스영업","12","2","2","2","0","0","2","Y","","","","","0","0","Y",
"223","목욕장업","11_44_01_P","4291000","4291000-202-1983-00001","1983-11-23","","01","영업/정상","01","영업","","","","","","297.00","","강원특별자치도 정선군 정선읍 봉양리 46-5 8통","강원특별자치도 정선군 정선읍 녹송로 94","26122","실로암목욕장","2025-01-06 17:05:35","U","2025-01-08 02:40:00","공동탕업","347933.901777796","432773.760163716","공동탕업","1","1","1","1","0","0","2","Y","","","","자가","0","0","N",
"224","목욕장업","11_44_01_P","4291000","4291000-202-1998-00001","1998-01-23","","01","영업/정상","01","영업","","","","","033 5635522","330.00","","강원특별자치도 정선군 정선읍 북실리 703-7","강원특별자치도 정선군 정선읍 용담길 103","26132","그림목욕탕","2019-12-26 16:25:28","I","2023-06-13 00:00:00","공동탕업","346241.067307212","431979.258804519","공동탕업","2","1","1","1","0","0","2","Y","","","","자가","0","0","N",
"225","목욕장업","11_44_01_P","4291000","4291000-202-2023-00001","2023-05-03","","01","영업/정상","01","영업","","","","","033 560 3416","349.00","","강원특별자치도 정선군 남면 문곡리 80 억새공동체센터","강원특별자치도 정선군 남면 별어곡1길 26, 억새공동체센터","26145","억새목욕탕","2023-05-24 16:19:49","I","2023-06-13 00:00:00","공동탕업","354130.497083567","419970.454277835","공동탕업","1","1","0","0","0","0","2","Y","","","","","0","0","N",
"226","목욕장업","11_44_01_P","4291000","4291000-202-2017-00001","2017-04-25","","01","영업/정상","01","영업","","","","","033 560 3473","184.68","","강원특별자치도 정선군 여량면 여량리 174-5","강원특별자치도 정선군 여량면 아우라지길 24","26106","아우라지목욕탕","2023-01-16 14:32:51","I","2023-06-13 00:00:00","공동탕업","352481.555967685","442571.821441487","공동탕업","2","1","1","1","0","0","2","Y","","","","자가","0","0","N",
"227","목욕장업","11_44_01_P","4291000","4291000-202-2017-00002","2017-07-04","","01","영업/정상","01","영업","","","","","033 560 3476","225.72","","강원특별자치도 정선군 화암면 화암리 390","강원특별자치도 정선군 화암면 그림바위길 46-16","26116","화암목욕장","2023-01-16 14:35:12","I","2023-06-13 00:00:00","공동탕업","358262.214513048","427947.730431448","공동탕업","0","0","0","0","0","0","2","Y","","","","","0","0","N",
"228","목욕장업","11_44_01_P","4291000","4291000-202-2017-00003","2017-12-28","","01","영업/정상","01","영업","","","","","033 560 1147","975.28","","강원특별자치도 정선군 북평면 숙암리 482 파크로쉬","강원특별자치도 정선군 북평면 중봉길 9-12, 파크로쉬 1층","26100","아쿠아클럽","2025-04-29 11:11:24","U","2025-05-01 02:40:00","목욕장업 기타","342461.705581065","442634.366268","목욕장업 기타","12","2","1","1","0","0","2","Y","","","","자가","2","2","N",
"229","목욕장업","11_44_01_P","4291000","4291000-202-2011-00001","2011-08-01","","01","영업/정상","01","영업","","","","","033 590 6305","521.70","","강원특별자치도 정선군 사북읍 사북리 424","강원특별자치도 정선군 사북읍 하이원길 265","26154","하이원 그랜드호텔 컨벤션타워 사우나","2022-12-20 14:24:37","I","2023-06-13 00:00:00","공동탕업","361518.513221455","413851.267613498","공동탕업","22","0","4","4","0","0","2","Y","","","","자가","0","0","N",
"230","목욕장업","11_44_01_P","4291000","4291000-202-2003-00003","2003-03-21","","01","영업/정상","01","영업","","","","","033 5907444","837.58","","강원특별자치도 정선군 사북읍 사북리 424","강원특별자치도 정선군 사북읍 하이원길 265","26154","하이원 그랜드호텔 메인타워 사우나","2022-12-20 14:24:23","I","2023-06-13 00:00:00","공동탕업","361518.513221455","413851.267613498","공동탕업","24","0","2","2","0","0","2","Y","","","","자가","0","0","N",
"231","목욕장업","11_44_01_P","4291000","4291000-202-2025-00001","2025-10-27","","01","영업/정상","01","영업","","","","","033 560 3469","464.20","","강원특별자치도 정선군 사북읍 사북리 447-17","강원특별자치도 정선군 사북읍 지장천로 436-9","26153","사북복지목욕탕","2025-10-27 14:41:42","I","2025-10-29 00:20:02","공동탕업","","","공동탕업","1","0","1","1","0","0","2","Y","","","","임대","0","0","N",
"232","목욕장업","11_44_01_P","4301000","4301000-202-2002-00001","2002-07-09","","01","영업/정상","01","영업","","","","","033 4550133","778.94","","강원특별자치도 철원군 철원읍 화지리 28-44","강원특별자치도 철원군 철원읍 금학로256번길 12","24008","청하보석사우나","2023-01-13 13:07:54","I","2023-06-13 00:00:00","공동탕업","218977.311467102","523160.054393689","공동탕업","0","0","0","0","0","0","0","N","","","","","0","0","Y",
"233","목욕장업","11_44_01_P","4301000","4301000-202-2000-00001","2000-02-14","","01","영업/정상","01","영업","","","","","033 4551234","3023.00","","강원특별자치도 철원군 동송읍 장흥리 20-20 지하 1층","강원특별자치도 철원군 동송읍 태봉로 1799-22, 지하1층","24023","한탄리버게르마늄온천","2024-12-06 10:37:52","U","2024-12-08 02:40:00","공동탕업+찜질시설서비스영업","225376.4902074","520439.514215391","공동탕업+찜질시설서비스영업","3","1","0","0","1","1","2","Y","","","","자가","0","0","Y",
"234","목욕장업","11_44_01_P","4301000","4301000-202-2009-00001","2009-08-10","","01","영업/정상","01","영업","","","","","033 4558812","644.90","","강원특별자치도 철원군 동송읍 이평리 681-22 현대타워빌딩(2,3층)","강원특별자치도 철원군 동송읍 금학로 229, 2,3층 (현대타워빌딩)","24014","용정사우나","2021-04-27 17:15:05","I","2023-06-13 00:00:00","공동탕업","218962.475003876","522899.311642041","공동탕업","10","1","2","3","0","0","2","Y","","","","자가","0","0","N",
"235","목욕장업","11_44_01_P","4301000","4301000-202-1979-00001","1979-10-04","","01","영업/정상","01","영업","","","","","033 452 2261","92.88","","강원특별자치도 철원군 갈말읍 신철원리 969-3 1통5반","강원특별자치도 철원군 갈말읍 삼부연로8번길 8","24048","풍년목욕탕","2023-01-13 13:10:56","I","2023-06-13 00:00:00","공동탕업","227006.176512275","515769.067249787","공동탕업","0","0","0","0","0","0","0","N","","","","","0","0","N",
"236","목욕장업","11_44_01_P","4301000","4301000-202-1998-00002","1998-03-27","","01","영업/정상","01","영업","","","","","033 4582165","156.52","","강원특별자치도 철원군 서면 와수리 1206-4","강원특별자치도 철원군 서면 와수로181번길 7-8","24059","현대목욕탕","2020-11-23 15:56:32","I","2023-06-13 00:00:00","공동탕업","238318.697580356","526386.045210103","공동탕업","2","0","1","1","0","0","2","Y","","","","임대","0","0","N",
"237","목욕장업","11_44_01_P","4301000","4301000-202-2001-00001","2001-08-16","","01","영업/정상","01","영업","","","","","033 4583523","172.75","","강원특별자치도 철원군 서면 와수리 1158-8","강원특별자치도 철원군 서면 와수로166번길 5-3","24058","서울목욕탕","2024-12-13 13:28:29","U","2024-12-15 02:40:00","공동탕업","238355.810747902","526259.430347002","공동탕업","0","0","0","0","0","0","0","N","","","","","0","0","N",
"238","목욕장업","11_44_01_P","4301000","4301000-202-2024-00001","2024-07-30","","01","영업/정상","01","영업","","","","","033455 5007","249.00","","강원특별자치도 철원군 동송읍 이평리 861-148","강원특별자치도 철원군 동송읍 이평로111번길 28, 지하1층","24013","주식회사 플레이미","2024-12-02 14:11:16","U","2024-12-04 02:40:00","목욕장업 기타","218331.08078075","522606.945929736","목욕장업 기타","0","1","0","0","0","0","2","Y","","","","자가","0","0","Y",
"239","목욕장업","11_44_01_P","4311000","4311000-202-2000-00004","2000-01-12","","01","영업/정상","01","영업","","","","","033 4422919","372.49","","강원특별자치도 화천군 상서면 산양리 738-5","강원특별자치도 화천군 상서면 영서로 7725-3","24101","상서종합문화센터 목욕탕","2020-01-06 17:03:05","I","2023-06-13 00:00:00","공동탕업","257923.010864393","522976.982021587","공동탕업","1","0","1","1","0","0","0","N","","","","","0","0","N",
"240","목욕장업","11_44_01_P","4311000","4311000-202-2000-00002","2000-01-12","","01","영업/정상","01","영업","","","","","033 4422460","691.08","","강원특별자치도 화천군 화천읍 아리 43-5 (1/4)","강원특별자치도 화천군 화천읍 상승로 54-10","24123","대동찜질사우나","2014-02-20 16:42:01","I","2023-06-13 00:00:00","공동탕업","261773.341355294","511626.26291202","공동탕업","3","0","1","2","0","0","2","N","","","","자가","0","0","N",
"241","목욕장업","11_44_01_P","4311000","4311000-202-2006-00001","2006-04-18","","01","영업/정상","01","영업","","","","","033 4412333","385.78","","강원특별자치도 화천군 하남면 용암리 887","강원특별자치도 화천군 하남면 용화산로 1248-19","24140","용암불한증막","2022-06-30 19:21:54","I","2023-06-13 00:00:00","공동탕업","261946.630681955","509209.240764196","공동탕업","2","0","1","2","0","0","2","Y","","","","자가","0","0","Y",
"242","목욕장업","11_44_01_P","4311000","4311000-202-2019-00002","2019-12-17","","01","영업/정상","01","영업","","","","","033441 3422","160.50","","강원특별자치도 화천군 상서면 다목리 480-16","강원특별자치도 화천군 상서면 수피령로 1313","24104","다목리 작은목욕탕","2019-12-17 14:14:03","I","2023-06-13 00:00:00","공동탕업","246588.492131468","519423.875215418","공동탕업","1","0","0","0","0","0","1","N","","","","자가","0","0","N",
"243","목욕장업","11_44_01_P","4311000","4311000-202-2015-00001","2015-07-16","","01","영업/정상","01","영업","","","","","033 440 2640","243.47","","강원특별자치도 화천군 사내면 사창리 431","강원특별자치도 화천군 사내면 수피령로 71","24154","힐링 토마토 사우나","2015-07-27 16:18:39","I","2023-06-13 00:00:00","공동탕업","245698.301889841","507900.359487067","공동탕업","2","0","1","0","0","0","2","Y","","","","자가","0","0","N",
"244","목욕장업","11_44_01_P","4311000","4311000-202-2017-00001","2017-07-26","","01","영업/정상","01","영업","","","","","033 4420477","285.08","","강원특별자치도 화천군 간동면 오음리 574-5","강원특별자치도 화천군 간동면 간척월명로 293","24137","간동종합문화센터(목욕탕)","2021-08-18 13:15:18","I","2023-06-13 00:00:00","공동탕업","271622.563069707","505946.284740286","공동탕업","0","0","0","0","0","0","0","N","","","","","0","0","N",
