"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","영업내용",
"383","옥외광고업","04_15_01_P","4181000","2003418011108200004","2003-02-14","","03","폐업","40","폐업","2005-12-27","","","","033 2446649","","","강원특별자치도 춘천시 근화동 ***-*","강원특별자치도 춘천시 공지로 ***  (근화동)","","광고마을","2009-09-28 13:07:39","I","2023-06-13 00:00:00","","262781.653149727","486247.235642566","간판제조",
"384","옥외광고업","04_15_01_P","4181000","2003418011108200005","2003-03-10","","03","폐업","40","폐업","2005-04-01","","","","03325122092","","","강원특별자치도 춘천시 동면 지내리 ***-**","강원특별자치도 춘천시 동면 가산로 **-**","","춘천현수막","2003-03-10 00:00:00","I","2023-06-13 00:00:00","","268571.314402222","490074.950836232","간판제조",
"385","옥외광고업","04_15_01_P","4181000","2009418011108500004","2009-02-17","","03","폐업","40","폐업","2009-02-17","","","","","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로***번길 **  (후평동)","","쟈드코","2009-04-28 14:50:30","I","2023-06-13 00:00:00","","265420.236238483","487665.251268035","간판 및 광고물제작",
"386","옥외광고업","04_15_01_P","4181000","2009418011108500005","2014-01-21","","03","폐업","40","폐업","2014-01-21","2012-12-30","2013-12-29","","033 253 8804","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계공단*길 ** (퇴계동)","","주식회사중앙공사","2014-01-29 15:58:53","I","2023-06-13 00:00:00","","264992.819977272","482784.159216975","간판 및 광고물제작",
"387","옥외광고업","04_15_01_P","4181000","2009418011108500009","2009-06-02","","03","폐업","40","폐업","2021-07-09","","","","033 262 7677","","","강원특별자치도 춘천시 남산면 창촌리 ***-*","강원특별자치도 춘천시 남산면 보매기길 **","","(주)동암기전","2021-07-12 13:23:32","I","2023-06-13 00:00:00","","256369.755865781","475781.618093448","옥외광고업",
"388","옥외광고업","04_15_01_P","4181000","2009418011108500010","2009-06-10","","03","폐업","40","폐업","2009-06-10","","","","033 256 4507","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계공단*길 **  (퇴계동)","","참 디자인","2009-06-10 09:45:16","I","2023-06-13 00:00:00","","264992.819977272","482784.159216975","간판제조",
"389","옥외광고업","04_15_01_P","4181000","2022418036008500002","2022-06-28","","03","폐업","40","폐업","2024-05-31","","","","","","","강원특별자치도 춘천시 후평동 *** 우미린뉴시티","강원특별자치도 춘천시 보안길 **, ***동 ****호 (후평동, 우미린뉴시티)","24303","제이케이(JK)","2024-05-31 15:45:22","U","2024-06-02 02:40:00","","266244.543656326","486487.966945908","옥외영상광고 매체운영",
"390","옥외광고업","04_15_01_P","4181000","2005418011108200038","2013-07-23","","03","폐업","40","폐업","2021-06-09","","","","033 255 6768","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로***번길 ** (후평동)","200-957","사인시티","2021-06-09 16:46:10","I","2023-06-13 00:00:00","","265281.136546664","487823.759628427","옥외광고제작 및 시공",
"391","옥외광고업","04_15_01_P","4181000","2005418011108200039","2008-07-21","","03","폐업","40","폐업","2008-07-21","","","","","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 후석로**번길 **  (석사동)","","길 종합광고기획","2009-09-28 11:56:11","I","2023-06-13 00:00:00","","265079.868504091","484359.901874238","간판, 광고",
"392","옥외광고업","04_15_01_P","4181000","2005418011108200040","2013-11-07","","03","폐업","40","폐업","2013-11-07","","","","033 2624404","","","강원특별자치도 춘천시 동내면 신촌리 ***-**","강원특별자치도 춘천시 동내면 영서로 ****-**","","주식회사 시방사","2013-12-05 20:04:59","I","2023-06-13 00:00:00","","266987.85234033","482547.434422795","옥외광고물제작및설치",
"393","옥외광고업","04_15_01_P","4181000","2005418011108200041","2014-01-22","","03","폐업","40","폐업","2014-01-22","","","","033 2624104","","","강원특별자치도 춘천시 동내면 신촌리 ***-**","강원특별자치도 춘천시 동내면 영서로 ****-**","","(주)조은시설","2014-01-29 16:03:09","I","2023-06-13 00:00:00","","266987.85234033","482547.434422795","옥외광고물 제작 및 설치",
"394","옥외광고업","04_15_01_P","4181000","2005418011108200042","2005-11-16","","03","폐업","40","폐업","2023-06-02","","","","","","","강원특별자치도 춘천시 약사동 ***","강원특별자치도 춘천시 춘천로**번길 ** (약사동)","","성원광고","2023-06-05 08:53:59","I","2023-06-13 00:00:00","","263379.55952087","485734.017593649","간판 및 광고물 제작",
"395","옥외광고업","04_15_01_P","4181000","2005418011108200043","2005-11-28","","03","폐업","40","폐업","2009-02-16","","","","033 2528653","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로***번길 **  (후평동)","","쟈드코","2009-04-28 14:51:07","I","2023-06-13 00:00:00","","265420.236238483","487665.251268035","옥외광고 옥내외광고물제작",
"396","옥외광고업","04_15_01_P","4181000","2005418011108200044","2005-11-28","","03","폐업","40","폐업","2007-02-13","","","","033 2419483","","","강원특별자치도 춘천시 석사동 ***-**","강원특별자치도 춘천시 우석로**번길 **  (석사동)","","가온누리","2009-09-28 13:14:55","I","2023-06-13 00:00:00","","266088.59125068","484994.42494249","광고물제작",
"397","옥외광고업","04_15_01_P","4181000","2006418011108200002","2006-01-23","","03","폐업","40","폐업","2017-10-10","","","","033 244 6625","","","강원특별자치도 춘천시 온의동 ***","강원특별자치도 춘천시 춘주로 ** (온의동)","","합자회사 청진건설","2017-10-12 10:58:36","I","2023-06-13 00:00:00","","263278.690169944","484594.764113865","광고물제작설치",
"398","옥외광고업","04_15_01_P","4181000","2006418011108200003","2014-07-08","","03","폐업","40","폐업","2014-07-08","","","","2553342","","","강원특별자치도 춘천시 중앙로*가 **-*","강원특별자치도 춘천시 중앙로**번길 * (중앙로*가)","","삼성애드","2014-07-08 17:59:06","I","2023-06-13 00:00:00","","263676.818557617","486423.602885767","광고물, 간판",
"399","옥외광고업","04_15_01_P","4181000","2006418011108200004","2006-03-17","","03","폐업","40","폐업","","","","","2639483","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 충혼길*번길 *  (퇴계동)","","싸인헬퍼","2009-10-20 10:56:03","I","2023-06-13 00:00:00","","263545.050352956","484788.80793675","간판제조 및 시공",
"400","옥외광고업","04_15_01_P","4181000","2006418011108200005","2007-06-01","","03","폐업","40","폐업","2007-06-01","","","","2442886","","","강원특별자치도 춘천시 교동 **-*","강원특별자치도 춘천시 서부대성로 ***  (교동)","","마스터플랜","2009-09-28 11:22:16","I","2023-06-13 00:00:00","","264445.772302294","486597.707233823","제조,인쇄",
"401","옥외광고업","04_15_01_P","4181000","2016418023908500003","2016-03-09","","03","폐업","40","폐업","2017-10-31","","","","","","","강원특별자치도 춘천시 효자동 ***-* 메가시티 ***호","강원특별자치도 춘천시 춘천로 *** (효자동, 메가시티 ***호)","24329","선우디앤피","2017-11-02 10:54:57","I","2023-06-13 00:00:00","","264620.248035969","486184.648191795","옥외광고물 설치제작",
"402","옥외광고업","04_15_01_P","4181000","2016418023908500005","2016-04-15","","03","폐업","40","폐업","2019-08-23","","","","","","","강원특별자치도 춘천시 퇴계동 ***-* 마동","강원특별자치도 춘천시 퇴계공단*길 **, 마동 (퇴계동)","24427","(주)지일","2019-08-23 10:03:36","I","2023-06-13 00:00:00","","265232.535754061","482695.629312683","옥외광고간판, 전광판, 현수막, 배너광고, 에드벌룬등, 광고대행, 설치.제작",
"403","옥외광고업","04_15_01_P","4181000","2018418023908500007","2020-12-17","","03","폐업","40","폐업","2021-06-07","","","","","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 공지로 ***, 커먼즈필드 춘천 커먼즈하우스* *층 *호 (효자동)","24374","CDE LAB 씨디이랩","2021-06-08 14:26:57","I","2023-06-13 00:00:00","","264635.794136071","484905.340382649","디자인제작",
"404","옥외광고업","04_15_01_P","4181000","2018418023908500008","2021-06-09","","03","폐업","40","폐업","2021-06-09","","","","","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계공단*길 ** (퇴계동)","24427","주식회사 지원산업","2021-06-10 09:51:22","I","2023-06-13 00:00:00","","265077.406996002","482806.704719644","옥외광고물 대행,설치,광고",
"405","옥외광고업","04_15_01_P","4181000","2018418023908500009","2018-09-21","","03","폐업","40","폐업","2025-05-08","","","","","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 백령로 **, *층 (효자동)","24340","디자인 미우","2025-05-09 13:13:13","U","2025-05-11 02:40:00","","264874.569129863","485504.393571259","광고물 디자인",
"406","옥외광고업","04_15_01_P","4181000","2018418023908500010","2020-02-06","","03","폐업","40","폐업","2020-02-06","","","","","","","강원특별자치도 춘천시 신동면 팔미리 ***-* 정도실업","강원특별자치도 춘천시 신동면 팔미길 *-*","24411","정도실업","2020-02-06 17:02:15","I","2023-06-13 00:00:00","","261471.657847375","479750.355241908","광고물 자재판매 및 제작",
"407","옥외광고업","04_15_01_P","4181000","2018418033008500003","2018-11-14","","03","폐업","40","폐업","2023-04-12","","","","","","","강원특별자치도 춘천시 동내면 신촌리 ***-**","강원특별자치도 춘천시 동내면 향군길 **","24407","중앙S&D","2023-04-20 17:19:19","I","2023-06-13 00:00:00","","267300.384147367","483009.647777281","옥내외광고물 제작,경관디자인제작",
"408","옥외광고업","04_15_01_P","4181000","2018418033008500004","2020-09-17","","03","폐업","40","폐업","2021-05-31","","","","","","","강원특별자치도 춘천시 동내면 고은리 ***-**","강원특별자치도 춘천시 동내면 고은길 ***","24399","춘천아크릴","2021-05-31 11:33:13","I","2023-06-13 00:00:00","","268581.652337473","482152.703120708","옥외광고물 제작 설치",
"409","옥외광고업","04_15_01_P","4181000","2018418033008500005","2021-07-27","","03","폐업","40","폐업","2021-07-27","","","","","","","강원특별자치도 춘천시 효자동 ***-*","강원특별자치도 춘천시 효명*길 **-* (효자동)","24336","런런레이스","2021-07-27 14:27:34","I","2023-06-13 00:00:00","","264350.34682062","485685.888846945","광고물디자인제작 및 광고대행",
"410","옥외광고업","04_15_01_P","4181000","2018418033008500008","2019-11-13","","03","폐업","40","폐업","2021-06-10","","","","","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후석로 ***, ***호 (후평동)","24234","인테그디자인","2021-06-14 09:21:08","I","2023-06-13 00:00:00","","265742.317278702","487007.27816154","광고물 전문디자인, 제작설치",
"411","옥외광고업","04_15_01_P","4181000","2016418023908500007","2019-09-25","","03","폐업","40","폐업","2021-06-07","","","","","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 서부대성로 ***, ***호 (효자동)","24331","유아이컴","2021-06-08 14:28:11","I","2023-06-13 00:00:00","","264897.873105192","486113.328929905","디자인,옥외광고,출판,인쇄,웹,앱,제작,설치,대행",
"412","옥외광고업","04_15_01_P","4181000","2016418023908500009","2018-01-08","","03","폐업","40","폐업","2019-10-29","","","","","","","강원특별자치도 춘천시 석사동 *** 춘천로데오","강원특별자치도 춘천시 공지로 **, 춘천로데오 B동 *층 ***호 (석사동)","24395","애드그린","2020-02-04 14:51:28","I","2023-06-13 00:00:00","","265890.635550093","483835.19538542","옥외광고",
"413","옥외광고업","04_15_01_P","4181000","2017418023908500002","2017-02-08","","03","폐업","40","폐업","2018-04-27","","","","02  576 0388","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계공단*길 **-** (퇴계동, 광명빌딩)","24427","(주)도둠","2019-01-31 13:32:42","I","2023-06-13 00:00:00","","264905.931687083","482661.391461202","옥외광고물 제작 및 대행",
"414","옥외광고업","04_15_01_P","4181000","2017418023908500010","2018-11-26","","03","폐업","40","폐업","2023-08-03","","","","","","","강원특별자치도 춘천시 동면 지내리 ***-**","강원특별자치도 춘천시 동면 가산로 **-**","24211","신영그리드","2023-08-04 09:13:55","U","2023-08-06 02:40:00","","268571.149860412","490035.004083114","옥외광고물제작,현수막등",
"415","옥외광고업","04_15_01_P","4181000","2000418002308200148","2000-04-06","","03","폐업","40","폐업","","","","","033 2419740","","","강원특별자치도 춘천시 근화동 ***-**","","","태백종합광고사","2010-08-31 16:29:29","I","2023-06-13 00:00:00","","263094.18036814","486004.900975076","간판제조",
"416","옥외광고업","04_15_01_P","4181000","2005418011108200009","2005-03-23","","03","폐업","40","폐업","2012-02-20","","","","033 2441475","","","강원특별자치도 춘천시 온의동 ***-*","강원특별자치도 춘천시 충혼길**번길 *  (온의동)","","해동광고","2012-02-24 10:27:02","I","2023-06-13 00:00:00","","263453.747378559","484714.82194155","간판및광고물",
"417","옥외광고업","04_15_01_P","4181000","2004418011108200001","2004-02-05","","03","폐업","40","폐업","2006-01-12","","","","033 2445123","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 후석로***번길 **  (후평동)","","이너스페이스","2009-09-28 13:18:20","I","2023-06-13 00:00:00","","266307.86866526","486028.476697925","옥외광고물제작",
"418","옥외광고업","04_15_01_P","4181000","2004418011108200002","2010-12-28","","03","폐업","40","폐업","","","","","033 2534123","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 소전길 **-*  (효자동)","","(합)영재개발","2011-12-23 13:59:08","I","2023-06-13 00:00:00","","264477.767842658","485681.135961683","광고물제작업",
"419","옥외광고업","04_15_01_P","4181000","2004418011108200003","2004-02-24","","03","폐업","40","폐업","2004-12-28","","","","033 2441475","","","강원특별자치도 춘천시 온의동 ***-*","강원특별자치도 춘천시 충혼길**번길 *  (온의동)","","해동광고","2004-02-24 00:00:00","I","2023-06-13 00:00:00","","263453.747378559","484714.82194155","광고물제작업",
"420","옥외광고업","04_15_01_P","4181000","2004418011108200004","2008-10-22","","03","폐업","40","폐업","2010-10-01","","","","2628632","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계농공로 ***  (퇴계동)","","대성디자인","2012-02-20 17:30:49","I","2023-06-13 00:00:00","","265096.390040921","482681.87094987","제조 / 간판",
"421","옥외광고업","04_15_01_P","4181000","2005418011108200012","2009-03-23","","03","폐업","40","폐업","2009-03-23","","","","033 2511393","","","강원특별자치도 춘천시 우두동 ***-*","강원특별자치도 춘천시 충열로 ***  (우두동)","","용성개발(주)","2009-05-06 18:47:15","I","2023-06-13 00:00:00","","264919.65193755","489574.486923261","광고대행,광고물제작 및 설치보수",
"422","옥외광고업","04_15_01_P","4181000","2005418011108200015","2005-07-22","","03","폐업","40","폐업","2006-10-12","","","","","","","강원특별자치도 춘천시 석사동 ***-**","강원특별자치도 춘천시 우석로**번길 **  (석사동)","","싸인레스큐","2005-07-22 00:00:00","I","2023-06-13 00:00:00","","266088.59125068","484994.42494249","간판제조, 시공, 보수",
"423","옥외광고업","04_15_01_P","4181000","2005418011108200017","2014-07-08","","03","폐업","40","폐업","2014-07-08","","","","033 254 0747","","","강원특별자치도 춘천시 동면 만천리 ***-*","강원특별자치도 춘천시 동면 한솔만천로 **-**","","(주)엔에이건설","2014-07-08 18:01:18","I","2023-06-13 00:00:00","","268127.757637057","486249.743978995","토목공사, 도로안전시설, 옥외광고물,철물,철콘,도장공사",
"424","옥외광고업","04_15_01_P","4181000","2005418011108200018","2008-05-23","","03","폐업","40","폐업","2008-09-12","","","","2617927","","","강원특별자치도 춘천시 동내면 학곡리 ***-*","","","(주)청일건설","2008-12-23 13:37:45","I","2023-06-13 00:00:00","","","","철물공사, 철물, 도로안전시설물, 설치, 옥외광고",
"425","옥외광고업","04_15_01_P","4181000","2005418011108200019","2016-03-03","","03","폐업","40","폐업","2016-03-03","","","","033 244 8493","","","강원특별자치도 춘천시 동내면 거두리 ****-*","강원특별자치도 춘천시 동내면 거두단지*길 **","200-883","디케이토건(주)","2016-12-08 10:53:15","I","2023-06-13 00:00:00","","268657.914937954","485252.397637138","도장, 철물공사, 철근콘크리트공사, 옥외광고",
"426","옥외광고업","04_15_01_P","4181000","2005418011108200020","2005-09-21","","03","폐업","40","폐업","2006-09-13","","","","2437813","","","강원특별자치도 춘천시 근화동 ***-*","","","합자회사 신성건설","2005-09-21 00:00:00","I","2023-06-13 00:00:00","","","","금속구조물, 옥외광고물",
"427","옥외광고업","04_15_01_P","4181000","2005418011108200021","2005-09-22","","03","폐업","40","폐업","2010-01-18","","","","2622109","","","강원특별자치도 춘천시 석사동 ***-* 그린주유소 *층","강원특별자치도 춘천시 후석로 **  (석사동,그린주유소 *층)","","합자회사 서현개발","2010-02-08 21:50:42","I","2023-06-13 00:00:00","","264995.048052762","484043.653148223","금속창호, 철콘, 옥외광고제작, 상하수도설비공사",
"428","옥외광고업","04_15_01_P","4181000","2005418011108200022","2013-01-31","","03","폐업","40","폐업","2013-01-31","","","","033 2514994","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 춘천로 **  (효자동)","","(자)강철산업","2013-01-31 11:18:57","I","2023-06-13 00:00:00","","263766.684066474","485708.315976074","도장, 철물공사, 옥외광고물",
"429","옥외광고업","04_15_01_P","4181000","2005418011108200023","2013-01-31","","03","폐업","40","폐업","2013-01-31","","","","033 2565995","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 춘천로 **  (효자동)","","(자)남천건설","2013-01-31 11:19:56","I","2023-06-13 00:00:00","","263766.684066474","485708.315976074","철물, 철콘, 옥외광고물등",
"430","옥외광고업","04_15_01_P","4181000","2005418011108200024","2005-09-23","","03","폐업","40","폐업","","","","","033 2437717","","","강원특별자치도 춘천시 동면 장학리 ***-**","강원특별자치도 춘천시 동면 하일길 ***-*","","(자)진성건설","2009-10-20 11:03:46","I","2023-06-13 00:00:00","","266127.433855611","489259.475177439","철물공사, 옥외광고물, 석공사, 도장공사",
"431","옥외광고업","04_15_01_P","4181000","2005418011108200026","2022-05-24","","03","폐업","40","폐업","2022-05-24","","","","033 263 4188","","","강원특별자치도 춘천시 동내면 사암리 ***-**","강원특별자치도 춘천시 동내면 사암길 **-*","24408","동인건설(주)","2022-05-24 16:30:10","I","2023-06-13 00:00:00","","267698.657598894","481398.208259345","건설업, 옥외광고물설치공사외 철물공사, 시설물유지공사",
"432","옥외광고업","04_15_01_P","4181000","2005418011108200027","2005-09-26","","03","폐업","40","폐업","2011-11-30","","","","033 2619495","","","강원특별자치도 춘천시 동산면 원창리 ***-*","강원특별자치도 춘천시 동산면 논골길 **-**","","(주)비룡건업","2011-12-23 13:58:16","I","2023-06-13 00:00:00","","267250.216666418","474973.058797628","건설 및 옥외광고",
"433","옥외광고업","04_15_01_P","4181000","2005418011108200028","2008-09-04","","03","폐업","40","폐업","2010-09-08","","","","033 2625432","","","강원특별자치도 춘천시 석사동 ***","강원특별자치도 춘천시 후석로 **  (석사동)","","(주)동서","2010-09-08 17:24:23","I","2023-06-13 00:00:00","","265225.168616533","484221.188490755","철물공사, 옥외광고물, 석공",
"434","옥외광고업","04_15_01_P","4181000","2004418011108200006","2008-03-12","","03","폐업","40","폐업","2018-11-26","","","","033 262 4131","","","강원특별자치도 춘천시 석사동 ***","강원특별자치도 춘천시 후석로**번길 * (석사동)","24387","(주)대동산업","2018-12-26 17:17:57","I","2023-06-13 00:00:00","","265249.607499797","484200.431186435","옥외광고물제작",
"435","옥외광고업","04_15_01_P","4181000","2004418011108200007","2004-05-19","","03","폐업","40","폐업","2008-11-26","","","","033 2616653","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 공지로 ***-*  (석사동)","","디자인나무","2009-01-02 16:41:30","I","2023-06-13 00:00:00","","265439.47387132","484421.484518141","광고물제작",
"436","옥외광고업","04_15_01_P","4181000","2004418011108200008","2004-06-10","","03","폐업","40","폐업","2007-07-23","","","","033 2537044","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 효명길 **  (효자동)","","태양종합광고","2009-09-28 13:08:12","I","2023-06-13 00:00:00","","263902.154086147","485629.52879085","광고물제작",
"437","옥외광고업","04_15_01_P","4181000","2004418011108200009","2020-03-26","","03","폐업","40","폐업","2021-05-20","","","","033 253 6988","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 백령로 ***-**, *층 (후평동)","24278","(주)소프트하우스","2021-05-21 08:55:32","I","2023-06-13 00:00:00","","265876.237385134","486537.962663415","광고물제작",
"438","옥외광고업","04_15_01_P","4181000","2004418011108200011","2004-08-31","","03","폐업","40","폐업","2006-01-12","","","","","","","강원특별자치도 춘천시 동면 장학리 ***-**","","","놀부디자인","2009-09-28 13:17:41","I","2023-06-13 00:00:00","","266056.384634634","488825.988159405","간판제조",
"439","옥외광고업","04_15_01_P","4181000","2004418011108200012","2004-09-23","","03","폐업","40","폐업","2006-09-21","","","","033 2550031","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 춘천로 ***  (후평동)","","강원여우","2004-09-23 00:00:00","I","2023-06-13 00:00:00","","265913.146725319","487250.79714003","간판제조",
"440","옥외광고업","04_15_01_P","4181000","2004418011108200013","2004-11-12","","03","폐업","40","폐업","","","","","033 2622454","","","강원특별자치도 춘천시 효자동 ***","강원특별자치도 춘천시 춘천로***번길 **-*  (효자동)","","에버그린","2009-09-28 13:16:42","I","2023-06-13 00:00:00","","264992.860372041","486125.954578323","간판제조",
"441","옥외광고업","04_15_01_P","4181000","2005418011108200002","2014-06-24","","03","폐업","40","폐업","2014-06-24","","","","033 252 0948","","","강원특별자치도 춘천시 중앙로*가 * 공영빌딩 ***호 A","강원특별자치도 춘천시 중앙로 * (중앙로*가,공영빌딩 ***호 A)","","가나사","2014-07-08 18:27:30","I","2023-06-13 00:00:00","","264128.086851178","487099.154550421","광고물제작",
"442","옥외광고업","04_15_01_P","4181000","2005418011108200005","2005-02-22","","03","폐업","40","폐업","2005-02-22","","","","033 2416541","","","강원특별자치도 춘천시 동내면 사암리 ***-*","","","현대종합광고공사","2009-04-28 16:27:35","I","2023-06-13 00:00:00","","267742.099245366","481595.901154415","광고및간판제조",
"443","옥외광고업","04_15_01_P","4181000","2005418011108200006","2005-03-02","","03","폐업","40","폐업","2006-01-12","","","","","","","강원특별자치도 춘천시 동면 장학리 **-*","강원특별자치도 춘천시 동면 춘천로 ***","","강원광고","2005-03-02 00:00:00","I","2023-06-13 00:00:00","","267693.399657823","488850.984475528","광고대행,광고물작성,기타광고",
"444","옥외광고업","04_15_01_P","4181000","2005418011108200029","2005-09-26","","03","폐업","40","폐업","2021-06-09","","","","033 261 1233","","","강원특별자치도 춘천시 동내면 신촌리 ***-*","강원특별자치도 춘천시 동내면 동내로 **-*","","(자)부국토건","2021-06-10 09:50:21","I","2023-06-13 00:00:00","","266775.680108554","483235.389549533","옥외광고물제작",
"445","옥외광고업","04_15_01_P","4181000","2014418023908500001","2016-02-15","","03","폐업","40","폐업","2019-02-26","","","","033 261 3957","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계공단길 ** (퇴계동)","200-944","주식회사 현대","2019-03-11 15:10:09","I","2023-06-13 00:00:00","","265037.696376215","482473.95896349","광고물 제작설치, 조형물제작 및 설치",
"446","옥외광고업","04_15_01_P","4181000","2014418023908500002","2015-02-04","","03","폐업","40","폐업","2021-05-21","","","","033 244 8228","","","강원특별자치도 춘천시 교동 ***-* ***호","강원특별자치도 춘천시 교동길 **, ***호 (교동)","200-060","인쇄마을출판","2021-05-21 15:31:28","I","2023-06-13 00:00:00","","264641.389304382","486708.534535721","인쇄,현수막제작",
"447","옥외광고업","04_15_01_P","4181000","2014418023908500003","2014-12-08","","03","폐업","40","폐업","2017-10-18","","","","","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 춘천로 *** (후평동)","200-961","라이프디자인","2017-10-23 11:58:21","I","2023-06-13 00:00:00","","265707.479460274","486826.739740724","옥외광고물(현수막제작,간판제작)",
"448","옥외광고업","04_15_01_P","4181000","2014418024108500001","2014-01-21","","03","폐업","40","폐업","2015-04-24","","","","033 261 5303","","","강원특별자치도 춘천시 칠전동 ***-*","강원특별자치도 춘천시 칠전서길 **-*, *층 ***호 (칠전동)","200-220","가람ENG","2015-05-08 13:22:23","I","2023-06-13 00:00:00","","262680.317626698","482360.321654958","옥외광고업",
"449","옥외광고업","04_15_01_P","4181000","2014418024108500002","2014-02-28","","03","폐업","40","폐업","2018-08-28","","","","033 256 0070","","","강원특별자치도 춘천시 효자동 ***-**","강원특별자치도 춘천시 춘천로 ***, *층 (효자동)","24257","채널필디자인","2018-11-22 13:29:15","I","2023-06-13 00:00:00","","265180.898049784","486578.960385394","광고대행",
"450","옥외광고업","04_15_01_P","4181000","2014418024108500003","2014-05-29","","03","폐업","40","폐업","2014-05-29","","","","033 264 9772","","","강원특별자치도 춘천시 후평동 ***","강원특별자치도 춘천시 춘천로***번길 * (후평동)","200-969","아인(AIN)","2014-05-30 12:26:58","I","2023-06-13 00:00:00","","265580.230265785","486750.045883114","옥외광고물제작",
"451","옥외광고업","04_15_01_P","4181000","2014418024108500005","2014-07-09","","03","폐업","40","폐업","2019-07-30","","","","033 264 9772","","","강원특별자치도 춘천시 칠전동 ***-*","강원특별자치도 춘천시 칠전서길 **-*, *층 (칠전동)","24457","강원미디어홍보협동조합","2019-07-31 09:54:30","I","2023-06-13 00:00:00","","262696.28","482327.29","옥외광고물제작",
"452","옥외광고업","04_15_01_P","4181000","2015418023908500002","2017-10-19","","03","폐업","40","폐업","2018-02-05","","","","","","","강원특별자치도 춘천시 동내면 거두리 ****-**","강원특별자치도 춘천시 동내면 춘천순환로 ***-*, *층","24402","삼경CID","2018-02-06 15:30:25","I","2023-06-13 00:00:00","","266445.309821006","483939.912647396","광고기획 옥외광고물 제작",
"453","옥외광고업","04_15_01_P","4181000","2015418023908500003","2022-05-04","","03","폐업","40","폐업","2022-05-04","","","","","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계공단길 ** (퇴계동)","24427","어울림디자인커뮤니케이션","2022-05-06 09:12:22","I","2023-06-13 00:00:00","","264903.196471883","482570.665834238","옥외광고및광고디자인",
"454","옥외광고업","04_15_01_P","4181000","2015418023908500004","2022-01-25","","03","폐업","40","폐업","2023-12-05","","","","","","","강원특별자치도 춘천시 동면 지내리 ***-*","강원특별자치도 춘천시 동면 가산로 **","24211","(주)가람","2023-12-07 17:52:50","U","2023-12-09 02:40:00","","268658.023496246","489736.684375487","옥외광고업",
"455","옥외광고업","04_15_01_P","4181000","2005418011108200007","2007-09-20","","03","폐업","40","폐업","2010-10-18","","","","033 2413567","","","강원특별자치도 춘천시 동면 지내리 ***-*","","","주식회사시우람","2013-11-27 14:22:04","I","2023-06-13 00:00:00","","268597.916271513","489974.899832501","광고물 인테리어공사",
"456","옥외광고업","04_15_01_P","4181000","2005418011108200008","2005-03-18","","03","폐업","40","폐업","","","","","","","","강원특별자치도 춘천시 퇴계동 ** 퇴계쇼핑타운 ***","강원특별자치도 춘천시 안마산로 ***  (퇴계동,퇴계쇼핑타운 ***)","","애드채널","2009-09-28 13:16:00","I","2023-06-13 00:00:00","","264855.838698284","483301.263496797","간판및광고물 광고대행, 광고물작성, 기타광고",
"457","옥외광고업","04_15_01_P","4181000","2012418024108500008","2022-05-04","","03","폐업","40","폐업","2022-05-04","","","","033 257 6681","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계공단길 ** (퇴계동)","24427","강철산업","2022-05-04 16:56:48","I","2023-06-13 00:00:00","","264903.196471883","482570.665834238","옥외광고업(간판,안전표지판,도로표지판제작등)",
