"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"84","관광숙박업","03_11_01_P","4201000","CDFI2260032024000007","2024-09-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 주문진읍 주문리 144","강원특별자치도 강릉시 주문진읍 해안로 1887","25408","오릿(Orit)","2024-10-23 18:19:58","U","2024-10-26 02:40:00","","361220.086005483","490147.17054094","관광숙박업","","","0","","","","","4","0","0","0","","","0","0","","0","0","","0","986.32","","0","","","","","","","0","","","","986","호스텔업",
"85","관광숙박업","03_11_01_P","4201000","CDFI2260032024000008","2024-10-02","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 강문동 223","강원특별자치도 강릉시 창해로350번길 29 (강문동)","25467","The Stay 은파","2024-10-02 14:51:25","I","2024-10-04 00:12:56","","368776.299853752","478839.000830554","관광숙박업","","","0","","","","","4","0","0","0","","","0","0","","0","0","","0","1356.32","","0","","","","","","","0","","","","1356","호스텔업",
"86","관광숙박업","03_11_01_P","4201000","CDFI2260032024000006","2024-08-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 강문동 218","강원특별자치도 강릉시 창해로350번길 23-1 (강문동)","25467","오리 아뜰리에","2024-08-14 10:18:10","I","2024-08-17 00:13:21","","368812.237348798","478787.652742517","관광숙박업","","","7","","","","","7","0","0","0","","","0","0","","0","0","","0","1356.07","","0","","","","","","","0","","","","1356","호스텔업",
"87","관광숙박업","03_11_01_P","4201000","CDFI2260032024000004","2024-07-04","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 초당동 231-1","강원특별자치도 강릉시 초당순두부길 36 (초당동)","25469","스테이 니와","2024-07-25 15:54:23","U","2024-07-27 02:40:00","","368401.287557347","477848.248928039","관광숙박업","","","0","","","","","1","0","0","0","","","0","0","","0","0","","0","288.55","","0","","","","","","","50000000","","","","289","호스텔업",
"88","관광숙박업","03_11_01_P","4201000","CDFI2260032024000005","2024-08-06","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 포남동 1148-3","강원특별자치도 강릉시 경강로2245번안길 21 (포남동)","25546","한빛stay","2024-11-28 08:13:47","U","2024-11-30 02:40:00","","368165.928048903","475431.749241435","관광숙박업","","","0","","","","","4","0","0","0","","","0","0","","0","0","","0","475.92","","0","","","","","","","0","","","","476","호스텔업",
"89","관광숙박업","03_11_01_P","4201000","CDFI2260032024000003","2024-06-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 강동면 정동진리 479-1","강원특별자치도 강릉시 강동면 율곡로 1386-2","25631","호텔 벗","2024-06-11 07:58:17","I","2024-06-13 00:14:14","","377632.162502403","468679.311955403","관광숙박업","","","0","","","","","5","0","0","0","","","0","0","","0","0","","0","5995.5","","0","","","","","","","0","","","","5996","호스텔업",
"90","관광숙박업","03_11_01_P","4201000","CDFI2260032024000002","2024-03-25","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 안현동 222-6","강원특별자치도 강릉시 해안로 651-21 (안현동)","25459","미라벨 펜션","2024-04-16 18:31:57","U","2024-04-18 02:40:00","","366803.166030529","480604.046679466","관광숙박업","","관리지역","0","","","","","3","1","0","0","","","0","0","","0","0","","0","477.92","","0","","","","","","","0","","","","478","호스텔업",
"91","관광숙박업","03_11_01_P","4201000","CDFI2260032024000001","2024-02-08","","01","영업/정상","13","영업중","","","","","033-644-0649","","","강원특별자치도 강릉시 대전동 683","강원특별자치도 강릉시 대송길46번길 52 (대전동)","25452","아델린 풀빌라","2024-02-08 13:44:23","I","2024-02-11 00:16:19","","362327.689278917","478136.919533687","관광숙박업","","자연녹지지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","688.46","","0","","","","","","","0","","","","688","호스텔업",
"92","관광숙박업","03_11_01_P","4201000","CDFI2260032025000011","2025-08-18","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 사천면 사천진리 350-13","강원특별자치도 강릉시 사천면 해안로 1155","25435","알고보니 호텔","2025-08-18 13:47:09","I","2025-08-20 00:20:33","","363880.824327819","484613.251993647","관광숙박업","","","0","","","","","4","0","0","0","","","0","0","","0","0","","0","639.58","","0","","","","","","","0","","","","640","호스텔업",
"93","관광숙박업","03_11_01_P","4201000","CDFI2260032025000010","2025-08-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 교동 159-53","강원특별자치도 강릉시 임영로198번길 18 (교동)","25503","누크교동","2025-08-07 10:16:18","I","2025-08-09 00:20:02","","366834.37077913","474643.49756541","관광숙박업","","","0","","","","","1","0","0","0","","","0","0","","0","0","","0","73.23","","0","","","","","","","100000000","","","","73","호스텔업",
"94","관광숙박업","03_11_01_P","4201000","CDFI2260032025000012","2025-08-20","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 임당동 15-6","강원특별자치도 강릉시 임영로182번길 27-1 (임당동)","25530","초이스 스테이","2025-08-20 08:05:22","I","2025-08-22 00:20:02","","366911.4503807","474448.570328999","관광숙박업","","","0","","","","","1","0","0","0","","","0","0","","0","0","","0","125.03","","0","","","","","","","0","","","","125","호스텔업",
"95","관광숙박업","03_11_01_P","4201000","CDFI2260032025000005","2025-06-19","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 주문진읍 교항리 81-106","강원특별자치도 강릉시 주문진읍 해안로 1585","25425","퍼펙트 하우스","2025-06-19 08:50:17","I","2025-06-21 00:20:01","","361380.368833024","487721.147465625","관광숙박업","","","0","","","","","4","1","0","0","","","0","0","","0","0","","0","1162.81","","0","","","","","","","2400000000","","","","1163","호스텔업",
"96","관광숙박업","03_11_01_P","4201000","CDFI2260032025000007","2025-06-25","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 포남동 1069-16","강원특별자치도 강릉시 보래미하길55번길 20 (포남동)","25485","STAY NOVA 호스텔","2025-06-25 17:43:40","I","2025-06-27 00:20:11","","368268.45591981","476437.078059203","관광숙박업","","","0","","","","","2","0","0","0","","","0","0","","0","0","","0","174.75","","0","","","","","","","50000000","","","","175","호스텔업",
"97","관광숙박업","03_11_01_P","4201000","CDFI2260032025000009","2025-07-03","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 주문진읍 주문리 675","강원특별자치도 강릉시 주문진읍 해안로 1935","25408","닉스(Nyx)","2025-07-03 11:53:52","I","2025-07-05 00:20:02","","360829.265867502","490430.414379554","관광숙박업","","","0","","","","","1","0","0","0","","","0","0","","0","0","","0","151.36","","0","","","","","","","0","","","","151","호스텔업",
"98","관광숙박업","03_11_01_P","4201000","CDFI2260032025000008","2025-06-30","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 주문진읍 주문리 660","강원특별자치도 강릉시 주문진읍 해안로 1933","25408","아슬라 호스텔","2025-06-30 09:26:02","I","2025-07-02 00:20:02","","360844.250450652","490365.427041723","관광숙박업","","","0","","","","","2","0","0","0","","","0","0","","0","0","","0","260.02","","0","","","","","","","100000000","","","","260","호스텔업",
"99","관광숙박업","03_11_01_P","4201000","CDFI2260032025000003","2025-05-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 저동 500-18","강원특별자치도 강릉시 안현로 284 (저동)","25461","ROSA","2025-05-16 09:57:40","I","2025-05-18 00:20:43","","366333.15540613","479841.195779223","관광숙박업","","","0","","","","","2","0","0","0","","","0","0","","0","0","","0","318","","0","","","","","","","0","","","","318","호스텔업",
"100","관광숙박업","03_11_01_P","4201000","CDFI2260032025000004","2025-05-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 임당동 101-17","강원특별자치도 강릉시 토성로184번길 6 (임당동)","25532","월화 앤 호스텔","2025-05-16 10:07:05","I","2025-05-18 00:20:43","","367034.763333791","474374.538482525","관광숙박업","","","2","","","","","2","0","0","0","","","0","0","","0","0","","0","101.95","","0","","","","","","","50000000","","","","102","호스텔업",
"101","관광숙박업","03_11_01_P","4201000","CDFI2260032025000006","2025-06-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 주문진읍 교항리 81-22","강원특별자치도 강릉시 주문진읍 해안로 1627","25424","무아","2025-07-11 14:44:59","U","2025-07-13 02:40:00","","361140.81009773","488042.477521343","관광숙박업","","","0","","","","","2","0","0","0","","","0","0","","0","0","","0","147.21","","0","","","","","","","50000000","","","","147","호스텔업",
"102","관광숙박업","03_11_01_P","4201000","CDFI2260032025000002","2025-03-31","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 주문진읍 주문리 73-1","강원특별자치도 강릉시 주문진읍 해안로 1905","25408","밀라노 호스텔","2025-04-04 13:38:38","U","2025-04-06 02:40:00","","361052.59476094","490223.391657691","관광숙박업","","","0","","","","","4","0","0","0","","","0","0","","0","0","","0","668.68","","0","","","","","","","0","","","","669","호스텔업",
"103","관광숙박업","03_11_01_P","4201000","CDFI2260032023000010","2023-10-12","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 연곡면 영진리 139-5","강원특별자치도 강릉시 연곡면 해안로 1385","25430","리벤티아","2023-10-16 09:09:52","I","2023-10-18 00:17:48","","362381.57765646","486338.780851379","관광숙박업","","","0","","","","","4","0","7","527","","","0","0","","0","0","","0","526.84","","0","","","","","","","0","","","","527","호스텔업",
"104","관광숙박업","03_11_01_P","4201000","CDFI2260032023000011","2023-11-27","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 안현동 840-7","강원특별자치도 강릉시 해안로 663-47 (안현동)","25459","CN6 POOL VILLA","2023-11-27 16:14:50","I","2023-11-29 00:17:01","","366761.16360751","480782.05776245","관광숙박업","","","6","","","","","6","0","0","0","","","0","0","","0","0","","0","990.03","","0","","","","","","","0","","","","990","호스텔업",
"105","관광숙박업","03_11_01_P","4201000","CDFI2260032024000010","2024-12-19","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 연곡면 영진리 357-77","강원특별자치도 강릉시 연곡면 영진길 49","25429","부이","2025-01-15 17:49:14","U","2025-01-18 02:40:00","","361979.242830864","486967.620290993","관광숙박업","","","0","","","","","5","0","0","0","","","0","0","","0","0","","0","611.86","","0","","","","","","","0","","","","612","호스텔업",
"106","관광숙박업","03_11_01_P","4201000","CDFI2260032025000001","2025-01-13","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 연곡면 영진리 68-1","강원특별자치도 강릉시 연곡면 영진길 85, 3층","25430","영진을담다 2차","2025-01-13 15:19:17","I","2025-01-15 00:11:12","","362268.165366103","486760.964772589","관광숙박업","","일반주거지역","0","","","","","3","0","0","0","","","0","0","","0","0","","0","175.62","","0","","","","","","","0","","","","176","호스텔업",
"107","관광숙박업","03_11_01_P","4201000","CDFI2260032024000009","2024-12-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 포남동 1005-397","강원특별자치도 강릉시 성덕포남로153번길 42 (포남동)","25547","트리하우스","2024-12-11 08:40:45","I","2024-12-14 00:11:40","","368060.94427454","475148.738561534","관광숙박업","","","2","","","","","2","0","0","0","","","0","0","","0","0","","0","75.22","","0","","","","","","","0","","","","75","호스텔업",
"108","관광숙박업","03_11_01_P","4211000","CDFI2260031993000001","1993-05-14","","03","폐업","03","폐업","2015-02-17","","","","533-7722","","240-809","강원특별자치도 동해시 천곡동 460-3","강원특별자치도 동해시 동해대로 5411 (천곡동)","240-809","동해힐던관광호텔","2015-02-16 17:30:54","I","2023-06-13 00:00:00","","385892.936071331","449132.470642913","관광숙박업","관광사업","일반상업지역","12","결혼예식장주변","","","호텔","10","2","69","9568","","","0","0","","0","0","","0","9568.33","","0","","","","","","","0","","","","9568","관광호텔업",
"109","관광숙박업","03_11_01_P","4211000","CDFI2260031995000001","1995-10-04","","03","폐업","03","폐업","2010-07-21","","","","","","240-080","강원특별자치도 동해시 망상동 396-18","강원특별자치도 동해시 동해대로 6281 (망상동)","240-080","(주)낙원비치가족호텔","2011-10-30 14:11:28","I","2023-06-13 00:00:00","","384244.340894126","456511.330745685","관광숙박업","관광사업","자연녹지지역","7","","","","","6","1","0","0","","","0","0","","0","0","","0","3005.34","","0","","","","","","","0","","","","3005","",
"110","관광숙박업","03_11_01_P","4211000","CDFI2260031996000001","1996-03-18","","03","폐업","03","폐업","2025-05-26","","","","033-532-5454","","240-010","강원특별자치도 동해시 천곡동 906","강원특별자치도 동해시 한섬로 112-4 (천곡동)","25770","동해 글로리아 관광호텔","2025-05-26 17:02:46","U","2025-05-28 02:40:00","","387032.637140852","448532.995830523","관광숙박업","관광사업","일반상업지역","10","결혼예식장주변","","","호텔","9","1","71","6338","Donghae Gloria Tourist Hotel","Tourist Hotel","0","0","","0","0","","0","5068.89","","0","","","","","","","0","","","","5069","관광호텔업",
"111","관광숙박업","03_11_01_P","4211000","CDFI2260032011000001","2011-01-07","","03","폐업","03","폐업","2020-07-01","","","","033-534-1004","","240-010","강원특별자치도 동해시 천곡동 889","강원특별자치도 동해시 중앙로 210-1 (천곡동)","25770","도노관광호텔","2020-07-01 17:10:05","I","2023-06-13 00:00:00","","387018.307754694","448506.244035511","관광숙박업","","상업지역","12","유흥업소밀집지역","","","숙박시설","9","3","39","5710","","","0","0","","0","0","","0","5709","","0","","","","","","","0","","","","5709","관광호텔업",
"112","관광숙박업","03_11_01_P","4211000","CDFI2260031990000001","1990-11-21","","01","영업/정상","13","영업중","","","","","033-533-9215","","240-809","강원특별자치도 동해시 천곡동 484","강원특별자치도 동해시 평릉길 1 (천곡동)","25750","뉴동해관광호텔","2024-07-21 10:38:48","U","2024-07-23 02:40:00","","385855.253637198","449225.166559564","관광숙박업","관광사업","중심상업지역","8","기타","","재난배상책임보험","호텔","7","1","63","7822","New Donghae Hotel","","0","0","","0","0","","0","7821.67","","0","","","","","","","0","","","","7822","관광호텔업",
"113","관광숙박업","03_11_01_P","4211000","CDFI2260031996000002","1996-08-10","","01","영업/정상","13","영업중","","","","","534-6682,530-0706","","240-080","강원특별자치도 동해시 망상동 396-18","강원특별자치도 동해시 동해대로 6285 (망상동)","25701","(주)동해보양온천컨벤션호텔","2024-07-16 10:09:36","U","2024-07-18 02:40:00","","384244.340894126","456511.330745685","관광숙박업","관광사업","자연녹지지역","10","학교정화(상대)","","","숙박시설","8","2","183","31815","","","0","0","","0","0","","0","9451.61","","0","","","","","","","0","","","","9452","관광호텔업",
"114","관광숙박업","03_11_01_P","4211000","CDFI2260032021000001","2021-03-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 망상동 363-1","강원특별자치도 동해시 망상길 43 (망상동)","25701","드림비치","2025-07-24 15:50:03","U","2025-07-26 02:40:00","","384422.05203939","456339.045170977","관광숙박업","","자연녹지지역","3","학교정화(상대)","","","숙박시설","3","0","14","579","","","0","0","","0","0","","0","204.67","","0","","","","","","","0","","","","205","호스텔업",
"115","관광숙박업","03_11_01_P","4211000","CDFI2260032021000002","2021-03-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 망상동 390-5","강원특별자치도 동해시 망상길 51-1 (망상동)","25701","금빛바다","2023-10-25 11:43:23","U","2023-10-27 02:40:00","","384368.779497302","456378.495615566","관광숙박업","","자연녹지지역","3","학교정화(상대)","","","숙박시설","3","0","15","686","","","0","0","","0","0","","0","360.79","","0","","","","","","","0","","","","361","호스텔업",
"116","관광숙박업","03_11_01_P","4211000","CDFI2260032021000003","2021-03-25","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 망상동 390-12 동해바다펜션","강원특별자치도 동해시 동해대로 6277, 동해바다펜션 (망상동)","25701","동해바다","2023-10-25 11:12:08","U","2023-10-27 02:40:00","","384348.435959737","456467.479904954","관광숙박업","","자연녹지지역","3","학교정화(상대)","","KB홈앤비즈케어종합보험","숙박시설","3","0","15","614","","","0","0","","0","0","","0","261.52","","0","","","","","","","30000000","","","","262","호스텔업",
"117","관광숙박업","03_11_01_P","4211000","CDFI2260032021000004","2021-03-25","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 망상동 363-4 스타비치","강원특별자치도 동해시 망상길 39, 스타비치 (망상동)","25701","스타비치","2024-07-11 20:09:24","U","2024-07-13 02:40:00","","384432.979139422","456302.313184637","관광숙박업","","자연녹지지역","3","학교정화(상대)","","영업배상책임보험","숙박시설","3","0","18","660","","","0","0","","0","0","","0","237.3","","0","","","","","","","30000000","20230403","20380403","","237","호스텔업",
"118","관광숙박업","03_11_01_P","4211000","CDFI2260032021000005","2021-07-08","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 묵호진동 2-158","강원특별자치도 동해시 일출로 127-1, 블루스팟 2층 (묵호진동)","25717","블루스팟","2025-02-02 10:24:33","U","2025-02-04 02:40:00","","387275.356029458","452341.010466328","관광숙박업","","일반상업지역","3","","","","숙박시설","3","1","2","166","","","0","0","","0","0","","0","44.01","","0","","","","","","","5000000","","","","44","호스텔업",
"119","관광숙박업","03_11_01_P","4211000","CDFI2260032022000001","2022-07-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 구미동 496-3","강원특별자치도 동해시 오일장길 23-1, 2층 (구미동)","25813","휘게51","2023-10-25 10:25:30","U","2023-10-27 02:40:00","","387996.237503498","444293.996127202","관광숙박업","","준주거지역","3","학교정화(상대)","","재난배상책임보험","숙박시설","3","0","4","369","","","0","0","","0","0","","0","135.06","","0","","","","","","","105000000","","","","135","호스텔업",
"120","관광숙박업","03_11_01_P","4211000","CDFI2260032023000001","2023-03-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 묵호진동 2-52","강원특별자치도 동해시 녹등길 2 (묵호진동)","25709","사계호스텔","2024-08-26 13:03:37","U","2024-08-28 02:40:00","","387376.615084987","452743.169657907","관광숙박업","","상업지역","1","","","","숙박시설","1","0","1","53","","","0","0","","0","0","","0","52.52","","0","","","","","","","0","","","","53","호스텔업",
"121","관광숙박업","03_11_01_P","4211000","CDFI2260032023000002","2023-04-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 대진동 187-2","강원특별자치도 동해시 일출로 375 (대진동)","25708","너에게로 감동해","2025-07-14 17:03:05","U","2025-07-16 02:40:00","","386918.013761384","454555.208467128","관광숙박업","","자연녹지지역","5","","","재난배상책임보험(삼성화재)","숙박시설","4","1","8","594","","","0","0","","0","0","","0","594.45","","0","","","","","","","0","","","","594","호스텔업",
"122","관광숙박업","03_11_01_P","4211000","CDFI2260032002000001","2002-05-06","","01","영업/정상","13","영업중","","","","","033-539-3600","","","강원특별자치도 동해시 망상동 393-39 망상오토캠핑리조트","강원특별자치도 동해시 동해대로 6370, 망상오토캠핑리조트 (망상동)","25700","망상오토캠핑리조트","2023-04-09 14:00:39","I","2023-06-13 00:00:00","","383499.30979747","457408.646958951","관광숙박업","","자연녹지지역","0","","","","","0","0","54","0","","","0","0","","0","0","","0","290000","","0","","","","","","","0","","","","290000","휴양콘도미니엄업",
"123","관광숙박업","03_11_01_P","4211000","CDFI2260032013000001","2013-06-27","","01","영업/정상","13","영업중","","","","","033-532-7373","","240-080","강원특별자치도 동해시 망상동 171-1","강원특별자치도 동해시 동해대로 6188 (망상동)","25700","망상해오름가족호텔","2025-08-29 14:12:09","U","2025-08-31 02:40:00","","385127.981880001","456080.753173899","관광숙박업","","자연녹지지역","4","기타","","재난배상책임보험","숙박시설","4","0","35","1577","Mangsang Haeorum Family Hotel","Family Hotel","0","0","","0","0","","0","1576.64","","0","","","","","","","0","","","","1577","가족호텔업",
"124","관광숙박업","03_11_01_P","4211000","CDFI2260032014000001","2014-03-05","","01","영업/정상","13","영업중","","","","","033-539-2009","","240-807","강원특별자치도 동해시 천곡동 918","강원특별자치도 동해시 동굴로 125-3 (천곡동)","25770","동해현진관광호텔(주)","2025-05-08 13:36:43","U","2025-05-10 02:40:00","","387157.814092983","448467.86340314","관광숙박업","","일반상업지역","13","결혼예식장주변","","재난배상책임보험","호텔","12","1","82","13047","","","0","0","","0","0","","0","1742.97","","0","","","","","","","1800000000","","","","1743","관광호텔업",
"125","관광숙박업","03_11_01_P","4211000","CDFI2260032019000001","2019-06-26","","01","영업/정상","13","영업중","","","","","033-535-0877","","","강원특별자치도 동해시 천곡동 961-9 아라비카","강원특별자치도 동해시 동굴로 138, 아라비카 (천곡동)","25777","아라비카 호스텔","2023-10-25 10:12:47","U","2023-10-27 02:40:00","","387285.909803141","448377.533519474","관광숙박업","","일반주거지역","4","주택가주변","","재난배상책임보험","숙박시설","3","1","3","1093","Arabica Hostel","Tourist Accommodation Business","0","0","","0","0","","0","432.75","","0","","","","","","","400000000","","","","433","호스텔업",
"126","관광숙박업","03_11_01_P","4211000","CDFI2260032020000001","2020-08-13","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 망상동 360-4 이스트하우스","강원특별자치도 동해시 동해대로 6267, 이스트하우스 (망상동)","25701","이스트하우스","2023-10-25 10:10:45","U","2023-10-27 02:40:00","","384431.088609369","456408.280948863","관광숙박업","","자연녹지지역","3","학교정화(상대)","","재난배상책임보험","숙박시설","3","0","18","670","Easthouse Hostel","TOURIST HOSTEL SERVICES","0","0","","0","0","","0","676","","0","","","","","","","30000000","","","","676","호스텔업",
"127","관광숙박업","03_11_01_P","4211000","CDFI2260032024000001","2024-01-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 묵호진동 2-9","강원특별자치도 동해시 일출로 183-2 (묵호진동)","25709","현상소비치하우스","2024-01-18 11:14:25","U","2024-01-20 02:40:00","","387285.769754348","452819.265233038","관광숙박업","","일반상업지역","2","기타","","DB손해보험(재난배상책임보험)","숙박시설","2","0","2","63","","","0","0","","0","0","","0","35.95","","0","","","","","","","0","","","","36","호스텔업",
"128","관광숙박업","03_11_01_P","4211000","CDFI2260032025000002","2025-07-15","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 대진동 1-9","강원특별자치도 동해시 대진항길 19-1 (대진동)","25707","늘바다랑","2025-07-30 09:28:19","U","2025-08-01 02:40:00","","386734.805263755","455058.532119928","관광숙박업","","일반상업지역","5","","","","","5","0","13","0","","","0","0","","0","0","","0","766.88","","0","","","","","","","0","","","","767","호스텔업",
"129","관광숙박업","03_11_01_P","4211000","CDFI2260032023000003","2023-12-20","","01","영업/정상","13","영업중","","","","","033-531-5861","","","강원특별자치도 동해시 어달동 7 선창회집","강원특별자치도 동해시 일출로 233, 선창회집 (어달동)","25709","선창호스텔","2025-05-27 11:22:52","U","2025-05-29 02:40:00","","387218.130460233","453291.766578838","관광숙박업","","상업지역","6","기타","","","숙박시설","6","0","14","2012","","","0","0","","0","0","","0","401.4","","0","","","","","","","0","","","","401","호스텔업",
"130","관광숙박업","03_11_01_P","4211000","CDFI2260032025000001","2025-02-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 대진동 187-4 올리브","강원특별자치도 동해시 일출로 369, 올리브 (대진동)","25708","올리브펜션","2025-07-30 10:06:27","U","2025-08-01 02:40:00","","386918.971285042","454505.916475969","관광숙박업","","자연녹지지역","4","","","재난배상책임보험(KB손해보험)","숙박시설","4","0","4","652","","","0","0","","0","0","","0","279.97","","0","","","","","","","0","","","","280","호스텔업",
"131","관광숙박업","03_11_01_P","4221000","CDFI2260032022000002","2022-11-02","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 태백시 황지동 208-7","강원특별자치도 태백시 고원로 35-1, 예림빌딩 4층 401호 (황지동)","26038","예림하우스","2024-12-02 09:30:47","U","2024-12-04 02:40:00","","376553.590877597","408143.440897612","관광숙박업","","일반주거지역","0","","","현대해상","","0","0","1","0","","","0","0","","0","0","","0","116","","0","","","","","","","0","","","","116","호스텔업",
"132","관광숙박업","03_11_01_P","4221000","CDFI2260032008000001","2008-10-02","","01","영업/정상","13","영업중","","","","","033-580-7000","","235-019","강원특별자치도 태백시 황지동 산 176-28","강원특별자치도 태백시 서학로 861 (황지동)","26010","주식회사 오투리조트","2025-03-10 13:53:03","U","2025-03-12 02:40:00","","","","관광숙박업","","자연녹지지역","10","기타","","","콘도미니엄","10","1","424","48487","O2 RESORT Co., LTD.","Resort Condominium","0","0","","0","0","","0","54242.25","","0","","","","","","","99399999000","","","","54242","휴양콘도미니엄업",
"133","관광숙박업","03_11_01_P","4221000","CDFI2260032011000001","2011-02-11","","01","영업/정상","13","영업중","","","","","553-2211","","235-801","강원특별자치도 태백시 황지동 253-167","강원특별자치도 태백시 연지로 6 (황지동)","26008","카스텔로리젠시 태백관광호텔","2022-08-31 13:38:27","I","2023-06-13 00:00:00","","376533.575117427","409922.295675149","관광숙박업","","일반상업지역","11","유흥업소밀집지역","","","호텔","10","1","72","4333","Castllo Rgency Tourist Hotel Taebaek","Tourist Hotel","0","0","","0","0","","0","4333.19","","0","","","","","","","300000000","","","","4333","관광호텔업",
"134","관광숙박업","03_11_01_P","4221000","CDFI2260032014000001","2014-11-20","","01","영업/정상","13","영업중","","","","","033-553-8080","","235-020","강원특별자치도 태백시 화전동 111","강원특별자치도 태백시 기장밭길 7-1 (화전동)","235-020","태백관광호텔(SORANO HOTEL)","2020-02-06 14:07:01","I","2023-06-13 00:00:00","","374122.117613846","412611.99940721","관광숙박업","","준공업지역","6","기타","","","숙박시설","6","0","64","0","Taebaek Tourist Hotel (SORANO HOTEL)","Tourist Hotel","0","0","","0","0","","0","3044","","0","","","","","","","31800000500","","","","3044","관광호텔업",
"135","관광숙박업","03_11_01_P","4221000","CDFI2260032022000001","2022-01-05","","01","영업/정상","13","영업중","","","","","033-553-0055","","","강원특별자치도 태백시 화전동 344","강원특별자치도 태백시 태백로 266-11 (화전동)","26003","설화국가족호텔(주)","2025-05-27 14:27:10","U","2025-05-29 02:40:00","","372528.133055987","413247.174690992","관광숙박업","","관리지역","5","기타","","","숙박시설","4","1","25","0","","","0","0","","0","0","","0","1218.57","","0","","","","","","","100000000","","","","1219","소형호텔업",
"136","관광숙박업","03_11_01_P","4221000","CDFI2260032022000003","2022-12-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 태백시 황지동 467-20","강원특별자치도 태백시 절골1길 118 (황지동)","26010","여여한사생활","2024-11-12 09:54:44","U","2024-11-14 02:40:00","","","","관광숙박업","","","2","","","","","0","0","1","0","","","0","0","","0","0","","0","73","","0","","","","","","","0","","","","73","호스텔업",
"137","관광숙박업","03_11_01_P","4231000","CDFI2260032009000001","2009-08-13","","02","휴업","02","휴업","","2022-10-29","2025-10-28","","","","217-120","강원특별자치도 속초시 설악동 59-1","강원특별자치도 속초시 설악산로 852-8 (설악동)","","(주)이랜드파크 한국콘도 설악","2025-01-06 16:09:27","U","2025-01-08 02:40:00","","332642.970369509","519593.765284379","관광숙박업","","","4","","","","","3","1","141","3990","SEORAK HANGOOK CONDO ELANDPARK LTD.","RESORT CONDOMINIUM","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","휴양콘도미니엄업",
