"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","설계감리업종류명","소속국가명","실질자본금",
"71","전력기술설계업체","09_28_13_P","6530000","201664200008500002","2016-03-22","","03","폐업","3","폐업","2024-07-03","","","","0339105477","","","강원특별자치도 양구군 양구읍 정림리 2번지 1호","강원특별자치도 양구군 양구읍 양구새싹로 22","24542","우리ENG","2024-07-03 17:03:43","U","2024-07-05 02:40:00","","286580.564870003","511484.710942989","설계업","전문설계업2종","","10000000",
"72","전력기술설계업체","09_28_13_P","6530000","201864200008500004","2018-08-23","","03","폐업","3","폐업","2025-09-03","","","","0335320976","","25771","강원특별자치도 동해시 천곡동 1038-15 동해소방","강원특별자치도 동해시 동굴3길 19-6, 동해소방 (천곡동)","25771","한일이엔지 주식회사","2025-09-03 13:45:18","U","2025-09-05 02:40:00","","386681.803358242","448432.021861377","설계업","전문설계업1종","대한민국","100000000",
"73","전력기술설계업체","09_28_13_P","6530000","201964200008500001","2019-02-20","","03","폐업","3","폐업","2020-03-16","","","","0337345000","","26456","강원특별자치도 원주시 행구동 1008-4","강원특별자치도 원주시 행구덕현길 56 (행구동)","26456","주식회사 지에이","2020-03-17 13:41:36","I","2023-06-13 00:00:00","","288334.926944469","426778.843998129","설계업","전문설계업2종","대한민국","700000000",
"74","전력기술설계업체","09_28_13_P","6530000","201964200008500002","2019-02-22","","03","폐업","3","폐업","2022-02-15","","","","07050666360","","24632","강원특별자치도 인제군 인제읍 상동리 347-2","강원특별자치도 인제군 인제읍 인제로188번길 4, 2층","24632","(주)고려엔지니어링","2022-02-15 16:06:54","I","2023-06-13 00:00:00","","302735.359724817","507932.764721681","설계업","전문설계업1종","","300000000",
"75","전력기술설계업체","09_28_13_P","6530000","201964200008500003","2019-10-29","","03","폐업","3","폐업","2023-09-25","","","","0333739090","","26236","강원특별자치도 영월군 영월읍 영흥리 902-5","강원특별자치도 영월군 영월읍 중앙로 88-1","26236","주식회사 서강","2023-09-25 17:10:13","U","2023-09-27 02:40:00","","330787.52192648","410067.880503461","설계업","전문설계업1종","","0",
"76","전력기술설계업체","09_28_13_P","6530000","202164200008500003","2021-03-23","","03","폐업","3","폐업","2023-03-27","","","","","","24842","강원특별자치도 속초시 교동 627-291 나동 203호","강원특별자치도 속초시 번영로43번길 22, 나동 203호 (교동)","24842","(주)우람이앤씨","2023-03-27 15:54:23","I","2023-06-13 00:00:00","","338450.033458243","523727.233605853","설계업","전문설계업2종","","100000000",
"77","전력기술설계업체","09_28_13_P","6530000","202264200008500003","2022-04-19","","03","폐업","3","폐업","2025-05-19","","","","0333448816","","25013","강원특별자치도 양양군 양양읍 정손리 54-11","강원특별자치도 양양군 양양읍 정손길 75-4","25013","주식회사 양양엔지니어링","2025-05-21 16:22:49","U","2025-05-23 02:40:00","","342103.159314018","511689.343073209","설계업","전문설계업2종","","0",
"78","전력기술설계업체","09_28_13_P","6530000","200764200008500001","2007-01-08","","03","폐업","3","폐업","2007-07-10","","","","0332642223","","200-941","강원특별자치도 춘천시 조양동   6번지 41호","강원특별자치도 춘천시 아침길 17-1 (조양동)","","(주)시.공 종합건축사 사무소","2008-05-14 14:54:03","I","2023-06-13 00:00:00","","264223.25833904","486587.044951218","설계업","전문설계업1종","대한민국","0",
"79","전력기술설계업체","09_28_13_P","6530000","200764200008500003","2007-07-10","","03","폐업","3","폐업","2008-05-14","","","","0332553254","","200-941","강원특별자치도 춘천시 조양동   6번지 41호","강원특별자치도 춘천시 아침길 17-1 (조양동)","","(주)시공종합건축사사무소","2009-04-23 11:15:50","I","2023-06-13 00:00:00","","264223.25833904","486587.044951218","설계업","전문설계업2종","대한민국","65209280",
"80","전력기술설계업체","09_28_13_P","6530000","200864200008500001","2008-02-13","","03","폐업","3","폐업","2012-12-27","","","","0332524059","","200-944","강원특별자치도 춘천시 퇴계동   861번지 2호 2층","강원특별자치도 춘천시 퇴계공단1길 56-11 (퇴계동,2층)","","주식회사 엘피스","2012-12-27 13:51:14","I","2023-06-13 00:00:00","","264997.304827709","482681.928725344","설계업","전문설계업2종","대한민국","0",
"81","전력기술설계업체","09_28_13_P","6530000","200964200008500001","2009-02-20","","03","폐업","3","폐업","2011-08-08","","","","0336519960","","210-954","강원특별자치도 강릉시 포남1동   1112번지","강원특별자치도 강릉시 강릉대로359번길 12-12 (포남동)","","S.H설계감리","2011-08-08 16:49:44","I","2023-06-13 00:00:00","","367867.526479094","475712.610339824","설계업","전문설계업2종","대한민국","10000000",
"82","전력기술설계업체","09_28_13_P","6530000","201364200008500005","2013-12-12","","03","폐업","3","폐업","2021-04-05","","","","0332524509","","","","강원특별자치도 춘천시 동광길 6 (후평동)","24296","브이텍","2021-04-05 16:18:27","I","2023-06-13 00:00:00","","266234.215956113","487569.547727906","설계업","전문설계업2종","","0",
"83","전력기술설계업체","09_28_13_P","6530000","200664200008500008","2006-09-12","","03","폐업","3","폐업","2006-12-21","","","","0332614509","","200-943","강원특별자치도 춘천시 퇴계동   1018번지","강원특별자치도 춘천시 지석로 74-11 (퇴계동)","","엘피스","2006-12-22 10:05:14","I","2023-06-13 00:00:00","","265346.955057411","483293.365700144","설계업","전문설계업2종","","10000000",
"84","전력기술설계업체","09_28_13_P","6530000","200864200008500003","2008-08-14","","03","폐업","3","폐업","2011-09-30","","","","0332630489","","200-934","강원특별자치도 춘천시 석사동 421번지 1호","강원특별자치도 춘천시 공지로 178 (석사동)","200-934","광장","2013-12-19 13:40:40","I","2023-06-13 00:00:00","","265406.386596906","484552.628667499","설계업","전문설계업2종","대한민국","0",
"85","전력기술설계업체","09_28_13_P","6530000","200664200008500002","2006-05-17","","03","폐업","3","폐업","2011-08-08","","","","0336518039","","210-100","강원특별자치도 강릉시 교동  948-21 청솔빌딩 4층","","","(주)원엔지니어링","2011-08-08 16:54:38","I","2023-06-13 00:00:00","","","","설계업","전문설계업2종","대한민국","0",
"86","전력기술설계업체","09_28_13_P","6530000","199964200008500001","1999-11-08","","03","폐업","3","폐업","2007-07-20","","","","0337308850","","220-160","강원특별자치도 원주시 행구동  642번지","","","(주)한석엔지니어링","2008-05-14 15:54:38","I","2023-06-13 00:00:00","","","","설계업","전문설계업1종","대한민국","0",
"87","전력기술설계업체","09_28_13_P","6530000","199764200008500002","1997-02-18","","03","폐업","3","폐업","2011-10-12","","","","0336510236","","210-110","강원특별자치도 강릉시 포남동  1194-10 재현빌딩4층","","","세종설계감리사무소","2011-10-12 16:13:16","I","2023-06-13 00:00:00","","","","설계업","전문설계업2종","대한민국","10000000",
"88","전력기술설계업체","09_28_13_P","6530000","200164200008500002","2001-07-19","","03","폐업","3","폐업","2007-06-13","","","","0337445336","","220-939","강원특별자치도 원주시 단계동  1076-8","","","(주)도우엔지니어즈","2008-05-14 15:52:14","I","2023-06-13 00:00:00","","","","설계업","전문설계업2종","대한민국","0",
"89","전력기술설계업체","09_28_13_P","6530000","200264200008500001","2002-02-15","","03","폐업","3","폐업","2021-07-30","","","","0336456440","","25567","강원특별자치도 강릉시 포남동 1293-2 청송아파트제상가동 302,303호","강원특별자치도 강릉시 하평2길 6, 청송아파트제상가동 302,303호 (포남동)","25567","대현설계감리사무소","2021-07-30 16:47:18","I","2023-06-13 00:00:00","","368520.022146793","476017.703927829","설계업","전문설계업1종","대한민국","0",
"90","전력기술설계업체","09_28_13_P","6530000","200364200008500001","2003-03-10","","03","폐업","3","폐업","2011-11-07","","","","0332514536","","200-943","강원특별자치도 춘천시 퇴계동  11토지 7블럭 2-1롯트","","","(주)비전티엘","2011-11-07 15:23:10","I","2023-06-13 00:00:00","","","","설계업","전문설계업1종","대한민국","0",
"91","전력기술설계업체","09_28_13_P","6530000","200564200008500001","2005-01-29","","03","폐업","3","폐업","2010-10-29","","","","0336467023","","210-924","강원특별자치도 강릉시 교1동   1880번지 5호 은성빌딩3층","강원특별자치도 강릉시 교동광장로 103 (교동,은성빌딩3층)","","(주)지트","2010-11-01 15:53:22","I","2023-06-13 00:00:00","","365258.518902454","475279.195970031","설계업","전문설계업1종","대한민국","0",
"92","전력기술설계업체","09_28_13_P","6530000","199764200008500003","1997-03-17","","03","폐업","3","폐업","2007-01-08","","","","0332560028","","200-070","강원특별자치도 춘천시 조양동  6-41","","","(주)시.공종합건축사사무소","2008-05-14 15:55:54","I","2023-06-13 00:00:00","","","","설계업","전문설계업2종","대한민국","0",
"93","전력기술설계업체","09_28_13_P","6530000","200564200008500002","2005-03-23","","03","폐업","3","폐업","2011-08-30","","","","0337340482","","220-122","강원특별자치도 원주시 태장2동  1720-24 태장농공단지","","","(주)그랜드","2011-08-30 14:37:13","I","2023-06-13 00:00:00","","","","설계업","전문설계업1종","대한민국","0",
"94","전력기술설계업체","09_28_13_P","6530000","200664200008500003","2006-01-20","","03","폐업","3","폐업","2008-04-17","","","","0332554347","","200-162","강원특별자치도 춘천시 후평2동  798-9번지","","","동양기술단","2008-05-14 14:55:19","I","2023-06-13 00:00:00","","","","설계업","전문설계업2종","대한민국","0",
"95","전력기술설계업체","09_28_13_P","6530000","200664200008500004","2006-02-23","","03","폐업","3","폐업","","","","","025581992","","200-160","강원특별자치도 춘천시 후평동  727","","","(주)진화기술공사","2007-03-14 13:50:35","I","2023-06-13 00:00:00","","","","설계업","전문설계업2종","대한민국","0",
"96","전력기술설계업체","09_28_13_P","6530000","200664200008500005","2006-05-04","","03","폐업","3","폐업","","","","","0332613510","","200-944","강원특별자치도 춘천시 퇴계동  826-5 농공단지내","","","(주)콜스일렉트로닉스","2013-12-27 10:39:44","I","2023-06-13 00:00:00","","","","설계업","전문설계업2종","대한민국","0",
"97","전력기술설계업체","09_28_13_P","6530000","200664200008500006","2006-06-05","","03","폐업","3","폐업","2011-10-10","","","","0336351515","","217-020","강원특별자치도 속초시 동명동  577-33","","","(주)삼원엔지니어링","2011-10-10 16:26:38","I","2023-06-13 00:00:00","","","","설계업","전문설계업2종","대한민국","0",
"98","전력기술설계업체","09_28_13_P","6530000","200964200008500003","2009-03-06","","03","폐업","3","폐업","2025-10-14","","","","0332541720","","","","강원특별자치도 춘천시 공지로 404-1 (약사동)","200-120","원 전기설계사무소","2025-10-14 13:48:25","U","2025-10-16 02:40:00","","263502.81566963","485814.09873832","설계업","전문설계업2종","대한민국","10000000",
"99","전력기술설계업체","09_28_13_P","6530000","201064200008500001","2010-03-09","","03","폐업","3","폐업","2010-12-01","","","","0336312004","","217-100","강원특별자치도 속초시 대포동   934번지 5호","강원특별자치도 속초시 농공단지길 98 (대포동)","","(주)보배이에스씨","2010-12-01 16:30:02","I","2023-06-13 00:00:00","","339698.626085114","520210.54168123","설계업","전문설계업2종","대한민국","10000000",
"100","전력기술설계업체","09_28_13_P","6530000","201064200008500003","2010-11-02","","03","폐업","3","폐업","2011-09-19","","","","0332535411","","200-853","강원특별자치도 춘천시 동면 장학리  780번지 9호","강원특별자치도 춘천시 동면 소양강로 166","","삼양이엔피(주)","2011-10-30 15:19:27","I","2023-06-13 00:00:00","","266024.616419796","489071.431139091","설계업","전문설계업1종","","0",
"101","전력기술설계업체","09_28_13_P","6530000","201164200008500003","2011-03-25","","03","폐업","3","폐업","2013-04-22","","","","0336384585","","217-805","강원특별자치도 속초시 교동   800번지 14호","강원특별자치도 속초시 만리공원길 6 (교동)","","(주)금강엔지니어링","2013-04-22 18:12:31","I","2023-06-13 00:00:00","","337685.093002849","523168.448816898","설계업","전문설계업2종","","400000000",
"102","전력기술설계업체","09_28_13_P","6530000","201164200008500004","2011-09-06","","03","폐업","3","폐업","2011-11-28","","","","0332565938","","138-847","서울특별시 송파구 석촌동   288번지 9호","서울특별시 송파구 백제고분로40길 13-7 (석촌동)","","(주)대성그랜드","2011-11-30 12:35:18","I","2023-06-13 00:00:00","","209382.121145753","444605.83696171","설계업","전문설계업1종","","232958272",
"103","전력기술설계업체","09_28_13_P","6530000","201264200008500002","2012-10-24","","03","폐업","3","폐업","2014-07-29","","","","0317778600","","","","강원특별자치도 강릉시 수리골길 67 (교동)","210-922","(주)삼주이앤텍","2014-07-25 09:50:54","I","2023-06-13 00:00:00","","367053.458303678","476510.397600118","설계업","전문설계업2종","","10000000",
"104","전력기술설계업체","09_28_13_P","6530000","201364200008500002","2013-04-24","","03","폐업","3","폐업","2013-09-12","","","","0332524509","","","","강원특별자치도 춘천시 안마산로 217-1, 303동 (퇴계동,한주아파트상가)","200-945","(주)성익이엔에프","2013-09-12 13:07:52","I","2023-06-13 00:00:00","","264906.022305039","483375.580147211","설계업","전문설계업2종","","10000000",
"105","전력기술설계업체","09_28_13_P","6530000","201364200008500003","2013-05-02","","03","폐업","3","폐업","","","","","0332441642","","","","강원특별자치도 춘천시 동면 금베이길 100","200-852","(주)대성그랜드","2022-07-28 09:59:59","I","2023-06-13 00:00:00","","269343.750632059","486307.346935433","설계업","전문설계업1종","","60500000",
"106","전력기술설계업체","09_28_13_P","6530000","202465300008500003","2024-05-21","","03","폐업","3","폐업","2025-02-10","","","","0336727078","","25030","강원특별자치도 양양군 양양읍 남문리 78-3 삼강의원","강원특별자치도 양양군 양양읍 양양로 75, 삼강의원","25030","주식회사 이지이엔씨","2025-02-13 16:34:59","U","2025-02-15 02:40:00","","342187.582298586","509216.451512924","설계업","전문설계업2종","","50000000",
"107","전력기술설계업체","09_28_13_P","6530000","202565300008500002","2025-02-28","","03","폐업","3","폐업","2025-06-16","","","","0335320976","","25918","강원특별자치도 삼척시 원당동 184-1","강원특별자치도 삼척시 원당로 7-16 (원당동)","25918","주식회사 한백엔지니어링","2025-06-17 17:59:13","U","2025-06-19 02:40:00","","390616.134234061","439741.758027806","설계업","전문설계업2종","","0",
