"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","자본금의규모","사업자등록번호",
"128","후원방문판매업체","08_26_05_P","6530000","20226530000301000061","2022-07-22","","03","폐업","4","폐업","2024-08-07","","","","","","25630","강원특별자치도 강릉시 강동면 산성우리 ***번지 *호","강원특별자치도 강릉시 강동면 율곡로 ***-**","","파이진최선희","2024-08-13 00:00:00","U","2024-08-15 02:40:00","","377579.040798154","465456.092113094","후원방문판매업","0","6950902186",
"129","후원방문판매업체","08_26_05_P","6530000","20226530000301000062","2022-07-22","","03","폐업","4","폐업","2023-11-22","","","","","","25551","강원특별자치도 강릉시 옥천동  ***번지 *호","강원특별자치도 강릉시 율곡로 ****, *층(옥천동)","","럭셔리뷰티 강릉중앙점","2023-11-22 00:00:00","U","2023-11-24 02:40:00","","367066.273818605","474622.492533698","후원방문판매업","0","7933301040",
"130","후원방문판매업체","08_26_05_P","6530000","20226530000301000063","2022-08-22","","03","폐업","4","폐업","2024-03-20","","","","","","25528","강원특별자치도 강릉시 용강동  *번지 *호","강원특별자치도 강릉시 임영로 ***, *층(용강동)","","바로그 인셀덤","2024-03-26 00:00:00","U","2024-03-28 02:40:00","","366609.178606698","474391.131896519","후원방문판매업","0","8560102510",
"131","후원방문판매업체","08_26_05_P","6530000","20226530000301000064","2022-08-22","","03","폐업","4","폐업","2024-04-23","","","","","","26155","강원특별자치도 정선군 고한읍 고한리 **번지 **호 고한주공아파트 ***동 ***호","강원특별자치도 정선군 고한읍 고한**길 **, ***동 ***호(고한주공아파트)","","수예 대리점","2024-04-26 00:00:00","U","2024-04-28 02:40:00","","364864.137099581","412487.294560309","후원방문판매업","0","3651102099",
"132","후원방문판매업체","08_26_05_P","6530000","20136530000301000134","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","225-807","강원특별자치도 횡성군 횡성읍 읍상리 ***번지 *호","강원특별자치도 횡성군 횡성읍 화성로*번길 *","","마임 횡성동부대리점","2017-06-07 00:00:00","I","2023-06-16 00:19:48","","287252.488915123","443744.62573634","후원방문판매업","0","",
"133","후원방문판매업체","08_26_05_P","6530000","20136530000301000135","2013-08-20","","03","폐업","4","폐업","2021-11-24","","","","","","240-170","강원특별자치도 동해시 나안동  ***번지 *호 ***호","강원특별자치도 동해시 청운*길 **, ***호 (나안동)","","마임 효가대리점","2021-11-26 00:00:00","I","2023-06-16 00:19:48","","386573.139646903","444775.772916733","후원방문판매업","0","2220154646",
"134","후원방문판매업체","08_26_05_P","6530000","20136530000301000137","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","245-906","강원특별자치도 삼척시 도계읍 도계리 ***번지 *호","강원특별자치도 삼척시 도계읍 도계로*길 *","","마임 도계지사","2017-06-08 00:00:00","I","2023-06-16 00:19:48","","381388.937446837","416805.98795139","후원방문판매업","0","",
"135","후원방문판매업체","08_26_05_P","6530000","20136530000301000140","2013-08-20","","03","폐업","4","폐업","2018-09-19","","","","0000000000","","255-804","강원특별자치도 양구군 양구읍 상리 ***번지 *호","강원특별자치도 양구군 양구읍 해시계로 **","","마임 양구지사","2018-09-20 00:00:00","I","2023-06-16 00:19:48","","286721.540475144","511815.53427517","후원방문판매업","0","2211048430",
"136","후원방문판매업체","08_26_05_P","6530000","20186530000301000001","2018-01-03","","03","폐업","4","폐업","2022-10-31","","","","0336370854","","24853","강원특별자치도 속초시 교동  ***번지 *호","강원특별자치도 속초시 중앙로 *, *층 ***호 (교동)","","동인비 속초대리점","2022-11-07 00:00:00","I","2023-06-16 00:19:48","","338155.633638091","522802.269690378","후원방문판매업","0","7390400557",
"137","후원방문판매업체","08_26_05_P","6530000","20186530000301000002","2018-02-21","","03","폐업","4","폐업","2020-04-28","","","","","","25550","강원특별자치도 강릉시 옥천동  ***번지 *호","강원특별자치도 강릉시 용지로 *** (옥천동)","","마임옥천대리점","2020-04-28 00:00:00","I","2023-06-16 00:19:48","","367456.728898511","475058.187664494","후원방문판매업","0","4471700338",
"138","후원방문판매업체","08_26_05_P","6530000","20186530000301000004","2018-06-14","","03","폐업","4","폐업","2020-12-29","","","","0337618330","","26441","강원특별자치도 원주시 명륜동  ***번지 *호","강원특별자치도 원주시 향교길 **, *층 (명륜동)","","마임 원주명륜지사","2021-01-08 00:00:00","I","2023-06-16 00:19:48","","284210.861281569","426751.191779295","후원방문판매업","0","8586100263",
"139","후원방문판매업체","08_26_05_P","6530000","20136530000301000091","2013-08-20","","03","폐업","4","폐업","2020-06-01","","","","0333431184","","225-808","강원특별자치도 횡성군 횡성읍 읍하리 **번지","강원특별자치도 횡성군 횡성읍 태기로 **","","아모레퍼시픽 횡성특약점","2020-05-29 00:00:00","I","2023-06-16 00:19:48","","287152.849332232","443672.24879694","후원방문판매업","0","3040634699",
"140","후원방문판매업체","08_26_05_P","6530000","20196530000301000001","2019-01-03","","03","폐업","4","폐업","2020-12-28","","","","","","25023","강원특별자치도 양양군 양양읍 남문리 **번지 *호","강원특별자치도 양양군 양양읍 양양로 **, *층","","셀트리온 스킨큐어&바디(양양 자영센터)","2021-01-08 00:00:00","I","2023-06-16 00:19:48","","342161.073560173","509253.941162481","후원방문판매업","0","2270589736",
"141","후원방문판매업체","08_26_05_P","6530000","20196530000301000002","2019-01-03","","03","폐업","4","폐업","2021-09-30","","","","","","26109","강원특별자치도 정선군 임계면 고양리 ***번지 **호","강원특별자치도 정선군 임계면 반천고양로 ****-*","","아리랑 대리점(알즈너)","2021-10-15 00:00:00","I","2023-06-16 00:19:48","","361265.100964082","438036.081141425","후원방문판매업","0","3591400855",
"142","후원방문판매업체","08_26_05_P","6530000","20176530000301000002","2017-03-30","","03","폐업","4","폐업","2024-01-12","","","","0337331403","","","강원특별자치도 원주시 무실동  ****번지 *호","강원특별자치도 원주시 시청로 *, *층 (무실동,로얄타워)","","아모레퍼시픽 원주중앙특약점","2024-01-23 00:00:00","U","2024-01-25 02:40:00","","281614.11717558","426991.761922349","후원방문판매업","0","5500700654",
"143","후원방문판매업체","08_26_05_P","6530000","20136530000301000096","2013-08-20","","03","폐업","4","폐업","2020-03-31","","","","0337473553","","220-938","강원특별자치도 원주시 단계동  ***번지 *호","강원특별자치도 원주시 장미공원길 **-**, *층 (단계동,보람빌딩)","","아모레퍼시픽 원주특약점","2020-03-26 00:00:00","I","2023-06-16 00:19:48","","282345.797596095","427460.539952419","후원방문판매업","0","5140347432",
"144","후원방문판매업체","08_26_05_P","6530000","20136530000301000097","2013-08-20","","03","폐업","4","폐업","2021-12-31","","","","0337622563","","26448","강원특별자치도 원주시 개운동  ***번지 *호","강원특별자치도 원주시 단구로 ***, *층 (개운동)","","아모레퍼시픽 치악특약점","2021-12-13 00:00:00","I","2023-06-16 00:19:48","","284125.307399186","426266.100931181","후원방문판매업","0","2240543032",
"145","후원방문판매업체","08_26_05_P","6530000","20136530000301000029","2013-08-20","","03","폐업","4","폐업","2024-12-31","","","","0332620510","","24390","강원특별자치도 춘천시 석사동  ***번지 **호","강원특별자치도 춘천시 퇴계로 ***, *층(석사동)","","주식회사 럭셔리뷰티 춘천점","2025-03-04 00:00:00","U","2025-03-06 02:40:00","","","","후원방문판매업","0","8098702750",
"146","후원방문판매업체","08_26_05_P","6530000","20136530000301000024","2013-08-20","","03","폐업","4","폐업","2021-08-06","","","","0333455255","","225-808","강원특별자치도 횡성군 횡성읍 읍하리 ***번지 *호","강원특별자치도 횡성군 횡성읍 앞들서*로 **","","엘지오휘화장품 횡성지사","2021-08-06 00:00:00","I","2023-06-16 00:19:48","","286912.458719846","443281.098215482","후원방문판매업","0","2270431197",
"147","후원방문판매업체","08_26_05_P","6530000","20146530000301000009","2014-07-15","","03","폐업","4","폐업","2022-12-27","","","","0336335662","","24835","강원특별자치도 속초시 교동  ***번지 **호","강원특별자치도 속초시 교동로 *, *층 (교동)","","아모레퍼시픽 설악특약점","2022-12-27 00:00:00","I","2023-06-16 00:19:48","","","","후원방문판매업","0","2270675485",
"148","후원방문판매업체","08_26_05_P","6530000","20136530000301000060","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","200-936","강원특별자치도 춘천시 석사동  ***번지 *호","강원특별자치도 춘천시 퇴계로 *** (석사동)","","뉴랜드알로에 강남지사","2017-06-08 00:00:00","I","2023-06-16 00:19:48","","265015.004575747","484149.723458304","후원방문판매업","0","",
"149","후원방문판매업체","08_26_05_P","6530000","20136530000301000061","2013-08-20","","03","폐업","4","폐업","","","","","","","220-060","강원특별자치도 원주시 원동  **번지 *호","강원특별자치도 원주시 일산로 **, *층 (원동)","","뉴랜드알로에 원주중앙지사","2017-06-07 00:00:00","I","2023-06-16 00:19:48","","284082.345020941","427623.322230919","후원방문판매업","0","2240662996",
"150","후원방문판매업체","08_26_05_P","6530000","20136530000301000062","2013-08-20","","03","폐업","4","폐업","2023-04-17","","","","0337641170","","220-932","강원특별자치도 원주시 개운동  ***번지 **호","강원특별자치도 원주시 남원로 ***-* (개운동)","","뉴랜드알로에 원주동부지사","2023-04-24 00:00:00","I","2023-06-16 00:19:48","","283941.422963268","426068.548607459","후원방문판매업","0","2210497930",
"151","후원방문판매업체","08_26_05_P","6530000","20136530000301000063","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","220-951","강원특별자치도 원주시 봉산동  ****번지 *호","강원특별자치도 원주시 치악로 ****, *층 (봉산동)","","뉴랜드알로에 (원주)","2017-06-08 00:00:00","I","2023-06-16 00:19:48","","284661.64144765","428031.211940507","후원방문판매업","0","",
"152","후원방문판매업체","08_26_05_P","6530000","20136530000301000064","2013-08-20","","03","폐업","4","폐업","2025-02-27","","","","","","","강원특별자치도 원주시 판부면 서곡리 ****번지 **호","강원특별자치도 원주시 판부면 매봉길 **-*","","이든네이처 원주매봉지사","2025-02-27 00:00:00","U","2025-03-01 02:40:00","","283548.462967149","424694.815687089","후원방문판매업","0","2241562299",
"153","후원방문판매업체","08_26_05_P","6530000","20136530000301000065","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","210-924","강원특별자치도 강릉시 교동  ***번지 *호","강원특별자치도 강릉시 강릉대로 ***, *층 (교동)","","뉴랜드알로에 (강릉)","2017-06-08 00:00:00","I","2023-06-16 00:19:48","","365872.540419234","474183.237271261","후원방문판매업","0","",
"154","후원방문판매업체","08_26_05_P","6530000","20136530000301000066","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","210-040","강원특별자치도 강릉시 성내동  **번지 *층","강원특별자치도 강릉시 임영로 ***, *층 (성내동,*층)","","뉴랜드알로에 (강릉)","2017-06-08 00:00:00","I","2023-06-16 00:19:48","","366809.062945597","473843.474364067","후원방문판매업","0","",
"155","후원방문판매업체","08_26_05_P","6530000","20136530000301000068","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","217-764","강원특별자치도 속초시 조양동  ****번지 **호 성호아파트 ***호","강원특별자치도 속초시 청대로 *, ***호 (조양동,성호아파트상가)","","뉴랜드알로에 속초지사","2017-06-08 00:00:00","I","2023-06-16 00:19:48","","340017.617224041","521415.585876782","후원방문판매업","0","",
"156","후원방문판매업체","08_26_05_P","6530000","20136530000301000069","2013-08-20","","03","폐업","4","폐업","2020-09-14","","","","0334627156","","24635","강원특별자치도 인제군 인제읍 상동리 ***번지 **호","강원특별자치도 인제군 인제읍 인제로 ***, *층","","마임 인제지사","2020-09-15 00:00:00","I","2023-06-16 00:19:48","","302880.31638094","508044.750070102","후원방문판매업","0","2230359309",
"157","후원방문판매업체","08_26_05_P","6530000","20136530000301000070","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","250-805","강원특별자치도 홍천군 홍천읍 신장대리 *번지 *호","강원특별자치도 홍천군 홍천읍 신장대로 **","","마임 홍천지사","2017-06-07 00:00:00","I","2023-06-16 00:19:48","","278186.329437617","465780.628107975","후원방문판매업","0","",
"158","후원방문판매업체","08_26_05_P","6530000","20136530000301000071","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","250-809","강원특별자치도 홍천군 홍천읍 희망리 ***번지 *호","강원특별자치도 홍천군 홍천읍 홍천로*길 *","","마임 홍천북부지사","2017-06-07 00:00:00","I","2023-06-16 00:19:48","","277811.57281594","465582.431077321","후원방문판매업","0","",
"159","후원방문판매업체","08_26_05_P","6530000","20136530000301000073","2013-08-20","","03","폐업","4","폐업","2018-12-20","","","","0000000000","","","강원특별자치도 춘천시 석사동  ***번지 *호","강원특별자치도 춘천시 스무숲*길 **, *층 (석사동)","","마임 춘천호반본부","2018-12-21 00:00:00","I","2023-06-16 00:19:48","","265985.268490214","483187.15222539","후원방문판매업","0","2210479010",
"160","후원방문판매업체","08_26_05_P","6530000","20136530000301000074","2013-08-20","","03","폐업","4","폐업","","","","","0000000000","","200-935","강원특별자치도 춘천시 석사동  ***번지 *호","강원특별자치도 춘천시 후석로 **, *층 (석사동)","","마임 춘천석사본부","2017-06-07 00:00:00","I","2023-06-16 00:19:48","","265333.109334877","484416.495161915","후원방문판매업","0","",
"161","후원방문판매업체","08_26_05_P","6530000","20136530000301000077","2013-08-20","","03","폐업","4","폐업","2023-04-12","","","","0332573331","","200-938","강원특별자치도 춘천시 온의동  ***번지 *호","강원특별자치도 춘천시 충혼길**번길 *-* (온의동)","","뉴랜드올레이처 춘천서부본부","2023-04-12 00:00:00","I","2023-06-16 00:19:48","","263421.348275492","484735.724652317","후원방문판매업","0","2210951899",
"162","후원방문판매업체","08_26_05_P","6530000","20136530000301000079","2013-08-20","","03","폐업","4","폐업","2023-03-31","","","","","","200-936","강원특별자치도 춘천시 석사동  ***번지 *호","강원특별자치도 춘천시 퇴계로 *** (석사동)","","뉴랜드알로에 호반본부","2023-04-06 00:00:00","I","2023-06-16 00:19:48","","265015.004575747","484149.723458304","후원방문판매업","0","2210481743",
"163","후원방문판매업체","08_26_05_P","6530000","20136530000301000080","2013-08-20","","03","폐업","4","폐업","","","","","0332518959","","200-944","강원특별자치도 춘천시 퇴계동  ***번지 ***호","강원특별자치도 춘천시 춘주로***번길 *, ***호 (퇴계동)","","김정문알로에 춘천지점","2017-06-07 00:00:00","I","2023-06-16 00:19:48","","263957.839614185","484504.452719248","후원방문판매업","0","2211212163",
"164","후원방문판매업체","08_26_05_P","6530000","20226530000301000066","2022-08-22","","03","폐업","4","폐업","2024-04-01","","","","","","26464","강원특별자치도 원주시 반곡동  ****번지 *호 ***호","강원특별자치도 원주시 세계로 *, ***호 (반곡동)","","인셀덤 로뎀","2024-04-04 00:00:00","U","2024-04-06 02:40:00","","287507.652957799","425180.634405302","후원방문판매업","0","1432101602",
"165","후원방문판매업체","08_26_05_P","6530000","20226530000301000067","2022-08-22","","03","폐업","4","폐업","2025-01-06","","","","","","25376","강원특별자치도 평창군 평창읍 하리 **번지 **호 평창종합상가 ***호","강원특별자치도 평창군 평창읍 문화길 **-*, 평창종합상가 ***호","","인셀덤 평창 서울본부대리점","2025-01-06 00:00:00","U","2025-01-08 02:40:00","","323388.231724254","430323.60698934","후원방문판매업","0","4120735910",
"166","후원방문판매업체","08_26_05_P","6530000","20226530000301000068","2022-08-23","","03","폐업","4","폐업","2025-01-06","","","","","","26478","강원특별자치도 원주시 무실동  ****번지 *호 더샵원주센트럴파크*단지 ***동 B***호","강원특별자치도 원주시 무실새골길 **, ***동 B***호 (무실동, 더샵 원주센트럴파크 *단지)","","스카이 퀸","2025-01-06 00:00:00","U","2025-01-08 02:40:00","","282896.621691916","425975.233349564","후원방문판매업","0","2890202610",
"167","후원방문판매업체","08_26_05_P","6530000","20226530000301000069","2022-09-05","","03","폐업","4","폐업","2024-08-07","","","","","","25489","강원특별자치도 강릉시 교동  **번지 *호 교동한신아파트","강원특별자치도 강릉시 명륜로 **-*, ***동 ****호(교동, 교동한신아파트)","","강릉대리파이진","2024-08-13 00:00:00","U","2024-08-15 02:40:00","","367272.559742729","475648.903285786","후원방문판매업","0","5829601289",
"168","후원방문판매업체","08_26_05_P","6530000","20226530000301000070","2022-09-26","","03","폐업","4","폐업","2025-01-06","","","","","","25750","강원특별자치도 동해시 천곡동  ****번지 *호 ES아뜨리움아파트 ***동 ***호","강원특별자치도 동해시 평릉길 **-*, ***동 ***호(천곡동, ES아뜨리움아파트)","","인셀덤 코리아","2025-01-06 00:00:00","U","2025-01-08 02:40:00","","385554.340018412","449236.804869496","후원방문판매업","0","7772801457",
"169","후원방문판매업체","08_26_05_P","6530000","20226530000301000071","2022-09-26","","03","폐업","4","폐업","2024-07-31","","","","","","26352","강원특별자치도 원주시 지정면 가곡리 ****번지 *호 원주기업도시라온프라이빗 ***동 ***호","강원특별자치도 원주시 지정면 가곡로 ***, ***동 ***호(원주기업도시 라온프라이빗)","","파이진최기중대리점","2024-08-13 00:00:00","U","2024-08-15 02:40:00","","277379.389310467","431624.383212252","후원방문판매업","0","7890102753",
"170","후원방문판매업체","08_26_05_P","6530000","20226530000301000072","2022-10-17","","03","폐업","4","폐업","2024-05-02","","","","","","","강원특별자치도 강릉시 노암동  ***번지 *호 노암*차한라아파트 ***동 ***호","강원특별자치도 강릉시 남부로***번길 *, ***동 ***호(노암동, 노암*차한라아파트)","","인셀덤지엔투(GNII)","2024-05-09 00:00:00","U","2024-05-11 02:40:00","","366762.490316996","472740.864391495","후원방문판매업","0","1950302587",
"171","후원방문판매업체","08_26_05_P","6530000","20226530000301000073","2022-10-17","","03","폐업","4","폐업","2024-02-01","","","","","","25599","강원특별자치도 강릉시 회산동  ***번지 *호 ***동 ***호","강원특별자치도 강릉시 관솔길**번길 **-*, ***동 ***호 (회산동)","","미주리 인셀덤","2024-02-08 00:00:00","U","2024-02-11 02:40:00","","364518.81237392","472455.455173446","후원방문판매업","0","1817600435",
"172","후원방문판매업체","08_26_05_P","6530000","20136530000301000013","2013-08-20","","03","폐업","4","폐업","2019-12-27","","","","0337655959","","26441","강원특별자치도 원주시 명륜동  ***번지 **호","강원특별자치도 원주시 남원로 ***-*, *층 (명륜동)","","리엔케이화장품 개운","2019-12-27 00:00:00","I","2023-06-16 00:19:48","","284322.782088058","426877.320747523","후원방문판매업","0","2241527292",
"173","후원방문판매업체","08_26_05_P","6530000","20196530000301000003","2019-09-05","","03","폐업","4","폐업","2021-04-29","","","","","","26460","강원특별자치도 원주시 반곡동  ****번지 *호 ***호","강원특별자치도 원주시 혁신로 **, *층 ***호 (반곡동)","","셀트리온스킨큐어 뷰티스페이스 원주센터","2021-04-30 00:00:00","I","2023-06-16 00:19:48","","286530.401496353","425229.266366716","후원방문판매업","0","2750900780",
"174","후원방문판매업체","08_26_05_P","6530000","20136530000301000139","2013-08-20","","03","폐업","4","폐업","2020-02-04","","","","0000000000","","200-943","강원특별자치도 춘천시 퇴계동  **번지 퇴계타운상가 ***호","강원특별자치도 춘천시 안마산로 ***, *층 ***호 (퇴계동,퇴계타운상가)","","마임 퇴계센터","2020-02-04 00:00:00","I","2023-06-16 00:19:48","","264855.838698284","483301.263496797","후원방문판매업","0","2210379556",
"175","후원방문판매업체","08_26_05_P","6530000","20136530000301000147","2013-08-20","","03","폐업","4","폐업","2020-02-08","","","","0000000000","","220-150","강원특별자치도 원주시 무실동  ****번지 **호 애드피아빌딩 ***호","강원특별자치도 원주시 시청로 **, ***호 (무실동,애드피아빌딩)","","마임 무실지사","2020-02-07 00:00:00","I","2023-06-16 00:19:48","","282169.220583111","426442.961504571","후원방문판매업","0","2240870317",
"176","후원방문판매업체","08_26_05_P","6530000","20206530000301000001","2020-02-25","","03","폐업","4","폐업","2024-04-25","","","","0337623965","","","강원특별자치도 원주시 단구동  ****번지 *호","강원특별자치도 원주시 단구로 ***-**, 우리빌딩 ***호 (단구동)","","아모레 원주제일 특약점","2024-04-30 00:00:00","U","2024-05-02 02:40:00","","284601.967465489","425310.099474629","후원방문판매업","0","5700401603",
"177","후원방문판매업체","08_26_05_P","6530000","20206530000301000002","2020-02-28","","03","폐업","4","폐업","2020-08-31","","","","","","","강원특별자치도 춘천시 신동면 증리 ***번지 *호","강원특별자치도 춘천시 신동면 김유정로 ****","","인셀덤 춘천 김유정점","2020-09-18 00:00:00","I","2023-06-16 00:19:48","","263053.830394992","479865.094981703","후원방문판매업","0","5190100743",
"178","후원방문판매업체","08_26_05_P","6530000","20226530000301000034","2022-05-19","","03","폐업","4","폐업","2024-01-12","","","","","","25546","강원특별자치도 강릉시 포남동  ****번지 *호","강원특별자치도 강릉시 경강로 ****, ***호(포남동)","","레디언스뷰티 인셀덤","2024-01-23 00:00:00","U","2024-01-25 02:40:00","","368108.426636589","475332.061217171","후원방문판매업","0","6032440980",
"179","후원방문판매업체","08_26_05_P","6530000","20226530000301000035","2022-05-23","","03","폐업","4","폐업","2024-08-09","","","","","","25596","강원특별자치도 강릉시 노암동  ***번지 *호 남산현대아파트 ***동 ***호","강원특별자치도 강릉시 남부로***번길 **, ***동 ***호(노암동, 남산현대아파트)","","파이진최연숙대리점","2024-08-19 00:00:00","U","2024-08-21 02:40:00","","366753.738202509","472826.865733027","후원방문판매업","0","6683801190",
"180","후원방문판매업체","08_26_05_P","6530000","20226530000301000036","2022-05-23","","03","폐업","4","폐업","2024-08-08","","","","","","25616","강원특별자치도 강릉시 입암동  ***번지 *호 이안강릉타운아파트 ***동 ****호","강원특별자치도 강릉시 성덕로 ***-**, ***동 ****호(입암동, 이안강릉타운아파트)","","파이진정주영","2024-08-13 00:00:00","U","2024-08-15 02:40:00","","369179.948552923","474323.45415817","후원방문판매업","0","5496400415",
"181","후원방문판매업체","08_26_05_P","6530000","20226530000301000037","2022-06-14","","03","폐업","4","폐업","2025-01-06","","","","","","26461","강원특별자치도 원주시 반곡동  ****번지 *호","강원특별자치도 원주시 양지뜰*길 *, *호(반곡동)","","조이 인셀덤","2025-01-06 00:00:00","U","2025-01-08 02:40:00","","","","후원방문판매업","0","2842001788",
"182","후원방문판매업체","08_26_05_P","6530000","20226530000301000038","2022-06-14","","03","폐업","4","폐업","2025-01-06","","","","","","26442","강원특별자치도 원주시 개운동  ***번지 *호","강원특별자치도 원주시 치악로 ****, *층(개운동)","","인앤아웃뷰티","2025-01-06 00:00:00","U","2025-01-08 02:40:00","","284602.621104392","426994.894847882","후원방문판매업","0","7780102826",
"183","후원방문판매업체","08_26_05_P","6530000","20226530000301000039","2022-06-14","","03","폐업","4","폐업","2024-02-01","","","","","","25303","강원특별자치도 평창군 봉평면 창동리 ***번지 *호","강원특별자치도 평창군 봉평면 기풍로 ***, ***호","","트윙클리치인셀덤","2024-02-08 00:00:00","U","2024-02-11 02:40:00","","321619.233838401","457963.983203391","후원방문판매업","0","8275300769",
"184","후원방문판매업체","08_26_05_P","6530000","20226530000301000040","2022-06-14","","03","폐업","4","폐업","2023-02-28","","","","","","25469","강원특별자치도 강릉시 초당동  ***번지 *호 초당유화*차아파트 A동 ****호","강원특별자치도 강릉시 연당길 **-*, A동 ****호(초당동, 초당유화*차아파트)","","블루멜로우 인셀덤","2023-03-03 00:00:00","I","2023-06-16 00:19:48","","368556.121237624","477610.850820819","후원방문판매업","0","5754400662",
"185","후원방문판매업체","08_26_05_P","6530000","20226530000301000041","2022-06-14","","03","폐업","4","폐업","2024-04-01","","","","","","26155","강원특별자치도 정선군 고한읍 고한리 ***번지 *호 ***호","강원특별자치도 정선군 고한읍 고토일길 ***, ***호","","월드 인셀덤","2024-04-04 00:00:00","U","2024-04-06 02:40:00","","364083.911101455","414673.007198967","후원방문판매업","0","5294101032",
"186","후원방문판매업체","08_26_05_P","6530000","20226530000301000042","2022-06-14","","03","폐업","4","폐업","2024-08-01","","","","","","24851","강원특별자치도 속초시 교동  ****번지 *호 하우스토리 ***동 ***호","강원특별자치도 속초시 동해대로 ****, ***동 ***호 (교동, 하우스토리)","","인셀덤 코코","2024-08-13 00:00:00","U","2024-08-15 02:40:00","","337734.451413669","522984.262305789","후원방문판매업","0","2927400425",
"187","후원방문판매업체","08_26_05_P","6530000","20226530000301000043","2022-06-14","","03","폐업","4","폐업","2023-05-08","","","","","","26346","강원특별자치도 원주시 지정면 가곡리 ****번지 *호 이지더원더그레이스아파트 ***동 ****호","강원특별자치도 원주시 지정면 신지정로 ***, ***동 **층 *호(이지더원 더 그레이스 아파트)","","리본 Reborn 서울본부 인셀덤","2023-05-08 00:00:00","I","2023-06-16 00:19:48","","276864.510011037","430918.313103026","후원방문판매업","0","4601401964",
"188","후원방문판매업체","08_26_05_P","6530000","20226530000301000044","2022-06-14","","03","폐업","4","폐업","2024-07-01","","","","","","26461","강원특별자치도 원주시 반곡동  ****번지 **호 제일풍경채센텀포레아파트 ***동 ***호","강원특별자치도 원주시 배울로 ***, ***동 ***호 (반곡동, 제일풍경채 센텀포레아파트)","","인셀덤이레대리점","2024-07-03 00:00:00","U","2024-07-05 02:40:00","","","","후원방문판매업","0","7122601418",
"189","후원방문판매업체","08_26_05_P","6530000","20226530000301000045","2022-06-27","","03","폐업","4","폐업","2023-01-04","","","","","","25131","강원특별자치도 홍천군 홍천읍 갈마곡리 ***번지 *호","강원특별자치도 홍천군 홍천읍 닭바위*길 **","","커피랑","2023-01-04 00:00:00","I","2023-06-16 00:19:48","","279409.658464841","466288.235404106","후원방문판매업","0","2230465185",
"190","후원방문판매업체","08_26_05_P","6530000","20136530000301000081","2013-08-20","","03","폐업","4","폐업","2021-02-23","","","","0332617767","","24217","강원특별자치도 춘천시 동면 만천리 ***번지 *호","강원특별자치도 춘천시 동면 만천로***번길 **, *층","","뉴랜드 올네이처 동부지사","2021-03-02 00:00:00","I","2023-06-16 00:19:48","","267067.467441373","486567.384908085","후원방문판매업","0","2210379575",
"191","후원방문판매업체","08_26_05_P","6530000","20136530000301000083","2013-08-20","","03","폐업","4","폐업","2020-08-14","","","","","","200-936","강원특별자치도 춘천시 석사동  ***번지 *호","강원특별자치도 춘천시 퇴계로 *** (석사동)","","뉴랜드알로에 소양본부","2020-08-14 00:00:00","I","2023-06-16 00:19:48","","265015.004575747","484149.723458304","후원방문판매업","0","2210324857",
"192","후원방문판매업체","08_26_05_P","6530000","20136530000301000084","2013-08-20","","03","폐업","4","폐업","2023-04-02","","","","0332556667","","200-969","강원특별자치도 춘천시 후평동  ***번지","강원특별자치도 춘천시 춘천로 *** (후평동)","","뉴랜드올레이처 남부본부","2023-04-06 00:00:00","I","2023-06-16 00:19:48","","265347.161424125","486616.688921028","후원방문판매업","0","2210951884",
"193","후원방문판매업체","08_26_05_P","6530000","20136530000301000182","2013-08-20","","03","폐업","4","폐업","2014-12-29","","","","0336431002","","210-922","강원특별자치도 강릉시 교동  ***번지 **호","강원특별자치도 강릉시 율곡로 **** (교동)","","(주)에이에스 상조","2017-12-11 00:00:00","I","2023-06-16 00:19:48","","366470.365761522","476185.270818728","후원방문판매업","0","2268136619",
"194","후원방문판매업체","08_26_05_P","6530000","20156530000301000001","2015-01-26","","03","폐업","4","폐업","2021-04-30","","","","0332561537","","","강원특별자치도 춘천시 운교동  ***-*번지","강원특별자치도 춘천시 금강로 *** (운교동)","","이롬 황성주생식 강원춘천지국","2021-04-26 00:00:00","I","2023-06-16 00:19:48","","264367.9499944","486123.674740555","후원방문판매업","0","2211344847",
