"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","점포구분명",
"74","대규모점포","08_25_01_P","4231000","2003423005107500001","2003-10-30","","01","영업/정상","1","정상영업","","","","","033-630-1054","9448","","강원특별자치도 속초시 청호동 459-134 E마트","강원특별자치도 속초시 설악금강대교로 12, E마트 (청호동)","24885","(주)이마트 속초점","2024-04-17 13:22:16","U","2024-04-19 02:40:00","대형마트","339761.153723826","522089.806016399","대규모점포",
"75","대규모점포","08_25_01_P","4231000","2004423005107500002","2004-04-29","","01","영업/정상","1","정상영업","","","","","033 6353501","0","","강원특별자치도 속초시 중앙동 471번지 4호","강원특별자치도 속초시 중앙로147번길 12 (중앙동)","217-030","속초종합중앙시장상인회","2011-10-30 13:35:32","I","2023-06-13 00:00:00","그 밖의 대규모점포","339217.40641696","523592.327071737","대규모점포",
"76","대규모점포","08_25_01_P","4231000","2010423006407500001","2010-09-15","","01","영업/정상","1","정상영업","","","","","033 637 1501","6813.14","217-060","강원특별자치도 속초시 교동 673번지 1호","강원특별자치도 속초시 동해대로 4202 (교동)","217-803","속초농협하나로마트엑스포지점","2021-11-24 09:38:31","I","2023-06-13 00:00:00","대형마트","338253.717723804","522445.158586875","대규모점포",
"77","대규모점포","08_25_01_P","4231000","2004423005107500001","2003-11-06","","02","휴업","2","휴업처리","","","","","02  380 5231","0","","강원특별자치도 속초시 청호동 459번지 134호","강원특별자치도 속초시 설악금강대교로 12 (청호동)","","신세계E마트속초점","2007-07-14 10:50:08","I","2023-06-13 00:00:00","대형마트","339761.153723826","522089.806016399","",
"78","대규모점포","08_25_01_P","4231000","2004423005107500003","1994-09-12","","02","휴업","2","휴업처리","","2025-04-02","2026-04-01","","033 6362020","4093.84","","강원특별자치도 속초시 교동 737번지 7   호","강원특별자치도 속초시 동해대로 4236 (교동)","217-060","아남프라자","2025-03-20 11:12:07","U","2025-03-22 02:40:00","그 밖의 대규모점포","338132.520338395","522766.508207672","대규모점포",
"79","대규모점포","08_25_01_P","4231000","2002423004307500001","2002-05-02","","03","폐업","3","폐업처리","2005-08-24","","","","033-637-1100","4101.24","","강원특별자치도 속초시 조양동 663-1호","","","대원마트","2008-06-25 14:54:10","I","2023-06-13 00:00:00","대형마트","","","",
"80","대규모점포","08_25_01_P","4231000","2002423004307500002","2002-09-23","","03","폐업","3","폐업처리","2006-11-01","","","","033635 5000","0","","강원특별자치도 속초시 조양동 1498번지 2호","강원특별자치도 속초시 조양상가길 25 (조양동)","","D-마트","2008-06-25 14:49:35","I","2023-06-13 00:00:00","대형마트","338339.974552757","521995.523480661","",
"81","대규모점포","08_25_01_P","4231000","2005423005107500001","2005-12-13","","01","영업/정상","BBBB","","","","","","033 6355000","3385.42","","강원특별자치도 속초시 조양동 1498번지 2호","강원특별자치도 속초시 조양상가길 25 (조양동)","","D-마트","2007-07-14 10:50:08","I","2023-06-13 00:00:00","그 밖의 대규모점포","338339.974552757","521995.523480661","",
"82","대규모점포","08_25_01_P","4241000","2006424001007500001","2006-08-14","","01","영업/정상","1","정상영업","","","","","0335718000","13710.13","","강원특별자치도 삼척시 당저동 33번지 3호","강원특별자치도 삼척시  중앙로  258 (당저동)","","홈플러스(주)삼척점","2024-03-05 09:03:48","U","2024-03-07 02:40:00","대형마트","391815.78579528","440452.323948572","대규모점포",
"83","대규모점포","08_25_01_P","4241000","2006424001007500002","2006-10-24","","01","영업/정상","1","정상영업","","","","","033 573 6972","13710.13","","강원특별자치도 삼척시 당저동 33번지 3  호","강원특별자치도 삼척시 중앙로 258 (당저동)","","삼성테스코(주)홈플러스삼척점","2011-10-31 14:27:41","I","2023-06-13 00:00:00","대형마트","391815.78579528","440452.323948572","",
"84","대규모점포","08_25_01_P","4241000","2009424011307500001","2009-04-17","","01","영업/정상","1","정상영업","","","","","","27420","245-070","강원특별자치도 삼척시 당저동","","","삼성데스코 홈플러스 삼척점","2011-10-31 14:21:29","I","2023-06-13 00:00:00","그 밖의 대규모점포","","","",
"85","대규모점포","08_25_01_P","4241000","2014424011307500001","1999-09-14","","01","영업/정상","1","정상영업","","","","","572-0909","21365","","","강원특별자치도 삼척시 진주로 12-21 (남양동, 중앙시장)","245-722","삼척중앙시장","2022-02-22 08:49:42","I","2023-06-13 00:00:00","시장","391554.434447351","439972.918024365","대규모점포",
"86","대규모점포","08_25_01_P","4241000","2014424011307500003","2005-11-10","","01","영업/정상","1","정상영업","","","","","541-2656","2845","","","강원특별자치도 삼척시 도계읍 도계로 199","245-909","도계전두시장","2022-04-05 13:37:54","I","2023-06-13 00:00:00","시장","381204.855770761","415937.465434592","대규모점포",
"87","대규모점포","08_25_01_P","4241000","2019424019207500001","2019-07-05","","01","영업/정상","1","정상영업","","","","","02-380-9843","312.61","","강원특별자치도 삼척시 남양동 55번지 4호 중앙시장","강원특별자치도 삼척시 진주로 12-21, 중앙시장 (남양동)","25920","노브랜드 삼척중앙시장점","2024-04-29 10:34:09","U","2024-05-01 02:40:00","대형마트","391554.434447351","439972.918024365","준대규모점포",
"88","대규모점포","08_25_01_P","4251000","2011425009607500001","2011-07-26","","01","영업/정상","1","정상영업","","","","","033-435-0085","1441","250-805","강원특별자치도 홍천군 홍천읍 신장대리 62번지 1호","강원특별자치도 홍천군 홍천읍 홍천로 344","250-800","(주)지에스리테일홍천점","2016-02-05 14:23:14","I","2023-06-13 00:00:00","그 밖의 대규모점포","277870.200862898","465464.803193958","준대규모점포",
"89","대규모점포","08_25_01_P","4251000","2013425009607500001","2002-11-26","","01","영업/정상","1","정상영업","","","","","033-434-2689","3334","250-805","강원특별자치도 홍천군 홍천읍 신장대리 8번지 130호","강원특별자치도 홍천군 홍천읍 홍천로8길 13","","홍천시장","2017-11-17 09:24:13","I","2023-06-13 00:00:00","시장","278125.615018782","465735.074155747","대규모점포",
"90","대규모점포","08_25_01_P","4251000","2016425012107500001","2016-02-05","","01","영업/정상","1","정상영업","","","","","0334330085","1441","","","강원특별자치도 홍천군 홍천읍 홍천로 344","25139","(주) 지에스리테일 홍천점","2025-04-14 11:55:05","U","2025-04-16 02:40:00","그 밖의 대규모점포","277870.200862898","465464.803193958","준대규모점포",
"91","대규모점포","08_25_01_P","4251000","1981425004207500001","1981-10-27","","01","영업/정상","1","정상영업","","","","","033 4342955","4374.48","","강원특별자치도 홍천군 홍천읍 신장대리 5번지 3호","강원특별자치도 홍천군 홍천읍 홍천로8길 17","25137","홍천중앙시장","2020-01-29 17:54:00","I","2023-06-13 00:00:00","시장","278086.78842997","465792.77709058","대규모점포",
"92","대규모점포","08_25_01_P","4251000","1998425004207500001","1998-02-27","","01","영업/정상","1","정상영업","","","","","033 4355000","","","강원특별자치도 홍천군 북방면 소매곡리 산34호","강원특별자치도 홍천군 북방면 온천길 183","","홍천종합온천장","2007-06-30 10:43:21","I","2023-06-13 00:00:00","그 밖의 대규모점포","273789.496455895","466226.934730527","",
"93","대규모점포","08_25_01_P","4251000","2025425102207500001","2025-04-15","","01","영업/정상","1","정상영업","","","","","0334350085","1441","","강원특별자치도 홍천군 홍천읍 신장대리 62-1","강원특별자치도 홍천군 홍천읍 홍천로 344","25139","(주)지에스리테일 홍천점","2025-04-15 16:42:29","I","2025-04-17 00:10:40","그 밖의 대규모점포","277870.200862898","465464.803193958","준대규모점포",
"94","대규모점포","08_25_01_P","4251000","2002425004207500001","2002-11-26","","01","영업/정상","BBBB","","","","","","033 4342960","3334","","강원특별자치도 홍천군 홍천읍 신장대리 8-130호","","","홍천시장","2007-06-30 10:43:21","I","2023-06-13 00:00:00","그 밖의 대규모점포","","","",
"95","대규모점포","08_25_01_P","4261000","2009426005907500001","1998-08-04","","01","영업/정상","1","정상영업","","","","2006-05-31","342-2389","3174","","","강원특별자치도 횡성군 횡성읍 읍상서로5번길 26","225-807","(사)횡성시장조합","2014-09-18 11:18:00","I","2023-06-13 00:00:00","시장","287236.72400732","443498.929610833","대규모점포",
"96","대규모점포","08_25_01_P","4261000","2012426006307500001","2012-01-27","","03","폐업","3","폐업처리","2019-11-11","","","","033-344-5601","576.9","","","강원특별자치도 횡성군 횡성읍 태기로 29","225-807","롯데쇼핑(주)롯데슈퍼 횡성점","2019-11-11 15:26:08","I","2023-06-13 00:00:00","구분없음","287203.780662324","443693.265458422","준대규모점포",
"97","대규모점포","08_25_01_P","4271000","2011427005907500001","2011-06-24","","01","영업/정상","1","정상영업","","","","","033-373-5601","764.5","230-808","강원특별자치도 영월군 영월읍 하송리 251번지 2호","강원특별자치도 영월군 영월읍 중앙로 5-10","230-881","롯데쇼핑(주) 롯데슈퍼 영월점","2025-04-24 15:05:43","U","2025-04-26 02:40:00","그 밖의 대규모점포","329961.246335626","410133.019258366","준대규모점포",
"98","대규모점포","08_25_01_P","4271000","2014427007007500001","2014-06-23","","04","취소/말소/만료/정지/중지","4","직권취소","","","","","033-374-5601","764.5","","","강원특별자치도 영월군 영월읍 중앙로 5-10","230-881","롯데쇼핑(주) 롯데슈퍼 영월점","2021-12-24 08:59:01","I","2023-06-13 00:00:00","구분없음","329961.246335626","410133.019258366","준대규모점포",
"99","대규모점포","08_25_01_P","4281000","2011428008307500001","2011-11-04","","01","영업/정상","1","정상영업","","","","","033-335-5601","654.25","232-948","강원특별자치도 평창군 진부면 하진부리 206번지 9호","강원특별자치도 평창군 진부면 진부시장뒷길 57-3","232-940","롯데쇼핑(주)롯데슈퍼평창진부점","2025-05-13 10:22:19","U","2025-05-15 02:40:00","복합쇼핑몰","337498.910963726","460723.341252456","준대규모점포",
"100","대규모점포","08_25_01_P","4291000","2009429004007500001","1966-02-17","","01","영업/정상","1","정상영업","","","","","033-563-6200","9187","233-804","강원특별자치도 정선군 정선읍 봉양1리 349번지 20호","강원특별자치도 정선군 정선읍 봉양7길 39","","정선시장상인회","2012-01-06 11:17:58","I","2023-06-13 00:00:00","시장","347418.761037845","432223.064371999","준대규모점포",
"101","대규모점포","08_25_01_P","4291000","2009429004007500002","1967-12-22","","01","영업/정상","1","정상영업","","","","","033-591-4989","8314","233-811","강원특별자치도 정선군 고한읍 고한리 62번지 430호 10통","강원특별자치도 정선군 고한읍 고한4길 46","","고한시장상인회","2009-12-11 11:53:20","I","2023-06-13 00:00:00","시장","364568.2521799","412653.804447511","",
"102","대규모점포","08_25_01_P","4291000","2009429004007500003","1965-03-03","","01","영업/정상","1","정상영업","","","","","033-591-7277","4916","233-901","강원특별자치도 정선군 사북읍 사북리 366번지 59호 8통 3반","강원특별자치도 정선군 사북읍 사북2길 6","233-903","사북시장상인회","2012-01-06 11:15:54","I","2023-06-13 00:00:00","시장","361132.486063348","415489.838319734","준대규모점포",
"103","대규모점포","08_25_01_P","4301000","2009430006907500001","1981-01-21","","01","영업/정상","1","정상영업","","","","","033-452-7070","2068","269-805","강원특별자치도 철원군 갈말읍 신철원리 679번지","강원특별자치도 철원군 갈말읍 삼부연로18번길 8-1","269-805","신철원시장(등록)","2013-12-19 17:09:47","I","2023-06-13 00:00:00","시장","227089.204728934","515810.37089671","준대규모점포",
"104","대규모점포","08_25_01_P","4301000","2009430006907500002","1981-01-21","","01","영업/정상","1","정상영업","","","","","033-455-2230","1482","269-816","강원특별자치도 철원군 동송읍 이평리 680번지 1호","강원특별자치도 철원군 동송읍 이평로47번길 20","269-819","동송시장(등록)","2013-12-19 17:07:35","I","2023-06-13 00:00:00","시장","219098.448507271","522898.547960981","준대규모점포",
"105","대규모점포","08_25_01_P","4301000","2009430006907500003","1981-01-21","","01","영업/정상","1","정상영업","","","","","033-458-9688","2036","269-841","강원특별자치도 철원군 서면 와수리 1171번지 21호","강원특별자치도 철원군 서면 와수로184번길 6-3","269-845","와수시장(등록)","2013-12-19 17:05:03","I","2023-06-13 00:00:00","시장","238393.759533807","526333.178792545","준대규모점포",
"106","대규모점포","08_25_01_P","4301000","2014430006907500001","2014-03-19","","01","영업/정상","1","정상영업","","","","","033-455-7300","1174","","","강원특별자치도 철원군 동송읍 이평2로 14","269-818","롯데슈퍼 철원점","2024-11-13 15:51:03","U","2024-11-15 02:40:00","그 밖의 대규모점포","219276.113407794","522598.469112606","준대규모점포",
"107","대규모점포","08_25_01_P","4301000","2014430006907500002","2015-04-16","","03","폐업","3","폐업처리","2016-01-15","","","","033-452-4532","851.1","","","강원특별자치도 철원군 갈말읍 명성로 187","269-802","에브리데이 철원점","2016-01-15 17:59:55","I","2023-06-13 00:00:00","그 밖의 대규모점포","226855.969678903","516214.984394342","준대규모점포",
"108","대규모점포","08_25_01_P","4311000","1979431000707500001","1979-01-16","","01","영업/정상","1","정상영업","","","","","","","","호","","","사단법인 화천시장조합","2007-07-21 10:47:01","I","2023-06-13 00:00:00","그 밖의 대규모점포","","","",
"109","대규모점포","08_25_01_P","4311000","1979431000707500006","1979-06-01","","01","영업/정상","1","정상영업","","","","","","","","호","","","사내면5일장터","2007-07-21 10:47:01","I","2023-06-13 00:00:00","그 밖의 대규모점포","","","",
"110","대규모점포","08_25_01_P","4311000","1999431000707500001","1999-10-08","","01","영업/정상","1","정상영업","","","","","","","","호","","","화천읍5일장터","2007-07-21 10:47:01","I","2023-06-13 00:00:00","그 밖의 대규모점포","","","",
"111","대규모점포","08_25_01_P","4351000","2023435100907500001","2023-09-13","","01","영업/정상","1","정상영업","","","","","033-671-5810","3276.22","","강원특별자치도 양양군 강현면 물치리 126-11","강원특별자치도 양양군 강현면 물치천로 14","25061","강현농협 하나로마트","2024-06-14 10:28:02","U","2024-06-16 02:40:00","그 밖의 대규모점포","340693.912244024","517983.699145683","대규모점포",
"112","대규모점포","08_25_01_P","4351000","2024435100907500001","2024-09-11","","01","영업/정상","1","정상영업","","","","","033-671-8952","0","","강원특별자치도 양양군 강현면 전진리 7-1 강현농협낙산지점","강원특별자치도 양양군 강현면 해맞이길 8-12, 강현농협낙산지점","25009","강현농협 하나로마트 낙산점","2024-12-24 14:07:40","I","2024-12-27 00:11:58","구분없음","342881.510532634","514216.129963089","준대규모점포",
