"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사용목적","사용방법","월사용량","수용정원수","시설사용여부",
"76","특정고압가스업","09_28_14_P","4241000","2023424022712200001","2023-06-01","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 삼척시 적노동 산 29-3","강원특별자치도 삼척시 박걸남로 906 (적노동)","25931","삼척블루파워(주)","2024-04-29 16:28:25","U","2024-05-01 02:40:00","","392694.02063207","436344.38889505","발전기 냉각용","발전기 냉각용","726","1","",
"77","특정고압가스업","09_28_14_P","4241000","2024424100712200002","2024-05-03","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 삼척시 적노동 산 29-3","강원특별자치도 삼척시 박걸남로 906 (적노동)","25931","삼척블루파워(주)","2024-05-03 18:05:17","I","2024-05-05 00:14:47","","392694.02063207","436344.38889505","보일러 수질관리용","보일러 수질관리용","448.32","0","",
"78","특정고압가스업","09_28_14_P","4251000","2006425004202700001","2006-10-25","","01","영업/정상","BBBB","","","","","","033 4329113","","","강원특별자치도 홍천군 남면 양덕원리 101-17","","","제6513부대","2006-10-25 00:00:00","I","2023-06-13 00:00:00","","","","풍선비양 탄도제원 산출","풍선이용 가스주입 풍선비양","150","0","",
"79","특정고압가스업","09_28_14_P","4251000","2006425004202700002","2006-11-20","","01","영업/정상","BBBB","","","","","","033 4350473","","","강원특별자치도 홍천군 두촌면 철정리 산 90","강원특별자치도 홍천군 두촌면 아홉사리로 53","","육군 5337부대 183보정대","2006-11-20 00:00:00","I","2023-06-13 00:00:00","","287751.305025245","478542.141517348","의료용","중앙공급식","0","150","",
"80","특정고압가스업","09_28_14_P","4251000","2006425004202700003","2007-03-12","","01","영업/정상","BBBB","","","","","","033 4306446","","","강원특별자치도 홍천군 북방면 하화계리","","","육군 제5397부대 301대대","2009-04-02 11:27:22","I","2023-06-13 00:00:00","","","","부대내 고압가스 저장 및 보급","용접, 차량정비","6","300","",
"81","특정고압가스업","09_28_14_P","4251000","2007425007712200001","2007-12-21","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 홍천군 남면 양덕원리 101-17","","","육군 제6513부대","2007-12-21 13:32:26","I","2023-06-13 00:00:00","","","","풍선비양 탄도제원 산출","풍선이용 가스주입","50","80","",
"82","특정고압가스업","09_28_14_P","4251000","2009425007712200001","2009-04-02","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 홍천군 북방면 하화계리 사서함 101-6호","","","육군제5397부대 301대대","2009-04-02 11:33:06","I","2023-06-13 00:00:00","","","","부대내 고압가스 저장, 보급","보급","6","300","",
"83","특정고압가스업","09_28_14_P","4251000","2016425012112200001","2016-05-09","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 홍천군 두촌면 철정리 산 90","강원특별자치도 홍천군 두촌면 아홉사리로 53","","국군홍천병원","2016-05-09 17:29:05","I","2023-06-13 00:00:00","","287751.305025245","478542.141517348","의료용","의료용","800.64","250","",
"84","특정고압가스업","09_28_14_P","4251000","2018425014312200001","2018-11-15","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 홍천군 홍천읍 와동리 893","강원특별자치도 홍천군 홍천읍 와동로 157-76","25127","홍천양어장","2018-11-15 22:59:50","I","2023-06-13 00:00:00","","282223.601731709","469623.617020204","물고기 양식","액체산소를 저장탱크에 저장하여 대기식 기화기를 통해 기화시킨후 감압하여 배관과 호스를 통해 사용처에 공급.","5000","0","",
"85","특정고압가스업","09_28_14_P","4251000","2021425017212200002","2021-09-30","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 홍천군 두촌면 철정리 806-1 국군홍천병원","강원특별자치도 홍천군 두촌면 아홉사리로 53, 국군홍천병원","25164","국군홍천병원","2021-09-30 17:44:34","I","2023-06-13 00:00:00","","287765.119715851","478468.569046208","응급환자 및 수술회복용","응급환자 및 수술회복용","1500","100","",
"86","특정고압가스업","09_28_14_P","4251000","2023425102212200001","2023-11-10","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 홍천군 홍천읍 희망리 396-9","","","제이랜드건설(주)","2023-11-10 10:33:43","I","2023-11-12 00:17:15","","277294.059480439","465548.217135533","H-BEAM 절단","H-BEAM 절단","50","4","",
"87","특정고압가스업","09_28_14_P","4261000","2006426000902700001","2006-03-28","","01","영업/정상","BBBB","","","","","","033 3444810","","","강원특별자치도 횡성군 둔내면 둔방내리 229-34","","","성우가스","2006-03-28 00:00:00","I","2023-06-13 00:00:00","","","","","","0","0","",
"88","특정고압가스업","09_28_14_P","4271000","2000427000902700016","1995-12-02","","01","영업/정상","BBBB","","","","","","033 3724001","","","강원특별자치도 영월군 남면 연당리","","","남면상수도","1995-12-02 00:00:00","I","2023-06-13 00:00:00","","","","","","20","0","",
"89","특정고압가스업","09_28_14_P","4271000","2000427000902700018","1999-04-27","","01","영업/정상","BBBB","","","","","","033 3723013","","","강원특별자치도 영월군 북면 마차리","","","북면상수도","1999-04-27 00:00:00","I","2023-06-13 00:00:00","","","","","","8","0","",
"90","특정고압가스업","09_28_14_P","4271000","2000427000902700019","1977-02-15","","01","영업/정상","BBBB","","","","","","033 3708114","","","강원특별자치도 영월군 한반도면 쌍용리","","","쌍용양회영월공장","1977-02-15 00:00:00","I","2023-06-13 00:00:00","","","","","","0","0","",
"91","특정고압가스업","09_28_14_P","4271000","2000427000902700020","1977-02-15","","01","영업/정상","BBBB","","","","","","033 3708114","","","강원특별자치도 영월군 한반도면 쌍용리","","","쌍용양회영월공장","1977-02-15 00:00:00","I","2023-06-13 00:00:00","","","","","","0","0","",
"92","특정고압가스업","09_28_14_P","4271000","2000427000902700021","1977-03-21","","01","영업/정상","BBBB","","","","","","033 3703225","","","강원특별자치도 영월군 영월읍 정양리","","","영월화력발천처","1977-03-21 00:00:00","I","2023-06-13 00:00:00","","","","","","0","0","",
"93","특정고압가스업","09_28_14_P","4271000","2000427000902700022","1977-03-21","","01","영업/정상","BBBB","","","","","","033 3703225","","","강원특별자치도 영월군 영월읍 정양리","","","영월화력발천처","1977-03-21 00:00:00","I","2023-06-13 00:00:00","","","","","","0","0","",
"94","특정고압가스업","09_28_14_P","4271000","2006427004202700001","2008-05-16","","01","영업/정상","BBBB","","","","","","033 3709188","","","강원특별자치도 영월군 영월읍 영흥리 1072","","","영월의료원","2008-05-20 16:01:58","I","2023-06-13 00:00:00","","330027.341653817","410409.983715698","의료용","액화산소를 저장탱크에 저장후 사용","5000","0","",
"95","특정고압가스업","09_28_14_P","4271000","2019427007712200001","2019-05-07","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 영월군 영월읍 거운리 608-1","강원특별자치도 영월군 영월읍 동강로 955","26222","어라연 송어장","2019-05-08 09:03:31","I","2023-06-13 00:00:00","","334189.346436159","416645.677862074","내수면 양어장에 산소 공급","액체 산소를 저장탱크에 저장하여 대기식 기화기를 통해서 기화시킨후 감압하여 배관과 호스를 이용하여 사용처에 공급","5000","0","",
"96","특정고압가스업","09_28_14_P","4271000","2000427000902700002","1977-02-15","","01","영업/정상","BBBB","","","","","","033 3708114","","","강원특별자치도 영월군 한반도면 쌍용리","","","쌍용양회영월공장","1977-02-15 00:00:00","I","2023-06-13 00:00:00","","","","","","125","0","",
"97","특정고압가스업","09_28_14_P","4271000","2000427000902700003","1977-03-21","","01","영업/정상","BBBB","","","","","","033 3703225","","","강원특별자치도 영월군 영월읍 정양리","","","영월화력발천처","1977-03-21 00:00:00","I","2023-06-13 00:00:00","","","","","","0","0","",
"98","특정고압가스업","09_28_14_P","4271000","2000427000902700004","1978-03-07","","01","영업/정상","BBBB","","","","","","033 3743308","","","강원특별자치도 영월군 영월읍 영흥리","","","영월읍상수도","1978-03-07 00:00:00","I","2023-06-13 00:00:00","","","","","","500","0","",
"99","특정고압가스업","09_28_14_P","4271000","2000427000902700005","1983-02-28","","01","영업/정상","BBBB","","","","","","033 3725349","","","강원특별자치도 영월군 한반도면 쌍용리","","","모범기계공업","1983-02-28 00:00:00","I","2023-06-13 00:00:00","","","","","","1200","0","",
"100","특정고압가스업","09_28_14_P","4271000","2000427000902700009","1985-07-01","","01","영업/정상","BBBB","","","","","","033 3783000","","","강원특별자치도 영월군 상동읍 내덕리","","","상동읍상수도","1985-07-01 00:00:00","I","2023-06-13 00:00:00","","","","","","100","0","",
"101","특정고압가스업","09_28_14_P","4271000","2000427000902700010","1985-11-15","","01","영업/정상","BBBB","","","","","","033 3727210","","","강원특별자치도 영월군 주천면 주천리","","","주천면상수도","1985-11-15 00:00:00","I","2023-06-13 00:00:00","","","","","","0","0","",
"102","특정고압가스업","09_28_14_P","4271000","2000427000902700011","1985-11-15","","01","영업/정상","BBBB","","","","","","033 3726001","","","강원특별자치도 영월군 한반도면 쌍용리","","","서면상수도","1985-11-15 00:00:00","I","2023-06-13 00:00:00","","","","","","100","0","",
"103","특정고압가스업","09_28_14_P","4271000","2025427104612200001","2025-04-23","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 영월군 주천면 주천리 1424-1","강원특별자치도 영월군 주천면 송학주천로 1467-51","26203","한구가스안전공사 에너지안전실증연구센터","2025-04-23 13:59:53","I","2025-04-25 00:10:02","","312371.720546162","420352.828544643","액화수소저장의 수소저장탱크","저장능력 3.823톤 액상의 H2을 대기식 기화기를 통해 기체로 만들어 밴트, 저장탱크의 진공성능을 인증함.","3823","45","",
"104","특정고압가스업","09_28_14_P","4281000","2017428009412200001","2017-08-14","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 평창군 미탄면 기화리 346","강원특별자치도 평창군 미탄면 평창동강로 495-6","","기화양어장","2017-08-14 16:04:47","I","2023-06-13 00:00:00","","336548.80577967","423534.383324283","내수면 양식용","내수면 양식용","10000","0","",
"105","특정고압가스업","09_28_14_P","4281000","2019428010912200001","2019-02-08","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 평창군 평창읍 종부리 508-36","강원특별자치도 평창군 평창읍 제방길 33-14","25377","강원영어조합법인","2019-02-08 13:27:18","I","2023-06-13 00:00:00","","322701.216303791","429802.459998188","내수면 양어장에 산소공급","배관과 호스사용(기화기)","5000","1","",
"106","특정고압가스업","09_28_14_P","4281000","2021428012312200001","2021-10-29","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 평창군 봉평면 유포리 258-1","강원특별자치도 평창군 봉평면 버들개길 81-36","25311","평창에어(주)","2021-10-29 15:56:50","I","2023-06-13 00:00:00","","322337.319320044","449070.437750038","산소캔 제조","캔에 산소 주입","330","5","",
"107","특정고압가스업","09_28_14_P","4281000","2024428102412200001","2024-04-24","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 평창군 미탄면 기화리 399","강원특별자치도 평창군 미탄면 평창동강로 512","25384","오주수산","2024-04-24 16:55:16","I","2024-04-26 00:14:55","","336641.461415863","423392.160143006","양식생물피해예방용","산소가스압력조정하여사용","10000","5","",
"108","특정고압가스업","09_28_14_P","4291000","2022429011012200001","2022-07-27","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 정선군 사북읍 사북리 305-16 정선군립병원","강원특별자치도 정선군 사북읍 지장천로 727, 정선군립병원","26150","재단법인정선의료재단","2022-07-27 16:31:16","I","2023-06-13 00:00:00","","362023.877879962","415331.483541067","의료용","배관을 통한 병실공급","1000","200","",
"109","특정고압가스업","09_28_14_P","4291000","2024429102012200001","2024-12-02","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 정선군 사북읍 사북리 305-16 정선군립병원","강원특별자치도 정선군 사북읍 지장천로 727, 정선군립병원","26150","재단법인정선의료재단","2024-12-02 17:32:44","I","2024-12-04 00:11:57","","362023.877879962","415331.483541067","환자치료용(흡입제)","환자치료용(흡입제)","4000","300","",
"110","특정고압가스업","09_28_14_P","4301000","2006430005502700003","2006-07-19","","01","영업/정상","BBBB","","","","","","033 4552745","","","강원특별자치도 철원군 동송읍 상노리 사서함19호","","","육군제2113부대","2006-07-19 00:00:00","I","2023-06-13 00:00:00","","","","공공용","","0","2","",
"111","특정고압가스업","09_28_14_P","4301000","2006430005502700004","2006-11-30","","01","영업/정상","BBBB","","","","","","033 4506442","","","강원특별자치도 철원군 서면 자등리 사서함107-6호","","","육군제1968부대장","2006-11-30 00:00:00","I","2023-06-13 00:00:00","","","","군기상제원","","0","0","",
"112","특정고압가스업","09_28_14_P","4301000","2008430006912200001","2008-11-13","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 철원군 근남면 사곡리 131-5 김화정수장","강원특별자치도 철원군 근남면 약수터길 185  (김화정수장)","","철원군청","2009-08-06 19:28:22","I","2023-06-13 00:00:00","","241799.61424251","527706.269992709","정수처리 공정중 전.후 소독","염소투입 소독","180","2","",
"113","특정고압가스업","09_28_14_P","4301000","2008430006912200002","2008-11-18","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 철원군 동송읍 상노리 사서함 105-6","","","제6보병사단 보급수송대대","2008-11-18 15:47:48","I","2023-06-13 00:00:00","","","","공공용","용접","2000","60","",
"114","특정고압가스업","09_28_14_P","4301000","2008430006912200003","2008-12-08","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 철원군 서면 자등리 사서함 107-6호","","","제3보병사단 1968-301대대","2008-12-08 13:36:36","I","2023-06-13 00:00:00","","","","공공용","보급지원","1000","120","",
"115","특정고압가스업","09_28_14_P","4301000","2014430008012200001","2014-12-05","","01","영업/정상","BBBB","","","","","","","","","","강원특별자치도 철원군 갈말읍 갈말로 234","","육군제2181부대","2014-12-05 09:22:38","I","2023-06-13 00:00:00","","226959.178241483","518849.229400448","군사작전용","군 기상 제원산출","200","0","",
"116","특정고압가스업","09_28_14_P","4311000","2006431000702700007","2006-12-11","","01","영업/정상","BBBB","","","","","","033 4410155","","","강원특별자치도 화천군 상서면 노동리 사서함 104동 18호","","","7사단 포병연대","2007-12-12 09:44:04","I","2023-06-13 00:00:00","","","","기상측정용 기구운용","기상측정용 기구주입","192","3","",
"117","특정고압가스업","09_28_14_P","4311000","2006431000702700008","2006-12-06","","01","영업/정상","BBBB","","","","","","033 4415445","","","강원특별자치도 화천군 화천읍 상리 사서함 104-6","","","제7보병사단 보급수송대","2006-12-06 00:00:00","I","2023-06-13 00:00:00","","","","예하부대","예하부대 보급저장용","120","0","",
"118","특정고압가스업","09_28_14_P","4311000","2006431000702700009","2006-12-06","","01","영업/정상","BBBB","","","","","","033 4410667","","","강원특별자치도 화천군 상서면 봉오리 사서함 104-28","","","ㅈ7보병사단 99포병대대","2006-12-06 00:00:00","I","2023-06-13 00:00:00","","","","기상관측장비운용","기상관측장비주입","0","3","",
"119","특정고압가스업","09_28_14_P","4311000","2006431000702700010","2006-12-06","","01","영업/정상","BBBB","","","","","","033 4408444","","","강원특별자치도 화천군 사내면 광덕리 93-6","","","27보병사단 보급수송대","2006-12-06 00:00:00","I","2023-06-13 00:00:00","","","","예하부대보급용 저장","예하부대보급","30","0","",
"120","특정고압가스업","09_28_14_P","4311000","2006431000702700011","2006-12-06","","01","영업/정상","BBBB","","","","","","033 4411155","","","강원특별자치도 화천군 상서면 다목리 사서함 99-17","","","15보병사단 포병연대","2006-12-06 00:00:00","I","2023-06-13 00:00:00","","","","기상관측장비운용","기상관측장비주입용","300","3","",
"121","특정고압가스업","09_28_14_P","4311000","2006431000702700012","2006-12-06","","01","영업/정상","BBBB","","","","","","033 4406444","","","강원특별자치도 화천군 사내면 명월리 사서함 99-6","","","15보병사단보급수송대","2006-12-06 00:00:00","I","2023-06-13 00:00:00","","","","예하부대 보급용","예하부대 보급","25","0","",
"122","특정고압가스업","09_28_14_P","4311000","2007431005212200002","2007-12-12","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 화천군 상서면 봉오리 사서함 104동 28호","","","제27보병사단 99포병대대","2007-12-14 09:39:05","I","2023-06-13 00:00:00","","","","기상관측 장비 운용","기상관측","120","5","",
"123","특정고압가스업","09_28_14_P","4311000","2008431005212200002","2008-07-16","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 화천군 상서면 산양리 789","","","육군 제 1757부대","2008-07-18 09:32:35","I","2023-06-13 00:00:00","","","","수소 가스 저장","수소 가스 저장","600","20","",
"124","특정고압가스업","09_28_14_P","4311000","2008431005212200003","2008-08-20","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 화천군 사내면 명월리 사서함 99-6호","","","제15사단 보급수송대대","2008-08-20 16:57:56","I","2023-06-13 00:00:00","","","","시설부대 저장/ 불출용","시설부대 저장/ 불출용","0","0","",
"125","특정고압가스업","09_28_14_P","4311000","2008431005212200004","2008-09-30","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 화천군 사내면 광덕리 사서함 93-6호","","","제1288부대 보급수송대대","2008-09-30 18:07:14","I","2023-06-13 00:00:00","","","","보급지원 소요","수령/ 저장/ 불출","30","4","",
"126","특정고압가스업","09_28_14_P","4311000","2019431005212200001","2019-10-25","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 화천군 하남면 원천리 705-2","강원특별자치도 화천군 하남면 공단길 24-5","24145","화천수산","2019-10-25 11:15:43","I","2023-06-13 00:00:00","","258409.007186743","505931.861553971","양어장","대기식 기화기로 기화 후 감압하여 공급","5000","0","",
"127","특정고압가스업","09_28_14_P","4311000","2013431005212200001","2013-09-04","","01","영업/정상","BBBB","","","","","","","","","","강원특별자치도 화천군 하남면 논미로 406-11","","화천군 산천어양식장","2013-09-04 17:14:08","I","2023-06-13 00:00:00","","259899.107355447","509983.919254458","산천어 축양","양식","300","10","",
"128","특정고압가스업","09_28_14_P","4311000","2024431101112200001","2024-02-01","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 화천군 사내면 삼일리 811-10","","","15사단 50여단 1대대","2024-02-01 16:46:09","I","2024-02-03 00:16:05","","243625.376547834","504715.841182491","부대식당 급식운영 및 조리","부대운영","1600","600","",
"129","특정고압가스업","09_28_14_P","4321000","2010432004712200002","2010-02-04","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 양구군 국토정중앙면 창리 264 독수리아파트","","","주식회사 중앙에너지산업","2010-02-04 19:32:57","I","2023-06-13 00:00:00","","","","액화석유가스 공급","액화석유가스 공급","1000","10","",
"130","특정고압가스업","09_28_14_P","4321000","2010432004712200004","2010-02-04","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 양구군 양구읍 상리 382-2 신태양빌라","강원특별자치도 양구군 양구읍 비봉로 23  (신태양빌라)","","주식회사 중앙에너지산업","2010-02-04 19:35:08","I","2023-06-13 00:00:00","","286464.165929933","511721.531374372","액화석유가스 공급","액화석유가스 공급","1000","10","",
"131","특정고압가스업","09_28_14_P","4321000","2010432004712200005","2010-02-04","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 양구군 양구읍 중리 1-1 우신아파트","강원특별자치도 양구군 양구읍 관공서로16번길 5-12  (우신아파트)","","주식회사 중앙에너지산업","2010-02-04 19:37:19","I","2023-06-13 00:00:00","","286898.085543052","512207.936653584","액화석유가스 공급","액화석유가스 공급","1000","10","",
"132","특정고압가스업","09_28_14_P","4321000","2006432002902700003","2006-11-07","","01","영업/정상","BBBB","","","","","","033 4805444","","","강원특별자치도 양구군 양구읍 죽곡리 사서함97-6","","","제7162부대","2006-11-07 00:00:00","I","2023-06-13 00:00:00","","","","부대보급용저장","부대보급용저장","240","0","",
"133","특정고압가스업","09_28_14_P","4321000","2008432003912200001","2008-02-20","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 양구군 동면 덕곡리 1-1","","","제7289부대","2008-03-25 10:28:51","I","2023-06-13 00:00:00","","290523.566956735","522103.169581897","기상제원측정","기상제원측정","490","100","",
"134","특정고압가스업","09_28_14_P","4321000","2009432004712200001","2009-04-09","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 양구군 양구읍 죽곡리 사서함","","","제7162부대보급수송대대","2009-04-09 14:37:15","I","2023-06-13 00:00:00","","","","고압가스 보관 및 수불","고압가스 보관 및 수불","300","5","",
"135","특정고압가스업","09_28_14_P","4321000","2009432004712200002","2009-06-26","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 양구군 국토정중앙면 송우리 52-1","","","메자닌푸드텍","2009-06-26 13:54:19","I","2023-06-13 00:00:00","","","","가스보일러, 온수","가스보일러, 온수","50","100","",
"136","특정고압가스업","09_28_14_P","4321000","2009432004712210000","2009-11-16","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 춘천시 동내면 학곡리 422","강원특별자치도 춘천시 동내면 영서로 1864","","홍천가스상사","2009-11-16 15:47:58","I","2023-06-13 00:00:00","","266761.010817242","482533.364018578","고압가스특정사용시설","난방,온수","1000","300","",
"137","특정고압가스업","09_28_14_P","4321000","2009432004712211111","2009-11-17","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 속초시 교동 795-3","강원특별자치도 속초시 미시령로 3239  (교동)","","영동가스충전소","2009-11-17 10:32:00","I","2023-06-13 00:00:00","","336730.155304576","523578.938429911","영동가스","영동가스","1000","200","",
"138","특정고압가스업","09_28_14_P","4321000","2009432004712212222","2009-11-17","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 속초시 교동 795-3","강원특별자치도 속초시 미시령로 3239  (교동)","","영동가스충전소","2009-11-17 10:50:22","I","2023-06-13 00:00:00","","336730.155304576","523578.938429911","영동가스","영동가스","1000","200","",
"139","특정고압가스업","09_28_14_P","4321000","2010432004712200001","2010-02-04","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 양구군 국토정중앙면 용하리 125 백호아파트","","","주식회사 중앙에너지산업","2011-10-31 14:50:02","I","2023-06-13 00:00:00","","291192.436490343","513089.396903727","액화석유가스 공급","액화석유가스 공급","1000","10","",
"140","특정고압가스업","09_28_14_P","4321000","2025432101212200001","2025-08-26","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 양구군 양구읍 월명리 133-12","","","삼호개발(주)","2025-08-26 13:37:03","I","2025-08-28 00:20:02","","","","용접 및 용단","용접 및 용단","54","30","",
"141","특정고압가스업","09_28_14_P","4331000","2009433004112200001","2009-01-02","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 인제군 남면 신풍리 사서함 81-23호","","","육군제2063부대","2012-03-09 14:28:01","I","2023-06-13 00:00:00","","","","편성부대 보급","용접","36","3","",
"142","특정고압가스업","09_28_14_P","4331000","2009433004112200002","2009-03-30","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 인제군 남면 신풍리 사서함","","","육군 제2063부대","2012-03-09 14:27:23","I","2023-06-13 00:00:00","","","","군사시설","군사용","180","3","",
"143","특정고압가스업","09_28_14_P","4331000","2009433004112200003","2009-04-06","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 인제군 남면 신풍리 81-23 사서함","","","육군 제2063부대","2012-03-09 14:28:20","I","2023-06-13 00:00:00","","","","군부대","군부대","180","3","",
"144","특정고압가스업","09_28_14_P","4331000","2012433005412200001","2012-03-09","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 인제군 남면 신풍리 사서함 81-23","강원특별자치도 인제군 남면 신풍길 16","","육군 제2063부대","2012-03-09 14:26:33","I","2023-06-13 00:00:00","","294412.584099097","495154.344879259","저장/불출","불출","63","3","",
"145","특정고압가스업","09_28_14_P","4331000","2019433008112200001","2019-08-12","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 인제군 남면 신풍리 692","강원특별자치도 인제군 남면 신풍길 16","24651","육군제2063부대","2019-08-12 11:40:04","I","2023-06-13 00:00:00","","294412.584099097","495154.344879259","저장/불출","저장/불출","100","3","",
"146","특정고압가스업","09_28_14_P","4331000","2019433008112200002","2019-08-12","","01","영업/정상","BBBB","","","","","","","","","강원특별자치도 인제군 남면 신풍리 692","강원특별자치도 인제군 남면 신풍길 16","24651","육군 제2063부대","2019-08-12 11:46:17","I","2023-06-13 00:00:00","","294412.584099097","495154.344879259","저장/불출","저장/불출","150","3","",
"147","특정고압가스업","09_28_14_P","4331000","2000433003002700000","1998-02-03","","01","영업/정상","BBBB","","","","","","033 4619149","","","강원특별자치도 인제군 상남면 상남리 산 140-1","","","상남정수장","1998-02-03 00:00:00","I","2023-06-13 00:00:00","","","","상수도수질관리","액화염소 투입","30","1","",
"148","특정고압가스업","09_28_14_P","4331000","2000433003002700001","1983-01-27","","01","영업/정상","BBBB","","","","","","033 4612902","","","강원특별자치도 인제군 인제읍 덕산리 799-3","","","덕산산업","1983-01-27 00:00:00","I","2023-06-13 00:00:00","","","","냉동","","0","1","",
"149","특정고압가스업","09_28_14_P","4331000","2000433003002700002","1998-01-16","","01","영업/정상","BBBB","","","","","","033 4602571","","","강원특별자치도 인제군 인제읍 덕산리 666-1","","","덕산정수장","1998-01-16 00:00:00","I","2023-06-13 00:00:00","","","","상수도수질관리","","470","1","",
"150","특정고압가스업","09_28_14_P","4331000","2000433003002700003","1998-02-03","","01","영업/정상","BBBB","","","","","","033 4614931","","","강원특별자치도 인제군 남면 부평리 산 85-62","","","부평정수장","1998-02-03 00:00:00","I","2023-06-13 00:00:00","","","","상수도수질관리","액화염소 투입","60","1","",
"151","특정고압가스업","09_28_14_P","4331000","2000433003002700004","1981-07-06","","01","영업/정상","BBBB","","","","","","033 4615257","","","강원특별자치도 인제군 기린면 현리 695","","","현리정수장","1981-07-06 00:00:00","I","2023-06-13 00:00:00","","","","상수도수질관리","액화염소 투입","80","1","",
"152","특정고압가스업","09_28_14_P","4331000","2000433003002700005","1998-01-03","","01","영업/정상","BBBB","","","","","","033 4624940","","","강원특별자치도 인제군 서화면 천도리 205-1","","","천도정수장","1998-01-03 00:00:00","I","2023-06-13 00:00:00","","","","상수도수질관리","액화염소 투입","60","1","",
"153","특정고압가스업","09_28_14_P","4331000","2006433004102700001","2006-07-14","","01","영업/정상","BBBB","","","","","","03304627314","","","강원특별자치도 인제군 서화면 천도리 사서함100-16 기상반","","","육군 제7289부대","2006-07-14 00:00:00","I","2023-06-13 00:00:00","","","","기상측정, 지구관측","풍선에 가스주입","180","2","",
"154","특정고압가스업","09_28_14_P","4331000","2006433004102700002","2006-10-31","","01","영업/정상","BBBB","","","","","","003304606447","","","강원특별자치도 인제군 인제읍 합강리 사서함 100-6","","","육군 제1862부대 보급수송대대","2008-12-09 14:00:49","I","2023-06-13 00:00:00","","","","용접","","0","1","",
"155","특정고압가스업","09_28_14_P","4331000","2006433004102700003","2006-10-31","","01","영업/정상","BBBB","","","","","","003304616740","","","강원특별자치도 인제군 남면 신풍리 사서함 81-23","","","육군 제2063부대 13보급대대","2006-10-31 00:00:00","I","2023-06-13 00:00:00","","","","용접","","0","1","",
"156","특정고압가스업","09_28_14_P","4341000","2006434003302700001","2006-10-31","","01","영업/정상","BBBB","","","","","","033 6320163","","","강원특별자치도 고성군 거진읍 송강리 421","","","육군제6575부대(송강리)","2012-07-02 11:42:49","I","2023-06-13 00:00:00","","321424.823363688","548876.373697594","기구부양, 기상관측용","기상관측용","40","3","",
"157","특정고압가스업","09_28_14_P","4341000","2006434003302700002","2006-10-31","","01","영업/정상","BBBB","","","","","","033 6320163","","","강원특별자치도 고성군 죽왕면 인정리 63-3","","","육군제6575부대(인정리)","2011-12-27 16:53:19","I","2023-06-13 00:00:00","","","","가구부양, 기상관측용","기상관측용","40","3","",
