"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","시력표수","표본렌즈수","측정의자수","동공거리측정기수","정점굴절계기수","조제용연마기수","렌즈절단기수","가열기수","안경세척기수","총면적",
"106","안경업","01_02_01_P","4191000","PHMB220054190023082200002","2005-04-28","","03","폐업","03","폐업","2016-08-26","","","","","","","강원특별자치도 원주시 우산동 227번지 1호","강원특별자치도 원주시 우산로 54 (우산동)","26342","안경랜드","2016-08-26 13:04:08","I","2023-06-13 00:00:00","","282920.406081586","430034.405575343","1","1","1","0","0","0","0","0","0","0",
"107","안경업","01_02_01_P","4191000","PHMB220134190023082200002","2013-04-24","","03","폐업","03","폐업","2022-07-04","","","","033-747-7563","","220-956","강원특별자치도 원주시 일산동 51번지 11호","강원특별자치도 원주시 원일로 125 (일산동)","26427","오렌즈원주점","2022-07-04 13:57:57","I","2023-06-13 00:00:00","","283914.918627048","428029.528114224","1","1","1","1","1","1","1","1","1","35.19",
"108","안경업","01_02_01_P","4191000","PHMB220074190023082200003","2007-12-20","","03","폐업","03","폐업","2019-09-27","","","","033-745-1771","","220-965","강원특별자치도 원주시 단구동 1631번지 7호","강원특별자치도 원주시 단구로 381 (단구동)","","미스터안경콘텍트","2019-09-27 10:19:04","I","2023-06-13 00:00:00","","284731.186729682","424919.879722251","1","1","1","1","1","1","1","1","1","70.95",
"109","안경업","01_02_01_P","4191000","PHMB220114190023082200005","2011-11-23","","03","폐업","03","폐업","2014-08-06","","","","033-745-0745","","220-904","강원특별자치도 원주시 중앙동 188번지 1호","강원특별자치도 원주시 중앙로 58 (중앙동)","220-904","룩옵티컬","2014-08-06 15:41:39","I","2023-06-13 00:00:00","","284343.96129058","427731.781293167","1","1","1","1","1","1","1","1","1","174.71",
"110","안경업","01_02_01_P","4191000","PHMB220114190023082200004","2011-09-28","","03","폐업","03","폐업","2013-11-26","","","","","","220-904","강원특별자치도 원주시 중앙동 137번지","강원특별자치도 속초시 수복로 12,103동 1201호 (교동,속초석미모닝파크)","217-060","아이마트 안경(원주점)","2013-11-26 14:29:50","I","2023-06-13 00:00:00","","284274.799474026","427810.660712262","1","1","1","1","3","1","1","1","3","136.57",
"111","안경업","01_02_01_P","4191000","PHMB220134190023082200001","2013-01-17","","03","폐업","03","폐업","2013-05-27","","","","033-734-6167","","220-963","강원특별자치도 원주시 학성동 991번지 2호","강원특별자치도 원주시 원일로 233 (학성동)","220-963","모던글라스","2013-05-27 16:26:00","I","2023-06-13 00:00:00","","283473.536558182","428693.830689917","1","1","1","1","1","1","1","1","1","51.19",
"112","안경업","01_02_01_P","4191000","PHMB220154190023082200001","2015-04-13","","03","폐업","03","폐업","2019-04-02","","","","033-762-5006","","","","강원특별자치도 원주시 북원로 1928 (무실동)","26395","렌즈맨안경원남원주점","2019-04-02 15:38:47","I","2023-06-13 00:00:00","","281366.703634706","424684.582635502","1","1","1","1","2","2","1","1","1","393",
"113","안경업","01_02_01_P","4191000","PHMB220154190023082200002","2015-04-16","","03","폐업","03","폐업","2019-04-26","","","","033-733-0280","","","","강원특별자치도 원주시 행구로 89 (봉산동)","26331","착한안경","2019-08-22 16:38:12","I","2023-06-13 00:00:00","","285599.016281138","427103.847968059","1","1","1","1","1","1","1","1","1","39.65",
"114","안경업","01_02_01_P","4191000","PHMB219974190023082200001","1997-04-12","","03","폐업","03","폐업","2019-08-26","","","","033-764-3001","","220-100","강원특별자치도 원주시 단계동 111번지 63호","강원특별자치도 원주시 원문로 144 (단계동)","","시선안경콘택트","2019-08-26 15:56:53","I","2023-06-13 00:00:00","","282577.721053738","428607.695741388","1","1","1","0","0","0","0","0","0","0",
"115","안경업","01_02_01_P","4191000","PHMB219974190023082200002","1997-05-07","","03","폐업","03","폐업","2009-07-01","","","","033-764-1368","","220-041","강원특별자치도 원주시 명륜동103-5-10","","","안경나라안경원","2009-07-01 16:36:41","I","2023-06-13 00:00:00","","","","1","1","1","1","1","1","1","1","1","0",
"116","안경업","01_02_01_P","4191000","PHMB219974190023082200003","1997-07-12","","03","폐업","03","폐업","2009-12-08","","","","033-743-9927","","220-956","강원특별자치도 원주시 일산동51-14","","","씨채널안경원","2009-12-08 10:22:41","I","2023-06-13 00:00:00","","","","1","1","1","0","0","0","0","0","0","0",
"117","안경업","01_02_01_P","4191000","PHMB219994190023082200001","1999-02-09","","03","폐업","03","폐업","2023-04-27","","","","033-746-6832","","220-956","강원특별자치도 원주시 일산동 72번지 3호","강원특별자치도 원주시 원일로115번길 5 (일산동)","26427","안경박사중앙점","2023-04-27 14:02:46","I","2023-06-13 00:00:00","","283927.820075739","427924.39352986","1","1","1","0","0","0","0","0","0","0",
"118","안경업","01_02_01_P","4191000","PHMB219994190023082200002","1999-04-22","","03","폐업","03","폐업","2011-12-16","","","","033-764-7177","","220-010","강원특별자치도 원주시 중앙동57(자유상가)","","","오즈안경원","2011-12-16 16:06:32","I","2023-06-13 00:00:00","","","","1","1","1","0","0","0","0","0","0","0",
"119","안경업","01_02_01_P","4191000","PHMB220144190023082200004","2014-11-03","","03","폐업","03","폐업","2023-06-30","","","","033-732-6006","","","","강원특별자치도 원주시 만대로 160 (무실동)","26385","밝은눈안경콘텍트","2023-06-30 09:08:14","U","2023-07-02 02:40:00","","281629.123259359","426174.418689273","1","1","1","1","1","1","1","1","1","91.46",
"120","안경업","01_02_01_P","4191000","PHMB220164190023082200001","2016-04-05","","03","폐업","03","폐업","2018-05-14","","","","","","","강원특별자치도 원주시 반곡동 1901번지 1호","강원특별자치도 원주시 양지로 70, 118호 (반곡동, 서영 에비뉴파크 3차)","26462","렌즈미콘택트렌즈","2019-08-22 16:43:27","I","2023-06-13 00:00:00","","287297.976055779","425500.777714415","1","1","2","1","1","0","0","0","0","11.31",
"121","안경업","01_02_01_P","4191000","PHMB220194190023082200006","2019-09-04","","03","폐업","03","폐업","2021-08-31","","","","033-744-5055","","","강원특별자치도 원주시 단계동 882번지","강원특별자치도 원주시 서원대로 174, 4층 (단계동)","26382","으뜸50안경원주시외버스앞점","2021-10-19 14:55:49","I","2023-06-13 00:00:00","","282404.58199032","427278.778612593","1","1","0","1","1","1","1","1","1","125",
"122","안경업","01_02_01_P","4191000","PHMB220164190023082200004","2016-12-29","","03","폐업","03","폐업","2018-01-31","","","","033-732-6655","","","","강원특별자치도 원주시 봉화로 22, 104호 (단계동, 더파크타워)","26436","렌즈톡안경톡","2018-01-31 15:37:01","I","2023-06-13 00:00:00","","282224.875445338","427528.358939901","1","1","1","1","1","1","1","1","1","92.4",
"123","안경업","01_02_01_P","4191000","PHMB219994190023082200004","1999-06-28","","03","폐업","03","폐업","2009-12-08","","","","033-761-9388","","220-041","강원특별자치도 원주시 명륜동279-6","","","씨채널안경콘택트","2009-12-08 16:23:01","I","2023-06-13 00:00:00","","","","1","1","1","0","0","0","0","0","0","0",
"124","안경업","01_02_01_P","4191000","PHMB220004190023082200002","2000-04-17","","03","폐업","03","폐업","2006-05-17","","","","033-764-8298","","220-060","강원특별자치도 원주시 원동275-3","","","안경갤러리","2010-11-17 10:23:54","I","2023-06-13 00:00:00","","","","1","1","1","0","0","0","0","0","0","0",
"125","안경업","01_02_01_P","4191000","PHMB220024190023082200001","2002-11-18","","03","폐업","03","폐업","2011-01-17","","","","033-735-6157","","220-956","강원특별자치도 원주시 일산동161-21","","","안경랜드(중앙점)","2011-01-17 17:58:13","I","2023-06-13 00:00:00","","","","1","1","1","0","0","0","0","0","0","0",
"126","안경업","01_02_01_P","4191000","PHMB220034190023082200001","2003-01-22","","03","폐업","03","폐업","2014-12-26","","","","033-742-3366","","220-903","강원특별자치도 원주시 중앙동 8번지 3호","강원특별자치도 원주시 천사로 225 (중앙동)","220-903","모닝아이안경원","2014-12-26 13:37:13","I","2023-06-13 00:00:00","","283971.601826023","428194.325151815","1","1","1","0","0","0","0","0","0","0",
"127","안경업","01_02_01_P","4191000","PHMB220034190023082200003","2003-07-10","","03","폐업","03","폐업","2013-08-22","","","","033-765-1001","","220-931","강원특별자치도 원주시 개운동381-35","","","누네그린안경","2013-08-22 10:53:58","I","2023-06-13 00:00:00","","","","1","1","1","0","0","0","0","0","0","0",
"128","안경업","01_02_01_P","4191000","PHMB220034190023082200004","2003-10-08","","03","폐업","03","폐업","2012-10-18","","","","033-734-8617","","220-806","강원특별자치도 원주시 문막읍 문막리 264번지 4호","강원특별자치도 원주시 문막읍 문막시장1길 47","220-806","안경마을","2012-10-18 10:31:08","I","2023-06-13 00:00:00","","272304.237771773","422955.184746241","1","1","1","1","1","1","1","1","1","36.27",
"129","안경업","01_02_01_P","4191000","PHMB220184190023082200007","2018-12-21","","01","영업/정상","13","영업중","","","","","070-4210-7044","","","강원특별자치도 원주시 반곡동 1886번지 5호","강원특별자치도 원주시 입춘로 110, 1층 102호 (반곡동)","26465","안경공방","2018-12-21 16:28:44","I","2023-06-13 00:00:00","","286941.601213414","425049.931613599","1","1","1","1","1","1","1","1","1","43",
"130","안경업","01_02_01_P","4191000","PHMB220044190023082200003","2004-06-10","","01","영업/정상","13","영업중","","","","","033-761-0042","","220-965","강원특별자치도 원주시 단구동 1630번지 2호","강원특별자치도 원주시 단관길 67-24 (단구동)","26487","조은안경원","2010-11-18 16:59:30","I","2023-06-13 00:00:00","","284722.52","425003.66","1","1","1","0","0","0","0","0","0","0",
"131","안경업","01_02_01_P","4191000","PHMB220054190023082200001","2005-01-10","","01","영업/정상","13","영업중","","","","","033-746-3361","","220-962","강원특별자치도 원주시 태장2동1374-2","강원특별자치도 원주시 흥양로51번길 1 (태장동)","26316","원안경원","2016-09-06 18:02:00","I","2023-06-13 00:00:00","","284293.482086808","431753.074716255","1","1","1","0","0","0","0","0","0","0",
"132","안경업","01_02_01_P","4191000","PHMB220054190023082200003","2005-05-13","","01","영업/정상","13","영업중","","","","","033-762-6060","","220-944","강원특별자치도 원주시 단구동1514-7","강원특별자치도 원주시 남원로 528-29 (단구동)","26484","아이로움옵티크(EYELOAM OPTIQUE)","2022-06-17 09:16:55","I","2023-06-13 00:00:00","","284080.556681701","425707.109801663","1","1","1","0","0","0","0","0","0","0",
"133","안경업","01_02_01_P","4191000","PHMB220054190023082200004","2005-07-28","","01","영업/정상","13","영업중","","","","","033-743-9900","","220-938","강원특별자치도 원주시 단계동842-1","강원특별자치도 원주시 천사로 66 (단계동)","26436","BODA안경콘텍트","2013-11-06 09:37:56","I","2023-06-13 00:00:00","","282547.029370658","427670.154123021","1","1","1","0","0","0","0","0","0","0",
"134","안경업","01_02_01_P","4191000","PHMB220114190023082200002","2011-03-21","","01","영업/정상","13","영업중","","","","","033-742-9901","","","강원특별자치도 원주시 행구동 1754번지 2호","강원특별자치도 원주시 행구로 148 (행구동)","26456","안경매니져 행구점","2019-08-27 15:16:01","I","2023-06-13 00:00:00","","286107.211105468","427083.706907984","1","1","1","1","1","1","1","1","1","45.09",
"135","안경업","01_02_01_P","4191000","PHMB220114190023082200007","2011-12-21","","01","영업/정상","13","영업중","","","","","033-747-8188","","","강원특별자치도 원주시 무실동 1722번지 2호","강원특별자치도 원주시 시청로 31, 102호 (무실동)","26383","박배준안경원","2020-05-29 09:10:32","I","2023-06-13 00:00:00","","281783.855810873","426845.93047523","1","1","1","1","2","1","1","1","1","77.35",
"136","안경업","01_02_01_P","4191000","PHMB220124190023082200001","2012-02-01","","01","영업/정상","13","영업중","","","","","033-734-0043","","220-801","강원특별자치도 원주시 문막읍 건등2리 207번지 5호","강원특별자치도 원주시 문막읍 원문로 1622","26371","안경백화점 문막점","2020-03-27 15:55:28","I","2023-06-13 00:00:00","","273583.310096277","424470.251718338","1","1","1","5","2","2","1","3","3","156",
"137","안경업","01_02_01_P","4191000","PHMB220134190023082200003","2013-05-16","","01","영업/정상","13","영업중","","","","","033-764-9670","","220-934","강원특별자치도 원주시 관설동 1494번지 3호","강원특별자치도 원주시 치악로 1527 (관설동)","26471","하나로안경원","2014-10-27 17:46:31","I","2023-06-13 00:00:00","","285447.53785015","424682.625071138","1","1","1","1","1","1","1","1","1","42",
"138","안경업","01_02_01_P","4191000","PHMB220144190023082200003","2014-08-08","","01","영업/정상","13","영업중","","","","","033-763-7788","","","","강원특별자치도 원주시 남원로534번길 18 (단구동)","26484","룩스토어(LOOK STORE)","2024-05-17 14:14:48","U","2024-05-19 02:40:00","","283991.454974184","425811.185810525","1","1","1","1","1","1","1","1","1","102",
"139","안경업","01_02_01_P","4191000","PHMB220144190023082200002","2014-07-07","","01","영업/정상","13","영업중","","","","","033-731-3585","","","","강원특별자치도 원주시 로아노크로 1 (단계동)","26382","다비치 안경원 (AK 프라자 앞점)","2016-03-02 16:32:51","I","2023-06-13 00:00:00","","282167.335627698","427319.582816006","3","2","2","1","3","1","1","3","3","322.2",
"140","안경업","01_02_01_P","4191000","PHMB220154190023082200004","2015-07-13","","01","영업/정상","13","영업중","","","","","033-744-5004","","","","강원특별자치도 원주시 천사로 236 (평원동)","26430","천사안경","2016-03-02 16:30:07","I","2023-06-13 00:00:00","","284089.98774631","428231.708149065","1","1","1","1","1","1","1","1","1","92.62",
"141","안경업","01_02_01_P","4191000","PHMB219924190023082200002","1992-06-23","","01","영업/정상","13","영업중","","","","","033-744-5383","","","강원특별자치도 원주시 무실동 1641-11","강원특별자치도 원주시 시청로 86, 1층 105호 (무실동)","26388","굿피플안경원중앙점","2025-09-02 17:42:09","U","2025-09-04 02:40:00","","282154.688698479","426418.473118261","1","1","1","1","1","0","0","0","0","68.82",
"142","안경업","01_02_01_P","4191000","PHMB220084190023082200001","2008-02-28","","01","영업/정상","13","영업중","","","","","033-744-6157","","220-702","강원특별자치도 원주시 우산동 660번지","강원특별자치도 원주시 상지대길 83 (우산동)","26339","행복안경","2025-05-22 09:07:01","U","2025-05-24 02:40:00","","282151.822954944","430257.366976729","1","1","1","0","0","0","0","0","0","49.5",
"143","안경업","01_02_01_P","4191000","PHMB220084190023082200002","2008-07-03","","01","영업/정상","13","영업중","","","","","033-747-8858","","","강원특별자치도 원주시 원동 58번지 1호","강원특별자치도 원주시 원일로 57 (원동)","26431","다비치안경원","2024-09-27 11:43:17","U","2024-09-29 02:40:00","","284255.093962754","427668.357089801","2","1000","2","3","1","1","1","3","3","0",
"144","안경업","01_02_01_P","4191000","PHMB220104190023082200001","2010-02-18","","01","영업/정상","13","영업중","","","","","033-746-6157","","220-956","강원특별자치도 원주시 일산동 161번지 19호","강원특별자치도 원주시 원일로115번길 9 (일산동)","","안경랜드 중앙점","2018-10-29 11:47:18","I","2023-06-13 00:00:00","","283904.696273335","427909.827550156","1","1","1","1","2","2","1","1","2","96.4",
"145","안경업","01_02_01_P","4191000","PHMB220104190023082200002","2010-04-30","","01","영업/정상","13","영업중","","","","","033-734-9926","","220-940","강원특별자치도 원주시 단구동 267번지 현대아카데미프라자 107호","강원특별자치도 원주시 늘품로 187-58 (단구동,현대아카데미프라자 107호)","","아이미안경.콘택트원주점","2010-05-04 13:18:08","I","2023-06-13 00:00:00","","285374.856489138","426587.24417121","1","1","1","1","1","1","1","1","1","58.05",
"146","안경업","01_02_01_P","4191000","PHMB220114190023082200006","2011-12-05","","01","영업/정상","13","영업중","","","","","033-736-0042","","","강원특별자치도 원주시 일산동 162번지 21호","강원특별자치도 원주시 원일로115번길 12 (일산동)","26427","조은안경렌즈미","2018-06-18 16:26:29","I","2023-06-13 00:00:00","","283875.691917825","427919.261959114","1","1","1","1","1","1","1","1","1","115.5",
"147","안경업","01_02_01_P","4191000","PHMB219914190023082200002","1991-07-19","","01","영업/정상","13","영업중","","","","","033-763-6831","","","강원특별자치도 원주시 단계동 102번지 14호","강원특별자치도 원주시 백간길 25, 지하1층 (단계동, SG마트)","26409","안경박사원주점","2017-05-02 09:08:57","I","2023-06-13 00:00:00","","282589.582601784","428909.204364963","1","1","1","0","0","0","0","0","0","83",
"148","안경업","01_02_01_P","4191000","PHMB220164190023082200002","2016-08-10","","01","영업/정상","13","영업중","","","","","033-743-3001","","","강원특별자치도 원주시 무실동 1855-5 107호","강원특별자치도 원주시 능라동길 60, 107호 (무실동)","26392","스타옵틱&오렌즈 원주무실점","2021-01-06 13:12:03","I","2023-06-13 00:00:00","","282389.129230253","426182.239453651","1","1","1","1","2","1","1","1","1","39.9",
"149","안경업","01_02_01_P","4191000","PHMB220174190023082200002","2017-09-27","","01","영업/정상","13","영업중","","","","","033-738-1470","","","","강원특별자치도 원주시 문막읍 견훤로 815 (경동대학교)","26495","오큘러스","2017-10-19 16:32:11","I","2023-06-13 00:00:00","","270376.914270365","418451.827583191","1","1","1","1","2","2","1","1","2","26.4",
"150","안경업","01_02_01_P","4191000","PHMB220174190023082200001","2017-07-19","","01","영업/정상","13","영업중","","","","","033-742-7149","","","강원특별자치도 원주시 반곡동 1880번지 10호","강원특별자치도 원주시 양지로 26, 1층 (반곡동)","26465","아리안경콘텍트(원주혁신점)","2024-12-23 11:02:13","U","2024-12-25 02:40:00","","286933.822944686","425186.306407447","1","1","1","1","1","1","1","1","1","65.78",
"151","안경업","01_02_01_P","4191000","PHMB220184190023082200006","2018-12-17","","01","영업/정상","13","영업중","","","","","033-748-3390","","","강원특별자치도 원주시 반곡동 1884번지 3호","강원특별자치도 원주시 혁신로 39-2, 1층 102호 (반곡동)","26465","글라스바바안경원-원주혁신도시점","2018-12-21 16:30:27","I","2023-06-13 00:00:00","","286744.412549836","425122.558535185","1","1","1","1","2","1","1","2","4","105",
"152","안경업","01_02_01_P","4191000","PHMB220184190023082200005","2018-11-20","","01","영업/정상","13","영업중","","","","","033-734-7599","","","강원특별자치도 원주시 개운동 124번지 3호","강원특별자치도 원주시 치악로 1775, 1층 (개운동)","26442","천금당안경콘택","2019-09-26 10:52:24","I","2023-06-13 00:00:00","","284602.621104392","426994.894847882","1","1","1","1","1","1","1","1","1","28.1",
"153","안경업","01_02_01_P","4191000","PHMB220084190023082200003","2008-07-30","","01","영업/정상","13","영업중","","","","","033-732-3917","","220-150","강원특별자치도 원주시 무실동 1642번지 1호 106호","강원특별자치도 원주시 시청로 94, 106호 (무실동)","","3927안경","2024-12-23 11:03:19","U","2024-12-25 02:40:00","","282190.044209329","426388.415223633","1","1","1","1","1","1","1","1","1","0",
"154","안경업","01_02_01_P","4191000","PHMB219944190023082200001","1994-08-03","","01","영업/정상","13","영업중","","","","","033-734-8617","","","강원특별자치도 원주시 문막읍 건등리 1624-3","강원특별자치도 원주시 문막읍 왕건로 33, 1층","26368","문막안경나라","2023-04-04 09:14:12","I","2023-06-13 00:00:00","","273464.073636185","424834.374481095","1","1","1","1","1","1","1","1","1","299",
"155","안경업","01_02_01_P","4191000","PHMB220114190023082200003","2011-07-08","","01","영업/정상","13","영업중","","","","","033-762-1865","","","강원특별자치도 원주시 일산동 365 두진하트리움시티 상가2동 106호","강원특별자치도 원주시 천사로 189, 상가2동 106호 (일산동, 두진하트리움시티)","26417","안경나라 두진하트리움점","2021-02-06 10:15:29","I","2023-06-13 00:00:00","","283652.889698416","428073.769853619","1","1","1","1","1","1","1","1","1","50",
"156","안경업","01_02_01_P","4191000","PHMB219914190023082200001","1991-07-19","","01","영업/정상","13","영업중","","","","","033-742-2606","","220-903","강원특별자치도 원주시 중앙동 60번지 1호","강원특별자치도 원주시 중앙시장길 2 (중앙동)","","불란서안경","2010-11-18 17:21:55","I","2023-06-13 00:00:00","","283994.666066829","427980.237504722","1","1","1","1","1","1","1","1","1","0",
"157","안경업","01_02_01_P","4191000","PHMB219914190023082200003","1991-09-25","","01","영업/정상","13","영업중","","","","","033-745-6867","","220-963","강원특별자치도 원주시 학성동 207번지 35호","강원특별자치도 원주시 원일로 158 (학성동)","","그랑프리안경원","2010-11-18 16:42:26","I","2023-06-13 00:00:00","","283822.26835122","428249.673885756","1","1","1","0","0","0","0","0","0","0",
"158","안경업","01_02_01_P","4191000","PHMB219934190023082200001","1993-06-22","","01","영업/정상","13","영업중","","","","","033-745-7353","","220-955","강원특별자치도 원주시 우산동 200번지 14호","강원특별자치도 원주시 상지대길 51 (우산동)","","안경나라 상지대점","2010-11-25 11:00:35","I","2023-06-13 00:00:00","","282886.592593328","430149.252445669","1","1","1","0","0","0","0","0","0","0",
"159","안경업","01_02_01_P","4191000","PHMB219964190023082200001","1996-03-22","","01","영업/정상","13","영업중","","","9999-12-31","","033-742-5464","","220-903","강원특별자치도 원주시 중앙동 57번지","강원특별자치도 원주시 중앙시장길 11, 2층 (중앙동, 자유상가)","26428","리스안경원","2008-10-06 00:00:00","I","2023-06-13 00:00:00","","284005.234706843","428073.8236109","1","1","1","0","0","0","0","0","0","0",
"160","안경업","01_02_01_P","4191000","PHMB219964190023082200002","1996-09-25","","01","영업/정상","13","영업중","","","","","033-766-2277","","","강원특별자치도 원주시 인동 242-16 원주가톨릭센터","강원특별자치도 원주시 원일로 28, 원주가톨릭센터 1층 (인동)","26429","아이월드안경원","2023-11-15 18:04:33","U","2023-11-18 02:40:00","","284482.093866699","427441.660047554","1","1","1","0","0","0","0","0","0","100",
"161","안경업","01_02_01_P","4191000","PHMB220164190023082200003","2016-12-07","","01","영업/정상","13","영업중","","","","","033-765-1040","","","강원특별자치도 원주시 단구동 1511번지 2호","강원특별자치도 원주시 서원대로 396, 105호 (단구동, 스타월드)","26484","오렌즈원주단구점","2017-03-12 17:15:17","I","2023-06-13 00:00:00","","284012.197863588","425846.256339564","1","1","1","1","1","1","1","1","1","22.7",
"162","안경업","01_02_01_P","4191000","PHMB220184190023082200001","2018-02-23","","01","영업/정상","13","영업중","","","","","033-734-0327","","","강원특별자치도 원주시 문막읍 건등리 207번지 15호","강원특별자치도 원주시 문막읍 원문로 1628, 1층","26371","라온안경원","2019-08-13 20:07:56","I","2023-06-13 00:00:00","","","","1","1","1","10","2","2","0","3","2","64.82",
"163","안경업","01_02_01_P","4191000","PHMB220194190023082200001","2019-02-19","","01","영업/정상","13","영업중","","","","","070-4644-1001","","","강원특별자치도 원주시 명륜동 103번지 5호","강원특별자치도 원주시 남원로 662, 1층 (명륜동)","26442","일공공일안경","2019-08-27 11:24:16","I","2023-06-13 00:00:00","","284494.302032816","427042.192539935","1","1","1","1","1","1","1","1","1","0",
"164","안경업","01_02_01_P","4191000","PHMB220194190023082200003","2019-03-11","","01","영업/정상","13","영업중","","","","","033-748-9009","","","강원특별자치도 원주시 단계동 1121번지 2호","강원특별자치도 원주시 서원대로 125-3, 1층 (단계동)","26437","안경카페","2024-10-21 15:01:20","U","2024-10-23 02:40:00","","282057.997307975","427562.695166079","1","1","1","1","1","1","1","3","3","0",
"165","안경업","01_02_01_P","4191000","PHMB220194190023082200002","2019-02-21","","01","영업/정상","13","영업중","","","","","033-764-2930","","","강원특별자치도 원주시 단구동 1678번지 1호","강원특별자치도 원주시 단구로 397, 1층 (단구동)","26490","안경나라단관","2019-02-21 14:48:24","I","2023-06-13 00:00:00","","284653.046852234","424795.708219525","1","1","1","1","2","1","1","2","2","0",
"166","안경업","01_02_01_P","4191000","PHMB220214190023082200001","2021-10-08","","01","영업/정상","13","영업중","","","","","033-732-7637","","","강원특별자치도 원주시 반곡동 1901-6","강원특별자치도 원주시 미래로 25, 1층 105~106호 (반곡동)","26462","글라스타안경원","2021-10-10 09:26:53","I","2023-06-13 00:00:00","","287372.787086469","425423.7771737","1","0","0","1","2","0","0","0","0","83.6",
"167","안경업","01_02_01_P","4191000","PHMB220224190023082200002","2022-03-16","","01","영업/정상","13","영업중","","","","","033-747-4010","","","","강원특별자치도 원주시 능라동길 51, 2층 205호 (무실동)","26392","으뜸플러스안경 원주무실점","2022-03-17 11:23:33","I","2023-06-13 00:00:00","","282361.656343235","426273.540502002","1","0","0","1","1","0","0","0","0","58.24",
"168","안경업","01_02_01_P","4191000","PHMB220084190023082200004","2008-10-17","","01","영업/정상","13","영업중","","","","","033-764-0026","","220-090","강원특별자치도 원주시 단구동 1516번지 1호","강원특별자치도 원주시 남원로 530 (단구동)","26484","안경백화점","2023-07-07 13:48:25","U","2023-07-09 02:40:00","","283876.595427365","425904.096989277","1","1","1","1","1","1","1","1","1","387",
"169","안경업","01_02_01_P","4191000","PHMB220094190023082200002","2009-08-10","","01","영업/정상","13","영업중","","","","","033-742-1238","","220-010","강원특별자치도 원주시 중앙동 56번지 2호","강원특별자치도 원주시 중앙로 149 (중앙동)","","밝은안경원","2012-01-05 10:52:23","I","2023-06-13 00:00:00","","284015.652201679","428126.027570888","1","1","1","1","1","1","1","1","1","76.76",
"170","안경업","01_02_01_P","4191000","PHMB220094190023082200001","2009-07-01","","01","영업/정상","13","영업중","","","","","033-764-1368","","","강원특별자치도 원주시 명륜동 115번지 6호 1층","강원특별자치도 원주시 남원로 639, 1층 (명륜동)","26441","안경나라안경원","2021-03-04 16:07:53","I","2023-06-13 00:00:00","","284327.873583168","426888.425874996","1","1","1","1","1","1","1","1","1","51",
"171","안경업","01_02_01_P","4191000","PHMB220104190023082200004","2010-11-01","","01","영업/정상","13","영업중","","","","","033-735-9966","","","강원특별자치도 원주시 태장동 1375번지 1호","강원특별자치도 원주시 북원상가길 36 (태장동)","26316","크라우드","2017-10-24 10:26:33","I","2023-06-13 00:00:00","","284220.004380598","431725.997258259","2","1","1","1","1","2","1","1","1","70.61",
"172","안경업","01_02_01_P","4191000","PHMB220104190023082200005","2010-12-29","","01","영업/정상","13","영업중","","","","","033-764-5000","","220-944","강원특별자치도 원주시 단구동 1512번지 1호 5층 503호","강원특별자치도 원주시 서원대로 406 (단구동)","26484","밝은안경＆원주","2015-04-07 13:57:20","I","2023-06-13 00:00:00","","284095.975648829","425776.788781884","1","1","1","1","2","1","1","2","1","59.2",
"173","안경업","01_02_01_P","4191000","PHMB220114190023082200001","2011-02-21","","01","영업/정상","13","영업중","","","","","","","","","강원특별자치도 원주시 나비허리길 148 (관설동)","26471","안경랜드관설점","2025-07-22 16:27:33","U","2025-07-24 02:40:00","","285409.81841919","424585.65244391","1","1","1","1","1","1","1","1","1","126.9",
"174","안경업","01_02_01_P","4191000","PHMB220124190023082200004","2012-07-09","","01","영업/정상","13","영업중","","","","","033-743-8577","","220-934","강원특별자치도 원주시 관설동 1453번지 홈플러스 2층","강원특별자치도 원주시 치악로 1489, 2층 (관설동, 홈플러스)","26471","렌즈맨안경원(원주관설점)","2021-03-04 15:54:34","I","2023-06-13 00:00:00","","285677.402683418","424408.068770392","1","1","1","1","1","1","1","1","1","51.59",
"175","안경업","01_02_01_P","4191000","PHMB220124190023082200005","2012-08-27","","01","영업/정상","13","영업중","","","","","033-733-9009","","","","강원특별자치도 원주시 시청로 3 (무실동, 로얄타워)","26383","닥터아이언스","2017-06-26 10:44:39","I","2023-06-13 00:00:00","","281614.11717558","426991.761922349","2","1","2","2","2","1","1","2","2","362.67",
"176","안경업","01_02_01_P","4191000","PHMB220124190023082200006","2012-08-30","","01","영업/정상","13","영업중","","","","","033-763-9007","","220-931","강원특별자치도 원주시 개운동 404번지 12호","강원특별자치도 원주시 개운로 65 (개운동)","26444","안경매니아","2012-08-31 18:33:30","I","2023-06-13 00:00:00","","284794.096299002","426785.068502612","1","1","1","1","1","1","1","1","1","46.04",
"177","안경업","01_02_01_P","4191000","PHMB220144190023082200001","2014-01-20","","01","영업/정상","13","영업중","","","","","033-742-9979","","","","강원특별자치도 원주시 능라동길 75 (무실동)","26392","안경매니져 무실점","2018-06-29 15:19:47","I","2023-06-13 00:00:00","","282345.463563421","426053.001948438","1","1","1","1","1","1","1","1","1","54.2",
