"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"52","종합여행업","03_12_03_P","4181000","CDFI2260042024000008","2021-06-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 퇴계동 945 퇴계금호타운아파트","강원특별자치도 춘천시 안마산로 214, 상가동 204호 (퇴계동, 퇴계금호타운아파트)","24424","케이플래그","2025-06-27 10:50:35","U","2025-06-29 02:40:00","","264821.013871032","483196.394695827","종합여행업","","","0","","","서울보증보험","","0","0","0","0","K.FLAG","GENERAL TRAVEL BUSINESS","0","0","","0","0","","0","0","","0","","","","","","","0","20250616","20260615","","0","",
"53","종합여행업","03_12_03_P","4181000","CDFI2260042024000007","2024-04-12","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 남산면 서천리 34-1","강원특별자치도 춘천시 남산면 서백길 79-8","24464","(주)디엠씨코리아트레블테크놀로지","2025-04-21 16:24:28","U","2025-04-23 02:40:00","","248584.370714308","482234.057563687","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20250418","20260417","","0","",
"54","종합여행업","03_12_03_P","4181000","CDFI2260042024000004","2024-03-22","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 석사동 774-4","강원특별자치도 춘천시 우석로 8, 1층 (석사동)","24327","플랜비","2025-04-02 16:35:07","U","2025-04-04 02:40:00","","265645.761580805","484634.803378596","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250401","20260331","","0","",
"55","종합여행업","03_12_03_P","4181000","CDFI2260042024000006","2024-05-08","","01","영업/정상","13","영업중","","","","","033-242-2006","","","강원특별자치도 춘천시 퇴계동 916-1 현진아파트","강원특별자치도 춘천시 춘주로 150, 상가동 104호 (퇴계동, 현진아파트)","24452","(주)테마투어","2025-05-15 16:00:01","U","2025-05-17 02:40:00","","263713.174233589","484187.309012648","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250508","20260507","","0","",
"56","종합여행업","03_12_03_P","4181000","CDFI2260042024000005","2024-03-28","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 온의동 542-2","강원특별자치도 춘천시 충혼길52번길 10, 302-96호 (온의동)","24437","주식회사 버킷리스트클래스","2025-02-12 09:07:27","U","2025-02-15 02:40:00","","263250.540593552","484452.409041204","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20240328","20270327","","0","",
"57","종합여행업","03_12_03_P","4181000","CDFI2260042024000002","2024-02-06","","01","영업/정상","13","영업중","","","","","1833-9132","","","강원특별자치도 춘천시 조양동 6-86","강원특별자치도 춘천시 금강로83번길 26 (조양동)","24351","(주)네이처앤드피플","2025-03-24 17:17:21","U","2025-03-26 02:40:00","","264333.894540381","486562.684745983","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250206","20260205","","0","",
"58","종합여행업","03_12_03_P","4181000","CDFI2260042025000011","2025-09-26","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 310-2","강원특별자치도 춘천시 공지로 272, 2층 201호 (효자동)","24342","주식회사 마인갤러리","2025-09-26 15:51:50","I","2025-09-28 00:20:02","","264599.590984201","485053.388068189","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"59","종합여행업","03_12_03_P","4181000","CDFI2260042025000009","2025-09-15","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 온의동 542-2","강원특별자치도 춘천시 충혼길52번길 10, 306-A호 (온의동)","24437","디머트(서비스)","2025-09-30 15:31:49","U","2025-10-02 02:40:00","","263250.540593552","484452.409041204","종합여행업","","","0","","","서울보증보험","사무실","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20251001","20260930","","0","",
"60","종합여행업","03_12_03_P","4181000","CDFI2260042025000010","2025-09-15","","01","영업/정상","13","영업중","","","","","070-8098-0621","","","강원특별자치도 춘천시 효자동 303-14","강원특별자치도 춘천시 공지로 255, 2층 3호 (효자동)","24374","주식회사 아일랜드","2025-10-16 09:29:04","U","2025-10-18 02:40:00","","264635.794136071","484905.340382649","종합여행업","","","0","","","서울보증보험","사무실","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","107576496","20250915","20260914","","0","",
"61","종합여행업","03_12_03_P","4181000","CDFI2260042025000008","2025-08-01","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 효자동 159-37","강원특별자치도 춘천시 효제길37번길 3 (효자동)","24333","소양하다","2025-08-06 17:14:03","U","2025-08-08 02:40:00","","264819.288634385","485680.432500255","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50064544","20250731","20260801","","0","",
"62","종합여행업","03_12_03_P","4181000","CDFI2260042025000005","2025-06-10","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 석사동 980","강원특별자치도 춘천시 후석로 120, 춘천농협 농수산물종합유통센터 309호 (석사동)","24326","봄내여행사","2025-06-12 15:31:53","U","2025-06-15 02:40:00","","265760.750878195","484782.142992886","종합여행업","","주거지역","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20250623","20260622","","0","",
"63","종합여행업","03_12_03_P","4181000","CDFI2260042025000007","2025-07-03","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 온의동 542-2","강원특별자치도 춘천시 충혼길52번길 10, 드림타워 3층 304-7호 (온의동)","24437","백락여행","2025-08-18 16:02:32","U","2025-08-20 02:40:00","","263250.540593552","484452.409041204","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250704","20260703","","0","",
"64","종합여행업","03_12_03_P","4181000","CDFI2260042025000006","2025-06-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 온의동 509 보배아파트","강원특별자치도 춘천시 스포츠타운길 529-15, 상가동 304호 (온의동, 보배아파트)","24429","노마드 라인","2025-06-27 10:49:08","U","2025-06-29 02:40:00","","262698.903310287","485455.957795484","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","55349808","20250701","20260630","","0","",
"65","종합여행업","03_12_03_P","4181000","CDFI2260042025000003","2023-02-28","","01","영업/정상","13","영업중","","","","","070-8835-2626","","","강원특별자치도 춘천시 온의동 542-2","강원특별자치도 춘천시 충혼길52번길 10, 드림 비즈니스 센터 303호 (온의동)","24437","주식회사 트립소다","2025-04-17 18:05:51","I","2025-04-19 00:10:02","","263250.540593552","484452.409041204","종합여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20250308","20260307","","0","",
"66","종합여행업","03_12_03_P","4181000","CDFI2260042025000002","2024-05-22","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 온의동 542-2","강원특별자치도 춘천시 충혼길52번길 10, 드림타워 3층 304-3호 (온의동)","24437","새결투어","2025-06-27 10:57:42","U","2025-06-29 02:40:00","","263250.540593552","484452.409041204","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20250527","20260527","","0","",
"67","종합여행업","03_12_03_P","4181000","CDFI2260042025000004","2025-05-02","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 동면 지내리 554","강원특별자치도 춘천시 동면 지내길 101-15, 1층","24211","고운트립","2025-05-15 16:01:45","U","2025-05-17 02:40:00","","268309.965259396","490414.131742687","종합여행업","","자연녹지지역","1","","","서울보증보험","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","68.68","","0","","","","","","","287995200","20250501","20260501","","69","",
"68","종합여행업","03_12_03_P","4181000","CDFI2260042023000016","2023-12-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 후평동 216-8","강원특별자치도 춘천시 삭주로145번길 81 (후평동)","24232","(주)스포티아","2025-02-12 15:29:59","U","2025-02-15 02:40:00","","265576.737802343","488035.324131313","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250101","20251231","","0","",
"69","종합여행업","03_12_03_P","4181000","CDFI2260042023000017","2023-12-26","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 온의동 542-2","강원특별자치도 춘천시 충혼길52번길 10, 303-2B호 (온의동)","24437","스냅잇 주식회사","2025-02-12 15:25:09","U","2025-02-15 02:40:00","","263250.540593552","484452.409041204","종합여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250210","20260210","","0","",
"70","종합여행업","03_12_03_P","4181000","CDFI2260042024000001","2024-01-16","","01","영업/정상","13","영업중","","","","","033-253-5200","","","강원특별자치도 춘천시 동면 만천리 326-33","강원특별자치도 춘천시 동면 순환대로 1156-20, 지하1층","24212","(주)모토모토제이케이레저타운","2025-10-14 10:13:08","U","2025-10-16 02:40:00","","268460.845694627","487129.562998419","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20240116","20250115","","0","",
"71","종합여행업","03_12_03_P","4181000","CDFI2260042023000014","2023-10-19","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 온의동 590 온의 롯데캐슬 스카이클래스","강원특별자치도 춘천시 방송길 70, 117동 108호 (온의동, 온의 롯데캐슬 스카이클래스)","24363","그랜드항공여행사","2025-04-03 15:32:25","U","2025-04-05 02:40:00","","263147.153512908","485489.588263733","종합여행업","","","0","","","그랜드항공여행사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20241019","20251018","","0","",
"72","종합여행업","03_12_03_P","4181000","CDFI2260042024000010","2024-11-20","","01","영업/정상","13","영업중","","","","","033-262-6378","","","강원특별자치도 춘천시 후평동 558-1","강원특별자치도 춘천시 후석로420번길 7, 431, 432호 (후평동)","24232","(주)위드이노베이션","2025-06-09 14:07:27","U","2025-06-12 02:40:00","","265474.842593179","487512.552718902","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20241120","20251119","","0","",
"73","종합여행업","03_12_03_P","4181000","CDFI2260042024000011","2024-12-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 요선동 12-2","강원특별자치도 춘천시 소양고개길 50, 3041호 (요선동)","24272","(주)올리브트리","2025-04-03 15:28:57","U","2025-04-05 02:40:00","","263885.897682568","486855.695116577","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20241218","20251217","","0","",
"74","종합여행업","03_12_03_P","4181000","CDFI2260042017000002","2017-03-22","2023-10-11","04","취소/말소/만료/정지/중지","31","등록취소","","","","","","","","강원특별자치도 춘천시 신동면 정족리 366-9","강원특별자치도 춘천시 신동면 정족1길 36","24412","에스케이 투어","2023-10-11 16:30:13","U","2023-10-13 02:40:00","","264516.924392359","480970.170965727","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","120000000","20201101","20211031","","0","",
"75","종합여행업","03_12_03_P","4191000","CDFI2260042011000001","2011-07-27","","03","폐업","03","폐업","2014-02-20","","","","735-1137","","220-100","강원특별자치도 원주시 단계동 1123","강원특별자치도 원주시 봉화로 1 (단계동)","220-100","에이스투어 주식회사","2014-02-20 11:19:37","I","2023-06-13 00:00:00","","282120.73395865","427477.545400161","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","10","","0","","","","","","","200000000","20130728","20140727","","10","1412110056",
"76","종합여행업","03_12_03_P","4191000","CDFI2260042015000003","2014-10-21","","03","폐업","03","폐업","2019-07-04","","","","","","","강원특별자치도 원주시 무실동 1811-5","강원특별자치도 원주시 무실새골길 16 (무실동)","26478","주식회사 신우투어","2019-07-05 09:31:46","I","2023-06-13 00:00:00","","282765.428205432","425864.382341885","종합여행업","","일반주거지역","1","","","서울보증보험주식회사","","1","0","0","0","","","0","0","","0","0","","0","19","","0","","","","","","","200000000","20161024","20171023","","19","",
"77","종합여행업","03_12_03_P","4191000","CDFI2260042018000004","2018-08-06","","03","폐업","03","폐업","2019-10-21","","","","","","","강원특별자치도 원주시 반곡동 1913-2","강원특별자치도 원주시 건강로 23, 204호 (반곡동)","26464","다모아","2019-10-21 15:30:13","I","2023-06-13 00:00:00","","287485.067730027","425268.363393899","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0","",
"78","종합여행업","03_12_03_P","4191000","CDFI2260042018000006","2018-09-17","","03","폐업","03","폐업","2021-05-28","","","","","","","강원특별자치도 원주시 무실동 1654-8","강원특별자치도 원주시 섬밭들2길 1-6 (무실동)","26385","주식회사 베리굿투어","2021-05-28 09:29:49","I","2023-06-13 00:00:00","","281722.487690581","426179.665943536","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0","",
"79","종합여행업","03_12_03_P","4191000","CDFI2260042018000007","2018-11-06","","03","폐업","03","폐업","2020-11-24","","","","","","","강원특별자치도 원주시 호저면 만종리 495-9","강원특별자치도 원주시 호저면 원문로 482","26349","주식회사 케이알투어","2020-11-25 15:26:07","I","2023-06-13 00:00:00","","280321.548837867","429183.548180441","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0","",
"80","종합여행업","03_12_03_P","4191000","CDFI2260042022000004","2022-05-10","","03","폐업","03","폐업","2023-04-25","","","","033-744-2111","","","강원특별자치도 원주시 무실동 1857-12","강원특별자치도 원주시 능라동길 47, 노블레스 타워 402호 (무실동)","26392","(주)스카이로드","2023-04-25 15:22:10","I","2023-06-13 00:00:00","","282281.586640301","426222.813244459","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20220816","20230815","","0","",
"81","종합여행업","03_12_03_P","4191000","CDFI2260042025000002","2025-02-24","","03","폐업","03","폐업","2025-09-17","","","","","","","강원특별자치도 원주시 우산동 411-10 원주근로자종합복지관","강원특별자치도 원주시 우산공단길 24, 2층 (우산동)","26336","주식회사 스텔라","2025-10-21 14:39:46","U","2025-10-23 02:40:00","","283274.345339703","430747.493954183","종합여행업","","","0","","","","","0","0","0","0","STELLA","General travel business","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"82","종합여행업","03_12_03_P","4191000","CDFI2260042023000003","2023-07-07","","01","영업/정상","13","영업중","","","","","033-765-0293","","","강원특별자치도 원주시 무실동 1857-25 401호","강원특별자치도 원주시 능라동길 7, 401호 (무실동)","26392","(주)한국농업농촌센터","2024-04-01 17:55:03","U","2024-04-03 02:40:00","","282034.105458981","425931.651241046","종합여행업","","","0","","","","근린생활시설","0","0","0","0","Korea Institute Agriculture Rural","General travel business","0","0","","0","0","","0","240.37","","0","","","","","","","100000000","","","","240","",
"83","종합여행업","03_12_03_P","4191000","CDFI2260042011000002","2011-11-07","","01","영업/정상","13","영업중","","","","","033-730-3153","","220-821","강원특별자치도 원주시 지정면 월송리 1016","강원특별자치도 원주시 지정면 오크밸리1길 66","26357","에이치디씨리조트주식회사","2024-11-05 10:17:41","U","2024-11-07 02:40:00","","273387.408064752","435358.539333992","종합여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","1659","","0","","","","","","","71472955000","20241104","20251103","","1659","",
"84","종합여행업","03_12_03_P","4191000","CDFI2260042015000002","2011-06-17","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단계동 853-1","강원특별자치도 원주시 북원로 2235-12, 3층 342호 (단계동, 이룸레지던스)","26436","이이피잉글리쉬아카데미","2023-02-22 17:51:23","I","2023-06-13 00:00:00","","282400.45","427505.14","종합여행업","","중심상업지역","13","기타","","서울보증보험주식회사","근린생활시설","3","10","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","200000000","20130620","20140619","","0","",
"85","종합여행업","03_12_03_P","4191000","CDFI2260042016000001","2016-02-19","","01","영업/정상","13","영업중","","","","","033 765 9096","","","강원특별자치도 원주시 단구동 121-36","강원특별자치도 원주시 나비허리길 85, 2층 (단구동)","26471","(주) 망고 트레블","2023-03-09 10:24:17","I","2023-06-13 00:00:00","","285118.675454959","424957.536904628","종합여행업","","","0","","","서울보증보험 주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","200000000","20230307","20240306","","0","",
"86","종합여행업","03_12_03_P","4191000","CDFI2260042016000002","2016-04-22","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 신림면 신림리 204","강원특별자치도 원주시 신림면 언당길 21-15, 814호 (현대파크빌)","26506","(주)창신투어","2023-02-22 17:58:42","I","2023-06-13 00:00:00","","296296.698639309","416141.20862896","종합여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","29","","0","","","","","","","200000000","20160601","20170531","","29","",
"87","종합여행업","03_12_03_P","4191000","CDFI2260042016000003","2016-11-21","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 소초면 장양리 54","강원특별자치도 원주시 소초면 섬배로 109-10","26307","정도인터내셔널 주식회사","2020-12-11 16:50:31","I","2023-06-13 00:00:00","","286264.502525824","435876.543068714","종합여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","70","","0","","","","","","","100000000","20201201","20211130","","70","",
"88","종합여행업","03_12_03_P","4191000","CDFI2260042017000001","2017-09-03","","01","영업/정상","13","영업중","","","","","033-762-6860","","","강원특별자치도 원주시 단구동 1512-1","강원특별자치도 원주시 서원대로 406, 115호 (단구동)","26484","주식회사 라씨","2023-02-22 15:37:54","I","2023-06-13 00:00:00","","284095.975648829","425776.788781884","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"89","종합여행업","03_12_03_P","4191000","CDFI2260042017000002","2017-10-13","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 무실동 1846-1","강원특별자치도 원주시 능라동길 26, 201호 (무실동)","26392","노아투어컴퍼니 유한회사","2023-10-04 14:56:36","U","2023-10-06 02:40:00","","282194.991220526","426057.504419949","종합여행업","","","0","","","서울보증보험 주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20231013","20241012","","0","",
"90","종합여행업","03_12_03_P","4191000","CDFI2260042022000007","2022-09-06","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 반곡동 1903-2","강원특별자치도 원주시 양지로 80, 112호 (반곡동)","26462","(주)와이지투어","2025-09-04 09:31:04","U","2025-09-06 02:40:00","","287336.98603588","425561.69150027","종합여행업","","","0","","","서울보증보험 주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20230306","20240305","","0","",
"91","종합여행업","03_12_03_P","4191000","CDFI2260042023000001","2023-02-09","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 무실동 1062-1 이마트 원주점 1층","강원특별자치도 원주시 북원로 1928, 이마트 원주점 1층 (무실동)","26395","감성 여행사","2023-04-17 16:14:56","I","2023-06-13 00:00:00","","281366.703634706","424684.582635502","종합여행업","","자연녹지지역","4","기타","","서울보증보험주식회사","유통시설","2","2","0","0","gamsungtour","General travel business","0","0","","0","0","","0","18","","0","","","","","","","56000000","20230210","20240209","","18","",
"92","종합여행업","03_12_03_P","4191000","CDFI2260042023000002","2023-02-10","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 개운동 436-2 1층","강원특별자치도 원주시 송림길 18-2, 1층 (개운동)","26448","旅, 다비","2024-01-02 09:53:43","U","2024-01-04 02:40:00","","284097.390385193","426144.863464052","종합여행업","","일반주거지역","1","","","","사무실","1","0","0","0","旅, dabi","General travel business","0","0","","0","0","","0","63.39","","0","","","","","","","50000000","","","","63","",
"93","종합여행업","03_12_03_P","4191000","CDFI2260042017000003","2017-12-22","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 무실동 1364","강원특별자치도 원주시 송삼길 68 (무실동)","26385","주식회사 아트인앤아웃","2022-04-29 09:39:06","I","2023-06-13 00:00:00","","280982.519097045","425975.018761844","종합여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20210901","20220831","","0","",
"94","종합여행업","03_12_03_P","4191000","CDFI2260042018000001","2018-02-12","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 관설동 1705-12","강원특별자치도 원주시 단관초교길 12, 2층 202호 (관설동)","26471","투어동행","2023-02-22 18:06:40","I","2023-06-13 00:00:00","","285441.060630741","424412.132191027","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","","","","0","",
"95","종합여행업","03_12_03_P","4191000","CDFI2260042018000002","2018-05-04","","01","영업/정상","13","영업중","","","","","033-765-3250","","","강원특별자치도 원주시 반곡동 1140-2","강원특별자치도 원주시 동부순환로 31, 3층 (반곡동)","26459","주식회사 케이에스씨","2023-03-06 13:54:37","I","2023-06-13 00:00:00","","285991.071753162","424609.97265128","종합여행업","","","0","","","서울보증보험 주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20230306","20240305","","0","",
"96","종합여행업","03_12_03_P","4191000","CDFI2260042018000003","2018-06-28","","01","영업/정상","13","영업중","","","","","033-742-5288","","","강원특별자치도 원주시 단계동 580","강원특별자치도 원주시 원문로 324-21, 1층 (단계동)","26349","원주율여행","2022-08-16 16:26:27","I","2023-06-13 00:00:00","","281538.601033809","429181.533523104","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","122","","0","","","","","","","100000000","20220817","20230816","","122","",
"97","종합여행업","03_12_03_P","4191000","CDFI2260042018000005","2018-08-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단구동 1599-4 원주프리미엄아울렛","강원특별자치도 원주시 서원대로 500, 원주프리미엄아울렛 3층 322호 (단구동)","26487","(주)리드트레블","2023-02-22 15:45:10","I","2023-06-13 00:00:00","","284818.874360771","425225.032426821","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","133000000","20201218","20211217","","0","",
"98","종합여행업","03_12_03_P","4191000","CDFI2260042019000001","2019-02-18","","01","영업/정상","13","영업중","","","","","033-734-2724","","","강원특별자치도 원주시 반곡동 1860-5 608호","강원특별자치도 원주시 혁신로 19, 608호 (반곡동)","26460","케이티오파트너스 주식회사","2023-03-06 13:23:12","I","2023-06-13 00:00:00","","286530.401496353","425229.266366716","종합여행업","","","0","","","서울보증보험","","0","0","0","0","KTO PARTNERS CO.,LTD","General Travel Business","0","0","","0","0","","0","0","","0","","","","","","","500000000","20230101","20231231","","0","",
"99","종합여행업","03_12_03_P","4191000","CDFI2260042019000002","2019-05-28","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단구동 1599-4 원주프리미엄아울렛","강원특별자치도 원주시 서원대로 500, 원주프리미엄아울렛 F304라호 (단구동)","26487","주식회사 아토즈플래닝","2022-06-15 09:23:15","I","2023-06-13 00:00:00","","284818.874360771","425225.032426821","종합여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20210901","20220831","","0","",
"100","종합여행업","03_12_03_P","4191000","CDFI2260042019000003","2019-08-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 개운동 203-65 101호","강원특별자치도 원주시 치악로 1732-67, 101호 (개운동)","26444","(주)중원관광","2023-04-10 17:34:47","I","2023-06-13 00:00:00","","285135.657418864","426679.400136022","종합여행업","","","0","","","서울보증보험","","0","0","0","0","JOONGWON TOUR","General travel business","0","0","","0","0","","0","0","","0","","","","","","","100000000","20230406","20240405","","0","",
"101","종합여행업","03_12_03_P","4191000","CDFI2260042020000001","2020-02-05","","01","영업/정상","13","영업중","","","","","033-747-6812","","","강원특별자치도 원주시 단구동 1064-10","강원특별자치도 원주시 단구로 243 (단구동)","26446","주식회사 123에이치알","2023-03-03 16:08:11","I","2023-06-13 00:00:00","","284465.397831035","426028.411498734","종합여행업","","","0","","","서울보증보험 주식회사","","0","0","0","0","123HR Inc.","General travel business","0","0","","0","0","","0","0","","0","","","","","","","118802888","20230302","20240301","","0","",
"102","종합여행업","03_12_03_P","4191000","CDFI2260042021000001","2013-04-30","","01","영업/정상","13","영업중","","","","","033-732-6133","","","강원특별자치도 원주시 부론면 법천리 1542-1","강원특별자치도 원주시 부론면 법천시장길 70, 1층","26498","제이케이앤인터내쇼날(주)","2024-06-12 10:53:29","U","2024-06-14 02:40:00","","266507.184943568","411922.716842363","종합여행업","","","0","","","서울보증보험","","0","0","0","0","JKN International Co., Ltd.","GENERAL TRAVEL BUSINESS","0","0","","0","0","","0","0","","0","","","","","","","200000000","20230714","20240713","","0","",
"103","종합여행업","03_12_03_P","4191000","CDFI2260042022000001","2022-02-21","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 무실동 1857-10","강원특별자치도 원주시 능라동길 51, 221호 (무실동)","26392","(합)코리아여행사","2023-03-03 15:56:18","I","2023-06-13 00:00:00","","282361.656343235","426273.540502002","종합여행업","","","0","","","서울보증보험 주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20221001","20230930","","0","",
"104","종합여행업","03_12_03_P","4191000","CDFI2260042022000002","2022-03-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 지정면 가곡리 1497-1","강원특별자치도 원주시 지정면 신지정로 322-1, 301호","26353","주식회사 제이에스","2023-10-10 15:01:20","U","2023-10-12 02:40:00","","277250.554294063","431515.699932934","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"105","종합여행업","03_12_03_P","4191000","CDFI2260042022000003","2022-04-27","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단구동 1467 대흥아파트","강원특별자치도 원주시 단구초교길 19, 101호 (단구동, 대흥아파트)","26452","무지개여행사","2023-02-22 15:56:48","I","2023-06-13 00:00:00","","285423.892658947","424988.781750881","종합여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
