"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","지정일자","민원종류명",
"1620","담배소매업","11_43_02_P","4181000","2002418001605600091","2002-06-21","","03","폐업","2","폐업처리","2003-06-30","","","","033 2532305","","","강원특별자치도 춘천시 근화동 711번지 3호","강원특별자치도 춘천시 공지로 450 (근화동)","","훼미리마트터미널점","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","263064.716448104","485973.958182642","","",
"1621","담배소매업","11_43_02_P","4181000","2002418001605600092","2002-07-02","","03","폐업","2","폐업처리","2004-07-20","","","","033 2421995","","","강원특별자치도 춘천시 후평동 970호 (후3)","","","한결쇼핑","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","","","","",
"1622","담배소매업","11_43_02_P","4181000","2002418001605600093","2002-07-02","","03","폐업","2","폐업처리","2003-07-22","","","","033 2414449","","","강원특별자치도 춘천시 효자동 708번지 9호 (효2)","강원특별자치도 춘천시 공지로 297 (효자동,(효2))","","사계절버티컬","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","264365.594924452","485203.037206043","","",
"1623","담배소매업","11_43_02_P","4181000","2002418001605600095","2002-07-03","","03","폐업","2","폐업처리","2008-02-26","","","","033 2633348","","","강원특별자치도 춘천시 서면 안보리 740번지 6   호","강원특별자치도 춘천시 서면 경춘로 416-6","","해가머무는강가에","2008-03-24 18:39:23","I","2023-06-13 00:00:00","","249183.584959342","482757.482510465","20020703","2009년11월법개정전자료",
"1624","담배소매업","11_43_02_P","4181000","2002418001605600096","2002-07-05","","03","폐업","2","폐업처리","2004-05-06","","","","033 2446504","","","강원특별자치도 춘천시 신북읍 지내리 380번지 3호","강원특별자치도 춘천시 신북읍 성문1길 70-8","","지내리상회","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","264094.269454679","495200.588128086","","",
"1625","담배소매업","11_43_02_P","4181000","2002418001605600097","2002-07-08","","03","폐업","2","폐업처리","2013-05-30","","","","033 2611684","","","강원특별자치도 춘천시 효자동 330호 3  통 2 반 (효2)","강원특별자치도 춘천시 공지로242번길 14 (효자동,(효2))","","미진마트","2013-05-30 16:31:32","I","2023-06-13 00:00:00","","264834.297509034","484966.625489623","20020708","2009년11월법개정전자료",
"1626","담배소매업","11_43_02_P","4181000","2002418001605600098","2002-07-08","","03","폐업","2","폐업처리","2007-01-22","","","","033 2511985","","","강원특별자치도 춘천시 퇴계동 901호","강원특별자치도 춘천시 행촌로 50 (퇴계동)","","탁틴스포츠","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","263780.234310823","484479.588656946","","",
"1627","담배소매업","11_43_02_P","4181000","2002418001605600099","2002-07-11","","03","폐업","2","폐업처리","2004-07-01","","","","033 2547964","","","강원특별자치도 춘천시 근화동 797번지 5   호","강원특별자치도 춘천시 당간지주길 74 (근화동)","","행운슈퍼","2008-04-03 18:13:00","I","2023-06-13 00:00:00","","263585.371336082","487980.714652331","20020711","2009년11월법개정전자료",
"1628","담배소매업","11_43_02_P","4181000","2002418001605600101","2002-07-12","","03","폐업","2","폐업처리","2003-02-11","","","","033 2516679","","","강원특별자치도 춘천시 석사동 727번지 5호 진흥(아)상가109호","강원특별자치도 춘천시 후석로186번길 9 (석사동,진흥(아)상가109호)","","웨이","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","266248.753976684","485330.859552345","","",
"1629","담배소매업","11_43_02_P","4181000","2002418001605600102","2002-07-20","","03","폐업","2","폐업처리","2003-06-17","","","","033 2617480","","","강원특별자치도 춘천시 서면 안보리 665번지 11호","강원특별자치도 춘천시 서면 경춘로 525","","강산레저","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","250116.859031735","482250.288770143","","",
"1630","담배소매업","11_43_02_P","4181000","2002418001605600104","2002-07-20","","03","폐업","2","폐업처리","2010-05-20","","","","033 2607700","","","강원특별자치도 춘천시 석사동 27호","","","(주)GS리테일GS마트춘천점","2010-05-22 15:04:03","I","2023-06-13 00:00:00","","","","20020720","2009년11월법개정전자료",
"1631","담배소매업","11_43_02_P","4181000","2002418001605600105","2002-07-20","","03","폐업","2","폐업처리","2015-11-23","","","","033 2624288","","","강원특별자치도 춘천시 효자동 770번지 8   호 (효2)","강원특별자치도 춘천시 백령로 111 (효자동,(효2))","","씨유 춘천대학로점","2015-11-23 14:35:11","I","2023-06-13 00:00:00","","265117.480151462","485757.396957845","20020720","2009년11월법개정전자료",
"1632","담배소매업","11_43_02_P","4181000","2002418001605600106","2002-07-20","","03","폐업","2","폐업처리","2022-02-24","","","","033 2616402","","","강원특별자치도 춘천시 남산면 방곡리 390번지 12  호","강원특별자치도 춘천시 남산면 강촌로 184","","훼미리마트 강촌방곡점","2022-02-24 13:57:56","I","2023-06-13 00:00:00","","256056.904652931","478040.501052579","20020720","2009년11월법개정전자료",
"1633","담배소매업","11_43_02_P","4181000","2009418016605600105","2009-09-15","","03","폐업","2","폐업처리","2011-08-08","","","","033-254-7447","","200-162","강원특별자치도 춘천시 후평2동 442번지 7호","강원특별자치도 춘천시 춘천로282번길 18 (후평동)","","후평사라슈퍼","2011-08-08 14:07:44","I","2023-06-13 00:00:00","","265509.273781492","486545.518867776","20090915","2009년11월법개정전자료",
"1634","담배소매업","11_43_02_P","4181000","2009418016605600106","2009-09-21","","03","폐업","2","폐업처리","2010-01-06","","","","255-0446","","200-090","강원특별자치도 춘천시 효자동 757번지 17호","강원특별자치도 춘천시 춘천로 252 (효자동)","","꾸밈인테리어","2010-01-06 11:27:45","I","2023-06-13 00:00:00","","265163.896738819","486520.723813381","20090921","2009년11월법개정전자료",
"1635","담배소매업","11_43_02_P","4181000","2009418016605600107","2009-09-22","","03","폐업","2","폐업처리","2016-05-09","","","","","","200-883","강원특별자치도 춘천시 동내면 거두리 1004번지 6호","강원특별자치도 춘천시 동내면 외솔길 51","","씨유춘천거두오스타점","2016-05-09 16:48:37","I","2023-06-13 00:00:00","","266275.280968641","484079.768294888","20090922","2009년11월법개정전자료",
"1636","담배소매업","11_43_02_P","4181000","2009418016605600108","2009-09-22","","03","폐업","2","폐업처리","2011-09-01","","","","","","200-210","강원특별자치도 춘천시 송암동 700번지 3호","강원특별자치도 춘천시 스포츠타운길 113 (송암동)","","송암동번영회","2011-09-01 09:16:36","I","2023-06-13 00:00:00","","260420.565086014","483691.10029183","20090922","2009년11월법개정전자료",
"1637","담배소매업","11_43_02_P","4181000","2009418016605600111","2009-09-25","","03","폐업","2","폐업처리","2019-07-01","","","","","","200-162","강원특별자치도 춘천시 후평2동 902번지 현대아파트 5차 상가 103호","강원특별자치도 춘천시 후만로24번길 13 (후평동,현대아파트 5차 상가 103호)","","DC마트 현대5차점","2019-07-01 16:32:27","I","2023-06-13 00:00:00","","265909.529064168","485946.054273108","20090925","2009년11월법개정전자료",
"1638","담배소매업","11_43_02_P","4181000","2009418016605600112","2009-10-01","","03","폐업","2","폐업처리","2012-03-09","","","","","","200-959","강원특별자치도 춘천시 후평동 511번지 30호 14통 4반","강원특별자치도 춘천시 춘천로281번길 14 (후평동)","","주부슈퍼","2012-03-09 12:08:08","I","2023-06-13 00:00:00","","265372.380515747","486814.68687945","20091001","2009년11월법개정전자료",
"1639","담배소매업","11_43_02_P","4181000","2009418016605600113","2009-10-05","","03","폐업","2","폐업처리","2011-01-26","","","","033-253-3978","","200-092","강원특별자치도 춘천시 효자2동 178번지 56호","강원특별자치도 춘천시 백령로 75 (효자동)","","바이더웨이 강대천하점","2011-01-26 10:15:15","I","2023-06-13 00:00:00","","264874.569129863","485504.393571259","20091005","2009년11월법개정전자료",
"1640","담배소매업","11_43_02_P","4181000","2009418016605600114","2009-10-05","","03","폐업","2","폐업처리","2017-10-24","","","","033-255-2433","","200-959","강원특별자치도 춘천시 후평동 842번지 1호 11통 5반 3층호","강원특별자치도 춘천시 삭주로 118-1, 3층호 (후평동)","","현대 만물사","2017-10-24 14:22:45","I","2023-06-13 00:00:00","","265369.218686441","487126.350090582","20091005","2009년11월법개정전자료",
"1641","담배소매업","11_43_02_P","4181000","2009418016605600115","2009-10-07","","03","폐업","2","폐업처리","2016-10-11","","","","033-255-1961","","200-951","강원특별자치도 춘천시 효자동 608번지 4호 16통 4반","강원특별자치도 춘천시 도화길 5 (효자동)","","보람마트","2016-10-11 17:06:51","I","2023-06-13 00:00:00","","264855.55234887","486101.209993117","20091007","2009년11월법개정전자료",
"1642","담배소매업","11_43_02_P","4181000","2009418016605600116","2009-10-05","","03","폐업","2","폐업처리","2011-09-07","","","","","","200-911","강원특별자치도 춘천시 남산면 강촌리 253번지 2호","강원특별자치도 춘천시 남산면 강촌로 86","","(주)한서유통강촌","2011-09-07 09:56:00","I","2023-06-13 00:00:00","","255841.389399294","478960.088994815","20091005","2009년11월법개정전자료",
"1643","담배소매업","11_43_02_P","4181000","2009418016605600117","2009-10-16","","03","폐업","2","폐업처리","2016-06-13","","","","","","200-161","강원특별자치도 춘천시 후평1동 753번지 2호","강원특별자치도 춘천시 춘천로 418-1 (후평동)","","울타리마트","2016-06-13 10:32:41","I","2023-06-13 00:00:00","","266120.882061039","487801.825284287","20091016","2009년11월법개정전자료",
"1644","담배소매업","11_43_02_P","4181000","2009418016605600118","2009-10-20","","03","폐업","2","폐업처리","2011-10-28","","","","033-256-2165","","200-114","강원특별자치도 춘천시 소양로4가 103번지 9호","강원특별자치도 춘천시 가연길 15 (소양로4가)","","대일수퍼","2011-10-28 16:41:48","I","2023-06-13 00:00:00","","263419.742460139","486381.291532468","20091020","2009년11월법개정전자료",
"1645","담배소매업","11_43_02_P","4181000","2009418016605600119","2009-10-22","","03","폐업","2","폐업처리","2014-07-24","","","","033-264-0055","","200-914","강원특별자치도 춘천시 남산면 방하리 201번지","강원특별자치도 춘천시 남산면 방하로 688-6","","소라리조트","2014-07-24 15:39:20","I","2023-06-13 00:00:00","","246700.723166528","476726.857054125","20091022","2009년11월법개정전자료",
"1646","담배소매업","11_43_02_P","4181000","2009418016605600120","2009-10-22","","03","폐업","2","폐업처리","2014-10-29","","","","","","200-093","강원특별자치도 춘천시 효자3동 757번지 13호","강원특별자치도 춘천시 춘천로 254 (효자동)","","GS25춘천서희점","2014-10-29 18:57:19","I","2023-06-13 00:00:00","","265195.813453946","486531.022725751","20091022","2009년11월법개정전자료",
"1647","담배소매업","11_43_02_P","4181000","2011418022905600027","2011-11-03","","03","폐업","2","폐업처리","2012-08-31","","","","","","200-944","강원특별자치도 춘천시 퇴계동 888번지 4호 1층","강원특별자치도 춘천시 행촌로 49 (퇴계동,1층)","","씨유 남춘천점","2012-08-31 10:45:43","I","2023-06-13 00:00:00","","263750.830304488","484499.898951097","20111103","제7조의3제2항에따른경우",
"1648","담배소매업","11_43_02_P","4181000","2007418016605653722","2007-10-12","","03","폐업","2","폐업처리","2012-08-29","","","","241-6266","","200-852","강원특별자치도 춘천시 동면 만천리 607번지","강원특별자치도 춘천시 동면 만천로 55","","SK네트웍스(주) 학마을주유소","2012-08-29 18:26:52","I","2023-06-13 00:00:00","","267443.242700742","486491.728930007","20071012","2009년11월법개정전자료",
"1649","담배소매업","11_43_02_P","4181000","2007418016605653723","2007-11-19","","03","폐업","2","폐업처리","2022-04-14","","","","","","200-943","강원특별자치도 춘천시 퇴계동 183번지 2호","강원특별자치도 춘천시 김유정로 1887 (퇴계동)","","GS25춘천유정점","2022-04-14 13:07:14","I","2023-06-13 00:00:00","","264801.074897103","483830.326375031","20071119","2009년11월법개정전자료",
"1650","담배소매업","11_43_02_P","4181000","2007418016605653725","2007-12-02","","03","폐업","2","폐업처리","2008-05-28","","","","","","200-220","강원특별자치도 춘천시 칠전동 68번지","","","세영지프","2008-05-28 10:27:39","I","2023-06-13 00:00:00","","","","20071202","2009년11월법개정전자료",
"1651","담배소매업","11_43_02_P","4181000","2009418016605600121","2009-10-22","","03","폐업","2","폐업처리","2011-09-21","","","","","","200-092","강원특별자치도 춘천시 효자2동 172번지 108호","강원특별자치도 춘천시 백령로67번길 19 (효자동)","","굿타임24 효자점","2011-09-21 13:00:20","I","2023-06-13 00:00:00","","264687.919181558","485545.275940904","20091022","2009년11월법개정전자료",
"1652","담배소매업","11_43_02_P","4181000","2009418016605600122","2009-10-27","","03","폐업","2","폐업처리","2010-05-25","","","","252-6336","","200-060","강원특별자치도 춘천시 교동 93번지 176호","강원특별자치도 춘천시 삭주로 59 (교동)","","이지온 보안시스템","2010-05-25 18:24:35","I","2023-06-13 00:00:00","","264783.714637287","487005.989843026","20091027","2009년11월법개정전자료",
"1653","담배소매업","11_43_02_P","4181000","2009418016605600123","2009-10-28","","03","폐업","2","폐업처리","2013-02-28","","","","","","200-954","강원특별자치도 춘천시 효자1동 685번지 24호 1층","강원특별자치도 춘천시 공지로 349 (효자동,1층)","","보광훼미리마트 춘천효자대로점","2013-02-28 16:10:55","I","2023-06-13 00:00:00","","263927.575640039","485496.243284128","20091028","2009년11월법개정전자료",
"1654","담배소매업","11_43_02_P","4181000","2009418016605600124","2009-10-30","","03","폐업","2","폐업처리","2010-04-19","","","","","","200-883","강원특별자치도 춘천시 동내면 거두리 756번지 춘천교도소민원실내","","","춘천교도소구내매점","2010-04-19 17:53:24","I","2023-06-13 00:00:00","","","","20091030","2009년11월법개정전자료",
"1655","담배소매업","11_43_02_P","4181000","2009418016605600125","2009-10-30","","03","폐업","2","폐업처리","2015-01-23","","","","","","200-911","강원특별자치도 춘천시 남산면 강촌1리 337번지 16호","강원특별자치도 춘천시 남산면 강촌구곡길 5","","(주)바이더웨이 강촌중앙점","2015-01-23 16:33:02","I","2023-06-13 00:00:00","","255945.841068381","478661.665922918","20091030","2009년11월법개정전자료",
"1656","담배소매업","11_43_02_P","4181000","2009418016605600127","2009-10-30","","03","폐업","2","폐업처리","2019-10-21","","","","","","200-911","강원특별자치도 춘천시 남산면 방곡리 285번지 8호","강원특별자치도 춘천시 남산면 강촌로 262","","GS25강촌제일점","2019-10-21 16:10:39","I","2023-06-13 00:00:00","","256302.695525661","477306.671744896","20091030","2009년11월법개정전자료",
"1657","담배소매업","11_43_02_P","4181000","2009418016605600128","2009-11-03","","03","폐업","2","폐업처리","2011-07-21","","","","033-251-9044","","200-795","강원특별자치도 춘천시 동면 장학리 982번지 두산위브아파트 상가 104호","강원특별자치도 춘천시 동면 만천로 240 (두산위브아파트 상가 104호)","","두산위브슈퍼","2011-07-21 10:04:03","I","2023-06-13 00:00:00","","266386.793997597","487715.279999635","20091103","제7조의3제2항에따른경우",
"1658","담배소매업","11_43_02_P","4181000","2009418016605600129","2009-11-03","","03","폐업","2","폐업처리","2022-12-12","","","","","","200-882","강원특별자치도 춘천시 동내면 학곡리 306번지 15호","강원특별자치도 춘천시 동내면 영서로 1779","","종점할인마트","2022-12-12 15:28:05","I","2023-06-13 00:00:00","","266815.270098192","481715.370086206","20091103","제7조의3제3항에따른경우",
"1659","담배소매업","11_43_02_P","4181000","2009418016605600130","2009-11-03","","03","폐업","2","폐업처리","2021-02-15","","","","","","200-070","강원특별자치도 춘천시 조양동 6번지 67호","강원특별자치도 춘천시 아침길 14 (조양동)","","GS25춘천명동점","2021-02-15 16:38:15","I","2023-06-13 00:00:00","","264216.215205048","486546.484058396","20091103","제7조의3제2항에따른경우",
"1660","담배소매업","11_43_02_P","4181000","2009418016605600132","2009-11-09","","03","폐업","2","폐업처리","2009-11-09","","","","","","200-931","강원특별자치도 춘천시 근화동 285번지 13호","강원특별자치도 춘천시 공지로451번길 11 (근화동)","","대원철물","2009-11-10 09:38:41","I","2023-06-13 00:00:00","","263027.381988831","485840.065519471","20091109","제7조의3제2항에따른경우",
"1661","담배소매업","11_43_02_P","4181000","2009418016605600133","2009-11-10","","03","폐업","2","폐업처리","2015-12-10","","","","","","200-120","강원특별자치도 춘천시 약사동 155번지 5호 8통 5반","강원특별자치도 춘천시 공지로 420-1 (약사동)","","대원철물","2015-12-10 16:38:55","I","2023-06-13 00:00:00","","263354.763958795","485893.008413909","20091110","제7조의3제2항에따른경우",
"1662","담배소매업","11_43_02_P","4181000","2004418001605600099","2004-07-12","","03","폐업","2","폐업처리","2006-09-08","","","","033 2563838","","","강원특별자치도 춘천시 석사동 747번지 4호","강원특별자치도 춘천시 우석로67번길 9-1 (석사동)","","소양마트","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","266068.823483453","484981.258718994","","",
"1663","담배소매업","11_43_02_P","4181000","2004418001605600100","2004-07-16","","03","폐업","2","폐업처리","2006-02-06","","","","033 2448533","","","강원특별자치도 춘천시 후평동 43번지 1호","","","3단지마트","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","","","","",
"1664","담배소매업","11_43_02_P","4181000","2006418001605600036","2006-03-18","","03","폐업","2","폐업처리","2016-06-30","","","","0330 2520064","","","강원특별자치도 춘천시 동내면 신촌리 401번지 1호","강원특별자치도 춘천시 동내면 향군길 25","","산수빌마트","2016-06-30 10:45:17","I","2023-06-13 00:00:00","","267217.475805455","483079.57810089","20060318","2009년11월법개정전자료",
"1665","담배소매업","11_43_02_P","4181000","2006418001605600037","2006-03-18","","03","폐업","2","폐업처리","2006-08-18","","","","","","","강원특별자치도 춘천시 낙원동 62번지 2호","강원특별자치도 춘천시 낙원길 35 (낙원동)","","미니스톱 중앙로점","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","263788.23096905","486574.659903082","","",
"1666","담배소매업","11_43_02_P","4181000","2006418001605600038","2006-03-25","","03","폐업","2","폐업처리","2008-08-26","","","","","","","강원특별자치도 춘천시 효자동 176번지 12  호","강원특별자치도 춘천시 백령로 19 (효자동)","","청운D.C마트","2008-08-27 10:48:07","I","2023-06-13 00:00:00","","264796.136717104","485116.862547629","20060325","2009년11월법개정전자료",
"1667","담배소매업","11_43_02_P","4181000","2006418001605600039","2006-03-25","","03","폐업","2","폐업처리","2008-06-02","","","","","","","강원특별자치도 춘천시 효자동 593번지 2호","","","썬마트","2008-06-02 14:44:38","I","2023-06-13 00:00:00","","","","20060325","2009년11월법개정전자료",
"1668","담배소매업","11_43_02_P","4181000","2006418001605600041","2006-04-04","","03","폐업","2","폐업처리","2008-05-14","","","","","","","강원특별자치도 춘천시 후평동 683번지 13  호 3  통 1  반","강원특별자치도 춘천시 효평길 83 (후평동)","","플러스마트","2008-05-15 09:37:47","I","2023-06-13 00:00:00","","265447.83642274","486651.580851604","20060404","2009년11월법개정전자료",
"1669","담배소매업","11_43_02_P","4181000","2006418001605600044","2006-04-04","","03","폐업","2","폐업처리","2008-09-25","","","","","","","강원특별자치도 춘천시 서면 당림리 385번지 13  호","","","당림주유소","2008-09-25 13:29:49","I","2023-06-13 00:00:00","","254272.810239434","481034.304096658","20060404","2009년11월법개정전자료",
"1670","담배소매업","11_43_02_P","4181000","2006418001605600045","2006-04-04","","03","폐업","2","폐업처리","2011-02-24","","","","033 2555753","","","강원특별자치도 춘천시 우두동 699번지 1   호","","","훼미리마트 춘천인벤스점","2011-02-24 09:57:09","I","2023-06-13 00:00:00","","264264.629798234","488799.954046008","20060404","2009년11월법개정전자료",
"1671","담배소매업","11_43_02_P","4181000","2006418001605600046","2006-04-04","","03","폐업","2","폐업처리","2007-04-23","","","","","","","강원특별자치도 춘천시 후평동 683호","강원특별자치도 춘천시 춘천로 270 (후평동)","","JU25마트 후평2동점","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","265347.161424125","486616.688921028","","",
"1672","담배소매업","11_43_02_P","4181000","2006418001605600048","2006-04-04","","03","폐업","2","폐업처리","2007-02-08","","","","","","","강원특별자치도 춘천시 남산면 방하리 198호 남이섬 내","","","소나타마트/장군마트","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","246222.531678854","476683.992337235","","",
"1673","담배소매업","11_43_02_P","4181000","2006418001605600051","2006-04-05","","03","폐업","2","폐업처리","2008-11-24","","","","","","","강원특별자치도 춘천시 효자동 676번지 2   호","강원특별자치도 춘천시 춘천로 132 (효자동)","","일등마트","2008-11-24 17:03:07","I","2023-06-13 00:00:00","","264114.083336797","486026.146799019","20060405","2009년11월법개정전자료",
"1674","담배소매업","11_43_02_P","4181000","2021418034905600074","2021-08-24","","03","폐업","2","폐업처리","2022-04-12","","","","033-263-8861","","","강원특별자치도 춘천시 효자동 300-27","강원특별자치도 춘천시 남춘천새길 41(효자동)","24374","대양유통","2022-04-11 17:14:16","I","2023-06-13 00:00:00","","264725.521199061","484792.582052334","20210824","제7조의3제2항에따른경우",
"1675","담배소매업","11_43_02_P","4181000","2021418034905600076","2021-08-26","","03","폐업","2","폐업처리","2024-04-29","","","","","","","강원특별자치도 춘천시 효자동 626-5","강원특별자치도 춘천시 서부대성로 221-1, 1층 (효자동)","24289","베이프 큐 (VAPE Q)","2024-04-29 13:20:04","U","2024-05-01 02:40:00","","265300.66229487","485928.759665185","20210826","제7조의3제2항에따른경우",
"1676","담배소매업","11_43_02_P","4181000","2021418034905600078","2021-09-01","","03","폐업","2","폐업처리","2022-02-17","","","","","","","강원특별자치도 춘천시 석사동 339 춘천교육대학교","강원특별자치도 춘천시 공지로 126, 춘천교육대학교 (석사동)","24328","씨유 춘천교육대학교점","2022-02-17 17:59:56","I","2023-06-13 00:00:00","","265831.097866827","484368.23347021","20210901","제7조의3제2항에따른경우",
"1677","담배소매업","11_43_02_P","4181000","2021418034905600083","2021-09-16","","03","폐업","2","폐업처리","2022-10-17","","","","","","","강원특별자치도 춘천시 퇴계동 977-6","강원특별자치도 춘천시 퇴계로146번길 12-2(퇴계동)","24377","쎄븐마트","2022-10-17 13:35:56","I","2023-06-13 00:00:00","","264597.165517304","484268.984492105","20210916","제7조의3제2항에따른경우",
"1678","담배소매업","11_43_02_P","4181000","2004418001605600123","2004-08-10","","03","폐업","2","폐업처리","2017-09-07","","","","","","","강원특별자치도 춘천시 온의동 70번지 4   호","강원특별자치도 춘천시 스포츠타운길 528 (온의동)","","DC클럽춘천직판장온의점","2017-09-07 13:46:46","I","2023-06-13 00:00:00","","262819.098112396","485344.850483347","20040810","2009년11월법개정전자료",
"1679","담배소매업","11_43_02_P","4181000","2004418001605600124","2004-08-10","","03","폐업","2","폐업처리","2004-12-16","","","","","","","강원특별자치도 춘천시 퇴계동 343번지 13호","강원특별자치도 춘천시 남춘로 31 (퇴계동)","","붕붕슈퍼","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","264256.766682684","484866.120110744","","",
"1680","담배소매업","11_43_02_P","4181000","2004418001605600125","2004-08-10","","03","폐업","2","폐업처리","2018-02-08","","","","033 2627273","","","강원특별자치도 춘천시 동내면 학곡리 276번지 2   호","강원특별자치도 춘천시 동내면 영서로 1765","","남양유통","2018-02-08 13:23:47","I","2023-06-13 00:00:00","","266875.688858924","481585.96290198","20040810","2009년11월법개정전자료",
"1681","담배소매업","11_43_02_P","4181000","2004418001605600126","2004-08-10","","03","폐업","2","폐업처리","2006-02-13","","","","033 2445009","","","강원특별자치도 춘천시 조양동 6번지 68호","강원특별자치도 춘천시 아침길 12 (조양동)","","25시 마트","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","264200.491258301","486519.45484295","","",
"1682","담배소매업","11_43_02_P","4181000","2004418001605600127","2004-08-10","","03","폐업","2","폐업처리","2005-11-15","","","","033 2430482","","","강원특별자치도 춘천시 중앙로2가 25호","강원특별자치도 춘천시 중앙로 63-1 (중앙로2가)","","보광훼미리마트춘천명동점","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","263872.154340307","486553.599538962","","",
"1683","담배소매업","11_43_02_P","4181000","2004418001605600128","2004-08-10","","03","폐업","2","폐업처리","2005-02-24","","","","","","","강원특별자치도 춘천시 후평동 95번지 21호","강원특별자치도 춘천시 후석로344번길 27-13 (후평동)","","성산슈퍼","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","266009.538045687","486966.934662928","","",
"1684","담배소매업","11_43_02_P","4181000","2004418001605600129","2004-09-01","","03","폐업","2","폐업처리","2005-03-03","","","","033 2611090","","","강원특별자치도 춘천시 석사동 314번지 1호","강원특별자치도 춘천시 공지로 112 (석사동)","","너랑나랑슈퍼","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","265767.034957272","484038.456804308","","",
"1685","담배소매업","11_43_02_P","4181000","2004418001605600130","2004-09-01","","03","폐업","2","폐업처리","2011-04-05","","","","","","","강원특별자치도 춘천시 효자동 192번지 1   호","강원특별자치도 춘천시 강원대학길 1 (효자동)","","주경상회","2011-04-05 10:39:15","I","2023-06-13 00:00:00","","265481.557982219","485420.871953344","20040901","2009년11월법개정전자료",
"1686","담배소매업","11_43_02_P","4181000","2004418001605600132","2004-09-01","","03","폐업","2","폐업처리","2008-08-25","","","","","","","강원특별자치도 춘천시 소양로4가 103번지 9   호","강원특별자치도 춘천시 가연길 15 (소양로4가)","","대일슈퍼","2008-08-25 15:07:44","I","2023-06-13 00:00:00","","263419.742460139","486381.291532468","20040901","2009년11월법개정전자료",
"1687","담배소매업","11_43_02_P","4181000","2004418001605600133","2004-09-01","","03","폐업","2","폐업처리","2005-01-05","","","","033 2567752","","","강원특별자치도 춘천시 근화동 236번지 9호","강원특별자치도 춘천시 소양로 32 (근화동)","","동산종합건재","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","263037.78947912","486442.141034067","","",
"1688","담배소매업","11_43_02_P","4181000","2004418001605600134","2004-09-01","","03","폐업","2","폐업처리","2023-05-17","","","","033-254-4346","","","강원특별자치도 춘천시 요선동 13번지 9호","강원특별자치도 춘천시 서부대성로44번길 20 (요선동)","24272","미광액자","2023-05-17 18:05:05","I","2023-06-13 00:00:00","","263894.578229449","486820.056521499","20040901","2009년11월법개정전자료",
"1689","담배소매업","11_43_02_P","4181000","2004418001605600135","2004-09-01","","03","폐업","2","폐업처리","2004-11-15","","","","033 2567752","","","강원특별자치도 춘천시 소양로4가 101번지 8호","강원특별자치도 춘천시 가연길16번길 21-6 (소양로4가)","","황해상회","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","263422.925799059","486509.002991973","","",
"1690","담배소매업","11_43_02_P","4181000","2004418001605600136","2004-09-01","","03","폐업","2","폐업처리","2006-01-23","","","","033 2626872","","","강원특별자치도 춘천시 퇴계동 183번지 2호","강원특별자치도 춘천시 김유정로 1887 (퇴계동)","","포인트인테리어","2008-02-23 00:00:00","I","2023-06-13 00:00:00","","264801.074897103","483830.326375031","","",
"1691","담배소매업","11_43_02_P","4181000","2004418001605600140","2004-09-01","","03","폐업","2","폐업처리","2015-06-30","","","","033 2627396","","","강원특별자치도 춘천시 석사동 880번지 4호 프라임타워 104호","강원특별자치도 춘천시 퇴계농공로 22, 104호 (석사동,프라임타워)","","씨유춘천프라임점","2015-06-30 17:16:21","I","2023-06-13 00:00:00","","265419.195718634","483446.822404389","20040901","2009년11월법개정전자료",
"1692","담배소매업","11_43_02_P","4181000","2018418027705600053","2018-07-17","","03","폐업","2","폐업처리","2025-02-14","","","","","","","강원특별자치도 춘천시 남산면 서천리 산 105번지 20호","강원특별자치도 춘천시 남산면 방하로 1165","24464","이마트24 춘천서천리점","2025-02-14 14:37:10","U","2025-02-16 02:40:00","","246306.719031819","480664.709778326","20180717","제7조의3제2항에따른경우",
