"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","침대수","다중이용업소여부",
"1122","미용업","05_18_01_P","4191000","4191000-212-2011-00010","2011-03-16","","01","영업/정상","01","영업","","","","","033 742 0430","17.10","","강원특별자치도 원주시 무실동 1857-25 희원타워,지상3층 304호","강원특별자치도 원주시 능라동길 7, 지상3층 304호 (무실동, 희원타워)","26392","향연에스테틱","2021-10-07 17:12:58","I","2023-06-13 00:00:00","피부미용업","282034.105458981","425931.651241046","피부미용업","6","1","3","3","0","0","0","","","","임대","0","0","5","N",
"1123","미용업","05_18_01_P","4191000","4191000-212-2011-00011","2011-03-28","","01","영업/정상","01","영업","","","","","033 765 9996","22.80","","강원특별자치도 원주시 단구동 1577-3","강원특별자치도 원주시 늘품로 35, 2층 (단구동)","26486","예인에스테틱","2023-04-19 14:11:04","I","2023-06-13 00:00:00","피부미용업","284147.130917669","424958.666724668","피부미용업","3","0","2","2","0","0","0","","","","임대","0","0","1","N",
"1124","미용업","05_18_01_P","4191000","4191000-212-2011-00015","2011-04-28","","01","영업/정상","01","영업","","","","","033 763 3777","41.09","","강원특별자치도 원주시 개운동 406","강원특별자치도 원주시 치악로 1752 (개운동)","26444","정원피부미용실","2018-02-10 15:09:18","I","2023-06-13 00:00:00","피부미용업","284682.783267762","426744.107605025","피부미용업","3","1","1","1","0","0","0","","","","","1","0","1","N",
"1125","미용업","05_18_01_P","4191000","4191000-212-2011-00016","2011-04-29","","01","영업/정상","01","영업","","","","","033 743 6645","38.35","","강원특별자치도 원주시 무실동 1669-9 지상2층","강원특별자치도 원주시 섬밭들1길 30-7, 지상2층 (무실동)","26385","로뎀스킨케어","2021-12-07 11:53:40","I","2023-06-13 00:00:00","피부미용업","281713.609283569","426003.783343108","피부미용업","4","0","2","2","0","0","0","","","","임대","0","0","3","N",
"1126","미용업","05_18_01_P","4191000","4191000-212-2011-00001","2011-01-10","","01","영업/정상","01","영업","","","","","033 734 0777","94.98","","강원특별자치도 원주시 원동 274-146 (2층)","강원특별자치도 원주시 무실로 95 (원동,(2층))","26433","코델리아피부관리실","2011-01-11 09:40:12","I","2023-06-13 00:00:00","피부미용업","283620.115281342","427411.418468085","피부미용업","4","1","2","0","0","0","0","","","","임대","0","0","4","N",
"1127","미용업","05_18_01_P","4191000","4191000-212-2011-00005","2011-02-18","","01","영업/정상","01","영업","","","","","033 764 7118","61.00","","강원특별자치도 원주시 단구동 1599-4 원주프리미엄아울렛","강원특별자치도 원주시 서원대로 500, 원주프리미엄아울렛 5층 508호 (단구동)","26487","사바비안강원지사피부샵","2023-03-16 13:42:53","I","2023-06-13 00:00:00","피부미용업","284818.874360771","425225.032426821","피부미용업","5","1","5","5","0","0","6","","","","자가","0","0","3","N",
"1128","미용업","05_18_01_P","4191000","4191000-212-2011-00008","2011-03-03","","01","영업/정상","01","영업","","","","","033 765 4579","0.00","","강원특별자치도 원주시 단구동 1599-4 프리미엄아울렛4층442호","강원특별자치도 원주시 서원대로 500 (단구동,프리미엄아울렛4층442호)","26487","노블레스뷰티","2015-01-30 16:54:30","I","2023-06-13 00:00:00","피부미용업","284818.874360771","425225.032426821","피부미용업","0","0","0","0","0","0","0","","","","임대","0","0","4","N",
"1129","미용업","05_18_01_P","4191000","4191000-211-2017-00026","2017-05-12","","01","영업/정상","01","영업","","","","","","25.07","","강원특별자치도 원주시 태장동 579-11","강원특별자치도 원주시 포란재로 36-1, 2층 201호 (태장동, 금광포란재아파트)","26321","온헤어","2022-01-03 14:46:41","I","2023-06-13 00:00:00","일반미용업","284602.980218158","430835.65452028","일반미용업","3","1","2","2","0","0","3","","","","임대","0","0","0","N",
"1130","미용업","05_18_01_P","4191000","4191000-211-2017-00027","2017-05-22","","01","영업/정상","01","영업","","","","","","146.80","","강원특별자치도 원주시 중앙동 114-1","강원특별자치도 원주시 중앙로 103, 지상2층 (중앙동)","26428","리썸헤어중앙점","2022-07-05 13:17:55","I","2023-06-13 00:00:00","일반미용업","284164.667982768","427899.297007749","일반미용업","4","0","2","0","0","0","14","","","","임대","0","0","0","N",
"1131","미용업","05_18_01_P","4191000","4191000-211-2017-00028","2017-05-26","","01","영업/정상","01","영업","","","","","033 904 7059","29.25","","강원특별자치도 원주시 단구동 1569-6 1층 우측","강원특별자치도 원주시 늘품로 5 (단구동, 1층 우측)","26486","단발머리","2024-02-14 10:03:59","U","2024-02-17 02:40:00","일반미용업","284066.081240862","424744.276801926","일반미용업","3","0","1","1","0","0","2","","","","임대","1","0","0","N",
"1132","미용업","05_18_01_P","4191000","4191000-211-2017-00029","2017-06-20","","01","영업/정상","01","영업","","","","","","53.42","","강원특별자치도 원주시 무실동 1641-10","강원특별자치도 원주시 시청로 84, 2층 204호 (무실동)","26388","제이엠헤어살롱","2017-07-02 10:47:24","I","2023-06-13 00:00:00","일반미용업","282169.220583111","426442.961504571","일반미용업","5","1","2","2","0","0","4","","","","임대","0","0","0","N",
"1133","미용업","05_18_01_P","4191000","4191000-211-2017-00031","2017-07-03","","01","영업/정상","01","영업","","","","","","59.61","","강원특별자치도 원주시 단구동 1673-5 1층","강원특별자치도 원주시 단관길 98-7 (단구동, 1층)","26490","헤어오공일","2017-07-03 15:48:03","I","2023-06-13 00:00:00","일반미용업","284791.429037677","424673.479458668","일반미용업","4","0","1","1","0","0","3","","","","임대","1","0","0","N",
"1134","미용업","05_18_01_P","4191000","4191000-211-2017-00032","2017-07-05","","01","영업/정상","01","영업","","","","","","43.60","","강원특별자치도 원주시 반곡동 1913-8 213호","강원특별자치도 원주시 세계로 3 (반곡동, 213호)","26464","지헤어(반곡점)","2017-07-05 13:27:28","I","2023-06-13 00:00:00","일반미용업","287507.652957799","425180.634405302","일반미용업","3","1","2","2","0","0","4","","","","자가","1","0","0","N",
"1135","미용업","05_18_01_P","4191000","4191000-211-2017-00033","2017-07-12","","01","영업/정상","01","영업","","","","","033 7616266","76.99","","강원특별자치도 원주시 단계동 902 지상 1층","강원특별자치도 원주시 이화4길 80, 지상1층 (단계동)","26474","이화미용실","2017-07-31 09:48:52","I","2023-06-13 00:00:00","일반미용업","282697.870155178","427129.865961064","일반미용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"1136","미용업","05_18_01_P","4191000","4191000-211-2017-00034","2017-07-17","","01","영업/정상","01","영업","","","","","033 7483112","45.20","","강원특별자치도 원주시 문막읍 후용리 652-6 지상1층","강원특별자치도 원주시 문막읍 고청동길 10-1, 지상1층","26495","엘림헤어","2017-07-26 10:35:55","I","2023-06-13 00:00:00","일반미용업","270757.211430199","419312.57223305","일반미용업","4","0","1","1","0","0","3","","","","임대","0","0","0","N",
"1137","미용업","05_18_01_P","4191000","4191000-211-2017-00035","2017-07-20","","01","영업/정상","01","영업","","","","","","69.53","","강원특별자치도 원주시 무실동 1848-1 지상2층 202호","강원특별자치도 원주시 능라동길 30, 지상2층 202호 (무실동, 무실채움)","26392","라벨르헤어","2017-07-28 16:13:31","I","2023-06-13 00:00:00","일반미용업","282235.507695038","426087.782289165","일반미용업","5","2","2","2","0","0","7","","","","임대","0","0","0","N",
"1138","미용업","05_18_01_P","4191000","4191000-211-2017-00037","2017-08-09","","01","영업/정상","01","영업","","","","","","119.79","","강원특별자치도 원주시 반곡동 1880-10 2층, 206호","강원특별자치도 원주시 양지로 26 (반곡동, 2층, 206호)","26465","박준뷰티랩(혁신점)","2019-12-31 15:01:14","I","2023-06-13 00:00:00","일반미용업","286933.822944686","425186.306407447","일반미용업","6","1","2","2","0","0","8","","","","임대","4","0","0","N",
"1139","미용업","05_18_01_P","4191000","4191000-211-2017-00040","2017-08-17","","01","영업/정상","01","영업","","","","","","0.00","","강원특별자치도 원주시 개운동 443-26","강원특별자치도 원주시 송림길 36-10 (개운동)","26448","칼라펙토리","2021-08-25 11:29:34","I","2023-06-13 00:00:00","일반미용업","284251.380831252","426007.388598797","일반미용업","2","0","1","1","0","0","7","","","","임대","0","1","0","N",
"1140","미용업","05_18_01_P","4191000","4191000-211-2017-00062","2017-03-02","","01","영업/정상","01","영업","","","","","","41.80","","강원특별자치도 원주시 단계동 800-28","강원특별자치도 원주시 단구로 63, 지상1층 (단계동)","26434","영헤어","2023-11-20 15:42:34","U","2023-11-22 02:40:00","일반미용업","283140.517217818","427203.290180128","일반미용업","4","1","1","0","0","0","2","","","","임대","0","0","0","N",
"1141","미용업","05_18_01_P","4201000","4201000-204-2001-00044","2001-07-30","","01","영업/정상","01","영업","","","","","033 6523180","18.00","","강원특별자치도 강릉시 포남동 1069-12","강원특별자치도 강릉시 보래미하길53번길 16 (포남동)","25485","이정윤미용실","2022-02-03 17:18:08","I","2023-06-13 00:00:00","일반미용업","368292.312800698","476416.994482043","미용업","0","0","0","1","0","0","0","","","","","0","0","0","N",
"1142","미용업","05_18_01_P","4201000","4201000-204-2001-00048","2001-06-01","","01","영업/정상","01","영업","","","","","033 6421487","19.80","","강원특별자치도 강릉시 입암동 498-1","강원특별자치도 강릉시 용지로 42 (입암동)","25580","헤어스투디오로리아","2020-12-13 13:23:35","I","2023-06-13 00:00:00","일반미용업","368318.555614485","474267.228241237","미용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"1143","미용업","05_18_01_P","4201000","4201000-204-2001-00056","2001-09-04","","01","영업/정상","01","영업","","","","","033 6512273","20.50","","강원특별자치도 강릉시 포남동 1061","강원특별자치도 강릉시 강릉대로469번길 25 (포남동)","25480","노랑머리미용실","2017-08-24 16:28:10","I","2023-06-13 00:00:00","일반미용업","368354.13471307","476585.22089269","미용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"1144","미용업","05_18_01_P","4201000","4201000-204-2001-00057","2001-09-24","","01","영업/정상","01","영업","","","","","033 6530972","22.65","","강원특별자치도 강릉시 포남동 1005-173 1층","강원특별자치도 강릉시 용지로96번길 12, 1층 (포남동)","25548","신머리방","2017-08-31 10:42:22","I","2023-06-13 00:00:00","일반미용업","367962.65976812","474701.424700219","미용업","3","0","1","1","0","0","2","","","","","0","0","0","N",
"1145","미용업","05_18_01_P","4201000","4201000-204-2001-00059","2001-05-02","","01","영업/정상","01","영업","","","","","033 6477727","36.00","","강원특별자치도 강릉시 포남동 1146-15","강원특별자치도 강릉시 남구길 6-1 (포남동)","25546","최주원의 컬펌","2010-08-04 10:00:04","I","2023-06-13 00:00:00","일반미용업","367960.480791425","475210.462794689","미용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"1146","미용업","05_18_01_P","4201000","4201000-204-2001-00060","2001-09-04","","01","영업/정상","01","영업","","","","","033 646 6927","39.25","","강원특별자치도 강릉시 포남동 1005-366","강원특별자치도 강릉시 성덕포남로149번길 44 (포남동)","25547","이민경헤어","2017-08-11 11:10:44","I","2023-06-13 00:00:00","일반미용업","368090.873699328","475087.814657638","미용업","4","0","0","0","0","0","2","","","","","0","0","0","N",
"1147","미용업","05_18_01_P","4201000","4201000-211-1990-00001","1990-06-21","","01","영업/정상","01","영업","","","","","","12.30","","강원특별자치도 강릉시 포남동 1177-9","강원특별자치도 강릉시 경강로2291번길 24 (포남동)","25572","세진뷰티","2021-05-31 15:19:20","I","2023-06-13 00:00:00","일반미용업","368295.921245921","475758.805568157","일반미용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"1148","미용업","05_18_01_P","4201000","4201000-211-1992-00002","1992-10-07","","01","영업/정상","01","영업","","","","","033 661 3179","36.54","","강원특별자치도 강릉시 연곡면 영진리 343-16 2층","강원특별자치도 강릉시 연곡면 영진3길 26-2, 2층","25430","안미희헤어","2014-09-29 17:37:00","I","2023-06-13 00:00:00","일반미용업","361845.765626809","486791.537387501","일반미용업","2","0","2","2","0","0","4","","","","자가","0","0","0","N",
"1149","미용업","05_18_01_P","4201000","4201000-211-1993-00001","1993-06-25","","01","영업/정상","01","영업","","","","","033 6476531","26.73","","강원특별자치도 강릉시 포남동 1139","강원특별자치도 강릉시 경강로 2210, 1층 (포남동)","25548","주헤어","2017-08-09 16:23:47","I","2023-06-13 00:00:00","일반미용업","367855.529427601","474947.531909932","일반미용업","2","0","1","1","0","0","2","","","","","0","0","0","N",
"1150","미용업","05_18_01_P","4201000","4201000-204-2002-00066","2002-07-19","","01","영업/정상","01","영업","","","","","033 6516406","49.60","","강원특별자치도 강릉시 포남동 1293-2 청송상가 207호","강원특별자치도 강릉시 하평2길 6, 207호 (포남동, 청송아파트상가)","25567","현 헤어샵","2017-08-10 17:15:08","I","2023-06-13 00:00:00","일반미용업","368520.022146793","476017.703927829","미용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"1151","미용업","05_18_01_P","4201000","4201000-204-2002-00068","2002-06-05","","01","영업/정상","01","영업","","","","","033 6418000","35.00","","강원특별자치도 강릉시 홍제동 118-1","강원특별자치도 강릉시 새냉이길 24 (홍제동)","25526","이수연헤어샵","2020-12-13 13:06:59","I","2023-06-13 00:00:00","일반미용업","365958.19461117","473879.48231047","미용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"1152","미용업","05_18_01_P","4201000","4201000-204-2002-00069","2002-07-09","","01","영업/정상","01","영업","","","","","033 6418856","44.77","","강원특별자치도 강릉시 홍제동 991 1층","강원특별자치도 강릉시 하슬라로 18 (홍제동,1층)","25518","머리나라","2019-12-19 09:06:46","I","2023-06-13 00:00:00","일반미용업","365607.985547467","474193.892020645","미용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"1153","미용업","05_18_01_P","4201000","4201000-204-2002-00077","2002-10-16","","01","영업/정상","01","영업","","","","","033 6628150","42.97","","강원특별자치도 강릉시 주문진읍 주문리 324-26","강원특별자치도 강릉시 주문진읍 주문로 83","25414","노경헤어필","2012-04-17 09:14:53","I","2023-06-13 00:00:00","일반미용업","360548.13085736","489205.661661178","미용업","3","0","0","0","0","0","4","","","","","0","0","0","N",
"1154","미용업","05_18_01_P","4201000","4201000-211-2009-00008","2009-03-25","","01","영업/정상","01","영업","","","","","033 662 0811","44.89","","강원특별자치도 강릉시 주문진읍 교항리 200-7","강원특별자치도 강릉시 주문진읍 주문로 39","25419","와와헤어","2017-09-08 09:31:12","I","2023-06-13 00:00:00","일반미용업","360509.922201208","488769.083299698","일반미용업","0","0","1","1","0","0","4","","","","임대","0","0","0","N",
"1155","미용업","05_18_01_P","4201000","4201000-211-2009-00010","2009-03-30","","01","영업/정상","01","영업","","","","","033 651 8855","23.18","","강원특별자치도 강릉시 견소동 202 한신 상가동 204호","강원특별자치도 강릉시 경강로2539번길 8, 상가동 204호 (견소동,한신)","25560","헤어아멘다","2017-09-11 12:46:33","I","2023-06-13 00:00:00","일반미용업","370701.194943935","476421.570092408","일반미용업","2","0","2","2","0","0","3","","","","임대","0","0","0","N",
"1156","미용업","05_18_01_P","4201000","4201000-211-2011-00026","2011-09-05","","01","영업/정상","01","영업","","","","","033 647 4333","40.09","","강원특별자치도 강릉시 내곡동 470-2","강원특별자치도 강릉시 강변로 120 (내곡동)","25603","지원겸 헤어#","2018-01-02 10:15:35","I","2023-06-13 00:00:00","일반미용업","365817.035237364","473072.774219218","일반미용업","5","0","1","1","0","0","3","","","","","0","0","0","N",
"1157","미용업","05_18_01_P","4201000","4201000-211-2011-00028","2011-09-27","","01","영업/정상","01","영업","","","","","033 643 6780","24.04","","강원특별자치도 강릉시 노암동 618-6","강원특별자치도 강릉시 남부로125번길 24 (노암동)","25595","민앤진헤어","2020-12-13 11:38:48","I","2023-06-13 00:00:00","일반미용업","366801.659365391","472945.33505741","일반미용업","0","0","1","1","0","0","3","","","","","0","0","0","N",
"1158","미용업","05_18_01_P","4201000","4201000-211-2011-00033","2011-10-06","","01","영업/정상","01","영업","","","","","033 652 7908","23.47","","강원특별자치도 강릉시 포남동 1278-155","강원특별자치도 강릉시 경강로2302번길 3, 1층 2호 (포남동)","25570","휘헤어","2021-06-09 16:02:08","I","2023-06-13 00:00:00","일반미용업","368528.419926853","475565.662537352","일반미용업","0","0","1","1","0","0","3","","","","","0","0","0","N",
"1159","미용업","05_18_01_P","4201000","4201000-211-2011-00035","2011-10-19","","01","영업/정상","01","영업","","","","","033 651 8872","8.20","","강원특별자치도 강릉시 교동 982-8","강원특별자치도 강릉시 강릉대로 122, 1층 101호 (교동)","25527","해피베베메이크업&비단비","2017-07-10 10:59:23","I","2023-06-13 00:00:00","메이크업업","365999.475265211","474267.922835973","일반미용업","0","0","1","1","0","0","2","","","","","0","0","0","N",
"1160","미용업","05_18_01_P","4201000","4201000-211-2011-00036","2011-10-27","","01","영업/정상","01","영업","","","","","033 652 2089","34.70","","강원특별자치도 강릉시 포남동 1312","강원특별자치도 강릉시 하평길 74 (포남동)","25569","이지헤어샵","2018-12-04 16:02:48","I","2023-06-13 00:00:00","일반미용업","368812.266737171","475932.154669826","일반미용업","4","1","1","1","0","0","4","","","","","0","0","0","N",
"1161","미용업","05_18_01_P","4191000","4191000-212-2023-00003","2023-01-30","","01","영업/정상","01","영업","","","","","","55.68","","강원특별자치도 원주시 무실동 1857-14","강원특별자치도 원주시 능라동길 37, 303호 (무실동)","26392","디온","2024-10-14 17:17:01","U","2024-10-16 02:40:00","피부미용업","282250.498115013","426184.806206981","피부미용업","6","2","3","0","0","0","4","","","","임대","1","0","2","N",
"1162","미용업","05_18_01_P","4191000","4191000-212-2023-00004","2023-01-31","","01","영업/정상","01","영업","","","","","","22.88","","강원특별자치도 원주시 지정면 가곡리 1464 원주기업도시 3-2블럭 호반베르디움","강원특별자치도 원주시 지정면 신지정로 265, 314동 2층 204호 (원주기업도시 3-2블럭 호반베르디움)","26346","제이스킨","2023-01-31 17:12:47","I","2023-06-13 00:00:00","피부미용업","276835.931899829","431098.015895662","피부미용업","2","0","2","0","0","0","2","","","","임대","1","0","2","N",
"1163","미용업","05_18_01_P","4191000","4191000-212-2023-00005","2023-03-07","","01","영업/정상","01","영업","","","","","","33.53","","강원특별자치도 원주시 개운동 555-34","강원특별자치도 원주시 개운로 90, 1층 102호 (개운동)","26444","인스킨","2023-04-05 17:42:57","I","2023-06-13 00:00:00","피부미용업","284977.23864852","426773.344655137","피부미용업","7","1","1","1","0","0","0","","","","임대","0","0","1","N",
"1164","미용업","05_18_01_P","4191000","4191000-212-2023-00006","2023-03-13","","01","영업/정상","01","영업","","","","","","45.40","","강원특별자치도 원주시 태장동 1394-3","강원특별자치도 원주시 흥양로18번길 19-6, 1층 (태장동)","26318","영앤뷰티","2025-03-20 13:17:37","U","2025-03-22 02:40:00","피부미용업","284077.83038598","431442.297186486","피부미용업","1","0","1","1","0","0","3","","","","임대","0","0","3","N",
"1165","미용업","05_18_01_P","4191000","4191000-212-2023-00007","2023-03-20","","01","영업/정상","01","영업","","","","","","76.14","","강원특별자치도 원주시 학성동 991-2","강원특별자치도 원주시 원일로 233, 2층 (학성동)","26413","은별뷰티아카데미","2024-10-14 17:03:29","U","2024-10-16 02:40:00","피부미용업","283473.536558182","428693.830689917","피부미용업","3","0","2","2","0","0","0","","","","임대","0","0","2","N",
"1166","미용업","05_18_01_P","4191000","4191000-212-2023-00009","2023-04-12","","01","영업/정상","01","영업","","","","","","90.54","","강원특별자치도 원주시 행구동 728-14","강원특별자치도 원주시 고문골길 15, 1층 (행구동)","26455","델피니움에스테틱","2023-06-17 11:33:40","U","2023-06-19 02:40:00","피부미용업","288815.594762739","427186.488488002","피부미용업","2","0","1","1","0","0","2","","","","임대","1","0","3","N",
"1167","미용업","05_18_01_P","4191000","4191000-212-2012-00017","2012-12-04","","01","영업/정상","01","영업","","","","","","27.96","","강원특별자치도 원주시 판부면 서곡리 1986-1","강원특별자치도 원주시 판부면 매봉길 1, 1층 103호","26399","바디앤스킨","2013-01-04 09:40:34","I","2023-06-13 00:00:00","피부미용업","283393.923397805","424840.366139881","피부미용업","4","0","1","1","0","0","0","","","","임대","1","0","2","N",
"1168","미용업","05_18_01_P","4191000","4191000-212-2012-00019","2012-12-27","","01","영업/정상","01","영업","","","","","033 766 5511","32.98","","강원특별자치도 원주시 관설동 1740-7","강원특별자치도 원주시 관설안길 15-9, 1층 101호 (관설동)","26472","케이알샾","2023-03-16 13:43:31","I","2023-06-13 00:00:00","피부미용업","285220.598922641","424407.078264961","피부미용업","4","0","1","1","0","0","0","","","","임대","1","0","3","N",
"1169","미용업","05_18_01_P","4191000","4191000-213-2015-00001","2015-01-09","","01","영업/정상","01","영업","","","","","","58.50","","강원특별자치도 원주시 관설동 1697-3 지상1층","강원특별자치도 원주시 라옹정길 15, 지상1층 (관설동)","26471","열두달목","2025-04-23 10:56:30","U","2025-04-25 02:40:00","일반미용업","285365.325797896","424508.17082895","종합미용업","4","0","1","1","0","0","1","","","","임대","1","0","3","N",
"1170","미용업","05_18_01_P","4191000","4191000-215-2020-00002","2020-04-06","","01","영업/정상","01","영업","","","","","","33.90","","강원특별자치도 원주시 반곡동 1899-6","강원특별자치도 원주시 양지로 66-1, 2층 202 일부호 (반곡동)","26462","네일데이지","2025-03-27 09:56:40","U","2025-03-29 02:40:00","네일아트업","287270.684401365","425412.194528811","네일미용업","5","1","2","2","0","0","2","","","","임대","1","0","0","N",
"1171","미용업","05_18_01_P","4191000","4191000-215-2020-00004","2020-06-01","","01","영업/정상","01","영업","","","","","","39.08","","강원특별자치도 원주시 지정면 가곡리 1501 원주 롯데캐슬 골드파크 2차","강원특별자치도 원주시 지정면 신지정로 300, 1층 105호 (원주 롯데캐슬 골드파크 2차)","26353","네일정원","2021-08-25 11:49:45","I","2023-06-13 00:00:00","네일아트업","277128.323670704","431333.541772589","네일미용업","0","0","0","0","0","0","5","","","","","1","0","1","N",
"1172","미용업","05_18_01_P","4191000","4191000-215-2020-00006","2020-07-23","","01","영업/정상","01","영업","","","","","","16.36","","강원특별자치도 원주시 명륜동 842-8","강원특별자치도 원주시 남원로469번길 13-31, 101호 (명륜동)","26482","진네일","2021-08-23 11:36:27","I","2023-06-13 00:00:00","네일아트업","283292.544890507","425327.071250074","네일미용업","3","0","1","1","0","0","2","","","","임대","0","0","0","N",
"1173","미용업","05_18_01_P","4191000","4191000-215-2020-00010","2020-09-03","","01","영업/정상","01","영업","","","","","033 7460118","18.87","","강원특별자치도 원주시 태장동 1353-6","강원특별자치도 원주시 북원중길 5 (태장동)","26316","미네일","2023-07-14 15:24:55","U","2023-07-16 02:40:00","네일아트업","283958.292416955","432075.49136858","네일미용업","2","0","1","1","0","0","3","","","","임대","0","0","0","N",
"1174","미용업","05_18_01_P","4191000","4191000-215-2020-00012","2020-10-30","","01","영업/정상","01","영업","","","","","","0.00","","강원특별자치도 원주시 무실동 1835-3","강원특별자치도 원주시 봉바위길 41, 101호 (무실동)","26393","냥이네일","2021-08-25 11:35:45","I","2023-06-13 00:00:00","네일아트업","282467.707354674","425951.143712288","네일미용업","3","0","1","1","0","0","2","","","","임대","1","0","0","N",
"1175","미용업","05_18_01_P","4191000","4191000-215-2020-00014","2020-11-23","","01","영업/정상","01","영업","","","","","","39.96","","강원특별자치도 원주시 명륜동 842-3","강원특별자치도 원주시 남원로469번길 7-16 (명륜동)","26482","더뷰티나","2021-08-25 11:46:17","I","2023-06-13 00:00:00","네일아트업","283342.074991633","425357.073353461","네일미용업","4","0","1","1","0","0","3","","","","임대","0","0","0","N",
"1176","미용업","05_18_01_P","4191000","4191000-215-2020-00015","2020-11-23","","01","영업/정상","01","영업","","","","","","57.00","","강원특별자치도 원주시 단구동 1599-4 원주프리미엄아울렛","강원특별자치도 원주시 서원대로 500, 원주프리미엄아울렛 3층 322호 (단구동)","26487","에스네일1","2025-05-08 10:50:34","U","2025-05-10 02:40:00","네일아트업","284818.874360771","425225.032426821","네일미용업","4","1","3","3","0","0","3","","","","임대","1","0","0","N",
"1177","미용업","05_18_01_P","4201000","4201000-204-2005-00024","2005-06-17","","01","영업/정상","01","영업","","","","","033 6489951","40.03","","강원특별자치도 강릉시 성남동 100-5","강원특별자치도 강릉시 금성로35번길 12 (성남동)","25543","멋쟁이 머리","2019-06-05 10:52:08","I","2023-06-13 00:00:00","일반미용업","367169.766271105","473919.794271808","미용업","0","0","2","2","0","0","2","","","","","0","0","0","N",
"1178","미용업","05_18_01_P","4201000","4201000-204-2005-00029","2005-07-13","","01","영업/정상","01","영업","","","","","033 643 0706","39.00","","강원특별자치도 강릉시 교동 1804-11","강원특별자치도 강릉시 하슬라로232번길 17-7 (교동)","25508","김나영헤어시티","2008-11-04 15:25:08","I","2023-06-13 00:00:00","일반미용업","365375.681457789","475943.863597216","미용업","0","0","0","0","0","0","4","","","","","0","0","0","N",
"1179","미용업","05_18_01_P","4201000","4201000-204-2005-00034","2005-08-23","","01","영업/정상","01","영업","","","","","033 6431050","23.83","","강원특별자치도 강릉시 노암동 251-8","강원특별자치도 강릉시 율곡로 2736 (노암동)","25584","한가비미용실","2020-12-13 13:27:24","I","2023-06-13 00:00:00","일반미용업","367933.180030721","473789.216420304","미용업","0","0","1","1","0","0","3","","","","임대","0","0","0","N",
"1180","미용업","05_18_01_P","4201000","4201000-204-2005-00035","2005-08-26","","01","영업/정상","01","영업","","","","","033 6621535","50.00","","강원특별자치도 강릉시 주문진읍 주문리 309-2","강원특별자치도 강릉시 주문진읍 주문로 149","25410","헤어포커스","2017-09-05 13:49:33","I","2023-06-13 00:00:00","일반미용업","360983.988740611","489660.427615361","미용업","3","0","1","1","0","0","3","","","","","0","0","0","N",
"1181","미용업","05_18_01_P","4201000","4201000-204-2005-00037","2005-09-07","","01","영업/정상","01","영업","","","","","033 6411085","70.00","","강원특별자치도 강릉시 교동 1853-2","강원특별자치도 강릉시 원대로 109 (교동)","25513","인스타일헤어","2017-08-29 14:48:29","I","2023-06-13 00:00:00","일반미용업","365741.731764737","475223.113354652","미용업","0","0","1","1","0","0","2","","","","","0","0","0","N",
"1182","미용업","05_18_01_P","4201000","4201000-204-2005-00041","2005-09-21","","01","영업/정상","01","영업","","","","","033 6412422","38.99","","강원특별자치도 강릉시 유천동 763-2","강원특별자치도 강릉시 선수촌로 110, 1층 (유천동)","25458","머리박사미용실","2019-01-02 17:29:25","I","2023-06-13 00:00:00","일반미용업","364760.694000903","474785.874376196","미용업","0","0","2","2","0","0","7","","","","","0","0","0","N",
"1183","미용업","05_18_01_P","4201000","4201000-204-2005-00043","2005-09-27","","01","영업/정상","01","영업","","","","","033 6449653","42.80","","강원특별자치도 강릉시 교동 930-12","강원특별자치도 강릉시 화부산로 19, 1층 (교동)","25506","팡팡헤어클럽","2021-12-27 17:37:34","I","2023-06-13 00:00:00","일반미용업","366143.563446008","474589.523562529","미용업","5","0","1","1","0","0","3","","","","임대","0","0","0","N",
"1184","미용업","05_18_01_P","4201000","4201000-204-2005-00045","2005-10-18","","01","영업/정상","01","영업","","","","","033 647 9762","35.40","","강원특별자치도 강릉시 성남동 62-5","강원특별자치도 강릉시 중앙시장2길 33, 1층 (성남동)","25543","롯데미용실","2020-03-30 17:13:04","I","2023-06-13 00:00:00","일반미용업","367234.697682962","473971.082620271","미용업","0","0","1","1","0","0","3","","","","","0","0","0","N",
