"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1036","숙박업","03_11_03_P","4211000","4211000-214-2013-00001","2013-02-27","","01","영업/정상","01","영업","","","","","033 5214273","352.16","","강원특별자치도 동해시 추암동 24 추암팬션","강원특별자치도 동해시 추암택지길 19 (추암동)","25790","추암팬션","2025-03-23 17:08:29","U","2025-03-25 02:40:00","숙박업(생활)","390706.433750988","443770.877157974","숙박업(생활)","4","0","2","4","0","0","0","9","","","","자가","0","0","N",
"1037","숙박업","03_11_03_P","4211000","4211000-201-2017-00001","2017-04-10","","01","영업/정상","01","영업","","","","","033 5322043","129.74","","강원특별자치도 동해시 발한동 14-43 2,3층","강원특별자치도 동해시 일출로 5-2, 2,3층 (발한동)","25720","무코바란주식회사중앙지점","2025-07-14 09:49:10","U","2025-07-16 02:40:00","숙박업 기타","386316.739487864","451827.396484498","숙박업 기타","3","0","2","3","0","0","0","2","","","","임대","0","0","N",
"1038","숙박업","03_11_03_P","4211000","4211000-201-1990-00008","1990-12-07","","01","영업/정상","01","영업","","","","","033 5339215","680.12","","강원특별자치도 동해시 천곡동 484","강원특별자치도 동해시 평릉길 1 (천곡동)","25750","뉴동해관광호텔","2025-03-21 10:37:56","U","2025-03-23 02:40:00","관광호텔","385855.253637198","449225.166559564","관광호텔","6","1","2","6","0","0","10","53","","","","자가","0","0","N",
"1039","숙박업","03_11_03_P","4211000","4211000-201-2000-00007","2000-07-24","","01","영업/정상","01","영업","","","","","033 5336035","1302.66","","강원특별자치도 동해시 묵호진동 3-6","강원특별자치도 동해시 일출로 172 (묵호진동)","25709","동해비치호텔","2025-03-22 16:19:50","U","2025-03-24 02:40:00","일반호텔","387405.3007427","452766.392846742","일반호텔","8","1","1","8","0","0","7","26","","","","자가","0","0","N",
"1040","숙박업","03_11_03_P","4211000","4211000-201-1996-00003","1996-03-30","","01","영업/정상","01","영업","","","","","033 5348855","720.00","","강원특별자치도 동해시 삼화동 856-19 무릉계곡내","강원특별자치도 동해시 삼화로 520 (삼화동)","25746","월산아트만","2025-04-10 13:51:30","U","2025-04-12 02:40:00","여관업","378768.01934142","442112.092532229","여관업","4","0","1","4","0","0","0","16","","","","자가","0","0","N",
"1041","숙박업","03_11_03_P","4211000","4211000-201-2002-00004","2002-06-24","","01","영업/정상","01","영업","","","","","033 5321666","3095.67","","강원특별자치도 동해시 천곡동 846","강원특별자치도 동해시 천곡로 86-1 (천곡동)","25769","리사호텔","2025-03-22 16:38:15","U","2025-03-24 02:40:00","일반호텔","386894.936761554","448871.986804755","일반호텔","5","2","5","5","1","1","50","0","","","","","0","0","N",
"1042","숙박업","03_11_03_P","4211000","4211000-214-2017-00002","2017-07-26","","01","영업/정상","01","영업","","","","","033 522 3004","138.15","","강원특별자치도 동해시 추암동 437-15 1,2층","강원특별자치도 동해시 추암택지길 5-4, 1,2층 (추암동)","25790","추암일출펜션","2025-03-23 17:33:48","U","2025-03-25 02:40:00","숙박업(생활)","390756.384229272","443849.308004397","숙박업(생활)","2","0","1","2","0","0","3","0","","","","자가","0","0","N",
"1043","숙박업","03_11_03_P","4211000","4211000-214-2017-00003","2017-08-02","","01","영업/정상","01","영업","","","","","","324.15","","","강원특별자치도 동해시 일출로 211, 2,3층 (묵호진동)","","동쪽하늘펜션앤게스트하우스","2025-03-23 17:36:43","U","2025-03-25 02:40:00","숙박업(생활)","387229.824408497","453076.600509783","숙박업(생활)","3","1","2","3","0","0","2","3","","","","임대","0","0","N",
"1044","숙박업","03_11_03_P","4211000","4211000-201-2017-00003","2017-08-07","","01","영업/정상","01","영업","","","","","033 5357654","112.51","","강원특별자치도 동해시 묵호진동 2-163 JJ모텔","강원특별자치도 동해시 일출로 123, JJ모텔 5~6층 (묵호진동)","25717","제이제이모텔","2025-05-28 11:25:57","U","2025-05-30 02:40:00","여관업","387262.610035267","452304.551004611","여관업","6","0","5","6","0","0","0","4","","","","자가","0","0","N",
"1045","숙박업","03_11_03_P","4211000","4211000-201-2017-00004","2017-09-28","","01","영업/정상","01","영업","","","","","033 5320789","985.86","","강원특별자치도 동해시 발한동 124-1 2~4층","강원특별자치도 동해시 향로6길 10, 2~4층 (발한동)","25726","럭스모텔","2025-03-22 17:58:51","U","2025-03-24 02:40:00","여관업","385856.12459522","451045.711027881","여관업","4","1","2","4","0","0","31","0","","","","자가","0","0","N",
"1046","숙박업","03_11_03_P","4211000","4211000-214-2017-00004","2017-11-24","","01","영업/정상","01","영업","","","","","","296.12","","강원특별자치도 동해시 어달동 184-3","강원특별자치도 동해시 일출로 309 (어달동)","25708","어쩌다어달","2025-03-23 17:38:09","U","2025-03-25 02:40:00","숙박업(생활)","386979.29861415","453921.97981575","숙박업(생활)","4","0","2","4","0","0","0","9","","","","자가","0","0","N",
"1047","숙박업","03_11_03_P","4211000","4211000-201-1983-00005","1983-12-12","","01","영업/정상","01","영업","","","","","033 5328649","749.48","","강원특별자치도 동해시 부곡동 73-7","강원특별자치도 동해시 발한로 49 (부곡동)","25733","대명모텔","2025-03-18 15:33:04","U","2025-03-20 02:40:00","여관업","385760.398792987","450390.389341499","여관업","5","1","2","3","0","0","13","18","","","","자가","0","0","N",
"1048","숙박업","03_11_03_P","4211000","4211000-214-2018-00001","2018-01-16","","01","영업/정상","01","영업","","","","","033 5310090","138.74","","강원특별자치도 동해시 대진동 45-7","강원특별자치도 동해시 대진항길 49-1, 3층 (대진동)","25707","골든뷰","2025-03-23 17:39:48","U","2025-03-25 02:40:00","숙박업(생활)","386501.951044321","455232.778692032","숙박업(생활)","3","0","3","3","0","0","0","2","","","","자가","0","0","N",
"1049","숙박업","03_11_03_P","4211000","4211000-201-2018-00001","2018-03-12","","01","영업/정상","01","영업","","","","","033 5322988","1113.61","","강원특별자치도 동해시 천곡동 903-1","강원특별자치도 동해시 동굴로 123-5 (천곡동)","25770","유브(UVE)모텔","2025-03-22 18:02:20","U","2025-03-24 02:40:00","일반호텔","387066.195077279","448437.009107422","일반호텔","6","0","1","5","0","0","0","28","","","","임대","0","0","N",
"1050","숙박업","03_11_03_P","4211000","4211000-214-2018-00002","2018-04-13","","01","영업/정상","01","영업","","","","","033 5322988","142.65","","강원특별자치도 동해시 천곡동 903-1","강원특별자치도 동해시 동굴로 123-5, 6층 (천곡동)","25770","유브모텔(생활)","2025-07-22 09:07:36","U","2025-07-24 02:40:00","숙박업(생활)","387066.195077279","448437.009107422","숙박업(생활)","6","0","6","6","0","0","0","2","","","","자가","0","0","N",
"1051","숙박업","03_11_03_P","4211000","4211000-201-2019-00003","2019-08-30","","01","영업/정상","01","영업","","","","","033 5355100","1371.10","","강원특별자치도 동해시 발한동 222-6 222-5(2필지)","강원특별자치도 동해시 발한로 164, 1, 5~6층 (발한동)","25725","호텔 여기어때 묵호점","2025-03-22 18:14:34","U","2025-03-24 02:40:00","일반호텔","385954.55872264","451415.896412126","일반호텔","6","1","5","6","0","0","1","27","","","","자가","0","0","N",
"1052","숙박업","03_11_03_P","4211000","4211000-201-2018-00002","2018-11-26","","01","영업/정상","01","영업","","","","","033 5340009","269.40","","강원특별자치도 동해시 어달동 195-10","강원특별자치도 동해시 일출로 201 (어달동)","25709","호텔 바다","2025-03-31 08:48:45","U","2025-04-02 02:40:00","여관업","387267.584004677","452987.853890148","여관업","6","0","1","6","0","0","0","8","","","","자가","0","0","N",
"1053","숙박업","03_11_03_P","4211000","4211000-201-1994-00008","1994-08-05","","01","영업/정상","01","영업","","","","","033 5348866","1225.00","","강원특별자치도 동해시 삼화동 856-1 , 무릉계곡내","강원특별자치도 동해시 삼화로 520-1 (삼화동)","25746","갤러리Haus","2025-03-22 15:30:10","U","2025-03-24 02:40:00","여관업","378739.651947925","442112.192569909","여관업","4","1","1","4","0","0","26","8","","","","자가","0","0","N",
"1054","숙박업","03_11_03_P","4211000","4211000-201-2015-00001","2015-04-20","","01","영업/정상","01","영업","","","","","033 5211211","844.79","","강원특별자치도 동해시 송정동 1087-2","강원특별자치도 동해시 대동로 261-43 (송정동)","25785","자바호텔","2025-06-09 13:46:52","U","2025-06-12 02:40:00","일반호텔","387425.56786074","445456.374391615","일반호텔","3","0","2","3","0","0","0","22","","","","자가","0","0","N",
"1055","숙박업","03_11_03_P","4211000","4211000-201-2020-00001","2020-07-24","","01","영업/정상","01","영업","","","","","","90.48","","강원특별자치도 동해시 대진동 45-1","강원특별자치도 동해시 일출로 464, 1층 (대진동)","25707","서퍼랑","2025-03-22 18:16:00","U","2025-03-24 02:40:00","숙박업 기타","386436.61050325","455215.457210313","숙박업 기타","3","0","1","1","0","0","0","2","","","","임대","0","0","N",
"1056","숙박업","03_11_03_P","4211000","4211000-201-2000-00001","2000-06-07","","01","영업/정상","01","영업","","","","","033 5317400","957.90","","강원특별자치도 동해시 묵호진동 3-4","강원특별자치도 동해시 일출로 174 (묵호진동)","25709","꿈의궁전호텔","2025-03-22 16:10:02","U","2025-03-24 02:40:00","일반호텔","387391.165707969","452781.830277057","일반호텔","8","1","8","8","1","1","19","10","","","","자가","0","0","N",
"1057","숙박업","03_11_03_P","4211000","4211000-201-2021-00002","2021-03-17","","01","영업/정상","01","영업","","","","","033 5343442","592.60","","강원특별자치도 동해시 망상동 390-5","강원특별자치도 동해시 망상길 51-1 (망상동)","25701","금빛바다","2025-03-22 18:26:36","U","2025-03-24 02:40:00","관광호텔","384368.779497302","456378.495615566","관광호텔","3","0","1","3","0","0","12","3","","","","자가","0","0","N",
"1058","숙박업","03_11_03_P","4211000","4211000-201-1975-00005","1975-09-30","","01","영업/정상","01","영업","","","","","033 5215700","343.05","","강원특별자치도 동해시 송정동 849-16","강원특별자치도 동해시 송정중앙로 58-1 (송정동)","25787","해동여관","2025-03-18 09:46:08","U","2025-03-20 02:40:00","여관업","387975.329283972","446194.290297729","여관업","4","1","1","4","0","0","10","2","","","","자가","0","0","N",
"1059","숙박업","03_11_03_P","4211000","4211000-201-1981-00006","1981-07-22","","01","영업/정상","01","영업","","","","","033 5325545","783.41","","강원특별자치도 동해시 부곡동 67-10 외 1필지","강원특별자치도 동해시 수원지1길 13 (부곡동)","25732","H76 하우스","2025-06-12 14:47:28","U","2025-06-15 02:40:00","여관업","385536.208251753","450552.535245103","여관업","5","0","2","5","0","0","6","18","","","","임대","0","0","N",
"1060","숙박업","03_11_03_P","4211000","4211000-201-1977-00002","1977-04-08","","01","영업/정상","01","영업","","","","","033 5328156","302.82","","강원특별자치도 동해시 발한동 24-2","강원특별자치도 동해시 일출로 2-8 (발한동)","25719","산수장여관","2025-03-18 13:00:08","U","2025-03-20 02:40:00","여관업","386358.305472063","451755.164547482","여관업","3","0","0","0","0","0","7","5","","","","임대","0","0","N",
"1061","숙박업","03_11_03_P","4211000","4211000-201-1975-00002","1975-12-24","","01","영업/정상","01","영업","","","","","033 5219814","56.76","","강원특별자치도 동해시 송정동 958-7","강원특별자치도 동해시 송정1길 39 (송정동)","25789","화성여관","2025-03-18 09:41:26","U","2025-03-20 02:40:00","여관업","387828.569103077","446015.424600487","여관업","2","1","1","2","0","0","0","10","","","","자가","0","0","N",
"1062","숙박업","03_11_03_P","4211000","4211000-201-1983-00004","1983-11-29","","01","영업/정상","01","영업","","","","","033 5332522","1105.10","","강원특별자치도 동해시 발한동 218-53 ,218-56","강원특별자치도 동해시 발한로 146 (발한동)","25725","성류장여관","2025-03-18 13:46:55","U","2025-03-20 02:40:00","여관업","385854.826264379","451269.125667591","여관업","4","1","2","3","0","0","29","25","","","","임대","0","0","N",
"1063","숙박업","03_11_03_P","4211000","4211000-201-1990-00007","1990-11-12","","01","영업/정상","01","영업","","","","","033 5338686","948.42","","강원특별자치도 동해시 부곡동 81-14 ,81-25","강원특별자치도 동해시 부곡복개로 15 (부곡동)","25734","귀빈스테이","2025-10-15 11:39:09","U","2025-10-17 02:40:00","여관업","385904.349113784","450464.320069","여관업","4","1","1","4","0","0","0","32","","","","임대","0","0","N",
"1064","숙박업","03_11_03_P","4211000","4211000-201-2008-00001","2008-02-05","","01","영업/정상","01","영업","","","","","033 5356009","2214.40","","강원특별자치도 동해시 천곡동 936-2","강원특별자치도 동해시 한섬로 126-1 (천곡동)","25770","베리식스","2025-03-22 17:02:33","U","2025-03-24 02:40:00","일반호텔","387174.534390672","448680.636477781","일반호텔","9","1","1","9","1","1","0","41","","","","자가","0","0","N",
"1065","숙박업","03_11_03_P","4211000","4211000-201-2008-00006","2008-07-23","","01","영업/정상","01","영업","","","","","033 5343277","218.28","","강원특별자치도 동해시 대진동 1-6 ,2층","강원특별자치도 동해시 대진항길 13, 2층 (대진동)","25707","로얄비치","2025-03-22 17:03:40","U","2025-03-24 02:40:00","여관업","386777.601539806","455021.592441433","여관업","2","0","2","2","0","0","9","0","","","","자가","0","0","N",
"1066","숙박업","03_11_03_P","4211000","4211000-201-2002-00002","2002-03-19","","01","영업/정상","01","영업","","","","","033 5321212","2460.11","","강원특별자치도 동해시 천곡동 491-2","강원특별자치도 동해시 평릉길 7 (천곡동)","25750","샘모텔","2025-03-22 16:34:29","U","2025-03-24 02:40:00","여관업","385814.646543049","449264.000551974","여관업","7","2","1","7","1","2","13","36","","","","자가","0","0","N",
"1067","숙박업","03_11_03_P","4211000","4211000-201-2021-00003","2021-03-17","","01","영업/정상","01","영업","","","","","","474.51","","강원특별자치도 동해시 망상동 363-1","강원특별자치도 동해시 망상길 43 (망상동)","25701","드림비치","2025-07-05 13:45:13","U","2025-07-07 02:40:00","관광호텔","384422.05203939","456339.045170977","관광호텔","3","0","1","3","0","0","7","7","","","","자가","0","0","N",
"1068","숙박업","03_11_03_P","4211000","4211000-201-2021-00004","2021-03-25","","01","영업/정상","01","영업","","","","","","579.80","","강원특별자치도 동해시 망상동 363-4","강원특별자치도 동해시 망상길 39 (망상동)","25701","스타비치","2025-03-22 18:31:55","U","2025-03-24 02:40:00","관광호텔","384432.979139422","456302.313184637","관광호텔","3","0","1","3","0","0","10","8","","","","임대","0","0","N",
"1069","숙박업","03_11_03_P","4211000","4211000-201-1994-00005","1994-06-29","","01","영업/정상","01","영업","","","","","033 5343131","948.52","","강원특별자치도 동해시 망상동 393-34 , 망상해변내","강원특별자치도 동해시 동해대로 6270-13 (망상동)","25700","드루와","2025-03-22 15:14:36","U","2025-03-24 02:40:00","일반호텔","384491.866485666","456556.346171739","일반호텔","3","1","1","3","0","0","12","24","","","","자가","0","0","N",
"1070","숙박업","03_11_03_P","4211000","4211000-201-2022-00002","2022-07-19","","01","영업/정상","01","영업","","","","","","135.06","","강원특별자치도 동해시 구미동 496-3","강원특별자치도 동해시 오일장길 23-1, 2층 (구미동)","25813","휘게51","2025-03-22 18:58:05","U","2025-03-24 02:40:00","관광호텔","387996.237503498","444293.996127202","관광호텔","3","0","2","2","0","0","0","4","","","","자가","0","0","N",
"1071","숙박업","03_11_03_P","4211000","4211000-214-2008-00003","2008-06-18","","01","영업/정상","01","영업","","","","","033 5343803","317.79","","강원특별자치도 동해시 대진동 45-4","강원특별자치도 동해시 일출로 462-2 (대진동)","25707","방파제파크","2025-03-23 16:58:29","U","2025-03-25 02:40:00","숙박업(생활)","386468.842956457","455220.981587889","숙박업(생활)","3","0","1","3","0","0","10","1","","","","자가","0","0","N",
"1072","숙박업","03_11_03_P","4211000","4211000-214-2022-00004","2022-09-30","","01","영업/정상","01","영업","","","","","","742.70","","강원특별자치도 동해시 대진동 8-4","강원특별자치도 동해시 대진항길 5, 바다담 1~4층 (대진동)","25707","바다담스파풀빌라","2025-03-23 18:19:07","U","2025-03-25 02:40:00","숙박업(생활)","386816.499799369","454950.689595012","숙박업(생활)","4","0","1","4","0","0","11","0","","","","자가","0","0","N",
"1073","숙박업","03_11_03_P","4211000","4211000-201-1986-00003","1986-12-08","","01","영업/정상","01","영업","","","","","033 5212443","703.08","","강원특별자치도 동해시 송정동 854-64","강원특별자치도 동해시 동해항3길 26 (송정동)","25787","넘버25동해역점","2025-07-11 10:43:47","U","2025-07-13 02:40:00","여관업","388169.302728406","446330.75553555","여관업","3","0","1","3","0","0","17","4","","","","임대","0","0","N",
"1074","숙박업","03_11_03_P","4211000","4211000-214-2022-00005","2022-10-31","","01","영업/정상","01","영업","","","","","","1745.24","","강원특별자치도 동해시 천곡동 939 11","강원특별자치도 동해시 한섬로 136-4, 파인앤유오션시티 일부층 56객실호 (천곡동)","25770","다해레지던스","2025-05-27 13:31:22","U","2025-05-29 02:40:00","숙박업(생활)","387282.834988686","448619.076891575","숙박업(생활)","0","0","0","0","0","0","0","56","영업신고 56객실 면적 외 영업을 금지함.","20230321","","","0","0","N",
"1075","숙박업","03_11_03_P","4211000","4211000-201-2023-00001","2023-02-03","","01","영업/정상","01","영업","","","","","","137.58","","강원특별자치도 동해시 묵호진동 95-10","강원특별자치도 동해시 일출로 46, 2층 (묵호진동)","25718","묵호잠자리","2025-03-23 16:35:03","U","2025-03-25 02:40:00","숙박업 기타","386620.339176451","452060.281562646","숙박업 기타","2","0","2","0","0","0","0","3","","","","임대","0","0","N",
"1076","숙박업","03_11_03_P","4211000","4211000-201-1983-00001","1983-04-08","","01","영업/정상","01","영업","","","","","050714685120","359.74","","강원특별자치도 동해시 발한동 293-12","강원특별자치도 동해시 발한로 219-11 (발한동)","25720","호텔 카라멜(Hotel Karamel)","2025-05-07 10:18:13","U","2025-05-09 02:40:00","일반호텔","386182.270483168","451790.46816734","일반호텔","3","1","1","3","0","0","11","7","","","","자가","0","0","N",
"1077","숙박업","03_11_03_P","4211000","4211000-201-1997-00003","1997-12-19","","01","영업/정상","01","영업","","","","","033 5210027","938.34","","강원특별자치도 동해시 송정동 797-3","강원특별자치도 동해시 송정로 15 (송정동)","25789","스테이15모텔","2025-03-22 16:02:36","U","2025-03-24 02:40:00","여관업","388065.757805267","445821.832340725","여관업","5","1","1","5","0","0","10","24","","","","자가","0","0","N",
"1078","숙박업","03_11_03_P","4211000","4211000-201-2023-00002","2023-03-24","","01","영업/정상","01","영업","","","","","","46.85","","강원특별자치도 동해시 묵호진동 2-52","강원특별자치도 동해시 녹등길 2 (묵호진동)","25709","사계호스텔","2025-03-23 16:37:26","U","2025-03-25 02:40:00","관광호텔","387376.615084987","452743.169657907","관광호텔","1","0","1","1","0","0","0","1","","","","자가","0","0","N",
"1079","숙박업","03_11_03_P","4211000","4211000-201-2023-00003","2023-04-17","","01","영업/정상","01","영업","","","","","","595.45","","강원특별자치도 동해시 대진동 187-2","강원특별자치도 동해시 일출로 375 (대진동)","25708","너에게로 감동해","2025-03-23 16:39:31","U","2025-03-25 02:40:00","관광호텔","386918.013761384","454555.208467128","관광호텔","4","1","1","4","1","0","0","8","","","","자가","0","0","N",
"1080","숙박업","03_11_03_P","4211000","4211000-214-2023-00001","2023-01-09","","01","영업/정상","01","영업","","","","","","636.89","","강원특별자치도 동해시 대진동 44-5 서프팩토리","강원특별자치도 동해시 대진항길 47-1, 서프팩토리 (대진동)","25707","PIER471","2025-03-23 18:22:41","U","2025-03-25 02:40:00","숙박업(생활)","386512.655319723","455208.688720448","숙박업(생활)","4","1","1","3","0","0","0","13","","","","임대","0","0","N",
"1081","숙박업","03_11_03_P","4211000","4211000-214-2008-00002","2008-09-29","","01","영업/정상","01","영업","","","","","033 5346645","491.76","","강원특별자치도 동해시 대진동 1-2","강원특별자치도 동해시 대진항길 23 (대진동)","25707","일마레팬션","2025-03-23 16:56:50","U","2025-03-25 02:40:00","숙박업(생활)","386707.264473181","455077.818422544","숙박업(생활)","4","1","2","4","0","0","2","14","","","","자가","0","0","N",
"1082","숙박업","03_11_03_P","4211000","4211000-214-2022-00003","2022-07-15","","01","영업/정상","01","영업","","","","","","459.37","","강원특별자치도 동해시 대진동 187","강원특별자치도 동해시 일출로 377 (대진동)","25708","동해를 그리다","2025-03-23 18:16:51","U","2025-03-25 02:40:00","숙박업(생활)","386923.857653314","454579.055997963","숙박업(생활)","5","1","1","4","0","0","0","9","","","","자가","0","0","N",
"1083","숙박업","03_11_03_P","4211000","4211000-201-1995-00008","1995-05-26","","01","영업/정상","01","영업","","","","","033 5313103","33.96","","강원특별자치도 동해시 발한동 206-13","강원특별자치도 동해시 해안로 511-5 (발한동)","25727","동해 바다 게스트하우스","2025-03-22 15:38:13","U","2025-03-24 02:40:00","여인숙업","386136.261627602","451377.247291081","여인숙업","1","0","1","1","0","0","6","0","","","","자가","0","0","N",
"1084","숙박업","03_11_03_P","4211000","4211000-201-1990-00004","1990-09-29","","01","영업/정상","01","영업","","","","","033 5332622","909.17","","강원특별자치도 동해시 부곡동 84-5","강원특별자치도 동해시 부곡복개로 10-1 (부곡동)","25734","알프스장","2025-03-20 13:09:37","U","2025-03-22 02:40:00","여관업","385859.165318835","450441.059461517","여관업","5","1","1","5","0","0","7","20","","","","자가","0","0","N",
"1085","숙박업","03_11_03_P","4211000","4211000-214-2013-00002","2013-04-12","","01","영업/정상","01","영업","","","","","07042504246","308.76","","강원특별자치도 동해시 추암동 24-10","강원특별자치도 동해시 추암택지길 55 (추암동)","25790","쌍둥이하우스","2025-03-23 17:14:41","U","2025-03-25 02:40:00","숙박업(생활)","390711.984463623","443732.480911785","숙박업(생활)","4","0","1","4","0","0","4","2","","","","자가","0","0","N",
"1086","숙박업","03_11_03_P","4211000","4211000-214-2013-00003","2013-05-20","","01","영업/정상","01","영업","","","","","033 5215222","509.61","","강원특별자치도 동해시 추암동 437-11","강원특별자치도 동해시 추암택지길 3-6 (추암동)","25790","추암타워펜션","2025-03-23 17:17:00","U","2025-03-25 02:40:00","숙박업(생활)","390788.762116769","443847.829416104","숙박업(생활)","5","0","1","4","0","0","7","6","","","","자가","0","0","N",
"1087","숙박업","03_11_03_P","4211000","4211000-201-2013-00002","2013-06-28","","01","영업/정상","01","영업","","","","","033 5327373","486.90","","강원특별자치도 동해시 망상동 171-1","강원특별자치도 동해시 동해대로 6188 (망상동)","25700","망상해오름가족호텔","2025-04-10 13:50:56","U","2025-04-12 02:40:00","관광호텔","385127.981880001","456080.753173899","관광호텔","4","0","1","4","0","0","27","8","","","","자가","0","0","N",
"1088","숙박업","03_11_03_P","4211000","4211000-214-2013-00004","2013-07-10","","01","영업/정상","01","영업","","","","","033 5214340","324.00","","강원특별자치도 동해시 추암동 437-7","강원특별자치도 동해시 추암택지길 3-2 (추암동)","25790","우리펜션","2025-03-23 17:18:02","U","2025-03-25 02:40:00","숙박업(생활)","390758.442081171","443894.037748091","숙박업(생활)","3","1","2","3","0","0","3","7","","","","자가","0","0","N",
"1089","숙박업","03_11_03_P","4211000","4211000-214-2013-00005","2013-09-10","","01","영업/정상","01","영업","","","","","033 5221766","442.38","","강원특별자치도 동해시 추암동 24-7","강원특별자치도 동해시 추암택지길 27 (추암동)","25790","해돋이 펜션","2025-03-23 17:21:12","U","2025-03-25 02:40:00","숙박업(생활)","390683.760156442","443705.79437299","숙박업(생활)","4","0","1","4","0","0","0","10","","","","자가","0","0","N",
"1090","숙박업","03_11_03_P","4211000","4211000-214-2013-00006","2013-09-27","","01","영업/정상","01","영업","","","","","","143.65","","강원특별자치도 동해시 추암동 21-2","강원특별자치도 동해시 추암택지길 60 (추암동)","25790","추암행복펜션","2025-03-23 17:22:05","U","2025-03-25 02:40:00","숙박업(생활)","390751.800435625","443760.329394636","숙박업(생활)","2","0","1","2","0","0","3","2","","","","자가","0","0","N",
"1091","숙박업","03_11_03_P","4211000","4211000-201-2013-00003","2013-10-01","","01","영업/정상","01","영업","","","","","033 5335185","495.49","","강원특별자치도 동해시 천곡동 1061","강원특별자치도 동해시 대학로 16, 10층 1001~1002호 (천곡동)","25768","텐 무인텔","2025-03-22 17:28:41","U","2025-03-24 02:40:00","숙박업 기타","386777.564549742","448726.86736624","숙박업 기타","14","1","10","10","0","0","0","10","","","","","0","0","N",
"1092","숙박업","03_11_03_P","4211000","4211000-201-2014-00001","2014-01-10","","01","영업/정상","01","영업","","","","","033 5210068","1204.18","","강원특별자치도 동해시 효가동 123-1","강원특별자치도 동해시 효자로 705 (효가동)","25785","렉스모텔","2025-03-22 17:29:52","U","2025-03-24 02:40:00","숙박업 기타","386658.73074162","445498.120222282","숙박업 기타","4","0","2","3","0","0","3","27","","","","자가","0","0","N",
"1093","숙박업","03_11_03_P","4211000","4211000-201-2014-00002","2014-03-05","","01","영업/정상","01","영업","","","","","033 5392010","4168.82","","강원특별자치도 동해시 천곡동 918","강원특별자치도 동해시 동굴로 125-3 (천곡동)","25770","동해현진관광호텔","2025-05-08 15:03:56","U","2025-05-10 02:40:00","관광호텔","387157.814092983","448467.86340314","관광호텔","13","1","6","12","0","0","5","77","","","","자가","0","0","N",
"1094","숙박업","03_11_03_P","4211000","4211000-201-2003-00006","2003-08-13","","01","영업/정상","01","영업","","","","","033 5332500","2132.84","","강원특별자치도 동해시 천곡동 904-1","강원특별자치도 동해시 동굴로 123-6 (천곡동)","25770","호텔 피카소","2025-03-22 16:47:37","U","2025-03-24 02:40:00","일반호텔","387073.190351374","448465.280061978","일반호텔","9","1","1","8","0","0","4","50","","","","자가","0","0","N",
"1095","숙박업","03_11_03_P","4211000","4211000-214-2014-00002","2014-11-12","","01","영업/정상","01","영업","","","","","050714663447","84.19","","강원특별자치도 동해시 추암동 21-4","강원특별자치도 동해시 추암택지길 58 (추암동)","25790","추암 일번지 펜션","2025-06-26 14:59:46","U","2025-06-28 02:40:00","숙박업(생활)","390742.449440618","443733.633178258","숙박업(생활)","2","0","2","2","0","0","4","0","","","","임대","0","0","N",
"1096","숙박업","03_11_03_P","4211000","4211000-201-2004-00002","2004-07-02","","01","영업/정상","01","영업","","","","","033 5353330","2256.45","","강원특별자치도 동해시 천곡동 935","강원특별자치도 동해시 한섬로 126-2 (천곡동)","25770","쉴모텔","2025-03-22 16:53:12","U","2025-03-24 02:40:00","여관업","387202.045575923","448654.906839612","여관업","7","1","1","7","1","1","9","45","","","","자가","0","0","N",
"1097","숙박업","03_11_03_P","4211000","4211000-201-2015-00002","2015-06-12","","01","영업/정상","01","영업","","","","","033 5321800","793.80","","강원특별자치도 동해시 천곡동 908","강원특별자치도 동해시 한섬로 112-2 (천곡동)","25770","37.2℃무인모텔","2025-03-22 17:39:00","U","2025-03-24 02:40:00","숙박업 기타","387014.339888013","448577.309177124","숙박업 기타","3","0","2","3","0","0","0","17","","","","자가","0","0","N",
"1098","숙박업","03_11_03_P","4211000","4211000-214-2010-00001","2010-06-28","","01","영업/정상","01","영업","","","","","033 5351717","89.33","","강원특별자치도 동해시 묵호진동 2-284","강원특별자치도 동해시 일출로 97 (묵호진동)","25717","등대오름길펜션","2025-03-23 17:03:44","U","2025-03-25 02:40:00","숙박업(생활)","387127.533125798","452096.335859178","숙박업(생활)","4","0","2","2","0","0","4","4","","","","자가","0","0","N",
"1099","숙박업","03_11_03_P","4211000","4211000-201-2003-00005","2003-07-24","","01","영업/정상","01","영업","","","","","033 5336464","2455.91","","강원특별자치도 동해시 천곡동 839","강원특별자치도 동해시 한섬로 133-9 (천곡동)","25769","아이체크호텔","2025-03-22 16:45:54","U","2025-03-24 02:40:00","일반호텔","387128.047790632","448848.865545191","일반호텔","6","1","1","6","0","0","2","57","","","","자가","0","0","N",
