"锅龋","俺规辑厚胶疙","俺规辑厚胶酒捞叼","俺规磊摹窜眉内靛","包府锅龋","牢倾啊老磊","牢倾啊秒家老磊","康诀惑怕备盒内靛","康诀惑怕疙","惑技康诀惑怕内靛","惑技康诀惑怕疙","企诀老磊","绒诀矫累老磊","绒诀辆丰老磊","犁俺诀老磊","家犁瘤傈拳","家犁瘤搁利","家犁瘤快祈锅龋","家犁瘤傈眉林家","档肺疙傈眉林家","档肺疙快祈锅龋","荤诀厘疙","弥辆荐沥矫痢","单捞磐盎脚备盒","单捞磐盎脚老磊","诀怕备盒疙","谅钎沥焊x(epsg5174)","谅钎沥焊y(epsg5174)","困积诀怕疙","扒拱瘤惑摸荐","扒拱瘤窍摸荐","荤侩矫累瘤惑摸","荤侩场瘤惑摸","荤侩矫累瘤窍摸","荤侩场瘤窍摸","炼扒何倾啊脚绊荤蜡","炼扒何倾啊矫累老磊","炼扒何倾啊辆丰老磊","扒拱家蜡备盒疙","咯己辆荤磊荐","巢己辆荤磊荐","促吝捞侩诀家咯何",
"227","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2021-00012","2021-10-08","","01","康诀/沥惑","01","康诀","","","","","","0.00","","碍盔漂喊磊摹档 盔林矫 俺款悼 446-19","碍盔漂喊磊摹档 盔林矫 价覆辨 40-29 (俺款悼)","26448","林侥雀荤碍盔揪浚俊胶","2021-10-08 11:20:04","I","2023-06-13 00:00:00","扒拱困积包府诀","284238.426103823","425890.585124843","扒拱困积包府诀","0","0","1","1","0","0","","","","烙措","0","0","N",
"228","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2018-00003","2018-06-19","","01","康诀/沥惑","01","康诀","","","","","033765 0945","71.10","","碍盔漂喊磊摹档 盔林矫 窜拌悼 1170-10","碍盔漂喊磊摹档 盔林矫 豪拳辑何肺 34-1, 1摸 (窜拌悼)","26378","农赴酒飘","2021-09-15 14:53:56","I","2023-06-13 00:00:00","扒拱困积包府诀","281247.578803994","428730.806902508","扒拱困积包府诀","1","0","1","1","0","0","","","","烙措","0","0","N",
"229","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2021-00015","2021-11-03","","01","康诀/沥惑","01","康诀","","","","","","32.07","","碍盔漂喊磊摹档 盔林矫 窜拌悼 78-1","碍盔漂喊磊摹档 盔林矫 葛鄂1辨 19, 1摸 (窜拌悼)","26407","酒牢配呕纳绢","2022-01-12 18:55:17","I","2023-06-13 00:00:00","扒拱困积包府诀","282932.80491844","429123.940969732","扒拱困积包府诀","0","0","1","1","0","0","","","","烙措","0","0","N",
"230","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2021-00016","2021-11-05","","01","康诀/沥惑","01","康诀","","","","","","11.88","","碍盔漂喊磊摹档 盔林矫 包汲悼 1678-1 4摸 老何龋","碍盔漂喊磊摹档 盔林矫 扼克沥辨 51-7, 4摸 老何龋 (包汲悼)","26471","欺胶飘碍盔","2021-12-02 14:30:50","I","2023-06-13 00:00:00","扒拱困积包府诀","285089.879245195","424673.140420394","扒拱困积包府诀","5","0","4","4","0","0","","","","烙措","0","0","N",
"231","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2021-00019","2021-12-23","","01","康诀/沥惑","01","康诀","","","","","","35.55","","碍盔漂喊磊摹档 盔林矫 瘤沥搁 救芒府 569","碍盔漂喊磊摹档 盔林矫 瘤沥搁 瘤沥肺 661","26359","坷归券版魂诀","2023-01-06 11:55:29","I","2023-06-13 00:00:00","扒拱困积包府诀","272344.281821875","427257.441419255","扒拱困积包府诀","1","0","1","1","0","0","","","","烙措","0","1","N",
"232","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-1999-00006","1999-12-10","","01","康诀/沥惑","01","康诀","","","","","033 7650701","251.68","","碍盔漂喊磊摹档 盔林矫 青备悼 1443-1","碍盔漂喊磊摹档 盔林矫 豪措辨 20-6 (青备悼)","26456","林侥雀荤农赴捞浚瘤","2022-02-04 13:50:34","I","2023-06-13 00:00:00","扒拱困积包府诀","287875.762243927","426302.989017602","扒拱困积包府诀","2","0","1","2","0","0","","","","烙措","0","0","N",
"233","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2008-00006","2008-06-18","","01","康诀/沥惑","01","康诀","","","","","033 744 0455","49.55","","碍盔漂喊磊摹档 盔林矫 青备悼 1591-4","碍盔漂喊磊摹档 盔林矫 青备肺 195, 2摸 (青备悼)","26454","揪俊胶扒汲(林)","2023-01-16 12:26:41","I","2023-06-13 00:00:00","扒拱困积包府诀","286509.725598063","427402.739902894","扒拱困积包府诀","4","0","2","2","0","0","","","","烙措","0","0","N",
"234","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2023-00006","2023-04-11","","01","康诀/沥惑","01","康诀","","","","","","23.75","","碍盔漂喊磊摹档 盔林矫 快魂悼 50-11","碍盔漂喊磊摹档 盔林矫 合盔肺 2605-3, 1摸 (快魂悼)","26336","康努赴矩技捞橇萍(林)","2023-04-28 17:53:33","I","2023-06-13 00:00:00","扒拱困积包府诀","283530.870911815","430936.391810641","扒拱困积包府诀","2","1","1","0","0","0","","","","烙措","0","1","N",
"235","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2023-00010","2023-05-08","","01","康诀/沥惑","01","康诀","","","","","","33.05","","碍盔漂喊磊摹档 盔林矫 俺款悼 387-24","碍盔漂喊磊摹档 盔林矫 档富府辨 62-1, 1摸 (俺款悼)","26443","客捞俊胶(YS)辆钦券版","2023-06-01 16:57:23","I","2023-06-13 00:00:00","扒拱困积包府诀","284783.019328823","427042.489061914","扒拱困积包府诀","1","0","1","1","0","0","","","","烙措","0","0","N",
"236","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2014-00002","2014-03-04","","01","康诀/沥惑","01","康诀","","","","","033 732 9653","102.70","","碍盔漂喊磊摹档 盔林矫 窜拌悼 942","碍盔漂喊磊摹档 盔林矫 捞拳3辨 13, 瘤窍1摸 (窜拌悼)","26476","沥刮扁傍","2024-08-30 20:36:23","U","2024-09-01 02:40:00","扒拱困积包府诀","282676.481671167","426551.667343879","扒拱困积包府诀","3","1","0","0","1","1","","","","烙措","0","0","N",
"237","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2022-00011","2022-08-09","","01","康诀/沥惑","01","康诀","","","","","","59.25","","碍盔漂喊磊摹档 盔林矫 包汲悼 1701-6","碍盔漂喊磊摹档 盔林矫 唱厚倾府辨 158, 2摸 201龋 (包汲悼)","26471","牢拳牢林侥雀荤","2022-08-09 13:32:29","I","2023-06-13 00:00:00","扒拱困积包府诀","285453.663387001","424538.063239986","扒拱困积包府诀","0","0","0","0","0","0","","","","","0","0","N",
"238","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2022-00018","2022-10-06","","01","康诀/沥惑","01","康诀","","","","","","0.00","","碍盔漂喊磊摹档 盔林矫 窜备悼 238-2","碍盔漂喊磊摹档 盔林矫 俺款5辨 68, 3摸 302龋 (窜备悼)","26444","林侥雀荤瘤高胶臂肺国","2025-01-14 14:17:39","U","2025-01-16 02:40:00","扒拱困积包府诀","285135.876873429","426500.062998518","扒拱困积包府诀","0","0","0","0","0","0","","","","","0","0","N",
"239","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2023-00008","2023-04-17","","01","康诀/沥惑","01","康诀","","","","","","27.74","","碍盔漂喊磊摹档 盔林矫 窜拌悼 943-1","碍盔漂喊磊摹档 盔林矫 捞拳3辨 23, 1摸 (窜拌悼)","26476","林侥雀荤快柳魂诀","2023-04-17 14:39:11","I","2023-06-13 00:00:00","扒拱困积包府诀","282621.7","426598.98","扒拱困积包府诀","2","0","1","1","0","0","","","","烙措","0","0","N",
"240","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2022-00024","2022-12-28","","01","康诀/沥惑","01","康诀","","","","","","48.00","","碍盔漂喊磊摹档 盔林矫 窜拌悼 785-15","碍盔漂喊磊摹档 盔林矫 合盔肺2246锅辨 24 (窜拌悼)","26424","合盔券版","2025-03-29 12:01:45","U","2025-03-31 02:40:00","扒拱困积包府诀","282835.397836406","427477.735194984","扒拱困积包府诀","2","0","1","1","0","0","","","","烙措","0","0","N",
"241","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2020-00015","2020-11-03","","01","康诀/沥惑","01","康诀","","","","","","18.20","","碍盔漂喊磊摹档 盔林矫 窜拌悼 794-4","碍盔漂喊磊摹档 盔林矫 窜备肺 46, 1摸 (窜拌悼)","26424","俊滚弊赴券版","2023-03-10 14:28:43","I","2023-06-13 00:00:00","扒拱困积包府诀","282989.45071785","427351.962172572","扒拱困积包府诀","3","1","1","1","0","0","","","","烙措","0","0","N",
"242","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2020-00017","2020-11-18","","01","康诀/沥惑","01","康诀","","","","","","81.55","","碍盔漂喊磊摹档 盔林矫 窜备悼 238-2","碍盔漂喊磊摹档 盔林矫 俺款5辨 68, 2摸 老何龋 (窜备悼)","26444","林侥雀荤抗胶况农","2024-11-20 17:19:19","U","2024-11-22 02:40:00","扒拱困积包府诀","285135.876873429","426500.062998518","扒拱困积包府诀","6","0","2","2","0","0","","","","烙措","0","0","N",
"243","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2019-00009","2019-09-27","","01","康诀/沥惑","01","康诀","","","","","033 7420009","48.79","","碍盔漂喊磊摹档 盔林矫 家檬搁 蕊剧府 1450-1","碍盔漂喊磊摹档 盔林矫 家檬搁 摹厩肺 2454, 唱悼 1摸","26310","(钦)券版困积傍荤","2023-09-04 17:16:19","U","2023-09-06 02:40:00","扒拱困积包府诀","287030.573463692","432666.679400134","扒拱困积包府诀","1","0","1","1","0","0","","","","","0","0","N",
"244","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2019-00010","2019-10-17","","01","康诀/沥惑","01","康诀","","","","","033 7427332","48.79","","碍盔漂喊磊摹档 盔林矫 家檬搁 蕊剧府 1450-1","碍盔漂喊磊摹档 盔林矫 家檬搁 摹厩肺 2454, 唱悼 1摸","26310","(钦)盔林困积傍荤","2023-09-04 17:21:51","U","2023-09-06 02:40:00","扒拱困积包府诀","287030.573463692","432666.679400134","扒拱困积包府诀","1","0","1","1","0","0","","","","","0","0","N",
"245","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2019-00011","2019-11-01","","01","康诀/沥惑","01","康诀","","","","","","0.00","","碍盔漂喊磊摹档 盔林矫 俺款悼 380-17","碍盔漂喊磊摹档 盔林矫 摹厩肺 1814 (俺款悼)","26443","农赴固贰","2020-01-08 19:54:16","I","2023-06-13 00:00:00","扒拱困积包府诀","284575.272766582","427331.398789414","扒拱困积包府诀","2","0","2","2","0","0","","","","","0","0","N",
"246","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2006-00004","2006-06-23","","01","康诀/沥惑","01","康诀","","","","","033 7328273","22.42","","碍盔漂喊磊摹档 盔林矫 瘤沥搁 焊烹府 242-24","碍盔漂喊磊摹档 盔林矫 瘤沥搁 盔巩肺 1035","26356","(林)芒款","2022-01-11 10:21:01","I","2023-06-13 00:00:00","扒拱困积包府诀","277346.248698873","426565.285856748","扒拱困积包府诀","3","0","2","2","0","0","","","","烙措","1","0","N",
"247","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2022-00001","2022-01-10","","01","康诀/沥惑","01","康诀","","","","","033 7461186","136.13","","碍盔漂喊磊摹档 盔林矫 青备悼 1850 扒康酒颇飘","碍盔漂喊磊摹档 盔林矫 青备肺 279, 扒康酒颇飘 3摸 (青备悼)","26454","快府券版","2025-07-04 17:27:57","U","2025-07-06 02:40:00","扒拱困积包府诀","287444.789403979","427305.498748837","扒拱困积包府诀","4","1","3","3","0","0","","","","烙措","0","0","N",
"248","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2020-00022","2020-12-24","","01","康诀/沥惑","01","康诀","","","","","033 7341005","67.49","","碍盔漂喊磊摹档 盔林矫 公角悼 1718-5 技捞宏鸥况","碍盔漂喊磊摹档 盔林矫 肺酒畴农肺 74, 技捞宏鸥况 6摸 601龋 (公角悼)","26387","(林)客捞浚瘤七","2021-01-25 15:16:47","I","2023-06-13 00:00:00","扒拱困积包府诀","281764.139735452","426721.892227628","扒拱困积包府诀","6","0","6","6","0","0","","","","磊啊","0","0","N",
"249","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2021-00004","2021-02-18","","01","康诀/沥惑","01","康诀","","","","","07073933254","100.32","","碍盔漂喊磊摹档 盔林矫 疙符悼 307-16","碍盔漂喊磊摹档 盔林矫 公角肺 173, 瘤 1摸 (疙符悼)","26447","捞蜡瘤(林)","2024-04-22 16:06:08","U","2024-04-24 02:40:00","扒拱困积包府诀","283231.130399317","426969.232435996","扒拱困积包府诀","3","1","0","0","1","1","","","","烙措","0","0","N",
"250","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2021-00014","2021-11-01","","01","康诀/沥惑","01","康诀","","","","","033 7327464","35.22","","碍盔漂喊磊摹档 盔林矫 窜拌悼 148-1","碍盔漂喊磊摹档 盔林矫 盔巩肺 120, 3摸 (窜拌悼)","26408","歹胶墨捞目孤聪纳捞记令","2023-03-14 14:44:02","I","2023-06-13 00:00:00","扒拱困积包府诀","282706.08380233","428707.707310969","扒拱困积包府诀","0","0","3","3","0","0","","","","烙措","0","0","N",
"251","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2022-00012","2022-08-17","","01","康诀/沥惑","01","康诀","","","","","033 7347939","47.20","","碍盔漂喊磊摹档 盔林矫 馆邦悼 1903-6","碍盔漂喊磊摹档 盔林矫 炔陛肺 8, 2摸 225龋 (馆邦悼)","26462","(林)碍枚捞浚瘤","2022-09-08 10:41:37","I","2023-06-13 00:00:00","扒拱困积包府诀","287448.884933469","425490.050234055","扒拱困积包府诀","3","13","2","2","0","0","","","","烙措","0","0","N",
"252","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2017-00023","2017-11-16","","01","康诀/沥惑","01","康诀","","","","","16703410","12.35","","碍盔漂喊磊摹档 盔林矫 乞盔悼 380-1","碍盔漂喊磊摹档 盔林矫 浅拱矫厘辨 13, 2摸 (乞盔悼)","26430","钦磊雀荤全玫辆钦包府","2022-11-14 11:56:51","I","2023-06-13 00:00:00","扒拱困积包府诀","284468.488108084","427804.607226191","扒拱困积包府诀","2","1","1","1","0","0","","","","烙措","0","0","N",
"253","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2022-00020","2022-10-31","","01","康诀/沥惑","01","康诀","","","","","07071667504","16.79","","碍盔漂喊磊摹档 盔林矫 窜备悼 1531-11","碍盔漂喊磊摹档 盔林矫 玫概豪辨 94-8, 1摸 (窜备悼)","26483","柳疙辆钦扒汲 蜡茄氓烙","2022-11-22 15:05:11","I","2023-06-13 00:00:00","扒拱困积包府诀","283464.898261386","425192.898460845","扒拱困积包府诀","4","0","1","1","0","0","","","","烙措","0","0","N",
"254","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2010-00018","2010-10-19","","01","康诀/沥惑","01","康诀","","","","","033 731 6332","13.32","","碍盔漂喊磊摹档 盔林矫 乞盔悼 380-1 瘤惑2摸","碍盔漂喊磊摹档 盔林矫 浅拱矫厘辨 13, 瘤惑2摸 (乞盔悼)","26430","(钦)吝居焊救","2023-02-27 15:36:24","I","2023-06-13 00:00:00","扒拱困积包府诀","284468.488108084","427804.607226191","扒拱困积包府诀","2","0","2","0","0","0","","","","烙措","0","0","N",
"255","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2023-00004","2023-03-16","","01","康诀/沥惑","01","康诀","","","","","033 7337388","14.00","","碍盔漂喊磊摹档 盔林矫 馆邦悼 1913-7","碍盔漂喊磊摹档 盔林矫 技拌肺 1, 5摸 502龋 (馆邦悼)","26464","林侥雀荤纳捞陌扒拱包府","2023-04-14 15:11:45","I","2023-06-13 00:00:00","扒拱困积包府诀","287477.619024788","425162.657728818","扒拱困积包府诀","6","2","5","5","0","0","","","","","0","0","N",
"256","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-1999-00002","1999-05-24","","01","康诀/沥惑","01","康诀","","","","","033 7647887","127.26","","碍盔漂喊磊摹档 盔林矫 窜备悼 238-2 3摸","碍盔漂喊磊摹档 盔林矫 俺款5辨 68, 3摸 (窜备悼)","26444","林侥雀荤竣胶欺飘盔","2023-05-24 10:54:07","I","2023-06-13 00:00:00","扒拱困积包府诀","285135.876873429","426500.062998518","扒拱困积包府诀","6","0","3","3","0","0","","","","烙措","0","0","N",
"257","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2022-00013","2022-09-14","","01","康诀/沥惑","01","康诀","","","","","033763 5979","16.82","","碍盔漂喊磊摹档 盔林矫 快魂悼 213-4","碍盔漂喊磊摹档 盔林矫 快公俺2辨 2, 1摸 (快魂悼)","26345","碍盔困积傍荤","2022-10-21 14:44:17","I","2023-06-13 00:00:00","扒拱困积包府诀","282520.007497851","429652.87479877","扒拱困积包府诀","1","0","1","1","0","0","","","","烙措","0","0","N",
"258","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2022-00016","2022-09-28","","01","康诀/沥惑","01","康诀","","","","","","32.85","","碍盔漂喊磊摹档 盔林矫 俺款悼 384-42","碍盔漂喊磊摹档 盔林矫 俺豪背辨 10, 1摸 (俺款悼)","26443","啪农赴","2022-11-21 11:24:45","I","2023-06-13 00:00:00","扒拱困积包府诀","284670.078827731","427201.282452413","扒拱困积包府诀","3","1","1","1","0","0","","","","烙措","0","0","N",
"259","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2023-00002","2023-01-27","","01","康诀/沥惑","01","康诀","","","","","","25.07","","碍盔漂喊磊摹档 盔林矫 馆邦悼 1901-5 林楷呼爹","碍盔漂喊磊摹档 盔林矫 扒碍肺 3, 林楷呼爹 1摸 106龋 (馆邦悼)","26462","(林)林楷","2023-02-09 17:11:06","I","2023-06-13 00:00:00","扒拱困积包府诀","287350.983094927","425440.796223205","扒拱困积包府诀","6","2","1","1","0","0","","","","","0","0","N",
"260","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2022-00009","2022-06-24","","01","康诀/沥惑","01","康诀","","","","","","34.69","","碍盔漂喊磊摹档 盔林矫 俺款悼 433-1","碍盔漂喊磊摹档 盔林矫 巢盔肺 580, 1摸 (俺款悼)","26448","档框靛覆","2022-06-24 10:15:58","I","2023-06-13 00:00:00","扒拱困积包府诀","284054.080981647","426344.393743353","扒拱困积包府诀","1","0","1","1","0","0","","","","烙措","0","0","N",
"261","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2011-00016","2011-12-19","","01","康诀/沥惑","01","康诀","","","","","070 88453040","19.78","","碍盔漂喊磊摹档 盔林矫 蕊诀搁 荤力府 1343","碍盔漂喊磊摹档 盔林矫 蕊诀搁 盔巩肺 904, 3摸","26356","泅措盔矩盔林侥雀荤","2022-10-15 18:15:27","I","2023-06-13 00:00:00","扒拱困积包府诀","278169.735709563","427087.87850029","扒拱困积包府诀","3","0","3","3","0","0","","","","","0","0","N",
"262","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2022-00021","2022-11-24","","01","康诀/沥惑","01","康诀","","","","","","19.95","","碍盔漂喊磊摹档 盔林矫 瘤沥搁 埃泅府 855-6","碍盔漂喊磊摹档 盔林矫 瘤沥搁 埃泅肺 133","26359","救傈YCS","2023-01-16 12:07:05","I","2023-06-13 00:00:00","扒拱困积包府诀","274282.897622744","429218.342055323","扒拱困积包府诀","2","0","1","1","0","0","","","","烙措","0","0","N",
"263","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2022-00022","2022-12-06","","01","康诀/沥惑","01","康诀","","","","","","29.20","","碍盔漂喊磊摹档 盔林矫 青备悼 1779-13","碍盔漂喊磊摹档 盔林矫 悼何鉴券肺 325-15, 1摸 (青备悼)","26454","悼盔角诀","2024-02-22 09:38:04","U","2024-02-24 02:40:00","扒拱困积包府诀","286304.953804259","427402.107318373","扒拱困积包府诀","4","0","0","0","0","0","","","","烙措","0","0","N",
"264","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2023-00001","2023-01-02","","01","康诀/沥惑","01","康诀","","","","","","26.22","","碍盔漂喊磊摹档 盔林矫 瘤沥搁 脚乞府 195-1","碍盔漂喊磊摹档 盔林矫 瘤沥搁 脚公肺 52-2, 2摸","26348","棵农赴","2023-01-02 14:03:11","I","2023-06-13 00:00:00","扒拱困积包府诀","279567.331726795","428985.050326803","扒拱困积包府诀","2","0","2","0","0","0","","","","烙措","0","1","N",
"265","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2015-00024","2015-11-17","","01","康诀/沥惑","01","康诀","","","","","070 88493030","35.20","","碍盔漂喊磊摹档 盔林矫 蕊诀搁 荤力府 1343","碍盔漂喊磊摹档 盔林矫 蕊诀搁 盔巩肺 904, 3摸","26356","泅措厚捧厚林侥雀荤","2022-10-15 18:02:08","I","2023-06-13 00:00:00","扒拱困积包府诀","278169.735709563","427087.87850029","扒拱困积包府诀","3","0","3","0","0","0","","","","烙措","0","0","N",
"266","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2015-00001","2015-01-12","","01","康诀/沥惑","01","康诀","","","","","","23.22","","碍盔漂喊磊摹档 盔林矫 蕊诀搁 荤力府 1343","碍盔漂喊磊摹档 盔林矫 蕊诀搁 盔巩肺 904, 3摸","26356","泅措碍矩碍林侥雀荤","2022-10-15 17:44:33","I","2023-06-13 00:00:00","扒拱困积包府诀","278169.735709563","427087.87850029","扒拱困积包府诀","3","0","3","3","0","0","","","","","0","0","N",
"267","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2022-00017","2022-10-05","","01","康诀/沥惑","01","康诀","","","","","","71.25","","碍盔漂喊磊摹档 盔林矫 快魂悼 50-11","碍盔漂喊磊摹档 盔林矫 合盔肺 2605-3 (快魂悼)","26336","碍盔辆钦包府 林侥雀荤","2023-12-08 14:02:45","U","2023-12-10 02:40:00","扒拱困积包府诀","283530.870911815","430936.391810641","扒拱困积包府诀","2","1","1","1","0","0","","","","","0","0","N",
"268","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2023-00003","2023-02-23","","01","康诀/沥惑","01","康诀","","","","","","37.23","","碍盔漂喊磊摹档 盔林矫 公角悼 1857-17","碍盔漂喊磊摹档 盔林矫 瓷扼悼辨 27, 2摸 202龋 (公角悼)","26392","力老救傈","2023-03-30 11:51:15","I","2023-06-13 00:00:00","扒拱困积包府诀","282175.317805616","426098.320760993","扒拱困积包府诀","6","2","2","0","0","0","","","","烙措","0","1","N",
"269","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2005-00005","2005-11-21","","01","康诀/沥惑","01","康诀","","","","","","29.70","","碍盔漂喊磊摹档 盔林矫 乞盔悼 380-1 瘤惑2摸","碍盔漂喊磊摹档 盔林矫 浅拱矫厘辨 13, 瘤惑2摸 (乞盔悼)","26430","钦磊雀荤 吝居","2014-05-20 14:45:23","I","2023-06-13 00:00:00","扒拱困积包府诀","284468.488108084","427804.607226191","扒拱困积包府诀","3","1","2","2","0","0","","","","烙措","0","0","N",
"270","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2005-00006","2005-12-12","","01","康诀/沥惑","01","康诀","","","","","033 7310015","43.96","","碍盔漂喊磊摹档 盔林矫 窜拌悼 867-6 瘤惑3摸 啊悼","碍盔漂喊磊摹档 盔林矫 厘固傍盔辨 71-5, 啊悼 瘤惑3摸 (窜拌悼)","26436","(钦)磨焊魂诀","2016-08-23 17:08:39","I","2023-06-13 00:00:00","扒拱困积包府诀","282299.444117785","427499.942711321","扒拱困积包府诀","4","1","3","3","0","0","","","","烙措","0","0","N",
"271","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2004-00005","2004-07-13","","01","康诀/沥惑","01","康诀","","","","","033 7355266","67.26","","碍盔漂喊磊摹档 盔林矫 包汲悼 1730-10","碍盔漂喊磊摹档 盔林矫 包汲救辨 23-12, 1摸 老何龋 (包汲悼)","26472","农赴矩农赴内府酒","2023-06-30 13:22:29","U","2023-07-02 02:40:00","扒拱困积包府诀","285191.033053203","424330.34067955","扒拱困积包府诀","2","0","1","1","0","0","","","","烙措","0","0","N",
"272","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-1998-00008","1998-11-28","","01","康诀/沥惑","01","康诀","","","","","033 7617765","105.57","","碍盔漂喊磊摹档 盔林矫 切己悼 973-9","碍盔漂喊磊摹档 盔林矫 价拌1辨 17 (切己悼)","26413","林侥雀荤 柳魂扁诀","2016-06-24 14:49:10","I","2023-06-13 00:00:00","扒拱困积包府诀","283133.556056571","428862.185686343","扒拱困积包府诀","1","0","1","0","0","0","","","","","0","0","N",
"273","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2004-00001","2004-04-26","","01","康诀/沥惑","01","康诀","","","","","033 766 4607","91.95","","碍盔漂喊磊摹档 盔林矫 馆邦悼 1380-2","碍盔漂喊磊摹档 盔林矫 馆邦辨 168-2, 2摸 (馆邦悼)","26457","林侥雀荤 踌祸","2019-06-19 10:27:32","I","2023-06-13 00:00:00","扒拱困积包府诀","286027.189988439","425687.950617617","扒拱困积包府诀","3","0","2","2","0","0","","","","烙措","0","0","N",
"274","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-1998-00001","1998-01-26","","01","康诀/沥惑","01","康诀","","","","","033 7648989","66.08","","碍盔漂喊磊摹档 盔林矫 疙符悼 307-17","碍盔漂喊磊摹档 盔林矫 公角肺 171 (疙符悼)","26447","吝何焊救傍荤(林)","2010-09-28 15:34:10","I","2023-06-13 00:00:00","扒拱困积包府诀","283243.353876836","426979.640941857","扒拱困积包府诀","0","0","0","0","0","0","","","","","0","0","N",
"275","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2014-00018","2014-10-13","","01","康诀/沥惑","01","康诀","","","","","","58.40","","碍盔漂喊磊摹档 盔林矫 俺款悼 393-1 瘤惑1摸","碍盔漂喊磊摹档 盔林矫 青备肺 49, 瘤惑1摸 (俺款悼)","26443","芒炼扁裙林侥雀荤","2016-10-26 11:06:36","I","2023-06-13 00:00:00","扒拱困积包府诀","285107.144884537","427056.123721175","扒拱困积包府诀","2","1","1","1","0","0","","","","烙措","0","1","N",
"276","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2000-00004","2000-02-14","","01","康诀/沥惑","01","康诀","","","","","033 7663660","68.80","","碍盔漂喊磊摹档 盔林矫 俺款悼 322 俺款酒颇飘惑啊悼,瘤惑2摸","碍盔漂喊磊摹档 盔林矫 巢盔肺612锅辨 9, 瘤惑2摸 (俺款悼, 俺款酒颇飘惑啊悼)","26446","版牢辆钦券版","2023-03-02 15:07:40","I","2023-06-13 00:00:00","扒拱困积包府诀","284286.60791058","426503.885165892","扒拱困积包府诀","4","1","2","2","0","0","","","","烙措","0","0","N",
"277","扒拱困积包府诀","09_30_04_P","4191000","4191000-206-2003-00003","2003-04-16","","01","康诀/沥惑","01","康诀","","","","","033 7432361","55.25","","碍盔漂喊磊摹档 盔林矫 公角悼 1444-3","碍盔漂喊磊摹档 盔林矫 青啊府1辨 84, 1摸 (公角悼)","26396","茄惫券版","2024-08-08 16:21:22","U","2024-08-10 02:40:00","扒拱困积包府诀","281001.086170799","424327.908793349","扒拱困积包府诀","2","0","1","1","0","0","","","","烙措","0","0","N",
