"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"212","방문판매업","08_26_02_P","4181000","2010418016623200024","2010-09-01","","03","폐업","03","폐업처리","2012-05-17","","","","252-5225","","200-938","강원특별자치도 춘천시 온의동 ***번지 *호","강원특별자치도 춘천시 충혼길 ** (온의동)","","한불화장품춘천지사","2012-05-17 14:16:26","I","2023-06-13 00:00:00","","263394.401097081","484549.988947319","0","0","0","",
"213","방문판매업","08_26_02_P","4181000","2010418016623200028","2010-10-19","","03","폐업","03","폐업처리","2013-10-08","","","","","","200-938","강원특별자치도 춘천시 온의동 ***번지","강원특별자치도 춘천시 스포츠타운길 ***-** (온의동)","200-938","마임온의지사","2013-10-08 11:31:34","I","2023-06-13 00:00:00","","262698.903310287","485455.957795484","0","0","0","",
"214","방문판매업","08_26_02_P","4181000","2019418031923200005","2019-04-17","","03","폐업","03","폐업처리","2020-04-14","","","","","","","강원특별자치도 춘천시 온의동 ***번지 **호","강원특별자치도 춘천시 영서로 ****, *층 (온의동)","24435","아로마퀸","2020-04-16 17:42:18","I","2023-06-13 00:00:00","","263107.997009046","485126.693325955","0","0","0","",
"215","방문판매업","08_26_02_P","4181000","2019418031923200006","2019-04-17","","03","폐업","03","폐업처리","2020-03-16","","","","","","","강원특별자치도 춘천시 석사동 ***번지 **호","강원특별자치도 춘천시 후석로**번길 **-**, ***호 (석사동)","24383","인셀덤 춘천1호","2020-03-17 18:04:24","I","2023-06-13 00:00:00","","265236.808068532","484502.339536831","0","0","0","",
"216","방문판매업","08_26_02_P","4181000","2019418031923200008","2019-05-01","","03","폐업","03","폐업처리","2020-03-13","","","","","","","강원특별자치도 춘천시 신동면 증리 ***번지 *호","강원특별자치도 춘천시 신동면 김유정로 ****","24412","인셀덤 춘천 김유정점","2020-03-17 10:03:56","I","2023-06-13 00:00:00","","263053.830394992","479865.094981703","0","0","0","",
"217","방문판매업","08_26_02_P","4181000","2019418031923200009","2019-05-01","","03","폐업","03","폐업처리","2020-03-13","","","","","","","강원특별자치도 춘천시 퇴계동 ***번지 한주아파트","강원특별자치도 춘천시 안마산로 ***, ***동 ****호 (퇴계동, 한주아파트)","24421","인셀덤 춘천2호","2020-03-17 10:04:14","I","2023-06-13 00:00:00","","264906.022305039","483375.580147211","0","0","0","",
"218","방문판매업","08_26_02_P","4181000","2019418031923200010","2019-05-29","","03","폐업","03","폐업처리","2020-03-27","","","","","","","강원특별자치도 춘천시 동내면 거두리 ****번지 춘천거두주공아파트","강원특별자치도 춘천시 동내면 거두택지길 **, ***동 ****호 (춘천거두주공아파트)","24399","인셀덤 수현점","2020-03-30 19:43:18","I","2023-06-13 00:00:00","","266828.063418008","484015.049994818","0","0","0","",
"219","방문판매업","08_26_02_P","4181000","2019418031923200011","2019-05-29","","03","폐업","03","폐업처리","2020-06-24","","","","","","","강원특별자치도 춘천시 사농동 ***번지 현대아파트","강원특별자치도 춘천시 영서로 ****, ***동 ***호 (사농동, 현대아파트)","24224","인셀덤 사농점","2020-06-24 16:51:38","I","2023-06-13 00:00:00","","263577.414771224","490145.352381932","0","0","0","",
"220","방문판매업","08_26_02_P","4181000","2019418031923200012","2019-05-30","","03","폐업","03","폐업처리","2020-06-24","","","","","","","강원특별자치도 춘천시 퇴계동 ***번지 *호","강원특별자치도 춘천시 춘주로***번길 *-* (퇴계동)","24443","인셀덤 퇴계점(전문상담센터)","2020-06-24 16:50:14","I","2023-06-13 00:00:00","","263916.709824857","484532.268281869","0","0","0","",
"221","방문판매업","08_26_02_P","4181000","2019418031923200013","2019-05-31","","03","폐업","03","폐업처리","2019-08-01","","","","","","","강원특별자치도 춘천시 석사동 ***번지 **호","강원특별자치도 춘천시 후석로**번길 **-**, ***호 (석사동)","24383","인셀덤춘천","2019-08-05 15:54:24","I","2023-06-13 00:00:00","","265236.808068532","484502.339536831","0","0","0","",
"222","방문판매업","08_26_02_P","4181000","2019418031923200014","2019-05-31","","03","폐업","03","폐업처리","2020-03-25","","","","","","","강원특별자치도 춘천시 칠전동 ***번지 *호","강원특별자치도 춘천시 칠전동길 **-*, ***호 (칠전동)","24456","1인 기업시대","2020-03-26 14:25:04","I","2023-06-13 00:00:00","","262947.745201726","482354.892805263","0","0","0","",
"223","방문판매업","08_26_02_P","4181000","2019418031923200015","2019-05-31","","03","폐업","03","폐업처리","2020-04-02","","","","","","","강원특별자치도 춘천시 신동면 증리 ***번지 *호","강원특별자치도 춘천시 신동면 금병의숙길 **-*","24412","인셀덤 광포(전문상담센터)","2020-04-03 16:31:31","I","2023-06-13 00:00:00","","262971.724341564","479379.001388025","0","0","0","",
"224","방문판매업","08_26_02_P","4181000","2019418034923200001","2019-07-16","","03","폐업","03","폐업처리","2020-07-30","","","","","","","강원특별자치도 춘천시 석사동 ***번지 *호","강원특별자치도 춘천시 벌말길**번길 *-*, *층 *호 (석사동)","24384","더키움","2020-07-30 14:51:41","I","2023-06-13 00:00:00","","265169.055126838","484330.547496822","0","0","0","",
"225","방문판매업","08_26_02_P","4181000","2007418016623200014","2007-03-23","","03","폐업","03","폐업처리","2010-06-08","","","","256-9090","","200-936","강원특별자치도 춘천시 석사동 ***번지 **호 *층","강원특별자치도 춘천시 춘천순환로 ** (석사동,*층)","","김정문알로에춘천중앙지부","2011-08-30 11:23:34","I","2023-06-13 00:00:00","","265657.8432004","483887.076643625","0","0","0","",
"226","방문판매업","08_26_02_P","4181000","2007418016623200015","2006-12-04","","03","폐업","03","폐업처리","2007-12-04","","","","254-9294","","200-090","강원특별자치도 춘천시 효자동 ***번지 **호","강원특별자치도 춘천시 효제길 ** (효자동)","","에바페론","2008-07-17 11:19:17","I","2023-06-13 00:00:00","","265001.950861635","485601.052746172","0","0","0","",
"227","방문판매업","08_26_02_P","4181000","2007418016623200017","2007-12-18","","03","폐업","03","폐업처리","2008-03-27","","","","241-3362","","200-160","강원특별자치도 춘천시 후평동 **번지 후평프라자 지하 *층","강원특별자치도 춘천시 후석로 *** (후평동,후평프라자 지하 *층)","","유로셰프라인","2008-07-15 16:19:07","I","2023-06-13 00:00:00","","266120.470828552","485927.629589119","0","0","0","",
"228","방문판매업","08_26_02_P","4181000","2007418016623200035","2007-09-13","","03","폐업","03","폐업처리","2014-11-19","","","","253-9889","","200-170","강원특별자치도 춘천시 퇴계동 효신빌딩 *층","","","(주)파코메리","2014-11-19 19:07:37","I","2023-06-13 00:00:00","","","","0","0","0","",
"229","방문판매업","08_26_02_P","4181000","2007418016623205512","2007-01-30","","03","폐업","03","폐업처리","2016-10-14","","","","263-0073","","200-180","강원특별자치도 춘천시 석사동 ***번지 *호 *층","강원특별자치도 춘천시 공지로 ***-* (석사동,*층)","","유니베라 신석사","2016-10-17 14:35:15","I","2023-06-13 00:00:00","","265669.053861763","484096.71012815","0","0","0","",
"230","방문판매업","08_26_02_P","4181000","2007418016623218425","2007-03-20","","03","폐업","03","폐업처리","2010-05-10","","","","253-9870","","200-954","강원특별자치도 춘천시 효자동 ***번지 *호","강원특별자치도 춘천시 춘천로 **-* (효자동)","","김정문알로에명동지사","2011-08-25 11:29:44","I","2023-06-13 00:00:00","","263735.312100835","485571.579999296","0","0","0","",
"231","방문판매업","08_26_02_P","4181000","2007418016623223365","2007-04-09","","03","폐업","03","폐업처리","2010-03-24","","","","265-7573","","200-042","강원특별자치도 춘천시 중앙로*가 **번지","강원특별자치도 춘천시 중앙로 ** (중앙로*가)","","조양의료기 춘천지점","2010-04-05 09:33:49","I","2023-06-13 00:00:00","","263704.393698423","486452.973332251","0","0","0","",
"232","방문판매업","08_26_02_P","4181000","2007418016623231915","2007-05-10","","03","폐업","03","폐업처리","2015-02-23","","","","241-0279","","200-113","강원특별자치도 춘천시 소양로*가 ***번지 KT춘천지사내","강원특별자치도 춘천시 소양로 *** (소양로*가,KT춘천지사내)","","에이원텔레콤","2015-02-23 17:20:06","I","2023-06-13 00:00:00","","263553.606108635","486955.803241759","0","0","0","",
"233","방문판매업","08_26_02_P","4181000","2007418016623235621","2007-05-25","","03","폐업","03","폐업처리","2013-01-28","","","","243-8008","","200-883","강원특별자치도 춘천시 동내면 거두리 ***번지 *호 ***호","강원특별자치도 춘천시 동내면 거두택지길 **, ***호","","한빛정보통신","2013-01-28 10:42:03","I","2023-06-13 00:00:00","","266176.83","483635.34","0","0","0","",
"234","방문판매업","08_26_02_P","4181000","2007418016623236817","2007-05-25","","03","폐업","03","폐업처리","2024-12-30","","","","253-6326","","","강원특별자치도 춘천시 우두동 ****번지 롯데인벤스아파트","강원특별자치도 춘천시 충열로 **, ***동 ***호 (우두동, 롯데인벤스아파트)","24225","KT대성텔콤","2024-12-30 16:46:59","U","2025-01-01 02:40:00","","264244.234017805","488920.577875472","0","0","0","",
"235","방문판매업","08_26_02_P","4181000","2007418016623236853","2007-05-30","","03","폐업","03","폐업처리","2011-01-27","","","","033-242-0651","","200-180","강원특별자치도 춘천시 석사동 ***번지 **호","강원특별자치도 춘천시 스무숲*길 ** (석사동)","","IT리더","2011-01-27 09:40:32","I","2023-06-13 00:00:00","","266210.229460211","483096.544709399","0","0","0","",
"236","방문판매업","08_26_02_P","4181000","2007418016623246742","2007-07-05","","03","폐업","03","폐업처리","2012-03-19","","","","033-910-8585","","200-935","강원특별자치도 춘천시 석사동 ***번지 *호 썬타워빌딩 *층","강원특별자치도 춘천시 퇴계로 *** (석사동,썬타워빌딩 *층)","","주식회사 맥텔레콤","2012-03-19 15:48:50","I","2023-06-13 00:00:00","","264995.650946312","484096.148098437","0","0","0","",
"237","방문판매업","08_26_02_P","4181000","2010418016623200030","2010-11-19","","03","폐업","03","폐업처리","2012-11-22","","","","033-262-0502","","200-180","강원특별자치도 춘천시 석사동 ***번지 *호 *층","강원특별자치도 춘천시 후석로***번길 ** (석사동,*층)","","윤선생 영어숲 애막골 어학원","2012-11-22 17:05:23","I","2023-06-13 00:00:00","","266254.837802744","485232.262888294","0","0","0","",
"238","방문판매업","08_26_02_P","4181000","2010418016623200032","2010-10-19","","03","폐업","03","폐업처리","2011-08-01","","","","","","200-759","강원특별자치도 춘천시 후평동 석사*지구아파트 ***동 ****호","","","위클로버","2011-08-01 17:34:49","I","2023-06-13 00:00:00","","","","0","0","0","",
"239","방문판매업","08_26_02_P","4181000","2010418016623200033","2010-11-26","","03","폐업","03","폐업처리","2011-04-20","","","","033-242-8872","","200-090","강원특별자치도 춘천시 효자동 ***번지 *호","강원특별자치도 춘천시 춘천로 *** (효자동)","","SM코리아","2011-04-20 17:16:56","I","2023-06-13 00:00:00","","264702.174234341","486310.528026106","0","0","0","",
"240","방문판매업","08_26_02_P","4181000","2010418016623200034","2010-12-01","","03","폐업","03","폐업처리","2013-08-26","","","","","","200-180","강원특별자치도 춘천시 석사동 ***번지 *호","강원특별자치도 춘천시 퇴계로 *** (석사동)","","뉴랜드알로에 호반본부","2013-08-26 16:29:23","I","2023-06-13 00:00:00","","265015.004575747","484149.723458304","0","0","0","",
"241","방문판매업","08_26_02_P","4181000","2010418016623200035","2010-12-02","","03","폐업","03","폐업처리","2013-08-26","","","","","","200-180","강원특별자치도 춘천시 석사동 ***번지 *호","강원특별자치도 춘천시 퇴계로 *** (석사동)","","뉴랜드알로에 소양본부","2013-08-26 16:38:03","I","2023-06-13 00:00:00","","265015.004575747","484149.723458304","0","0","0","",
"242","방문판매업","08_26_02_P","4181000","2012418022923200012","2011-03-15","","03","폐업","03","폐업처리","2014-12-02","","","","","","469-806","경기도 여주군 여주읍 홍문리 ***번지 월드피아**** ***","","","M.S코리아","2014-12-02 14:11:05","I","2023-06-13 00:00:00","","","","0","0","0","",
"243","방문판매업","08_26_02_P","4181000","2012418022923200014","2012-08-31","","03","폐업","03","폐업처리","2021-10-22","","","","253-01058","","","강원특별자치도 춘천시 운교동 ***-*","강원특별자치도 춘천시 운교길 **, B*층 (운교동)","24351","백옥생화장품","2021-10-25 16:24:53","I","2023-06-13 00:00:00","","264259.124077368","486325.698297822","0","0","0","",
"244","방문판매업","08_26_02_P","4181000","2012418022923200015","2012-05-16","","03","폐업","03","폐업처리","2013-03-18","","","","02-2631-1714","","200-160","강원특별자치도 춘천시 후평동 **번지 *층","강원특별자치도 춘천시 후석로 ***, *층 (후평동)","200-955","이노텍스","2013-03-18 16:24:04","I","2023-06-13 00:00:00","","266120.470828552","485927.629589119","0","0","0","",
"245","방문판매업","08_26_02_P","4181000","2012418022923200019","2011-01-31","","03","폐업","03","폐업처리","2013-04-18","","","","031-758-5689","","200-090","강원특별자치도 춘천시 효자동 ***번지 *호","강원특별자치도 춘천시 춘천로 *** (효자동)","200-950","SK무역","2013-04-18 14:05:39","I","2023-06-13 00:00:00","","264702.174234341","486310.528026106","0","0","0","",
"246","방문판매업","08_26_02_P","4181000","2023418039223200001","2023-01-03","","03","폐업","03","폐업처리","2025-05-20","","","","","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 효석로 ***, *층 *호 (석사동)","24387","수기샵(Sugi뷰티)","2025-05-21 09:34:38","U","2025-05-23 02:40:00","","265289.451426074","484123.149458378","0","0","0","",
"247","방문판매업","08_26_02_P","4181000","2023418039223200003","2023-01-16","","03","폐업","03","폐업처리","2023-04-17","","","","","","","강원특별자치도 춘천시 소양로*가 **-*","강원특별자치도 춘천시 금강로**번길 *, *층 (소양로*가)","24272","와이엘정보통신","2023-04-24 13:14:24","I","2023-06-13 00:00:00","","263671.022740463","486934.225752403","0","0","0","",
"248","방문판매업","08_26_02_P","4181000","2023418039223200005","2023-03-28","","03","폐업","03","폐업처리","2025-01-15","","","","033-253-1234","","","강원특별자치도 춘천시 소양로*가 ***-* KT춘천지사","강원특별자치도 춘천시 금강로 **, KT춘천지사 (소양로*가)","24272","아진인더스트리 주식회사","2025-01-20 10:58:40","U","2025-01-22 02:40:00","","263605.961099524","486906.492426088","25000000","0","25000000","",
"249","방문판매업","08_26_02_P","4181000","2007418016623249137","2007-07-12","","03","폐업","03","폐업처리","2018-10-30","","","","258-6001","","200-161","강원특별자치도 춘천시 후평동 ***번지 **호 바이오벤쳐프라자 ***호","강원특별자치도 춘천시 소양강로 ** (후평동,바이오벤쳐프라자 ***호)","","화인코주식회사","2018-10-30 16:29:48","I","2023-06-13 00:00:00","","265531.579503655","488113.88506095","0","0","0","",
"250","방문판매업","08_26_02_P","4181000","2011418016623200020","2011-08-08","","03","폐업","03","폐업처리","2013-11-21","","","","033-910-3000","","200-170","강원특별자치도 춘천시 퇴계동 ***번지 *호 *층","강원특별자치도 춘천시 춘주로***번길 *, ***호 (퇴계동)","200-944","뉴랜드알로에동부지사","2013-11-21 15:32:06","I","2023-06-13 00:00:00","","263862.415189775","484425.203898175","0","0","0","",
"251","방문판매업","08_26_02_P","4181000","2011418016623200023","2011-09-05","","03","폐업","03","폐업처리","2012-05-11","","","","033-254-0513","","200-080","강원특별자치도 춘천시 운교동 ***번지 *호 *층","강원특별자치도 춘천시 춘천로 *** (운교동,*층)","","신신의료기","2012-05-11 13:05:37","I","2023-06-13 00:00:00","","264435.77828579","486259.048839494","0","0","0","",
"252","방문판매업","08_26_02_P","4181000","2012418022923200002","2005-10-21","","03","폐업","03","폐업처리","2015-09-22","","","","02-518-9900","","200-931","강원특별자치도 춘천시 근화동 ***번지 *호","강원특별자치도 춘천시 영서로 **** (근화동)","200-931","(주)한국고용정보","2015-09-22 17:39:58","I","2023-06-13 00:00:00","","262592.672942046","486922.388103729","0","0","0","",
"253","방문판매업","08_26_02_P","4181000","2012418022923200003","2012-04-04","","03","폐업","03","폐업처리","2013-01-22","","","","257-1333","","","","강원특별자치도 춘천시 서부대성로 ** (소양로*가)","200-112","두리하나로","2013-01-22 16:15:52","I","2023-06-13 00:00:00","","263675.833817836","487157.336209289","0","0","0","",
"254","방문판매업","08_26_02_P","4181000","2012418022923200004","2012-04-20","","03","폐업","03","폐업처리","2012-09-05","","","","033-911-6160","","","","강원특별자치도 춘천시 효석로**번길 ** (석사동)","200-936","천하상사","2012-09-05 09:41:22","I","2023-06-13 00:00:00","","265035.749668574","484511.078048933","0","0","0","",
"255","방문판매업","08_26_02_P","4181000","2013418022923200001","2013-01-30","","03","폐업","03","폐업처리","2013-08-26","","","","257-3250","","","","강원특별자치도 춘천시 경춘로 **** (온의동, 대일빌딩*층)","200-938","스카이나인","2013-08-26 16:24:31","I","2023-06-13 00:00:00","","263297.231644072","484808.077816798","0","0","0","",
"256","방문판매업","08_26_02_P","4181000","2013418022923200003","2013-05-14","","03","폐업","03","폐업처리","2015-02-11","","","","","","","","강원특별자치도 춘천시 동내면 춘천순환로 ***","200-883","아모레 호반영업소","2015-02-11 14:25:27","I","2023-06-13 00:00:00","","266656.72297831","484102.060053326","43066184000","8558023700","34508161000","",
"257","방문판매업","08_26_02_P","4181000","2013418022923200005","2013-06-05","","03","폐업","03","폐업처리","2019-05-31","","","","244-2722","","","","강원특별자치도 춘천시 가연길 ** (소양로*가)","200-114","한국야쿠르트 경춘점","2019-05-31 11:12:55","I","2023-06-13 00:00:00","","263431.933942698","486358.059923326","0","0","0","",
"258","방문판매업","08_26_02_P","4181000","2013418022923200006","2013-06-25","","03","폐업","03","폐업처리","2013-09-13","","","","243-1981","","200-952","강원특별자치도 춘천시 효자*동 ***번지 *호","강원특별자치도 춘천시 춘천로 *** (효자동)","","로하스원코리아","2013-09-13 14:30:00","I","2023-06-13 00:00:00","","264702.174234341","486310.528026106","0","0","0","",
"259","방문판매업","08_26_02_P","4181000","2012418022923200010","2012-06-28","","03","폐업","03","폐업처리","2013-08-26","","","","264-2900","","","","강원특별자치도 춘천시 퇴계로 ***, *층 (석사동)","200-936","뉴랜드알로에강남지사","2013-08-26 16:27:08","I","2023-06-13 00:00:00","","265015.004575747","484149.723458304","0","0","0","",
"260","방문판매업","08_26_02_P","4181000","2013418022923200009","2013-09-03","","03","폐업","03","폐업처리","2015-09-16","","","","256-1999","","","","강원특별자치도 춘천시 가연길*번길 **-* (근화동)","200-931","서인결혼정보","2015-09-16 14:28:30","I","2023-06-13 00:00:00","","263089.539436946","486112.006304921","0","0","0","",
"261","방문판매업","08_26_02_P","4181000","2013418022923200011","2013-09-24","","03","폐업","03","폐업처리","2014-07-22","","","","","","","","강원특별자치도 춘천시 만천로***번길 **-* (후평동)","200-959","블루밍르네셀","2014-07-22 11:08:52","I","2023-06-13 00:00:00","","266078.29370249","487427.331942266","0","0","0","",
"262","방문판매업","08_26_02_P","4181000","2014418027723200016","2014-12-18","","03","폐업","03","폐업처리","2015-06-09","","","","033-251-6480","","","","강원특별자치도 춘천시 영서로****번길 ** (우두동)","200-940","자생홈메디숯에너지","2015-06-08 22:52:54","I","2023-06-13 00:00:00","","263976.778423701","488987.461431184","0","0","0","",
"263","방문판매업","08_26_02_P","4181000","2015418027723200003","2007-05-11","","03","폐업","03","폐업처리","2018-06-27","","","","1588-5569","","","강원특별자치도 춘천시 온의동 ***번지 **호","강원특별자치도 춘천시 영서로****번길 ** (온의동, *층)","24435","로얄라이프(주)","2018-06-27 13:41:29","I","2023-06-13 00:00:00","","263226.661194055","484888.746609988","2634151170","2424141570","210009456","",
"264","방문판매업","08_26_02_P","4181000","2012418022923200007","2012-01-30","","03","폐업","03","폐업처리","2013-01-07","","","","033-735-1347","","200-965","강원특별자치도 춘천시 퇴계동 ****번지 투탑시티 CGV건물지하","강원특별자치도 춘천시 지석로 ** (퇴계동, 투탑시티 CGV건물지하)","200-965","해피아울렛","2014-12-02 13:53:31","I","2023-06-13 00:00:00","","265386.634330563","483368.251535269","0","0","0","",
"265","방문판매업","08_26_02_P","4181000","2014418022923200018","2014-05-13","","03","폐업","03","폐업처리","2018-11-29","","","","033-242-9698","","","강원특별자치도 춘천시 칠전동 ***번지","강원특별자치도 춘천시 옛경춘로 *** (칠전동)","24459","종근당건강","2018-11-29 14:35:10","I","2023-06-13 00:00:00","","262002.215387055","482622.669126574","0","0","0","",
"266","방문판매업","08_26_02_P","4181000","2014418022923200019","2014-05-19","","03","폐업","03","폐업처리","2015-09-25","","","","033-255-5656","","","","강원특별자치도 춘천시 동면 공단로**번길 ***","200-853","아이티비비에스(IT BBS)","2015-09-25 11:32:31","I","2023-06-13 00:00:00","","266077.080753282","488972.988844946","0","0","0","",
"267","방문판매업","08_26_02_P","4181000","2014418022923200020","2014-05-20","","03","폐업","03","폐업처리","2014-05-22","","","","033-262-2957","","","","강원특별자치도 춘천시 우석로 ** (석사동)","200-936","중부정보통신","2014-05-22 16:31:28","I","2023-06-13 00:00:00","","265683.494965997","484628.302461425","0","0","0","",
"268","방문판매업","08_26_02_P","4181000","2014418022923200022","2014-05-23","","03","폐업","03","폐업처리","2022-09-30","","","","033-263-0259","","","","강원특별자치도 춘천시 남춘천새길 **, ***동 ***호 (석사동, 세경임대아파트)","200-936","스피드통신","2022-10-19 15:18:09","I","2023-06-13 00:00:00","","264807.241666538","484720.141657102","0","0","0","",
"269","방문판매업","08_26_02_P","4181000","2014418022923200023","2014-05-28","","03","폐업","03","폐업처리","2018-07-02","","","","","","","","강원특별자치도 춘천시 국사봉길 **, ***호 (퇴계동)","200-943","씨앤씨(C&C)","2018-07-02 11:20:04","I","2023-06-13 00:00:00","","264068.685660822","484318.869231943","0","0","0","",
"270","방문판매업","08_26_02_P","4181000","2014418027723200003","2014-09-24","","03","폐업","03","폐업처리","2015-04-21","","","","033-251-4231","","200-948","강원특별자치도 춘천시 효자동 ***번지 *호 *층","강원특별자치도 춘천시 청운길 ** (효자동)","200-948","호반축산","2015-04-21 18:16:39","I","2023-06-13 00:00:00","","264524.350830018","485330.405597637","0","0","30000000","",
"271","방문판매업","08_26_02_P","4181000","2014418027723200004","2014-10-13","","03","폐업","03","폐업처리","2015-04-06","","","","","","","","강원특별자치도 춘천시 공단로 **, ***호 (후평동)","200-957","김정문알로에 춘천지사","2015-04-06 16:02:32","I","2023-06-13 00:00:00","","265901.189684597","487462.910139265","0","0","0","",
"272","방문판매업","08_26_02_P","4181000","2014418027723200005","2014-10-14","","03","폐업","03","폐업처리","2018-03-19","","","","033-253-2664","","","","강원특별자치도 춘천시 춘천로 ***-* (효자동)","200-950","김정문알로에동부지사","2018-03-19 16:22:11","I","2023-06-13 00:00:00","","265180.276300152","486528.606721984","0","0","0","",
"273","방문판매업","08_26_02_P","4181000","2015418027723200008","2015-03-19","","03","폐업","03","폐업처리","2018-12-31","","","","033-244-0545","","200-966","강원특별자치도 춘천시 퇴계동 ****번지 유승한내들상가 ***호","강원특별자치도 춘천시 퇴계로 ***, ***호 (퇴계동, 유승한내들상가)","200-966","한국몬테소리(춘천)","2019-01-07 13:09:04","I","2023-06-13 00:00:00","","264346.973383921","484543.585206646","0","0","0","",
"274","방문판매업","08_26_02_P","4181000","2015418027723200014","2015-06-26","","03","폐업","03","폐업처리","2017-03-22","","","","033-244-2030","","","","강원특별자치도 춘천시 서면 박사로 ***-**","200-833","대오코스메틱","2017-03-22 17:49:41","I","2023-06-13 00:00:00","","258768.368238951","483346.434558766","0","0","0","",
"275","방문판매업","08_26_02_P","4181000","2015418027723200016","2015-07-17","","03","폐업","03","폐업처리","2015-10-30","","","","","","","","강원특별자치도 춘천시 삭주로 ** (교동)","200-060","생생수","2017-12-19 10:46:14","I","2023-06-13 00:00:00","","264629.33822982","486874.788902687","0","0","0","",
"276","방문판매업","08_26_02_P","4181000","2015418027723200017","2015-07-23","","03","폐업","03","폐업처리","2025-02-25","","","","033-264-1193","","200-943","강원특별자치도 춘천시 퇴계동 ***번지 **호","강원특별자치도 춘천시 안마산로 *** (퇴계동)","200-943","청일","2025-02-26 16:56:08","U","2025-02-28 02:40:00","","264639.498608464","483424.123688559","0","0","0","",
"277","방문판매업","08_26_02_P","4181000","2018418027723200001","2018-01-23","","03","폐업","03","폐업처리","2019-10-10","","","","033-252-6472","","","강원특별자치도 춘천시 후평동 ***번지 *호","강원특별자치도 춘천시 후석로 ***, *층 (후평동)","24282","행복나무 교육문화원","2019-10-22 17:09:26","I","2023-06-13 00:00:00","","266012.799105348","486396.096576303","0","0","0","",
"278","방문판매업","08_26_02_P","4181000","2018418027723200004","2018-02-22","","03","폐업","03","폐업처리","2023-04-19","","","","033-261-0715","","","강원특별자치도 춘천시 소양로*가 ***번지 *호 KT춘천지사","강원특별자치도 춘천시 금강로 **, KT춘천지사 *층 (소양로*가)","24272","(주)양림테크놀러지","2023-04-28 14:38:16","I","2023-06-13 00:00:00","","263605.961099524","486906.492426088","20000000","0","20000000","",
"279","방문판매업","08_26_02_P","4181000","2009418016623200045","2009-12-10","","03","폐업","03","폐업처리","2014-02-19","","","","","","200-150","강원특별자치도 춘천시 우두동 ****번지","강원특별자치도 춘천시 충열로 **-** (우두동)","","윤선생 영어숲 강북캠퍼스","2014-02-19 09:20:52","I","2023-06-13 00:00:00","","264060.869508932","488888.937693759","0","0","0","",
"280","방문판매업","08_26_02_P","4181000","2009418016623200046","2009-12-09","","03","폐업","03","폐업처리","2012-09-28","","","","033-254-3450","","200-043","강원특별자치도 춘천시 중앙로*가 **번지 *호","강원특별자치도 춘천시 중앙로 **-* (중앙로*가)","","토르마린","2012-09-28 10:22:44","I","2023-06-13 00:00:00","","263650.81752378","486329.135106224","0","0","0","",
"281","방문판매업","08_26_02_P","4181000","2014418027723200008","2014-10-15","","03","폐업","03","폐업처리","2022-02-17","","","","070-4991-2270","","","강원특별자치도 춘천시 퇴계동 ***번지 *호","강원특별자치도 춘천시 퇴계공단*길 ** (퇴계동)","24427","(주) 강원네트웍스","2022-02-24 09:42:31","I","2023-06-13 00:00:00","","265027.778655593","482873.963107103","160069968","1383000","160000000","",
"282","방문판매업","08_26_02_P","4181000","2014418027723200010","2014-10-30","","03","폐업","03","폐업처리","2015-05-07","","","","033-251-7381","","","","강원특별자치도 춘천시 경춘로 **** (온의동, *층)","200-938","미래쇼핑몰","2015-05-07 20:08:35","I","2023-06-13 00:00:00","","263297.231644072","484808.077816798","0","0","0","",
"283","방문판매업","08_26_02_P","4181000","2014418027723200012","2014-11-20","","03","폐업","03","폐업처리","2015-01-20","","","","033-244-0997","","","","강원특별자치도 춘천시 퇴계로**번길 * (퇴계동, *층)","200-170","라온메디","2015-01-20 16:44:55","I","2023-06-13 00:00:00","","264054.358956752","484823.000806169","0","0","0","",
"284","방문판매업","08_26_02_P","4181000","2014418027723200013","2014-12-11","","03","폐업","03","폐업처리","2015-04-14","","","","","","","","강원특별자치도 춘천시 퇴계로 ***, ***동 ***호 (퇴계동, 퇴계(*)주공아파트)","200-760","와이지프라자 (YG Plaza)","2015-04-14 10:14:41","I","2023-06-13 00:00:00","","264783.778694083","484331.700191467","0","0","0","",
"285","방문판매업","08_26_02_P","4181000","2017418027723200014","2017-07-27","","03","폐업","03","폐업처리","2018-11-07","","","","033-241-7772","","","","강원특별자치도 춘천시 성심로 **, ***호 (효자동)","24294","두리통신","2018-11-07 09:38:26","I","2023-06-13 00:00:00","","265220.712483456","486259.04557291","0","0","0","",
"286","방문판매업","08_26_02_P","4181000","2017418027723200016","2017-08-04","","03","폐업","03","폐업처리","2018-02-02","","","","070-8757-6011","","","","강원특별자치도 춘천시 후석로***번길 ** (석사동)","24320","왕통신","2018-02-02 16:00:35","I","2023-06-13 00:00:00","","266301.349393283","485232.149583047","0","0","0","",
