"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업소구분명","소재지","지정일자","신청일자","항목값1",
"1136","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500001","2015-02-02","","01","영업/정상","11","영업","","","","","","","220-100","강원특별자치도 원주시 단계동 826","강원특별자치도 원주시 금불4길 24 (단계동)","220-100","씨유 단계부자점","2015-02-02 14:45:43","I","2023-06-13 00:00:00","","282621.099731103","427862.725122024","지정","강원특별자치도 원주시 단계동 826번지","20150202","20150130","관급봉투",
"1137","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500002","2015-04-06","","01","영업/정상","11","영업","","","","","","","100-013","서울특별시 중구 충무로3가 60-1","서울특별시 중구 퇴계로 173 (충무로3가)","100-013","(주)에브리데이리테일","2016-09-30 09:50:35","I","2023-06-13 00:00:00","","199145.32420106","451040.432662092","지정","강원특별자치도 원주시 단계동 68번지 3호","20150406","20150406","관급봉투",
"1138","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500003","2015-04-30","","01","영업/정상","11","영업","","","","","","","","","강원특별자치도 원주시 삼광2길 15 (봉산동)","220-950","예스마트","2015-04-30 13:25:41","I","2023-06-13 00:00:00","","285515.372142765","427134.124462329","지정","","20150430","20150430","관급봉투",
"1139","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500004","2015-04-30","","01","영업/정상","11","영업","","","","","747-4355","","220-772","강원특별자치도 원주시 단구동 223-1","","","치악청과마트","2015-04-30 15:23:09","I","2023-06-13 00:00:00","","285107.912235279","426332.77495312","지정","강원특별자치도 원주시 단구동 223번지 1호","20150430","20150430","관급봉투",
"1140","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500005","2015-05-07","","01","영업/정상","11","영업","","","","","","","","","강원특별자치도 원주시 무실로 380 (무실동)","220-150","미니스톱원주무실부영점","2025-02-20 14:52:35","U","2025-02-22 02:40:00","","282127.811669872","425883.577691282","종료","","20150507","20150507","관급봉투",
"1141","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500006","2015-05-20","","01","영업/정상","11","영업","","","","","","","220-130","강원특별자치도 원주시 우산동 291-19","강원특별자치도 원주시 우산로 4 (우산동)","220-130","대성전기철물","2016-10-11 14:35:28","I","2023-06-13 00:00:00","","282850.388900803","429674.080616294","지정","강원특별자치도 원주시 우산동 291번지 19호","20150520","20150519","관급봉투",
"1142","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500007","2015-05-27","","01","영업/정상","11","영업","","","","","","","220-100","강원특별자치도 원주시 단계동 1095-1","강원특별자치도 원주시 봉화로 65, 01호 (단계동, 이편한세상APT 제상가동 지하)","220-100","GS25원주이편한점","2015-05-27 11:09:05","I","2023-06-13 00:00:00","","282068.426658549","428070.191734705","지정","강원특별자치도 원주시 단계동 1095번지 1호","20150527","20150526","관급봉투",
"1143","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500008","2015-06-03","","01","영업/정상","11","영업","","","","","","","","","강원특별자치도 원주시 무실로 415 (무실동)","220-150","미니스톱원주무실세영점","2025-02-20 14:53:47","U","2025-02-22 02:40:00","","282436.573096592","425558.845068323","종료","","20150603","20150603","관급봉투",
"1144","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500009","2015-06-01","","01","영업/정상","11","영업","","","","","","","","","강원특별자치도 원주시 행구로 84 (봉산동, 삼익아파트 상가)","220-782","삼오슈퍼","2015-06-04 14:29:46","I","2023-06-13 00:00:00","","285549.818303034","427007.34995277","지정","","20150601","20150601","관급봉투",
"1145","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500010","2015-06-08","","01","영업/정상","11","영업","","","","","","","","","강원특별자치도 원주시 능라동길 65, 106동 1호 (무실동)","220-150","GS 원주법원점","2022-06-17 17:26:34","I","2023-06-13 00:00:00","","282412.949162386","426126.146047135","지정","무실동 (휴먼타워)","20150608","20150608","관급봉투",
"1146","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500011","2015-06-09","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 원주시 단계동 1115-3 성우프라자","강원특별자치도 원주시 천사로 12, 성우프라자 1층 108호 (단계동)","26437","세븐일레븐 원주단계제일점","2022-05-03 08:05:15","I","2023-06-13 00:00:00","","282056.56954552","427706.667298414","지정","강원특별자치도 원주시 단계동 1115번지 3호","20150609","20150609","관급봉투",
"1147","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500012","2015-06-22","","01","영업/정상","11","영업","","","","","033-761-8283","","220-943","강원특별자치도 원주시 단구동 1465-6","강원특별자치도 원주시 송림길 48-5 (단구동)","220-943","대창철물","2015-06-22 14:59:23","I","2023-06-13 00:00:00","","284360.391535287","425957.000316653","지정","강원특별자치도 원주시 단구동 1465번지 6호","20150622","20150622","관급봉투",
"1148","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500013","2015-06-29","","01","영업/정상","11","영업","","","","","","","220-100","강원특별자치도 원주시 단계동 1098-9","강원특별자치도 원주시 백간공원길 21 (단계동)","220-100","CU 원주봉화산점","2015-06-29 10:26:13","I","2023-06-13 00:00:00","","281982.167657885","427924.625211776","지정","강원특별자치도 원주시 단계동 1098번지 9호","20150629","20150626","관급봉투",
"1149","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500015","2015-07-23","","01","영업/정상","11","영업","","","","","","","220-090","강원특별자치도 원주시 단구동 1512-3","강원특별자치도 원주시 서원대로 410 (단구동)","220-090","지에스25 원주으뜸점","2025-06-30 14:30:22","U","2025-07-02 02:40:00","","284152.113549263","425730.460245435","지정","강원특별자치도 원주시 단구동 1512번지 3호","20150723","20150723","관급봉투",
"1150","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199460014","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-140","강원특별자치도 원주시 가현동 1160","","","정산고개상회","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","정산2리","","19941231","관급봉투",
"1151","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199470001","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-820","강원특별자치도 원주시 지정면 간현리 874-1","","","오성상회","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","","","","","관급봉투",
"1152","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199490015","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-140","강원특별자치도 원주시 가현동 1004 1  통1  반","","","평창상회","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","","","19941231","관급봉투",
"1153","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199490022","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-140","강원특별자치도 원주시 가현동 000","","","소초농협지소","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","장양4리","","19941231","관급봉투",
"1154","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199490023","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-140","강원특별자치도 원주시 가현동 1293-19","","","무궁화슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","장양5리","","19941231","관급봉투",
"1155","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199490024","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-140","강원특별자치도 원주시 가현동 1293-34","","","슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","장양5리","","19941231","관급봉투",
"1156","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199490026","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-140","강원특별자치도 원주시 가현동 000","","","s마트","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","s마트","","19941231","관급봉투",
"1157","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199490027","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-140","강원특별자치도 원주시 가현동 000","","","36사관리소","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","흥양1리","","19941231","관급봉투",
"1158","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199490029","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-140","강원특별자치도 원주시 가현동 764 2  통2  반","","","음식점","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","흥양2리","","19941231","관급봉투",
"1159","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199490031","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-140","강원특별자치도 원주시 가현동 1475","","","잡화","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","수암1리","","19941231","관급봉투",
"1160","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199490032","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-140","강원특별자치도 원주시 가현동 750","","","슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","281354.19228338","431442.656240709","지정","평장1리","","19941231","관급봉투",
"1161","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199490034","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-830","강원특별자치도 원주시 소초면 교항리 000","","","김성열","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","장양4리","","19941231","관급봉투",
"1162","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199490035","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-140","강원특별자치도 원주시 가현동 153-11","","","장미휴게소","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","학곡1리","","19941231","관급봉투",
"1163","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199519072","1995-03-25","","01","영업/정상","11","영업","","","","","","","220-130","강원특별자치도 원주시 우산동 120-8","","","홈런슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","우산동 120-8","","19950325","관급봉투",
"1164","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199519074","1995-04-16","","01","영업/정상","11","영업","","","","","","","220-130","강원특별자치도 원주시 우산동 203-3","","","요한슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","우산동 203-3","","19950416","관급봉투",
"1165","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199519075","1995-10-01","","01","영업/정상","11","영업","","","","","","","220-130","강원특별자치도 원주시 우산동 99-1","","","삼도유통","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","우산동 99-1","","19951001","관급봉투",
"1166","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400023","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 동화리","","","동화1리 구판장","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","동화1리","","19941231","관급봉투",
"1167","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400025","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 포진리 469","","","잡화","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","","","","","관급봉투",
"1168","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400026","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 동화리 411-5","","","동화3리 구판장","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","동화리 411-5","","19941231","관급봉투",
"1169","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400027","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 포진리 469","","","잡화","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","포진1리 469","","19941231","관급봉투",
"1170","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400028","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 포진리","","","남정슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","","","","","관급봉투",
"1171","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400029","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 후용리 656-2","","","구판장","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","후용리 656-2","","19941231","관급봉투",
"1172","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400030","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 건등리 비두1리 1007","","","식품.잡화","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","비두1리","","19941231","관급봉투",
"1173","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400031","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 비두리 1849","","","구판장","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","비두리 1849","","19941231","관급봉투",
"1174","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400033","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 건등리 건등3리 덕원아파트","","","덕원상가 식.잡","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","건등4리","","19941231","관급봉투",
"1175","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400034","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 건등리","","","대보상가슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","건등4리 대보아파트","","19941231","관급봉투",
"1176","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400036","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 동화리 1534-1","","","잡화","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","동화리 1534-1","","19941231","관급봉투",
"1177","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400037","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 동화리 1530-2","","","아파트관리소","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","동화리 1530-2","","19941231","관급봉투",
"1178","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400038","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 동화리 173-4","","","잡화","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","동화리 173-4","","19941231","관급봉투",
"1179","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400039","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 대둔리 33","강원특별자치도 원주시 문막읍 원문로 2618-15","","대둔상회","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","268232.15773986","419472.781786865","지정","대둔리 33","","19941231","관급봉투",
"1180","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199400040","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-800","강원특별자치도 원주시 문막읍 포진리 85","","","그린슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","272564.992156117","420611.243389225","지정","포진4리 85","","19941231","관급봉투",
"1181","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199415047","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-090","강원특별자치도 원주시 단구동 해청아파트","","","해청슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","단구동","","19941231","관급봉투",
"1182","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199415053","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-090","강원특별자치도 원주시 단구동 688-3","","","우양유통","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","단구동","","19941231","관급봉투",
"1183","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199415056","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-090","강원특별자치도 원주시 단구동 128-17","","","삼거리 철물","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","단구동","","19941231","관급봉투",
"1184","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199415057","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-090","강원특별자치도 원주시 단구동 2/6","","","통일영외매점","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","단구동","","19941231","관급봉투",
"1185","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199416035","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-050","강원특별자치도 원주시 일산동 162-1","","","리라슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","일산동","","19941231","관급봉투",
"1186","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199416037","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-050","강원특별자치도 원주시 일산동 154-284","","","원일슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","일산동","","19941231","관급봉투",
"1187","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199416038","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-801","강원특별자치도 원주시 문막읍 건등리 1477-1","강원특별자치도 원주시 문막읍 건등로 70","220-801","원주축협문막지점","2014-08-14 18:04:50","I","2023-06-13 00:00:00","","272912.892126908","424015.32582032","지정","일산동","","19941231","관급봉투",
"1188","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199416039","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-050","강원특별자치도 원주시 일산동 355-1","","","원흥2차아파트관리소","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","일산동","","19941231","관급봉투",
"1189","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199416040","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-050","강원특별자치도 원주시 일산동 352-9","","","강원양봉협동조합","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","일산동","","19941231","관급봉투",
"1190","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199416041","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-050","강원특별자치도 원주시 일산동 226","","","안동상회","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","일산동","","19941231","관급봉투",
"1191","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199417001","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-030","강원특별자치도 원주시 학성동 973","","","신세계슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","학성동 973","","19941231","관급봉투",
"1192","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199417002","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-030","강원특별자치도 원주시 학성동 1073-30","","","영흥슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","학성동 1073-30","","19941231","관급봉투",
"1193","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199417004","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-030","강원특별자치도 원주시 학성동 969-1","","","아진슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","학성동 969-1","","19941231","관급봉투",
"1194","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199417007","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-030","강원특별자치도 원주시 학성동 1  통4  반","","","부부슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","학성동 1/4","","19941231","관급봉투",
"1195","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199417008","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-030","강원특별자치도 원주시 학성동 6  통4  반","","","복석슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","학성동 6/4","","19941231","관급봉투",
"1196","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199417009","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-030","강원특별자치도 원주시 학성동 13 통3  반","","","일호상회","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","학성동 13/4","","19941231","관급봉투",
"1197","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014199417012","1994-12-31","","01","영업/정상","11","영업","","","","","","","220-030","강원특별자치도 원주시 학성동 1032-9","","","삼천리2차슈퍼","2007-07-21 10:43:23","I","2023-06-13 00:00:00","","","","지정","학성동 1032-9","","19941231","관급봉투",
"1198","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500016","2015-07-30","","01","영업/정상","11","영업","","","","","","","","","강원특별자치도 원주시 시청로 25, 1층 (무실동)","220-150","GS25영서본부점","2015-07-30 10:14:40","I","2023-06-13 00:00:00","","281728.363720447","426889.616941786","지정","","20150730","20150730","관급봉투",
"1199","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500017","2015-08-03","","01","영업/정상","11","영업","","","","","","","","","강원특별자치도 원주시 은행정길 71 (무실동)","26395","유한산업","2015-08-03 10:09:26","I","2023-06-13 00:00:00","","281865.810555774","423938.605692955","지정","","20150803","20150803","관급봉투",
"1200","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500018","2015-08-24","","01","영업/정상","11","영업","","","","","033-764-3071","","","강원특별자치도 원주시 단구동 179-47","강원특별자치도 원주시 치악로1614번길 19 (단구동)","26451","아세아전설","2015-08-24 13:30:49","I","2023-06-13 00:00:00","","285220.202113953","425494.19373282","지정","강원특별자치도 원주시 단구동 179번지 47호","20150824","20150818","관급봉투",
"1201","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500019","2015-09-15","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 원주시 단계동 787-1","강원특별자치도 원주시 단구로 17 (단계동)","26424","씨유원주단계한남","2015-09-15 09:24:41","I","2023-06-13 00:00:00","","282866.267422875","427572.590994185","지정","강원특별자치도 원주시 단계동 787번지 1호","20150915","20150914","관급봉투",
"1202","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500020","2015-10-05","","01","영업/정상","11","영업","","","","","","","","","강원특별자치도 원주시 이화3길 13, 1층 (단계동)","26476","위드미 원주 이화점","2015-10-05 13:19:37","I","2023-06-13 00:00:00","","282676.481671167","426551.667343879","지정","","20151005","20151005","관급봉투",
"1203","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500021","2015-10-06","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 원주시 우산동 127-17","강원특별자치도 원주시 북원로2425번길 25-1 (우산동)","26407","다모인마트폴리텍점","2015-10-06 11:56:18","I","2023-06-13 00:00:00","","283078.081851096","429276.6352291","지정","강원특별자치도 원주시 우산동 127-17번지","20151006","20151006","관급봉투",
"1204","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500023","2015-10-22","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 원주시 우산동 333-44","강원특별자치도 원주시 진광길 26 (우산동)","26337","씨유 우산동보점","2015-10-22 14:22:21","I","2023-06-13 00:00:00","","283158.377231798","430419.055357906","지정","강원특별자치도 원주시 우산동 333번지 44호","20151022","20151022","관급봉투",
"1205","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500024","2015-11-09","","01","영업/정상","11","영업","","","","","","","","","강원특별자치도 원주시 한지공원길 208 (무실동)","26478","그린철물","2015-11-09 10:00:21","I","2023-06-13 00:00:00","","282529.299563862","426654.355698863","지정","","20151109","20151109","관급봉투",
"1206","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500026","2015-12-01","","01","영업/정상","11","영업","","","","","","","","","강원특별자치도 원주시 치악로 1750 (개운동)","26444","위드미 원주개운점","2015-12-01 15:12:16","I","2023-06-13 00:00:00","","284681.964116993","426725.520157046","지정","","20151201","20151201","관급봉투",
"1207","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500027","2015-12-08","","01","영업/정상","11","영업","","","","","","","","","강원특별자치도 원주시 솔우물2길 35-2 (무실동)","26394","(주)새롬마트","2015-12-08 09:19:34","I","2023-06-13 00:00:00","","282486.477003","425279.325467889","지정","","20151208","20151207","관급봉투",
"1208","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500028","2015-12-15","","01","영업/정상","11","영업","","","","","","","","","강원특별자치도 원주시 백간길 16-1 (단계동, 원주봉화산주공아파트)","26421","GS25원주요진점","2015-12-15 16:16:42","I","2023-06-13 00:00:00","","281908.768567095","428052.919627484","지정","상가동1층105,106호","20151215","20151215","관급봉투",
"1209","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500029","2015-12-22","","01","영업/정상","11","영업","","","","","0337631311","","","강원특별자치도 원주시 단구동 1478-1 103호","강원특별자치도 원주시 치악로1524번길 6, 103호 (단구동)","26452","땡큐마트","2015-12-22 16:49:33","I","2023-06-13 00:00:00","","285572.80400658","424740.224260062","지정","강원특별자치도 원주시 단구동 1478번지 1호 103호","20151222","20151222","관급봉투",
"1210","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500030","2015-12-30","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 원주시 단계동 128-56","강원특별자치도 원주시 원문로 107-12 (단계동)","26411","태양전기","2015-12-30 11:35:25","I","2023-06-13 00:00:00","","282777.950023795","428595.028140433","지정","강원특별자치도 원주시 단계동 128번지 56호","20151230","20151230","관급봉투",
"1211","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500031","2015-10-07","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 원주시 우산동 200-1","강원특별자치도 원주시 상지대길 57 (우산동)","26340","위드미 상지대점","2016-07-26 10:01:39","I","2023-06-13 00:00:00","","282852.115716467","430152.884950228","지정","강원특별자치도 원주시 우산동 200번지 1호","20151007","20151007","관급봉투",
"1212","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201500032","2015-09-25","","01","영업/정상","11","영업","","","","","0337616307","","","강원특별자치도 원주시 개운동 322 개운현대아파트","강원특별자치도 원주시 남원로612번길 9, 개운현대아파트 (개운동)","26446","제일유통","2025-10-23 14:07:47","U","2025-10-25 02:40:00","","284286.60791058","426503.885165892","지정","","20231026","20231026","관급봉투",
"1213","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201600001","2016-01-08","","01","영업/정상","11","영업","","","","","","","","","강원특별자치도 원주시 만대로 92, 상가동 101호 (무실동, 원주무실5주공아파트 상가)","26386","GS 원주만대로점","2016-01-08 15:38:56","I","2023-06-13 00:00:00","","281260.089799513","426627.376034679","지정","","20160108","20160108","관급봉투",
"1214","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201600002","2016-01-12","","01","영업/정상","11","영업","","","","","033-747-7800","","","","강원특별자치도 원주시 백간공원길 29 (단계동)","26421","봉화산 후레쉬마트","2016-01-12 17:28:41","I","2023-06-13 00:00:00","","281932.027232043","428008.583477843","지정","","20160112","20160111","관급봉투",
"1215","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201600003","2016-01-25","","01","영업/정상","11","영업","","","","","033-735-8540","","","서울특별시 강서구 등촌동 639-11 삼성홈플러스 강서점","서울특별시 강서구 화곡로 398 (등촌동, 삼성홈플러스강서점)","07567","홈플러스(주)","2024-04-11 15:57:33","U","2024-04-13 02:40:00","","187119.948165892","450691.593173724","지정","강원특별자치도 원주시 관설동 1453번지","20160125","20160120","관급봉투",
