"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분","건축물명","건축물연면적","건축물상태명","청소대상시작일자","청소대상종료일자","휴업폐지사유","업무구분명",
"74","저수조청소업","09_30_14_P","4191000","419100031200700001","2016-10-06","","01","영업/정상","11","정상","","","","","033-766-4607","","","강원특별자치도 원주시 반곡동 ****-*","강원특별자치도 원주시 반곡길 ***-*, *층 (반곡동)","26457","(주)녹색","2025-10-27 15:19:36","U","2025-10-29 02:40:00","","286027.189988439","425687.950617617","31","","0","","","","","저수조청소업",
"75","저수조청소업","09_30_14_P","4191000","419100031200900002","2014-05-20","","01","영업/정상","11","정상","","","","","731-6333","","","강원특별자치도 원주시 평원동 ***-* ***호","강원특별자치도 원주시 풍물시장길 **, ***호 (평원동)","26430","(합)중앙","2023-05-18 18:42:41","I","2023-06-13 00:00:00","","284468.488108084","427804.607226191","31","","0","","","","","저수조청소업",
"76","저수조청소업","09_30_14_P","4191000","419100031200900003","2009-08-27","","01","영업/정상","11","정상","","","","","746-0807","","","강원특별자치도 원주시 단계동 ***-*","강원특별자치도 원주시 이화*길 ** (단계동)","","하이크린","2023-11-14 16:41:08","U","2023-11-16 02:40:00","","282740.857727645","426669.417979124","31","","0","","","","","저수조청소업",
"77","저수조청소업","09_30_14_P","4191000","419100031200900004","2014-12-16","","01","영업/정상","11","정상","","","","","765-0406","","","강원특별자치도 원주시 개운동 ***-**","강원특별자치도 원주시 도말리길 **-** (개운동)","","국제환경기술","2023-08-22 13:26:29","U","2023-08-24 02:40:00","","284707.185341703","427098.653841345","31","","0","","","","","저수조청소업",
"78","저수조청소업","09_30_14_P","4191000","419100031201400007","2014-11-14","","01","영업/정상","11","정상","","","","","033-748-5891","","","강원특별자치도 원주시 단구동 ****-**","강원특별자치도 원주시 천매봉길 ***-*, *층 (단구동)","26483","(주)더피플","2023-05-15 14:07:18","I","2023-06-13 00:00:00","","283724.141726471","425486.67039459","31","","0","","","","","저수조청소업",
"79","저수조청소업","09_30_14_P","4191000","419100031201500002","2015-07-31","","01","영업/정상","11","정상","","","","","070-7075-6600","","","강원특별자치도 원주시 판부면 ****-** ***호호","강원특별자치도 원주시 판부면 매봉길 **-**, ***호","","주식회사 에스에이치원","2025-02-20 09:56:26","U","2025-02-22 02:40:00","","283613.972323403","424644.99600432","31","","0","","","","","저수조청소업",
"80","저수조청소업","09_30_14_P","4191000","419100031201600002","2016-03-09","","01","영업/정상","11","정상","","","","","033-764-9192","","","강원특별자치도 원주시 단계동 ***-*","강원특별자치도 원주시 이화*길 **-** (단계동)","","(주)위즈피플","2021-12-20 11:15:59","I","2023-06-13 00:00:00","","282779.969496573","427042.244090785","31","","0","","","","","저수조청소업",
"81","저수조청소업","09_30_14_P","4191000","419100031201500001","2015-01-28","","01","영업/정상","11","정상","","","","2021-04-06","033-765-6080","","","강원특별자치도 원주시 중앙동 **-* *층 *호","강원특별자치도 원주시 중앙로 ***, *층 *호 (중앙동)","26428","강원고령자사회적협동조합","2023-11-14 15:59:47","U","2023-11-16 02:40:00","","284064.894485775","428092.745087721","31","","0","","","","시설 및 장비 개선후 영업 재개","저수조청소업",
"82","저수조청소업","09_30_14_P","4191000","419100031201700001","2017-02-28","","01","영업/정상","11","정상","","","","","0337666631","","","강원특별자치도 원주시 무실동 ****-*","강원특별자치도 원주시 행가리*길 **, *층 ***호 (무실동)","26396","가나환경","2024-07-26 16:03:24","U","2024-07-28 02:40:00","","281001.086170799","424327.908793349","31","","0","","","","","저수조청소업",
"83","저수조청소업","09_30_14_P","4191000","419100031201600005","2016-11-16","","01","영업/정상","11","정상","","","","","0337654046","","","강원특별자치도 원주시 단구동 ***-** 신세기타워","강원특별자치도 원주시 서원대로 ***, 신세기타워 **층 *호 (단구동)","26450","(주)비엠코리아","2023-02-24 19:15:18","I","2023-06-13 00:00:00","","284965.3476224","425222.030678029","31","","0","","","","","저수조청소업",
"84","저수조청소업","09_30_14_P","4191000","419100031201700003","2020-03-11","","01","영업/정상","11","정상","","","","2020-03-09","0337316080","","","강원특별자치도 원주시 학성동 ***-*","강원특별자치도 원주시 원일로 ***, *층 (학성동)","26415","원주노인사회적협동조합","2025-06-19 16:36:45","U","2025-06-21 02:40:00","","283763.767084552","428344.838285903","31","","0","","","","휴업: 2019.04.09. ~ 2020.03.08.","저수조청소업",
"85","저수조청소업","09_30_14_P","4191000","419100031201900001","2019-05-07","","01","영업/정상","11","정상","","","","","033-765-9880","","","강원특별자치도 원주시 단구동 ****-* 원주프리미엄아울렛","강원특별자치도 원주시 서원대로 ***, 원주프리미엄아울렛 ***~***호 (단구동)","26487","(주)대신주택관리","2023-08-18 11:12:49","U","2023-08-20 02:40:00","","284818.874360771","425225.032426821","31","","0","","","","","저수조청소업",
"86","저수조청소업","09_30_14_P","4191000","419100031201800001","2018-10-08","","01","영업/정상","11","정상","","","","","033-766-4471","","","강원특별자치도 원주시 단구동 ***-* *층","강원특별자치도 원주시 단사정길 **, *층 (단구동)","26451","클라임매니지먼트 주식회사","2025-10-21 11:10:08","U","2025-10-23 02:40:00","","285098.903911142","425717.979098634","31","","0","","","","","저수조청소업",
"87","저수조청소업","09_30_14_P","4191000","419100031201800002","2020-07-28","","01","영업/정상","11","정상","","","","","033-733-8787","","","강원특별자치도 원주시 원동 ***-*","강원특별자치도 원주시 무실로 *** (원동)","26438","씨앤씨","2025-10-17 11:14:39","U","2025-10-19 02:40:00","","283528.624513118","427275.267994392","31","","0","","","","","저수조청소업",
"88","저수조청소업","09_30_14_P","4191000","419100031202000002","2020-12-01","","01","영업/정상","11","정상","","","","","033-763-7448","","","강원특별자치도 원주시 단구동 ****-* *층","강원특별자치도 원주시 천매봉길 ***-*, *층 (단구동)","26483","중앙환경","2024-12-24 09:23:08","U","2024-12-27 02:40:00","","283749.538363919","425460.390200677","31","","0","","","","","저수조청소업",
"89","저수조청소업","09_30_14_P","4191000","419100031202100002","2022-01-03","","01","영업/정상","11","정상","","","","","033-746-4876","","","강원특별자치도 원주시 단계동 ***-*","강원특별자치도 원주시 단구로 **, *층 (단계동)","26424","에버그린환경","2023-06-21 09:35:35","U","2023-06-23 02:40:00","","282989.45071785","427351.962172572","31","","0","","","","","저수조청소업",
"90","저수조청소업","09_30_14_P","4191000","419100031202000001","2021-07-14","","01","영업/정상","11","정상","","","","","0337659046","","","강원특별자치도 원주시 소초면 흥양리 ***-*","강원특별자치도 원주시 소초면 황골로 ***-*","26310","우림청정방역","2025-10-28 13:03:52","U","2025-10-30 02:40:00","","288734.297037417","429685.252364107","31","","0","","","","","저수조청소업",
"91","저수조청소업","09_30_14_P","4191000","419100031202500001","2025-09-25","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 원주시 단계동 ***-* 지하*층","강원특별자치도 원주시 이화*길 **-*, 지하*층 (단계동)","26476","(주)크렉스강원","2025-09-29 09:12:34","I","2025-10-01 00:20:02","","282681.91052285","426624.366629561","31","","0","","","","","저수조청소업",
"92","저수조청소업","09_30_14_P","4191000","419100031202300001","2023-11-06","","01","영업/정상","11","정상","","","","","0337643066","","","강원특별자치도 원주시 태장동 ****-*","강원특별자치도 원주시 북원로 **** (태장동)","26316","원클린","2023-11-06 12:42:29","I","2023-11-08 00:17:19","","283918.26150497","432018.331485206","31","","0","","","","","저수조청소업",
"93","저수조청소업","09_30_14_P","4191000","419100031202400001","2024-11-19","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 원주시 지정면 신평리 ***-*","강원특별자치도 원주시 지정면 신무로 **-*, *층","26348","올크린","2024-11-20 15:02:37","I","2024-11-22 00:12:13","","279567.331726795","428985.050326803","31","","0","","","","","저수조청소업",
"94","저수조청소업","09_30_14_P","4191000","419100031199400001","2007-12-26","","03","폐업","2","폐업","2024-12-26","","","","766-2121","","","강원특별자치도 원주시 단구동 ***-*","강원특별자치도 원주시 홍판서길 ** (단구동)","","강원환경","2025-01-02 10:50:49","U","2025-01-04 02:40:00","","285245.180594786","425346.313193954","31","","0","","","","건강상 이유","저수조청소업",
"95","저수조청소업","09_30_14_P","4191000","419100031201400004","2015-07-06","","03","폐업","2","폐업","2015-08-21","","","","747-7673","","","강원특별자치도 원주시 관설동 ****-** B**호","강원특별자치도 원주시 치악고교길 * (관설동, B**호)","","한미이엔텍","2015-08-24 18:14:36","I","2023-06-13 00:00:00","","284897.903488508","424239.910077396","31","","0","","","","기술인력 퇴사 및 수급부족","저수조청소업",
"96","저수조청소업","09_30_14_P","4191000","419100031201400005","2014-09-01","","03","폐업","2","폐업","2019-12-17","","","","033-742-6431","","","강원특별자치도 원주시 호저면 만종리 ***-*","강원특별자치도 원주시 호저면 우무개로 ***","26349","(주)삼성환경엔지니어링","2019-12-17 09:43:58","I","2023-06-13 00:00:00","","280935.024259656","429774.133074899","31","","0","","","","사업 부진","저수조청소업",
"97","저수조청소업","09_30_14_P","4191000","419100031201400006","2016-07-14","","03","폐업","2","폐업","2019-11-08","","","","033-761-0765","","","강원특별자치도 원주시 판부면 서곡리 **","강원특별자치도 원주시 판부면 서곡길 ***","","하나그린(주)","2019-11-08 09:23:20","I","2023-06-13 00:00:00","","284017.044448083","423061.285897885","31","","0","","","","사업 부진","저수조청소업",
"98","저수조청소업","09_30_14_P","4191000","419100031199500002","2009-08-05","","03","폐업","2","폐업","2020-04-13","","","","742-2071","","","강원특별자치도 원주시 판부면 서곡리 ****-*","강원특별자치도 원주시 판부면 매봉길 *-*","","(합)국제종합관리","2020-04-13 09:31:41","I","2023-06-13 00:00:00","","283387.189323411","424758.977963884","31","","0","","","","경영상의 어려움","저수조청소업",
"99","저수조청소업","09_30_14_P","4191000","419100031200900009","2009-12-14","","03","폐업","2","폐업","2012-09-25","","","","033-746-3703","","","강원특별자치도 원주시 개운동 ***-**","강원특별자치도 원주시 개운로 ** (개운동)","","(합)깨끗한환경산업","2015-03-10 20:36:44","I","2023-06-13 00:00:00","","284930.386430937","426769.341135321","31","","0","","","","소재지변경 됨.
2015.03.10. 담당자 최무웅 전산확인중 전산미처리되어 폐업처리함","저수조청소업",
"100","저수조청소업","09_30_14_P","4191000","419100031201000002","2010-04-13","","03","폐업","2","폐업","2019-04-12","","","","7629885","","","강원특별자치도 원주시 단구동 ****-* 프리미엄아울렛 ***","강원특별자치도 원주시 서원대로 *** (단구동,프리미엄아울렛 ***)","","(합)대 흥","2019-04-12 11:03:42","I","2023-06-13 00:00:00","","284775.941058548","425254.181538113","31","","0","","","","","저수조청소업",
"101","저수조청소업","09_30_14_P","4191000","419100031201000004","2013-03-13","","03","폐업","2","폐업","2013-03-13","","","","033-732-4531","","","강원특별자치도 원주시 흥업면 사제리 ****","강원특별자치도 원주시 흥업면 팔포길 **","","자)광천환경산업","2015-01-05 21:13:17","I","2023-06-13 00:00:00","","277603.543252227","426437.752712344","31","","0","","","","영업부진","저수조청소업",
"102","저수조청소업","09_30_14_P","4191000","419100031201100001","2017-03-28","","03","폐업","2","폐업","2022-12-15","","","","033-744-0455","","","강원특별자치도 원주시 반곡동 ****-*","강원특별자치도 원주시 혁신로 **, A동 *층 ***호 (반곡동)","","창성이엔씨(주)","2022-12-15 13:56:03","I","2023-06-13 00:00:00","","286530.401496353","425229.266366716","31","","0","","","","","저수조청소업",
"103","저수조청소업","09_30_14_P","4191000","419100031201400002","2014-05-19","","03","폐업","2","폐업","2022-01-25","","","","033-762-1073","","","강원특별자치도 원주시 단구동 ****-*","강원특별자치도 원주시 천매봉길 **-**, ***호 (단구동)","26483","(주)선진하우징","2022-01-27 09:44:37","I","2023-06-13 00:00:00","","283550.019671907","425070.26290751","31","","0","","","","인력수급 어려움과 실적부진등의 사유","저수조청소업",
"104","저수조청소업","09_30_14_P","4191000","419100031200100002","2016-09-29","","03","폐업","2","폐업","2024-10-02","","","","761-8323","","","강원특별자치도 원주시 단계동 ***-**","강원특별자치도 원주시 단구로**번길 *, *층 (단계동)","","그린피아","2024-10-02 16:32:43","U","2024-10-05 02:40:00","","283011.503004488","427450.053522217","31","","0","","","","영업부진","저수조청소업",
"105","저수조청소업","09_30_14_P","4191000","419100031200200001","2014-02-06","","03","폐업","2","폐업","2021-12-28","","","","764-9192","","","강원특별자치도 원주시 단계동 ***-*","강원특별자치도 원주시 이화*길 ** (단계동)","","(주)에이치앤이","2021-12-28 21:04:03","I","2023-06-13 00:00:00","","282779.969496573","427042.244090785","31","","0","","","","법인폐업에 따른 폐업","저수조청소업",
"106","저수조청소업","09_30_14_P","4191000","419100031200300001","2016-06-29","","03","폐업","2","폐업","2025-05-27","","","","764-7796","","","강원특별자치도 원주시 학성동 ***-* (*층)","강원특별자치도 원주시 송계*길 ** (학성동)","","(주)진산기업","2025-05-27 14:36:13","U","2025-05-29 02:40:00","","283133.556056571","428862.185686343","31","","0","","","","사업부진","저수조청소업",
"107","저수조청소업","09_30_14_P","4191000","419100031200400001","2009-05-13","","03","폐업","2","폐업","2009-05-13","","","","033-731-6332","","","강원특별자치도 원주시 평원동 ***-*","강원특별자치도 원주시 풍물시장길 **  (평원동)","","(자)대부연보안공사","2015-01-05 21:13:17","I","2023-06-13 00:00:00","","284468.488108084","427804.607226191","31","","0","","","","사업장 폐지로 인한 폐업","저수조청소업",
"108","저수조청소업","09_30_14_P","4191000","419100031200400003","2015-03-16","","03","폐업","2","폐업","2020-10-29","","","","765-6534","","","강원특별자치도 원주시 인동 **-*","강원특별자치도 원주시 치악로 **** (인동)","","산수종합건설환경","2020-10-29 13:29:17","I","2023-06-13 00:00:00","","284541.42397837","427523.49369444","31","","0","","","","개인사정","저수조청소업",
"109","저수조청소업","09_30_14_P","4191000","419100031200400005","2004-06-22","","03","폐업","2","폐업","","","","","","","","강원특별자치도 원주시 태장동 ****-*","","","동해산업","2015-01-05 21:13:17","I","2023-06-13 00:00:00","","283481.95563623","431598.242037181","31","","0","","","","경영악화","저수조청소업",
"110","저수조청소업","09_30_14_P","4191000","419100031200600001","2013-04-01","","03","폐업","2","폐업","2021-12-16","","","","033)747-9992","","","강원특별자치도 원주시 단계동 ***-*","강원특별자치도 원주시 이화*길 ** (단계동)","","제일종합환경","2022-01-20 15:24:10","I","2023-06-13 00:00:00","","282768.462486574","427033.400093264","31","","0","","","","경영의 어려움으로 인한 폐업","저수조청소업",
"111","저수조청소업","09_30_14_P","4191000","419100031200900001","2014-05-23","","03","폐업","2","폐업","2015-01-14","","","","0337316080","","","강원특별자치도 원주시 평원동 ***-**","강원특별자치도 원주시 평원로 ** (평원동)","","원주노인소비자생활협동조합","2015-01-15 13:29:36","I","2023-06-13 00:00:00","","284293.174096864","427975.60269805","31","","0","","","","","저수조청소업",
"112","저수조청소업","09_30_14_P","4191000","419100031200900005","2009-09-04","","03","폐업","2","폐업","2014-12-16","","","","746-0406","","","강원특별자치도 원주시 단구동 ***-*","강원특별자치도 원주시 치악로****번길 ** (단구동)","","국제환경기술","2015-03-10 20:38:57","I","2023-06-13 00:00:00","","285176.388081947","425456.92722216","31","","0","","","","소재지변경 됨.
2015.03.10. 담당자 최무웅 전산확인중 전산미처리되어 폐업처리함","저수조청소업",
"113","저수조청소업","09_30_14_P","4191000","419100031201600001","2016-03-07","","03","폐업","2","폐업","2017-10-16","","","","033-742-9977","","","강원특별자치도 원주시 단계동 ***-*","강원특별자치도 원주시 이화*길 ** (단계동)","","(주)더존환경","2017-10-17 07:31:23","I","2023-06-13 00:00:00","","282631.38","426590.605","31","","0","","","","자격증소지 직원퇴사 및 실적 저조","저수조청소업",
"114","저수조청소업","09_30_14_P","4191000","419100031201600004","2016-10-05","","03","폐업","2","폐업","2021-12-06","","","","033-743-6266","","","강원특별자치도 원주시 단계동 ***-*","강원특별자치도 원주시 이화*길 **, *층 (단계동)","","KTC서비스","2021-12-06 13:26:09","I","2023-06-13 00:00:00","","282562.107080384","426650.396917517","31","","0","","","","개인사정","저수조청소업",
"115","저수조청소업","09_30_14_P","4191000","419100031201600003","2016-09-20","","03","폐업","2","폐업","2022-01-05","","","","070-5014-1930","","","강원특별자치도 원주시 단구동 ***-*","강원특별자치도 원주시 단관공원길 ***, *층 (단구동)","","디더블유환경주식회사","2022-01-27 09:22:45","I","2023-06-13 00:00:00","","284763.348664102","424022.720555019","31","","0","","","","경영상의 어려움으로 인한 폐업","저수조청소업",
"116","저수조청소업","09_30_14_P","4191000","419100031201700002","2017-12-18","","03","폐업","2","폐업","2025-10-31","","","","033-748-9228","","","","강원특별자치도 원주시 중앙로 *** (학성동)","","(주)꽃보다 크린","2025-10-31 10:14:53","U","2025-11-02 02:40:00","","283920.371696088","428321.552357175","31","","0","","","","영업부진","저수조청소업",
"117","저수조청소업","09_30_14_P","4191000","419100031202100001","2021-08-06","","03","폐업","2","폐업","2023-11-30","","","","033-743-4330","","","강원특별자치도 원주시 반곡동 ****-*","강원특별자치도 원주시 미래로 *, 스타프라자 *층 ***호 (반곡동)","26462","(주)홍익의빛","2023-11-30 13:43:16","U","2023-12-02 02:40:00","","287212.75633018","425351.032452415","31","","0","","","","사업부진","저수조청소업",
"118","저수조청소업","09_30_14_P","4191000","419100031200400004","2007-12-21","","03","폐업","2","폐업","","","","","033-744-0088","","","강원특별자치도 원주시 단계동 ***","강원특별자치도 원주시 이화*길 **  (단계동)","","가나안종합환경","2015-01-05 21:13:17","I","2023-06-13 00:00:00","","282791.475678542","426694.472179515","31","","0","","","","사업부진","저수조청소업",
"119","저수조청소업","09_30_14_P","4201000","420100031202300003","2023-09-04","","01","영업/정상","11","정상","","","","","070-8806-6311","","","강원특별자치도 강릉시 교동 ***-**","강원특별자치도 강릉시 율곡로 ****-*, *층 *호 (교동)","25490","주식회사 비엘씨","2023-09-06 11:38:27","U","2023-09-08 02:40:00","","366641.239836276","475265.950898625","31","","0","","","","","저수조청소업",
"120","저수조청소업","09_30_14_P","4201000","420100031202300002","2023-09-04","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 강릉시 교동 ***-**","강원특별자치도 강릉시 율곡로 ****-*, *층 *호 (교동)","25490","주식회사 비엘씨","2023-09-04 10:11:45","I","2023-09-06 00:18:13","","366641.239836276","475265.950898625","31","","0","","","","","저수조청소업",
"121","저수조청소업","09_30_14_P","4201000","420100031202300004","2023-09-04","","01","영업/정상","11","정상","","","","","070-4247-5962","","","강원특별자치도 강릉시 교동 ***-**","강원특별자치도 강릉시 율곡로 ****-*, *층 *호 (교동)","25490","주식회사 푸른세상","2025-04-30 21:09:59","U","2025-05-02 02:40:00","","366641.239836276","475265.950898625","31","","0","","","","","저수조청소업",
"122","저수조청소업","09_30_14_P","4201000","420100031202300001","2023-09-04","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 강릉시 교동 ***-**","강원특별자치도 강릉시 율곡로 ****-*, *층 *호 (교동)","25490","주식회사 푸른세상","2023-09-04 10:11:41","I","2023-09-06 00:18:13","","366641.239836276","475265.950898625","31","","0","","","","","저수조청소업",
"123","저수조청소업","09_30_14_P","4201000","420100031202000001","2022-05-18","","01","영업/정상","11","정상","","","","","033-652-0099","","","강원특별자치도 강릉시 교동 ***-*","강원특별자치도 강릉시 강릉대로 *** (교동)","25526","한국용역시스템 주식회사","2025-04-14 08:48:04","U","2025-04-16 02:40:00","","365885.966275185","474191.653056669","31","","0","","","","","저수조청소업",
"124","저수조청소업","09_30_14_P","4201000","420100031201900001","2019-03-25","","01","영업/정상","11","정상","","","","","033-652-3902","","","강원특별자치도 강릉시 성산면 송암리 *","강원특별자치도 강릉시 성산면 송두길 ***-*","25446","(주)두영건설","2021-01-29 16:25:02","I","2023-06-13 00:00:00","","362230.355782347","476507.280047536","31","","0","","","","","저수조청소업",
"125","저수조청소업","09_30_14_P","4201000","420100031201900002","2019-12-24","","01","영업/정상","11","정상","","","","","033-642-8777","","","강원특별자치도 강릉시 포남동 ****-* ***호","강원특별자치도 강릉시 가작로 ***, ***호 (포남동)","25486","주식회사 사람사는세상","2024-02-07 09:17:34","U","2024-02-09 02:40:00","","368120.498644705","476025.97604774","31","","0","","","","","저수조청소업",
"126","저수조청소업","09_30_14_P","4201000","420100031201900003","2019-12-24","","01","영업/정상","11","정상","","","","","033-643-8777","","","강원특별자치도 강릉시 포남동 ****-* ***호","강원특별자치도 강릉시 가작로 ***, ***호 (포남동)","25486","디앤비코리아 주식회사","2021-02-02 15:22:52","I","2023-06-13 00:00:00","","368120.498644705","476025.97604774","31","","0","","","","","저수조청소업",
"127","저수조청소업","09_30_14_P","4201000","420100031202200001","2022-04-15","","01","영업/정상","11","정상","","","","","033-651-2350","","","강원특별자치도 강릉시 포남동 ****-*","강원특별자치도 강릉시 강릉대로 ***, ***호 (포남동)","25487","씨앤에프기업","2022-04-18 10:00:40","I","2023-06-13 00:00:00","","368139.942617397","475915.712418645","31","","0","","","","","저수조청소업",
"128","저수조청소업","09_30_14_P","4201000","420100031202200003","2022-09-30","","01","영업/정상","11","정상","","","","","070-7778-1830","","","강원특별자치도 강릉시 교동 ***-**","강원특별자치도 강릉시 율곡로 ****-*, *층 (교동)","25490","주식회사 와이준컨설팅","2022-09-30 14:06:30","I","2023-06-13 00:00:00","","366641.239836276","475265.950898625","31","","0","","","","","저수조청소업",
"129","저수조청소업","09_30_14_P","4201000","420100031202200004","2022-09-30","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 강릉시 교동 ***-**","강원특별자치도 강릉시 율곡로 ****-*, *층 (교동)","25490","주식회사 와이준컨설팅","2022-09-30 14:54:07","I","2023-06-13 00:00:00","","366641.239836276","475265.950898625","31","","0","","","","","저수조청소업",
"130","저수조청소업","09_30_14_P","4201000","420100031202200005","2022-11-04","","01","영업/정상","11","정상","","","","","033-651-1357","","","강원특별자치도 강릉시 포남동 ****-**","강원특별자치도 강릉시 중기길 **, 지하 *층 (포남동)","25550","늘푸른청소","2024-01-16 09:15:28","U","2024-01-18 02:40:00","","367654.437666035","475084.995051582","31","","0","","","","","저수조청소업",
"131","저수조청소업","09_30_14_P","4201000","420100031202100003","2021-08-27","","01","영업/정상","11","정상","","","","","033-651-9231","","","강원특별자치도 강릉시 포남동 ****-**","강원특별자치도 강릉시 산양큰길**번길 **, ***호 (포남동)","25483","주식회사 솔내음","2021-12-14 15:53:30","I","2023-06-13 00:00:00","","368901.210259957","477020.147777715","31","","0","","","","","저수조청소업",
"132","저수조청소업","09_30_14_P","4201000","420100031200800001","2008-04-15","","01","영업/정상","11","정상","","","","","033)647-6999","","","강원특별자치도 강릉시 포남동 ****-**","강원특별자치도 강릉시 경강로****번길 * (포남동)","","에덴환경","2021-01-29 09:36:13","I","2023-06-13 00:00:00","","368091.463666969","475382.958933721","31","","0","","","","","저수조청소업",
"133","저수조청소업","09_30_14_P","4201000","420100031200800002","2021-02-08","","01","영업/정상","11","정상","","","","","033)642-1133","","","강원특별자치도 강릉시 옥천동 ***-*","강원특별자치도 강릉시 옥천로**번길 **-* (옥천동)","","(주)부현건설","2021-04-02 17:36:19","I","2023-06-13 00:00:00","","367317.651551299","474845.973165537","31","","0","","","","","저수조청소업",
"134","저수조청소업","09_30_14_P","4201000","420100031200900001","2017-03-08","","01","영업/정상","11","정상","","","","","033-646-7292","","","강원특별자치도 강릉시 옥천동 ***-*","강원특별자치도 강릉시 옥가로 ** (옥천동)","","세명환경산업","2025-06-02 09:49:15","U","2025-06-04 02:40:00","","367399.23603655","474906.022623532","31","","0","","","","","저수조청소업",
"135","저수조청소업","09_30_14_P","4201000","420100031200900002","2025-10-07","","01","영업/정상","11","정상","","","","","033-645-2960","","","강원특별자치도 강릉시 교동 ***","강원특별자치도 강릉시 강릉대로 ***, *층 (교동)","25506","(주)대국","2025-10-13 13:08:48","U","2025-10-15 02:40:00","","365884.23640184","474245.795665064","31","","0","","","","","저수조청소업",
"136","저수조청소업","09_30_14_P","4201000","420100031201000001","2025-01-08","","01","영업/정상","11","정상","","","","","033-645-8055","","","강원특별자치도 강릉시 옥천동 ***-*","강원특별자치도 강릉시 중기안길 **, *층 (옥천동)","25550","깨끗한세상","2025-05-20 11:22:10","U","2025-05-22 02:40:00","","367531.665566252","475079.452489607","31","","0","","","","","저수조청소업",
"137","저수조청소업","09_30_14_P","4201000","420100031201300001","2025-08-19","","01","영업/정상","11","정상","","","","","641-7529","","","강원특별자치도 강릉시 입암동 **-**","강원특별자치도 강릉시 강변로***번길 **, ***호 (입암동)","25573","유한회사 해동","2025-08-19 13:47:21","U","2025-08-21 02:40:00","","369218.553361305","475360.529357203","31","","0","","","","","저수조청소업",
"138","저수조청소업","09_30_14_P","4201000","420100031201300002","2014-04-28","","01","영업/정상","11","정상","","","","","033)655-7904","","","강원특별자치도 강릉시 교동 ***-***","강원특별자치도 강릉시 화부산로*번길 * (교동)","","(주)황소","2021-02-02 15:26:36","I","2023-06-13 00:00:00","","366919.492646831","474617.068184698","31","","0","","","","","저수조청소업",
"139","저수조청소업","09_30_14_P","4201000","420100031201400001","2017-04-12","","01","영업/정상","11","정상","","","","","033)642-7488","","","강원특별자치도 강릉시 교동 ***-**","강원특별자치도 강릉시 강릉대로 ***-* (교동)","","(주)대영철거건설","2019-10-28 13:26:56","I","2023-06-13 00:00:00","","366189.51849831","474374.451644013","31","","0","","","","","저수조청소업",
"140","저수조청소업","09_30_14_P","4201000","420100031200000001","2020-09-04","","01","영업/정상","11","정상","","","","","033-648-8355","","","강원특별자치도 강릉시 교동 ***-**","강원특별자치도 강릉시 원대로*번길 ** (교동)","","영동방역위생공사","2025-04-14 08:50:39","U","2025-04-16 02:40:00","","366004.108857814","474393.040707187","31","","0","","","","","저수조청소업",
"141","저수조청소업","09_30_14_P","4201000","420100031200100001","2025-03-25","","01","영업/정상","11","정상","","","","","033-643-2400","","","강원특별자치도 강릉시 교동 ***-**","강원특별자치도 강릉시 강릉대로 *** (교동)","25530","삼화청소용역","2025-03-25 21:03:53","U","2025-03-27 02:40:00","","366912.115987831","474570.404075992","31","","0","","","","","저수조청소업",
"142","저수조청소업","09_30_14_P","4201000","420100031200200001","2008-03-17","","01","영업/정상","11","정상","","","","","033-651-9025","","","강원특별자치도 강릉시 포남동 ****-*","강원특별자치도 강릉시 보래미하길 ** (포남동)","","부영개발(주)","2025-04-14 08:36:49","U","2025-04-16 02:40:00","","368576.273718905","476528.897106334","31","","0","","","","","저수조청소업",
"143","저수조청소업","09_30_14_P","4201000","420100031200200002","2002-08-27","","01","영업/정상","11","정상","","","","","033-644-7834","","","강원특별자치도 강릉시 구정면 구정리 ***","강원특별자치도 강릉시 구정면 청파로 *","","강일용역","2017-08-16 14:40:53","I","2023-06-13 00:00:00","","365181.395040135","469336.19472334","31","","0","","","","","저수조청소업",
"144","저수조청소업","09_30_14_P","4201000","420100031200200003","2017-03-06","","01","영업/정상","11","정상","","","","","033-652-3255","","","","강원특별자치도 강릉시 옥가로 **, *층 (옥천동)","","(주)삼일개발","2022-08-03 10:04:12","I","2023-06-13 00:00:00","","367399.23603655","474906.022623532","31","","0","","","","","저수조청소업",
"145","저수조청소업","09_30_14_P","4201000","420100031200300001","2024-01-15","","01","영업/정상","11","정상","","","","","033-646-5090","","","강원특별자치도 강릉시 남문동 ***-* *층","강원특별자치도 강릉시 남문길 ** (남문동)","25538","고려청소소독방역","2024-01-18 09:33:38","U","2024-01-20 02:40:00","","366636.331579663","473598.390665912","31","","0","","","","","저수조청소업",
