"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"114","동물미용업","02_03_11_P","4191000","419000004920180015","2018-08-24","","01","영업/정상","0000","정상","","","","","033-744-0958","0","","강원특별자치도 원주시 무실동 ****-*","강원특별자치도 원주시 만대공원길 *-**, ***호 (무실동)","26383","스타애견미용","2022-04-28 18:08:00","I","2023-06-13 00:00:00","","282244.483569865","426532.014396408","동물미용업","동물미용업(일반)","000","0",
"115","동물미용업","02_03_11_P","4191000","419000004920180023","2018-10-04","","01","영업/정상","0000","정상","","","","","0337618886","0","","강원특별자치도 원주시 단구동 ****-*","강원특별자치도 원주시 천매봉길 **-* (단구동)","26483","똥강아지","2022-04-28 18:08:01","I","2023-06-13 00:00:00","","283512.972753302","424924.116384763","동물미용업","동물미용업(일반)","000","0",
"116","동물미용업","02_03_11_P","4191000","419000004920180025","2018-10-04","","01","영업/정상","0000","정상","","","","","033-732-6675","0","","강원특별자치도 원주시 일산동 ***-**","강원특별자치도 원주시 천사로 *** (일산동)","26425","강아지집","2024-12-23 09:02:10","U","2024-12-25 02:40:00","","283318.086053561","427841.665386195","동물미용업","동물미용업(일반)","000","0",
"117","동물미용업","02_03_11_P","4191000","419000004920180026","2018-10-04","","01","영업/정상","0000","정상","","","","","0337438882","0","","강원특별자치도 원주시 단계동 ***-**","강원특별자치도 원주시 천사로 ** (단계동)","26423","원주동물병원","2022-04-28 18:08:01","I","2023-06-13 00:00:00","","282652.250164402","427691.494424386","동물미용업","동물미용업(일반)","000","0",
"118","동물미용업","02_03_11_P","4191000","419000004920180027","2018-10-04","","01","영업/정상","0000","정상","","","","","033-765-8252","0","","강원특별자치도 원주시 관설동 ****-**","강원특별자치도 원주시 단관길 ***, *층 (관설동)","26472","엣지퍼피","2022-04-28 18:08:01","I","2023-06-13 00:00:00","","285244.315","424317.11","동물미용업","동물미용업(일반)","000","0",
"119","동물미용업","02_03_11_P","4191000","419000004920180029","2018-10-10","","01","영업/정상","0000","정상","","","","","033-762-0671","0","","강원특별자치도 원주시 단구동 ****-**","강원특별자치도 원주시 천매봉길 ***, 단구동 *층 ****-**호 (단구동)","26483","애니펫살롱","2022-04-28 18:08:01","I","2023-06-13 00:00:00","","283453.429102918","425232.34398635","동물미용업","동물미용업(일반)","000","0",
"120","동물미용업","02_03_11_P","4191000","419000004920180030","2018-10-12","","01","영업/정상","0000","정상","","","","","033-766-0426","0","","강원특별자치도 원주시 관설동 ****-*","강원특별자치도 원주시 시청로 ***-** (관설동)","26469","폼폼","2022-04-28 18:08:01","I","2023-06-13 00:00:00","","285145.333103645","424055.789755326","동물미용업","동물미용업(일반)","000","0",
"121","동물미용업","02_03_11_P","4191000","419000004920180033","2018-11-26","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 명륜동 ***-*","강원특별자치도 원주시 남원로***번길 *-** (명륜동)","26482","베베펫살롱","2022-04-28 18:08:01","I","2023-06-13 00:00:00","","283317.982822837","425301.643925607","동물미용업","동물미용업(일반)","000","0",
"122","동물미용업","02_03_11_P","4191000","419000004920180034","2018-12-13","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 무실동 ****-*","강원특별자치도 원주시 무실본동길 **, *층 (무실동)","26477","안녕, 내강아지","2025-07-22 14:13:21","U","2025-07-24 02:40:00","","282558.162446108","426471.974737298","동물미용업","동물미용업(일반)","000","0",
"123","동물미용업","02_03_11_P","4191000","419000004920180035","2018-12-13","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단계동 ***-*","강원특별자치도 원주시 무실로 ***, *층 (단계동)","26475","뽀송하개","2025-07-30 10:02:13","U","2025-08-01 02:40:00","","283018.343822684","426823.481290164","동물미용업","동물미용업(일반)","000","0",
"124","동물미용업","02_03_11_P","4191000","419000004920180036","2018-12-24","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단구동 ****-* 현진에버빌아파트","강원특별자치도 원주시 단구로 ***-*, 현진에버빌아파트 상가동 ***호 (단구동)","26491","멍실","2022-10-31 11:01:16","I","2023-06-13 00:00:00","","284655.589772235","424606.118340073","동물미용업","동물미용업(일반)","000","0",
"125","동물미용업","02_03_11_P","4191000","419000004920190002","2019-03-26","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 반곡동 ****-**","강원특별자치도 원주시 늘품로 ***-* (반곡동)","26459","스타일 멍멍","2022-04-28 18:08:01","I","2023-06-13 00:00:00","","285213.741887413","426119.358143803","동물미용업","동물미용업(일반)","000","0",
"126","동물미용업","02_03_11_P","4191000","419000004920190005","2019-05-23","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단계동 ****-**","강원특별자치도 원주시 전망길 * (단계동)","26379","킹스독","2022-04-28 18:08:01","I","2023-06-13 00:00:00","","281281.258","428325.386","동물미용업","동물미용업(일반)","000","0",
"127","동물미용업","02_03_11_P","4191000","419000004920190012","2019-08-20","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단계동 ***-*","강원특별자치도 원주시 봉화로 ** (단계동)","26423","리틀마이펫","2022-04-28 18:08:01","I","2023-06-13 00:00:00","","282260.874465777","427936.281672885","동물미용업","동물미용업(일반)","000","0",
"128","동물미용업","02_03_11_P","4191000","419000004920190014","2019-08-31","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 개운동 ***-**","강원특별자치도 원주시 행구로 **, *층 (개운동)","26444","쿠키네","2022-04-28 18:08:01","I","2023-06-13 00:00:00","","284950.239302705","427004.351642229","동물미용업","동물미용업(일반)","000","0",
"129","동물미용업","02_03_11_P","4191000","419000004920180022","2018-10-04","","01","영업/정상","0000","정상","","","","","0337640379","0","","강원특별자치도 원주시 관설동 ****-*","강원특별자치도 원주시 치악고교길 ** (관설동)","26469","행복한 강아지","2022-04-28 18:08:00","I","2023-06-13 00:00:00","","285088.9","424139.865","동물미용업","동물미용업(일반)","000","0",
"130","동물미용업","02_03_11_P","4191000","419000004920210019","2021-05-10","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 반곡동 ****-*","강원특별자치도 원주시 봄마중길 **, ***호 (반곡동)","26465","옥스 그루밍","2022-04-28 18:08:04","I","2023-06-13 00:00:00","","286770.797346594","425363.079407518","동물미용업","동물미용업(일반)","000","0",
"131","동물미용업","02_03_11_P","4191000","419000004920210023","2021-05-31","","01","영업/정상","0000","정상","","","","","033-748-3088","0","","강원특별자치도 원주시 지정면 가곡리 **** 원주기업도시 유보라 아이비파크 *단지","강원특별자치도 원주시 지정면 조엄로 ***, ***동 ***호 (원주기업도시 유보라 아이비파크 *단지)","26346","허니모모 애견미용실","2022-04-28 18:08:05","I","2023-06-13 00:00:00","","276887.594393934","430549.397329477","동물미용업","동물미용업(일반)","000","0",
"132","동물미용업","02_03_11_P","4191000","419000004920210025","2021-07-20","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 봉산동 ****-**","강원특별자치도 원주시 행구로 **(봉산동)","26331","The빛나개","2022-04-28 18:08:05","I","2023-06-13 00:00:00","","285637.587662494","427107.589034349","동물미용업","동물미용업(일반)","000","0",
"133","동물미용업","02_03_11_P","4191000","419000004920210026","2021-07-20","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단계동 ***-**","강원특별자치도 원주시 이화*길 **, *층 (단계동)","26474","뽀독","2022-04-28 18:08:05","I","2023-06-13 00:00:00","","282650.820446204","427105.864939358","동물미용업","동물미용업(일반)","000","0",
"134","동물미용업","02_03_11_P","4191000","419000004920210028","2021-08-02","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 반곡동 ****-*","강원특별자치도 원주시 양지뜰*길 *-*(반곡동)","26461","아뜰리에 몽","2022-04-28 18:08:05","I","2023-06-13 00:00:00","","287079.225234658","425411.732669071","동물미용업","동물미용업(일반)","000","0",
"135","동물미용업","02_03_11_P","4191000","419000004920210030","2021-09-09","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 반곡동 ****-*","강원특별자치도 원주시 양지로 **, 지하층 ***호 (반곡동)","26465","댕댕미장원","2025-09-22 14:41:32","U","2025-09-24 02:40:00","","286834.662235453","425172.111221351","동물미용업","동물미용업(일반)","000","0",
"136","동물미용업","02_03_11_P","4191000","419000004920210031","2021-10-05","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단계동 **** 원주봉화산푸르지오아파트","강원특별자치도 원주시 봉화서부로 **, 상가동 ***호 (단계동, 원주봉화산푸르지오아파트)","26380","조은애견미용","2022-04-28 18:08:05","I","2023-06-13 00:00:00","","281475.483641184","428491.078747096","동물미용업","동물미용업(일반)","000","0",
"137","동물미용업","02_03_11_P","4191000","419000004920210035","2021-11-15","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 지정면 가곡리 ****-*","강원특별자치도 원주시 지정면 신지정로 ***-*","26354","멍멍이 미용실","2022-04-28 18:08:05","I","2023-06-13 00:00:00","","277421.595871528","430516.884389995","동물미용업","동물미용업(일반)","000","0",
"138","동물미용업","02_03_11_P","4191000","419000004920210036","2021-11-15","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단구동 ****-*","강원특별자치도 원주시 천매봉길 **-*, ***호 (단구동)","26483","멍발소","2022-04-28 18:08:05","I","2023-06-13 00:00:00","","283462.05028946","425004.534139759","동물미용업","동물미용업(일반)","000","0",
"139","동물미용업","02_03_11_P","4191000","419000004920210037","2021-11-29","","01","영업/정상","0000","정상","","","","","033-735-0045","0","","강원특별자치도 원주시 문막읍 동화리 ****","강원특별자치도 원주시 문막읍 원문로 ****","26368","강아지멋내기","2022-04-28 18:08:06","I","2023-06-13 00:00:00","","273833.786834045","424754.751318329","동물미용업","동물미용업(일반)","000","0",
"140","동물미용업","02_03_11_P","4191000","419000004920210044","2018-08-24","","01","영업/정상","0000","정상","","","","","033-904-7979","0","","강원특별자치도 원주시 단구동 ****-*","강원특별자치도 원주시 늘품로 **(단구동)","26486","퀸펫살롱","2022-04-28 18:08:06","I","2023-06-13 00:00:00","","284108.541317057","424856.922449948","동물미용업","동물미용업(일반)","000","0",
"141","동물미용업","02_03_11_P","4191000","419000004920220002","2022-01-19","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 무실동 ****-*","강원특별자치도 원주시 솔우물*길 **-*, ***호 (무실동)","26394","보송보송","2022-04-28 18:08:06","I","2023-06-13 00:00:00","","282452.851915423","425302.487399877","동물미용업","동물미용업(일반)","000","0",
"142","동물미용업","02_03_11_P","4191000","419000004920220004","2022-03-10","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단계동 ***-**","강원특별자치도 원주시 무실로 ***, ***호 (단계동)","26476","포테이토 독","2023-02-15 11:01:28","I","2023-06-13 00:00:00","","282809.845","426561.095","동물미용업","동물미용업(일반)","000","0",
"143","동물미용업","02_03_11_P","4191000","419000004920220007","2022-04-14","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 무실동 ****-*","강원특별자치도 원주시 솔우물*길 **-*, ***호호 (무실동)","26394","귀염댕이","2022-04-28 18:08:06","I","2023-06-13 00:00:00","","282418.471058042","425343.065926658","동물미용업","동물미용업(일반)","000","0",
"144","동물미용업","02_03_11_P","4191000","419000004920220008","2022-04-28","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단구동 ****-** 동보 노빌리티타워 골드","강원특별자치도 원주시 서원대로 ***, 동보 노빌리티타워 골드 ***,***호 (단구동)","26485","까끄까","2024-07-11 10:04:38","U","2024-07-13 02:40:00","","284326.406264379","425591.798715681","동물미용업","동물미용업(일반)","000","0",
"145","동물미용업","02_03_11_P","4191000","419000004920220009","2022-05-17","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단계동 ****-*","강원특별자치도 원주시 바우골길 **-*, B층 **호 (단계동)","26379","메리도그","2022-05-17 17:20:48","I","2023-06-13 00:00:00","","281201.2155","428509.1485","동물미용업","동물미용업(일반)","000","0",
"146","동물미용업","02_03_11_P","4191000","419000004920220006","2022-04-14","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 반곡동 ****","강원특별자치도 원주시 반곡길 **, ***호 (반곡동)","26457","올라독","2022-04-28 18:08:06","I","2023-06-13 00:00:00","","285529.052657249","426697.018904925","동물미용업","동물미용업(일반)","000","0",
"147","동물미용업","02_03_11_P","4191000","419000004920180019","2018-10-04","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 명륜동 **-**","강원특별자치도 원주시 남원로 *** (명륜동)","26441","로얄종합동물병원","2022-04-28 18:08:00","I","2023-06-13 00:00:00","","284414.79030798","427018.077463743","동물미용업","동물미용업(일반)","000","0",
"148","동물미용업","02_03_11_P","4191000","419000004920200003","2020-01-17","","01","영업/정상","0000","정상","","","","","033-742-3288","0","","강원특별자치도 원주시 단계동 ***","강원특별자치도 원주시 이화*길 ** (단계동)","26474","강이랑 아지랑","2022-04-28 18:08:02","I","2023-06-13 00:00:00","","282712.177692955","426917.102429654","동물미용업","동물미용업(일반)","000","0",
"149","동물미용업","02_03_11_P","4191000","419000004920200004","2020-01-22","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 지정면 가곡리 ****-*","강원특별자치도 원주시 지정면 신지정로 ***, ***-*호","26353","Moon pet shop(문펫샵)","2022-04-28 18:08:02","I","2023-06-13 00:00:00","","277037.305163772","431073.008043324","동물미용업","동물미용업(일반)","000","0",
"150","동물미용업","02_03_11_P","4191000","419000004920200008","2020-02-03","","01","영업/정상","0000","정상","","","","","033-747-5002","0","","강원특별자치도 원주시 지정면 가곡리 ****-*","강원특별자치도 원주시 지정면 신지정로 ***-**, *층","26354","멍블리","2024-07-19 09:16:43","U","2024-07-21 02:40:00","","277960.040029803","430674.860466119","동물미용업","동물미용업(일반)","000","0",
"151","동물미용업","02_03_11_P","4191000","419000004920200009","2019-03-29","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단계동 ***-*","강원특별자치도 원주시 서원대로 ** (단계동)","26409","구름이네 애견미용","2022-04-28 18:08:02","I","2023-06-13 00:00:00","","281728.455376944","428264.449404539","동물미용업","동물미용업(일반)","000","0",
"152","동물미용업","02_03_11_P","4191000","419000004920200012","2020-03-30","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 명륜동 ***-*","강원특별자치도 원주시 남원로***번길 *-*, *층 (명륜동)","26482","몽보드레","2023-02-27 15:59:49","I","2023-06-13 00:00:00","","283436.90180445","425400.991603704","동물미용업","동물미용업(일반)","000","0",
"153","동물미용업","02_03_11_P","4191000","419000004920200018","2020-06-11","","01","영업/정상","0000","정상","","","","","033-744-6722","0","","강원특별자치도 원주시 무실동 ****-*","강원특별자치도 원주시 만대로 ***, ***호 (무실동)","26385","두루동물병원","2022-04-28 18:08:02","I","2023-06-13 00:00:00","","281669.231661525","426139.378095438","동물미용업","동물미용업(일반)","000","0",
"154","동물미용업","02_03_11_P","4191000","419000004920200019","2020-07-21","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 지정면 가곡리 **** 원주 롯데캐슬 골드파크 *차","강원특별자치도 원주시 지정면 신지정로 ***, ***호 (원주 롯데캐슬 골드파크 *차)","26353","유폴 24시 애견셀프목욕 원주점","2022-04-28 18:08:02","I","2023-06-13 00:00:00","","277134.988226673","430921.744566666","동물미용업","동물미용업(일반)","000","0",
"155","동물미용업","02_03_11_P","4191000","419000004920200028","2020-11-05","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단구동 ****-**","강원특별자치도 원주시 구곡길 *-** (단구동)","26486","보드리","2024-12-12 13:33:43","U","2024-12-14 02:40:00","","284063.523653756","424859.378375858","동물미용업","동물미용업(일반)","000","0",
"156","동물미용업","02_03_11_P","4191000","419000004920200032","2020-12-17","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 문막읍 건등리 ****","강원특별자치도 원주시 문막읍 원문로 ****, *호","26371","슈슈댕","2022-04-28 18:08:03","I","2023-06-13 00:00:00","","273385.205578369","424262.690564613","동물미용업","동물미용업(일반)","000","0",
"157","동물미용업","02_03_11_P","4191000","419000004920210002","2021-01-08","","01","영업/정상","0000","정상","","","","","033-761-0911","0","","강원특별자치도 원주시 판부면 서곡리 ****-*","강원특별자치도 원주시 판부면 오성마을길 **-**, *층","26400","예쁘개 미용","2022-04-28 18:08:03","I","2023-06-13 00:00:00","","284057.226930456","424487.42916004","동물미용업","동물미용업(일반)","000","0",
"158","동물미용업","02_03_11_P","4191000","419000004920210003","2021-02-08","","01","영업/정상","0000","정상","","","","","033-766-6665","0","","강원특별자치도 원주시 명륜동 ***-**","강원특별자치도 원주시 단구로 *** (명륜동)","26438","도그매니저","2022-04-28 18:08:03","I","2023-06-13 00:00:00","","283429.948074072","426873.443278813","동물미용업","동물미용업(일반)","000","0",
"159","동물미용업","02_03_11_P","4191000","419000004920210005","2021-03-04","","01","영업/정상","0000","정상","","","","","033-747-7585","0","","강원특별자치도 원주시 무실동 ****-*","강원특별자치도 원주시 만대로 ** (무실동)","26383","늘푸른 애견샵","2022-04-28 18:08:03","I","2023-06-13 00:00:00","","281792.305221912","427027.40278275","동물미용업","동물미용업(일반)","000","0",
"160","동물미용업","02_03_11_P","4191000","419000004920210010","2021-04-02","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 명륜동 ***-*","강원특별자치도 원주시 남원로***번길 **-* (명륜동)","26482","주주(ZOO ZOO)","2022-04-28 18:08:03","I","2023-06-13 00:00:00","","283414.041172344","425479.635447096","동물미용업","동물미용업(일반)","000","0",
"161","동물미용업","02_03_11_P","4191000","419100004920240009","2024-07-03","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 명륜동 *** 대성현대아파트","강원특별자치도 원주시 향교길 **, 대성현대아파트 ***호 (명륜동)","26441","뽀미네 놀다올개","2024-07-03 16:12:37","I","2024-07-06 00:13:55","","284132.141987679","426812.624137424","동물미용업","동물미용업(일반)","000","0",
"162","동물미용업","02_03_11_P","4191000","419100004920240010","2024-07-04","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 명륜동 ***","강원특별자치도 원주시 남원로***번길 *-** (명륜동)","26480","이로운 강아지","2024-07-10 16:57:52","U","2024-07-12 02:40:00","","283600.384593768","426175.41215411","동물미용업","동물미용업(일반)","000","0",
"163","동물미용업","02_03_11_P","4191000","419100004920240008","2024-06-20","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 지정면 가곡리 ****-*","강원특별자치도 원주시 지정면 신지정로 ***-*, ***호","26354","봄봄펫살롱","2024-06-20 10:18:28","I","2024-06-22 00:14:07","","277619.832787521","430469.750295342","동물미용업","동물미용업(일반)","000","0",
"164","동물미용업","02_03_11_P","4191000","419100004920240011","2024-07-25","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 태장동 ***-*","강원특별자치도 원주시 흥양로 **, ***호 (태장동)","26318","산책하는날","2024-07-25 11:36:08","I","2024-07-27 00:13:37","","284718.607636708","431654.987033882","동물미용업","동물미용업(일반)","000","0",
"165","동물미용업","02_03_11_P","4191000","419100004920240004","2024-04-23","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단구동 ****-**","강원특별자치도 원주시 송림길 **-** (단구동)","26449","훈그루밍","2025-02-03 16:04:55","U","2025-02-05 02:40:00","","284479.079165413","425699.928619052","동물미용업","동물미용업(일반)","000","0",
"166","동물미용업","02_03_11_P","4191000","419100004920240005","2024-05-21","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 지정면 가곡리 **** 원주기업도시 *-*블럭 호반베르디움","강원특별자치도 원주시 지정면 신지정로 ***, ***호 (원주기업도시 *-*블럭 호반베르디움)","26346","끌레르","2024-05-21 11:07:13","I","2024-05-23 00:14:32","","276867.098912859","431303.018978567","동물미용업","동물미용업(일반)","000","0",
"167","동물미용업","02_03_11_P","4191000","419100004920240006","2024-05-24","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 관설동 ****-*","강원특별자치도 원주시 시청로 ***-*, *층 (관설동)","26472","디디애견미용","2024-11-29 18:56:58","U","2024-12-01 02:40:00","","285062.673890963","424363.352388597","동물미용업","동물미용업(일반)","000","0",
"168","동물미용업","02_03_11_P","4191000","419100004920240007","2024-05-27","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단구동 ****-**","강원특별자치도 원주시 늘품로 ***, ***호 (단구동)","26449","강아지풀","2024-05-27 17:30:07","I","2024-05-29 00:14:27","","284560.050757208","425639.257648497","동물미용업","동물미용업(일반)","000","0",
"169","동물미용업","02_03_11_P","4191000","419100004920240001","2024-01-30","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 반곡동 ****-*","강원특별자치도 원주시 양지로 **, ***호 (반곡동)","26465","애견유치원 품다","2025-09-09 15:27:15","U","2025-09-11 02:40:00","","286834.662235453","425172.111221351","동물미용업","동물미용업(일반)","000","0",
"170","동물미용업","02_03_11_P","4191000","419100004920240002","2024-03-07","","01","영업/정상","0000","정상","","","","","033-733-0275","0","","강원특별자치도 원주시 지정면 가곡리 ****-* 원주기업도시 유보라 아이비파크 *단지","강원특별자치도 원주시 지정면 조엄로 ***, ***~***호 (원주기업도시 유보라 아이비파크 *단지)","26346","에스동물병원","2024-03-07 09:31:34","I","2024-03-09 00:15:37","","276963.715257045","430755.346295523","동물미용업","동물미용업(일반)","000","0",
"171","동물미용업","02_03_11_P","4191000","419100004920250014","2025-08-22","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 관설동 ****-**","강원특별자치도 원주시 치악로 ****-**, ***호 (관설동)","26470","피카펫","2025-08-22 09:15:14","I","2025-08-24 00:20:40","","285791.149895101","424167.364844827","동물미용업","동물미용업(일반)","000","0",
"172","동물미용업","02_03_11_P","4191000","419100004920250012","2025-06-04","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 개운동 ***-**","강원특별자치도 원주시 치악로 **** (개운동)","26443","애견사랑","2025-06-04 14:53:06","I","2025-06-06 00:20:02","","284575.272766582","427331.398789414","동물미용업","동물미용업(일반)","000","0",
"173","동물미용업","02_03_11_P","4191000","419100004920250011","2025-05-07","","01","영업/정상","0000","정상","","","","","033-765-0999","0","","강원특별자치도 원주시 판부면 서곡리 ****-*","강원특별자치도 원주시 판부면 백운정윗길 **","26402","화이트 클라우드","2025-05-07 18:02:22","I","2025-05-09 00:20:29","","283077.140226698","421171.078036202","동물미용업","동물미용업(일반)","000","0",
"174","동물미용업","02_03_11_P","4191000","419100004920250013","2025-06-13","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 단구동 ****-*","강원특별자치도 원주시 치악로 ****, ***호 (단구동)","26452","유독(dog) 이쁜날","2025-06-13 17:02:58","I","2025-06-15 00:20:02","","285659.611814967","424561.686913321","동물미용업","동물미용업(일반)","000","0",
"175","동물미용업","02_03_11_P","4191000","419100004920250006","2025-04-16","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 반곡동 ***-**","강원특별자치도 원주시 봉대길 **, ***호 (반곡동)","26463","누보","2025-04-16 09:42:48","I","2025-04-19 00:10:02","","287908.984428034","425987.417442403","동물미용업","동물미용업(일반)","000","0",
"176","동물미용업","02_03_11_P","4191000","419100004920250002","2025-03-12","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 명륜동 ***-* 동보노빌리티","강원특별자치도 원주시 시청로 ***, 동보노빌리티 상가동 ***호 (명륜동)","26482","꽃스럽개","2025-03-12 17:27:48","I","2025-03-14 00:10:54","","283098.428572328","425138.619272093","동물미용업","동물미용업(일반)","000","0",
"177","동물미용업","02_03_11_P","4191000","419100004920250003","2025-03-20","","01","영업/정상","0000","정상","","","","","033-765-0588","0","","강원특별자치도 원주시 단구동 ***-*","강원특별자치도 원주시 오성마을길 **-**, ***호 (단구동)","26400","저스트도그 단구점","2025-03-20 10:33:25","I","2025-03-22 00:10:24","","","","동물미용업","동물미용업(일반)","000","0",
"178","동물미용업","02_03_11_P","4191000","419100004920250007","2025-04-28","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 반곡동 ****-* 중흥S클래스 프라디움 아파트","강원특별자치도 원주시 배울로 **, 상가동 *호 (반곡동, 중흥S클래스 프라디움 아파트)","26465","댕구르미","2025-05-09 13:22:43","U","2025-05-11 02:40:00","","286462.356184421","424575.782591608","동물미용업","동물미용업(일반)","000","0",
"179","동물미용업","02_03_11_P","4191000","419100004920250008","2025-04-29","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 무실동 ****-* 사랑으로부영아파트","강원특별자치도 원주시 무실로 ***, ***동 ****호 (무실동, 사랑으로부영아파트)","26392","씻겨줄개","2025-04-29 16:07:46","I","2025-05-01 00:20:22","","282127.811669872","425883.577691282","동물미용업","동물미용업(자동차 이용)","000","0",
"180","동물미용업","02_03_11_P","4191000","419100004920250009","2025-04-29","","01","영업/정상","0000","정상","","","","","033-744-4320","0","","강원특별자치도 원주시 무실동 ****-*","강원특별자치도 원주시 시청로 ***, ***호 (무실동)","26478","미냥이","2025-04-29 14:48:01","I","2025-05-01 00:20:22","","282773.832206859","425813.603686661","동물미용업","동물미용업(일반)","000","0",
"181","동물미용업","02_03_11_P","4191000","419100004920250010","2025-05-01","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 지정면 가곡리 ****-*","강원특별자치도 원주시 지정면 신지정로 ***-**, 지하*층","26354","소중하개 펫살롱","2025-05-01 16:14:29","I","2025-05-03 00:20:28","","277833.36964963","430516.821998185","동물미용업","동물미용업(일반)","000","0",
"182","동물미용업","02_03_11_P","4191000","419100004920250004","2025-03-31","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 지정면 가곡리 **** 롯데캐슬 더퍼스트 아파트 상가동","강원특별자치도 원주시 지정면 가곡로 **-*, 롯데캐슬 더퍼스트 아파트 상가동 상가동 ***호","26352","도기봉봉","2025-03-31 13:17:03","I","2025-04-02 00:10:23","","277820.161037971","431037.196970703","동물미용업","동물미용업(일반)","000","0",
"183","동물미용업","02_03_11_P","4191000","419100004920250005","2025-04-08","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 관설동 ****-*","강원특별자치도 원주시 라옹정길 **-**, *층 (관설동)","26471","슈퍼멍","2025-04-08 13:48:28","I","2025-04-10 00:11:01","","285204.795732067","424783.579379052","동물미용업","동물미용업(일반)","000","0",
"184","동물미용업","02_03_11_P","4191000","419100004920230013","2023-12-14","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 문막읍 동화리 ****-**","강원특별자치도 원주시 문막읍 세오름길 *, *층","26363","댕댕이 호텔","2023-12-14 10:55:15","I","2023-12-16 00:16:47","","273472.850849289","425727.505611011","동물미용업","동물미용업(일반)","000","0",
"185","동물미용업","02_03_11_P","4191000","419100004920230008","2023-09-19","","01","영업/정상","0000","정상","","","","","","0","","강원특별자치도 원주시 원동 ***-*","강원특별자치도 원주시 무실로 ***, ***호 (원동)","26438","오늘도, 예쁘개","2023-09-19 10:48:27","I","2023-09-21 00:18:00","","283550.856120294","427299.872134692","동물미용업","동물미용업(일반)","000","0",
