"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자",
"426","의원","01_01_02_P","4181000","PHMA120014180029041100007","2003-01-01","","01","영업/정상","13","영업중","","","","","033-243-7659","","200-945","강원특별자치도 춘천시 퇴계동 914번지 7호 2층","강원특별자치도 춘천시 춘주로 151, 2층 (퇴계동)","24451","이정열내과의원","2024-12-20 02:13:20","U","2024-12-22 02:40:00","의원","263745.567206705","484250.532558076","의원","3","0","0","108.6","111 101 113 114","내과, 소아청소년과, 이비인후과, 피부과","","","","0","0","","","0","",
"427","의원","01_01_02_P","4181000","PHMA120014180029041100011","2001-05-25","","01","영업/정상","13","영업중","","","","","033)244-7800","","","강원특별자치도 춘천시 온의동 123-29 1~4층","강원특별자치도 춘천시 터미널길 21, 1~4층 (온의동)","24435","아름다운산부인과의원","2025-08-29 07:13:20","U","2025-08-31 02:40:00","의원","263206.939573518","484886.270109221","의원","3","15","19","1104.64","110","산부인과","","","","0","0","","","0","",
"428","의원","01_01_02_P","4181000","PHMA119974180029041100003","1997-01-15","","01","영업/정상","13","영업중","","","","","033)243-0309","","","강원특별자치도 춘천시 조양동49-11외","강원특별자치도  금강로 72, 3,5층 (흥만빌딩)","24353","연세조안과의원","2025-08-28 23:43:16","U","2025-08-30 02:40:00","의원","264058.930640693","486500.930218043","의원","2","0","0","96.49","112 108","성형외과, 안과","","","","0","0","","","0","",
"429","의원","01_01_02_P","4181000","PHMA120134180029041100002","2013-02-27","","01","영업/정상","13","영업중","","","","","033)264-9897","","","강원특별자치도 춘천시 동내면 거두리 926-1","강원특별자치도 춘천시 동내면 춘천순환로 58, 2,4층","24404","윤덕형내과의원","2025-08-28 20:43:19","U","2025-08-30 02:40:00","의원","265967.686619859","483875.640969007","의원","4","2","3","351","101 102 103 104 106 107 111 112 113 115 114 109 116 122","내과, 신경과, 정신건강의학과, 외과, 신경외과, 심장혈관흉부외과, 마취통증의학과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 가정의학과","","","","0","0","","","0","",
"430","의원","01_01_02_P","4181000","PHMA119904180029041100001","1990-02-09","","01","영업/정상","13","영업중","","","","","033)256-1888","","","강원특별자치도 춘천시 효자3동640-7,10","강원특별자치도 춘천시 춘천로 207 (효자동)","24260","미즈앤미의원","2017-09-05 18:37:04","I","2023-06-13 00:00:00","의원","264765.002711827","486341.015967041","의원","2","0","0","220","110","산부인과","","","","0","0","","","0","",
"431","의원","01_01_02_P","4181000","PHMA120084180029041100002","2008-02-14","","01","영업/정상","13","영업중","","","","","033-263-7582","","","강원특별자치도 춘천시 퇴계동 87번지","강원특별자치도 춘천시 안마산로 199, 3층 302호 (퇴계동)","24421","두리의원","2024-04-04 13:10:50","U","2024-04-06 02:40:00","의원","264748.442342906","483368.951022331","의원","1","0","0","140","101 111 114 105","내과, 정형외과, 소아청소년과, 피부과","","","","0","0","","","0","",
"432","의원","01_01_02_P","4181000","PHMA120134180029041100001","2013-01-15","","01","영업/정상","13","영업중","","","","","033-264-7510","","","","강원특별자치도 춘천시 지석로 89 (석사동)","24415","경희코스모스한의원","2024-05-20 15:39:56","U","2024-05-22 02:40:00","한의원","265518.964834661","483423.163018745","한의원","1","0","0","171","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"433","의원","01_01_02_P","4181000","PHMA120134180029041100019","2013-07-30","","01","영업/정상","13","영업중","","","","","033-263-9889","","","","강원특별자치도 춘천시 후석로 11-8 (석사동)","24378","발효명가 중화한의원","2024-11-28 16:20:28","U","2024-11-30 02:40:00","한의원","264957.762093824","484081.224048404","한의원","1","0","0","240","301 302 303 304 305 306 307 308 309","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과","","","","0","0","","","0","",
"434","의원","01_01_02_P","4181000","PHMA120134180029041100020","2013-07-31","","01","영업/정상","13","영업중","","","","","033-252-7525","","","","강원특별자치도 춘천시 후석로 328, 6층 (후평동)","24299","본수치과의원","2025-04-17 21:43:24","U","2025-04-19 02:40:00","치과의원","265899.61864059","486687.300348545","치과의원","2","0","0","386","402 412","구강악안면외과, 통합치의학과","","","","0","0","","","0","",
"435","의원","01_01_02_P","4181000","PHMA120114180029041100012","2011-08-31","","01","영업/정상","13","영업중","","","","","033)264-0507","","200-180","강원특별자치도 춘천시 석사동 799번지 1호","강원특별자치도 춘천시 퇴계로 184 (석사동)","24378","춘천정신건강의학과의원","2024-04-13 14:09:43","U","2024-04-15 02:40:00","의원","264973.305700463","484113.291018839","의원","2","0","0","716","103 102","신경과, 정신건강의학과","","","","0","0","","","0","",
"436","의원","01_01_02_P","4181000","PHMA120004180029041100010","2000-04-22","","01","영업/정상","13","영업중","","","","","033-256-8275","","200-954","강원특별자치도 춘천시 효자1동 673번지 15호","강원특별자치도 춘천시 공지로 350 (효자동)","24337","태인한의원","2024-05-22 15:57:01","U","2024-05-24 02:40:00","한의원","263955.098584166","485534.17605937","한의원","1","0","0","126","301 303 308 302 304 305","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과","","","","0","0","","","0","",
"437","의원","01_01_02_P","4181000","PHMA120004180029041100019","2000-12-04","","01","영업/정상","13","영업중","","","","","033)241-8330","","200-042","강원특별자치도 춘천시 중앙로2가 64번지 1호 3,4층","강원특별자치도 춘천시 중앙로 82-1 (중앙로2가)","24273","길한의원","2025-08-20 16:58:42","U","2025-08-23 02:40:00","한의원","263724.558329639","486456.800895339","한의원","2","0","0","254","301 303 308 302 304 305","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과","","","","0","0","","","0","",
"438","의원","01_01_02_P","4181000","PHMA119974180029041100011","1997-01-01","","01","영업/정상","13","영업중","","","","","033)250-3886","","200-911","강원특별자치도 춘천시 남산면 창촌리 610번지 4호","강원특별자치도 춘천시 남산면 강촌로 331","24465","춘천시남산면보건지소","2017-09-05 18:37:04","I","2023-06-13 00:00:00","보건지소","256737.86224076","476761.141585003","보건지소","1","0","0","323.46","602","보건지소","","","","0","0","","","0","",
"439","의원","01_01_02_P","4181000","PHMA119954180029041100010","1995-01-01","","01","영업/정상","13","영업중","","","","","033)250-3884","","200-842","강원특별자치도 춘천시 동산면 조양리 363번지 4호","강원특별자치도 춘천시 동산면 조양길 270","24410","춘천시동산면보건지소","2017-09-05 18:37:04","I","2023-06-13 00:00:00","보건지소","270110.028509423","472486.980650443","보건지소","1","0","0","1501.5","602","보건지소","","","","0","0","","","0","",
"440","의원","01_01_02_P","4181000","PHMA120014180029041100017","2001-01-01","","01","영업/정상","13","영업중","","","","","033)250-3888","","","강원특별자치도 춘천시 사북면 신포리 412 사북면보건지소","강원특별자치도 춘천시 사북면 영서로 4723, 사북면보건지소","24200","춘천시사북면보건지소","2025-08-04 14:19:14","U","2025-08-06 02:40:00","보건지소","256165.046898283","503238.164028032","보건지소","1","0","0","345.3","602","보건지소","","","","0","0","","","0","",
"441","의원","01_01_02_P","4181000","PHMA120054180029041100028","2005-01-01","","01","영업/정상","13","영업중","","","","","033)250-3887","","200-831","강원특별자치도 춘천시 서면 금산리 925번지 2호","강원특별자치도 춘천시 서면 금산길 27","24461","춘천시서면보건지소","2017-09-05 18:37:05","I","2023-06-13 00:00:00","보건지소","260875.987041742","488640.250353718","보건지소","1","0","0","361.2","602","보건지소","","","","0","0","","","0","",
"442","의원","01_01_02_P","4181000","PHMA119004180029041100001","1900-10-01","","01","영업/정상","13","영업중","","","","","033)250-3550","","200-043","강원특별자치도 춘천시 중앙로3가 67번지 1호","강원특별자치도 춘천시 중앙로 135 (중앙로3가)","24358","춘천시보건소","2019-11-12 15:48:08","I","2023-06-13 00:00:00","보건소","263324.358308568","486132.791952156","보건소","8","0","0","2221","601","보건소","","","","0","0","","","0","",
"443","의원","01_01_02_P","4181000","PHMA120124180029041100001","2012-01-27","","01","영업/정상","13","영업중","","","","","033-264-1065","","","","강원특별자치도 춘천시 퇴계로 188, 202,203호 (석사동)","24378","함소아한의원","2024-11-01 09:14:50","U","2024-11-03 02:40:00","한의원","264995.650946312","484096.148098437","한의원","1","0","0","0","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"444","의원","01_01_02_P","4181000","PHMA120124180029041100002","2012-01-31","","01","영업/정상","13","영업중","","","","","033-264-4004","","","","강원특별자치도 춘천시 후석로186번길 14 (석사동)","24320","라임치과의원","2025-09-01 13:09:03","U","2025-09-03 02:40:00","치과의원","266254.837802744","485232.262888294","치과의원","1","0","0","83","403 405 406 407 408 409 411 412","치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"445","의원","01_01_02_P","4181000","PHMA119794180029041100001","1983-10-14","","01","영업/정상","13","영업중","","","","","033-254-2731","","","강원특별자치도 춘천시 소양로4가109-3","강원특별자치도 춘천시 중앙로 130 (소양로4가)","24276","춘천영상의학과의원","2024-04-13 10:59:45","U","2024-04-15 02:40:00","의원","263335.858801464","486206.953824027","의원","1","0","0","200","116","영상의학과","","","","0","0","","","0","",
"446","의원","01_01_02_P","4181000","PHMA119954180029041100006","1995-07-28","","01","영업/정상","13","영업중","","","","","033-241-7528","","","","강원특별자치도 춘천시 행촌로 29 (퇴계동)","24441","올리브치과의원","2025-02-27 10:12:48","U","2025-03-01 02:40:00","치과의원","263644.806778994","484353.027957445","치과의원","1","0","0","280","412","통합치의학과","","","","0","0","","","0","",
"447","의원","01_01_02_P","4181000","PHMA120054180029041100011","2005-04-18","","01","영업/정상","13","영업중","","","","","033-253-1079","","","","강원특별자치도 춘천시 지석로 85, 202호 (석사동)","24415","미가람부부한의원","2025-03-20 17:25:01","U","2025-03-22 02:40:00","한의원","265486.839877685","483430.987190157","한의원","2","0","0","163.8","301 302 305 306 307 308","한방내과, 한방부인과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"448","의원","01_01_02_P","4181000","PHMA120124180029041100003","2012-02-15","","01","영업/정상","13","영업중","","","","","033-260-0800","","","","강원특별자치도 춘천시 남춘로 50, 한국건강관리협회 신청사 3층 (효자동)","24373","한국건강관리협회 건강증진치과의원","2025-01-24 01:43:15","U","2025-01-26 02:40:00","치과의원","264415.175275269","484973.839674439","치과의원","2","0","0","100","411","예방치과","","","","0","0","","","0","",
"449","의원","01_01_02_P","4181000","PHMA120134180029041100022","2013-09-26","","01","영업/정상","13","영업중","","","","","033-260-4800","","200-883","강원특별자치도 춘천시 동내면 거두리 926번지 2호 2층","강원특별자치도 춘천시 동내면 춘천순환로 62, 2층","24404","박관영정형외과의원","2025-09-25 20:43:20","U","2025-09-27 02:40:00","의원","265997.529328929","483882.198566922","의원","2","10","29","482","105 106 101 120","내과, 정형외과, 신경외과, 재활의학과","","","","0","0","","","0","",
"450","의원","01_01_02_P","4181000","PHMA120134180029041100018","2013-07-15","","01","영업/정상","13","영업중","","","","","033)242-7975","","","강원특별자치도 춘천시 조양동 37번지 21호","강원특별자치도 춘천시 금강로 67-1, 4층 (조양동)","24352","아름다운피부과의원","2025-08-29 03:13:17","U","2025-08-31 02:40:00","의원","264080.985007885","486552.490995468","의원","1","0","0","182","114","피부과","","","","0","0","","","0","",
"451","의원","01_01_02_P","4181000","PHMA119914180029041100004","1991-09-16","","01","영업/정상","13","영업중","","","","","033-255-1029","","","","강원특별자치도 춘천시 금강로 64-1 (조양동)","24353","허치과의원","2025-03-12 17:26:27","U","2025-03-14 02:40:00","치과의원","264015.679388338","486561.441166153","치과의원","1","0","0","110","402 403 406 407 411 412","구강악안면외과, 치과보철과, 치주과, 치과보존과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"452","의원","01_01_02_P","4181000","PHMA120134180029041100017","2013-07-09","","01","영업/정상","13","영업중","","","","","033-255-2825","","","","강원특별자치도 춘천시 중앙로 138 (소양로4가)","24276","화이트치과의원","2025-06-30 15:38:55","U","2025-07-02 02:40:00","치과의원","263261.20854202","486183.520671171","치과의원","1","0","0","165","402 403 407 409 412","구강악안면외과, 치과보철과, 치과보존과, 영상치의학과, 통합치의학과","","","","0","0","","","0","",
"453","의원","01_01_02_P","4181000","PHMA120134180029041100011","2013-05-16","","01","영업/정상","13","영업중","","","","","033-263-7975","","","","강원특별자치도 춘천시 퇴계농공로 20, 2층 203호 (석사동, 종로타워)","24414","춘천한의원","2025-03-11 14:38:55","U","2025-03-13 02:40:00","한의원","265430.321877481","483479.866333666","한의원","1","0","0","99","301 302 303 304 305 306 307 308 309","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과","","","","0","0","","","0","",
"454","의원","01_01_02_P","4181000","PHMA120134180029041100012","2013-05-20","","01","영업/정상","13","영업중","","","","","033-256-1928","","","","강원특별자치도 춘천시 후석로 355, 2층 (후평동)","24256","하나큐치과의원","2025-03-11 16:25:45","U","2025-03-13 02:40:00","치과의원","265715.434621755","486913.700483201","치과의원","1","0","0","90","412 411 409 407 406 403 402","구강악안면외과, 치과보철과, 치주과, 치과보존과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"455","의원","01_01_02_P","4181000","PHMA120134180029041100013","2013-05-24","","01","영업/정상","13","영업중","","","","","033-262-6369","","","","강원특별자치도 춘천시 후석로186번길 16, 2층 (석사동)","24320","서울미래치과의원","2025-06-19 15:52:18","U","2025-06-21 02:40:00","치과의원","266278.542920672","485232.083077189","치과의원","1","0","0","192","402 403 405 406 407 411 412","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"456","의원","01_01_02_P","4181000","PHMA120134180029041100014","2013-05-24","","01","영업/정상","13","영업중","","","","","033-263-1500","","200-972","강원특별자치도 춘천시 석사동 888번지 5호 더퍼스트빌딩 302호","강원특별자치도 춘천시 지석로 89, 302호 (석사동, 더퍼스트빌딩)","24415","주안내과의원","2022-01-21 17:48:31","I","2023-06-13 00:00:00","의원","265518.964834661","483423.163018745","의원","1","0","0","171","101 111 113 114 112 102 115 105 106 103","내과, 신경과, 정신건강의학과, 정형외과, 신경외과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과","","","","0","0","","","0","",
"457","의원","01_01_02_P","4181000","PHMA120134180029041100015","2013-05-27","","01","영업/정상","13","영업중","","","","","033-255-2003","","","","강원특별자치도 춘천시 퇴계로93번길 4-8, 2층 (퇴계동, 이삭빌딩)","24376","메이시스치과의원","2025-06-16 17:49:03","U","2025-06-18 02:40:00","치과의원","264314.445809001","484615.60719115","치과의원","1","0","0","150","402 403 405 406 407 408 409 411 412","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"458","의원","01_01_02_P","4181000","PHMA120244181030041100010","2024-10-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 춘천시 온의동 156","강원특별자치도 춘천시 춘천로 7, 스카이에비뉴 빌딩 2층 202,203호 (온의동)","24364","퓨어린의원 춘천점","2025-09-19 02:13:19","U","2025-09-21 02:40:00","의원","263362.833176519","485062.156373613","의원","2","0","0","450","114","피부과","","","","0","0","","","0","",
"459","의원","01_01_02_P","4181000","PHMA120244181030041100008","2024-08-02","","01","영업/정상","13","영업중","","","","","033-242-6066","","","","강원특별자치도 춘천시 금강로 67-1, 3층 (조양동)","24352","김해성힐링유외과의원","2024-10-10 13:21:12","U","2024-10-12 02:40:00","의원","264080.985007885","486552.490995468","의원","1","2","2","281","101 104 116","내과, 외과, 영상의학과","","","","0","0","","","0","",
"460","의원","01_01_02_P","4181000","PHMA120244181030041100009","2024-08-12","","01","영업/정상","13","영업중","","","","","033-253-0100","","","강원특별자치도 춘천시 온의동 82-3","강원특별자치도 춘천시 스포츠타운길 494, 2,3층 (온의동)","24431","노정호백세정형외과의원","2025-04-11 04:43:23","U","2025-04-13 02:40:00","의원","262522.322991753","485110.762832986","의원","1","4","12","862","105","정형외과","","","","0","0","","","0","",
"461","의원","01_01_02_P","4181000","PHMA120244181030041100007","2024-07-24","","01","영업/정상","13","영업중","","","","","033-263-8899","","","","강원특별자치도 춘천시 동내면 영서로 1794, 2층","24408","이정환내과의원","2024-10-10 13:19:49","U","2024-10-12 02:40:00","의원","266815.834677066","481866.402267335","의원","3","0","0","165","101 122","내과, 가정의학과","","","","0","0","","","0","",
"462","의원","01_01_02_P","4181000","PHMA120244181030041100005","2024-03-24","","01","영업/정상","13","영업중","","","","","033-244-7575","","","","강원특별자치도 춘천시 스포츠타운길 496, 온의수현빌딩 401,402호 (온의동)","24431","파크경희한의원","2025-05-16 11:01:13","U","2025-05-18 02:40:00","한의원","","","한의원","3","0","0","250.44","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"463","의원","01_01_02_P","4181000","PHMA120244181030041100004","2024-03-14","","01","영업/정상","13","영업중","","","","","1833-2346","","","강원특별자치도 춘천시 온의동 589-2 101호~103호, 201호~202호","강원특별자치도 춘천시 방송길 106, 101호~103호, 201호~202호호 (온의동)","24364","블리비의원","2025-08-29 00:43:15","U","2025-08-31 02:40:00","의원","263367.468807365","485228.657869581","의원","5","0","0","597.8","114","피부과","","","","0","0","","","0","",
"464","의원","01_01_02_P","4181000","PHMA120244181030041100006","2024-04-19","","01","영업/정상","13","영업중","","","","","033-252-2080","","","강원특별자치도 춘천시 우두동 1118-1","강원특별자치도 춘천시 우두1길 101 (우두동)","24221","서울아이브치과의원","2024-09-13 08:43:23","U","2024-09-15 02:40:00","치과의원","264440.606462596","489843.188129103","치과의원","2","0","0","242.96","412 411 410 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"465","의원","01_01_02_P","4181000","PHMA120244181030041100002","2024-02-28","","01","영업/정상","13","영업중","","","","","033-253-7575","","","강원특별자치도 춘천시 후평동 795-1 2층, 3층","강원특별자치도 춘천시 후석로 294, 2층, 3층 (후평동)","24304","더봄365정형외과의원","2025-09-04 21:43:16","U","2025-09-06 02:40:00","의원","266093.582439137","486374.341234476","의원","3","1","2","502.08","105 106 101 120 109","내과, 정형외과, 신경외과, 마취통증의학과, 재활의학과","","","","0","0","","","0","",
"466","의원","01_01_02_P","4181000","PHMA120244181030041100003","2024-02-29","","01","영업/정상","13","영업중","","","","","033-242-8885","","","강원특별자치도 춘천시 효자동 683","강원특별자치도 춘천시 춘천로 68, 3,4층 (효자동)","24366","강남내과의원","2025-03-13 22:43:19","U","2025-03-15 02:40:00","의원","263723.403216774","485540.926015365","의원","3","0","0","316.03","115 114 111 103 102 101","내과, 신경과, 정신건강의학과, 소아청소년과, 피부과, 비뇨의학과","","","","0","0","","","0","",
"467","의원","01_01_02_P","4181000","PHMA120244181030041100001","2024-02-08","","01","영업/정상","13","영업중","","","","","033-910-1005","","","강원특별자치도 춘천시 온의동 82-12 202호","강원특별자치도 춘천시 스포츠타운길 496, 202호 (온의동)","24431","정담의원","2024-03-01 04:43:19","U","2024-03-03 02:40:00","의원","262557.972169502","485122.950724986","의원","2","0","0","126.72","125 115 114 113 111 105 104 102 101","내과, 신경과, 외과, 정형외과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 응급의학과","","","","0","0","","","0","",
"468","의원","01_01_02_P","4181000","PHMA120254181030041100005","2025-08-29","","01","영업/정상","13","영업중","","","","","","","","","강원특별자치도 춘천시 춘천로 185, 3층 302호 (운교동)","24350","고리한의원","2025-09-30 14:24:12","U","2025-10-02 02:40:00","한의원","264586.340983757","486270.51836814","한의원","1","0","0","98.6","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"469","의원","01_01_02_P","4181000","PHMA120254181030041100006","2025-09-19","","01","영업/정상","13","영업중","","","","","033-263-7531","","","강원특별자치도 춘천시 동내면 학곡리 396","강원특별자치도 춘천시 동내면 영서로 1832, 2층","24408","봄고을한의원","2025-09-25 23:43:20","U","2025-09-27 02:40:00","한의원","266788.139311053","482241.886625609","한의원","1","0","0","207.31","308 307 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"470","의원","01_01_02_P","4181000","PHMA120254181030041100003","2025-06-18","","01","영업/정상","13","영업중","","","","","033-256-5200","","","강원특별자치도 춘천시 조양동 37-11","강원특별자치도 춘천시 금강로 59, 3층 (조양동)","24352","예쁨주의쁨의원","2025-09-05 11:13:17","U","2025-09-07 02:40:00","의원","264023.303373688","486621.865118158","의원","2","0","0","497.6","114","피부과","","","","0","0","","","0","",
"471","의원","01_01_02_P","4181000","PHMA120254181030041100002","2025-05-13","","01","영업/정상","13","영업중","","","","","033-251-1234","","","강원특별자치도 춘천시 우두동 1115","강원특별자치도 춘천시 우두1길 87, 3층 (우두동)","24221","우두정형외과의원","2025-05-15 22:13:28","U","2025-05-17 02:40:00","의원","264490.598384816","489683.525898883","의원","1","0","0","322","105 104 101","내과, 외과, 정형외과","","","","0","0","","","0","",
"472","의원","01_01_02_P","4181000","PHMA120254181030041100004","2025-07-04","","01","영업/정상","13","영업중","","","","","033-263-5003","","","","강원특별자치도 춘천시 영서로2141번길 13, 2,3,4층 (퇴계동)","24432","새진한의원","2025-08-05 15:14:24","U","2025-08-07 02:40:00","한의원","264611.71073691","484061.148299041","한의원","2","14","17","765","301 302 303 304 305 306 307 308","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"473","의원","01_01_02_P","4181000","PHMA120254181030041100001","2012-04-09","","01","영업/정상","13","영업중","","","","","033-251-2275","","","강원특별자치도 춘천시 온의동 82-12","강원특별자치도 춘천시 스포츠타운길 496, 301호 (온의동)","24431","온치과의원","2025-03-07 10:44:12","U","2025-03-09 02:40:00","치과의원","262557.972169502","485122.950724986","치과의원","1","0","0","179.97","412 411 410 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"474","의원","01_01_02_P","4181000","PHMA120234181030041100008","2023-12-04","","01","영업/정상","13","영업중","","","","","033-241-8275","","","강원특별자치도 춘천시 석사동 811 5층","강원특별자치도 춘천시 후석로 6, 5층 (석사동)","24391","춘천탑정형외과의원","2025-05-22 23:13:32","U","2025-05-24 02:40:00","의원","264979.381711544","483930.984129394","의원","1","0","0","512","122 105","정형외과, 가정의학과","","","","0","0","","","0","",
"475","의원","01_01_02_P","4181000","PHMA120234181030041100005","2023-10-20","","01","영업/정상","13","영업중","","","","","0507-1424-1575","","","강원특별자치도 춘천시 사농동 46-5 충목빌딩","강원특별자치도 춘천시 사우로 38, 충목빌딩 3층 (사농동)","24226","여름치과의원","2024-09-04 11:54:56","U","2024-09-06 02:40:00","치과의원","264024.170928195","489579.935351208","치과의원","2","0","0","155","407 410 402 412 406 404 405 409 408 403 411","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과","","","","0","0","","","0","",
"476","의원","01_01_02_P","4181000","PHMA120234181030041100006","2023-10-18","","01","영업/정상","13","영업중","","","","","033-262-7589","","","강원특별자치도 춘천시 남산면 창촌리 69-5","강원특별자치도 춘천시 남산면 강촌로 335, 1층","24465","강원한의원","2024-03-11 13:36:07","U","2024-03-13 02:40:00","한의원","256763.18975674","476723.973800068","한의원","1","0","0","89.99","308 307 306 305 304 303 302 301","한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과","","","","0","0","","","0","",
"477","의원","01_01_02_P","4181000","PHMA120234181030041100007","2023-10-31","","01","영업/정상","13","영업중","","","","","033-910-0628","","","강원특별자치도 춘천시 온의동 513-3 강남병원","강원특별자치도 춘천시 경춘로 2364, 강남병원 4층 (온의동)","24436","청춘플란트치과의원","2025-02-28 03:13:17","U","2025-03-02 02:40:00","치과의원","263363.74960516","484877.145433762","치과의원","2","0","0","820","411 410 409 408 407 406 405 404 403 402","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과","","","","0","0","","","0","",
"478","의원","01_01_02_P","4181000","PHMA119984180029041100009","1998-11-16","","04","취소/말소/만료/정지/중지","24","직권폐업","2023-12-11","","","","033)262-2450","","","강원특별자치도 춘천시 퇴계동 산 55번지 4호","강원특별자치도 춘천시 안마산로 97, 4층 (퇴계동)","24455","오케이치과의원","2023-12-11 16:42:43","U","2023-12-13 02:40:00","치과의원","263881.281114526","483867.606009445","치과의원","1","0","0","366","401","치과","","","","0","0","","","0","",
"479","의원","01_01_02_P","4191000","PHMA120064190023041100024","2006-12-20","","02","휴업","02","휴업","","2024-06-03","2025-12-31","","033-761-7754","","220-945","강원특별자치도 원주시 명륜1동 90번지 -4","강원특별자치도 원주시 남원로 671 (명륜동)","26441","은행나무치과의원","2025-07-24 11:43:18","U","2025-07-26 02:40:00","치과의원","284501.964776645","427139.63511567","치과의원","2","0","0","165","401","치과","","","","0","0","","","0","",
"480","의원","01_01_02_P","4191000","PHMA120044190023041100009","2004-04-26","","02","휴업","02","휴업","","2025-04-02","2026-03-01","","033-731-7588","","220-903","강원특별자치도 원주시 중앙동 59번지 14호","강원특별자치도 원주시 원일로 120, 7층 (중앙동)","26428","강윤철피부과의원","2025-04-08 13:10:39","U","2025-04-10 02:40:00","의원","283967.319374904","428006.776464856","의원","2","0","0","201.7","114","피부과","","","","0","0","","","0","",
"481","의원","01_01_02_P","4191000","PHMA120104190023041100013","2010-10-27","","02","휴업","02","휴업","","2025-06-01","2025-11-30","","033-747-6701","","220-963","강원특별자치도 원주시 학성동 311번지 6호 2-3층","강원특별자치도 원주시 원일로 176-1 (학성동)","26415","원주의원","2025-06-05 16:16:30","U","2025-06-08 02:40:00","의원","283756.782954782","428388.408815569","의원","1","4","21","597.05","101 104 105 114 115","내과, 외과, 정형외과, 피부과, 비뇨의학과","","","","0","0","","","0","",
