"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무소전화번호","사업장전화번호",
"82","계량기증명업","09_28_04_P","4241000","2011424011306500001","2011-08-02","","03","폐업","03","폐업","2013-07-25","","","","","","245-802","강원특별자치도 삼척시 원덕읍 산양리 140번지 7호","강원특별자치도 삼척시 원덕읍 가곡천로 2560","245-802","원덕계량증명업소","2019-04-08 17:09:17","I","2023-06-13 00:00:00","","404507.152557699","407473.273437905","","",
"83","계량기증명업","09_28_04_P","4251000","2000425004206500001","2000-09-08","","01","영업/정상","01","영업중","","","","","033 434 4799","","250-804","강원특별자치도 홍천군 홍천읍 하오안리 39번지 2호","강원특별자치도 홍천군 홍천읍 설악로 1487","250-804","홍천계량증명업소","2012-01-27 09:20:38","I","2023-06-13 00:00:00","","276376.953245378","464641.836755056","033 434 4799","",
"84","계량기증명업","09_28_04_P","4251000","2014425009606500001","2014-03-21","","01","영업/정상","01","영업중","","","","","0334356231","","","","강원특별자치도 홍천군 북방면 영서로 3080-22","250-881","주식회사 권선개발","2016-01-30 14:31:01","I","2023-06-13 00:00:00","","273830.745852839","470591.78602183","0334356231","",
"85","계량기증명업","09_28_04_P","4251000","2020425017206500001","2020-01-14","","01","영업/정상","01","영업중","","","","","033 432 8570","","","강원특별자치도 홍천군 북방면 능평리 298번지 1호","강원특별자치도 홍천군 북방면 영서로 3014-13","25112","홍천산업주식회사","2020-01-21 15:56:00","I","2023-06-13 00:00:00","","273978.547642427","469834.599927362","033 432 8570","",
"86","계량기증명업","09_28_04_P","4251000","2022425017206500001","2022-12-30","","01","영업/정상","01","영업중","","","","","","","","","강원특별자치도 홍천군 두촌면 한계길 126","25164","한길계량증명업소","2022-12-30 12:55:10","I","2023-06-13 00:00:00","","287412.166270119","478828.794864184","","",
"87","계량기증명업","09_28_04_P","4261000","2001426000906500001","2001-07-02","","01","영업/정상","01","영업중","","","","","033334417170","","","강원특별자치도 횡성군 횡성읍 학곡리 464-12번지","","","동아상사","2023-05-17 10:58:03","I","2023-06-13 00:00:00","","","","033334417170","",
"88","계량기증명업","09_28_04_P","4261000","2008426005906500001","2008-04-14","","01","영업/정상","01","영업중","","","","","03333451113","","","강원특별자치도 횡성군 우천면 우항리 744번지 8호","강원특별자치도 횡성군 우천면 전재로 49","25248","새말쉼터주유소공인계량증명업소","2019-03-12 13:05:22","I","2023-06-13 00:00:00","","295363.26566184","438827.550114025","03333451113","",
"89","계량기증명업","09_28_04_P","4261000","2013426006306500001","2013-12-20","","01","영업/정상","01","영업중","","","","","224-10-56638","","","","강원특별자치도 횡성군 둔내면 경강로 4555","225-830","둔방주유소","2013-12-20 16:23:40","I","2023-06-13 00:00:00","","","","224-10-56638","",
"90","계량기증명업","09_28_04_P","4261000","2021426010206500001","2021-06-10","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 횡성군 둔내면 둔방내리 315-5","강원특별자치도 횡성군 둔내면 경강로 4529","25266","옛살비주유소","2021-06-11 09:15:58","I","2023-06-13 00:00:00","","306622.982345248","445110.257144781","","",
"91","계량기증명업","09_28_04_P","4261000","2025426107306500001","2025-07-18","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 횡성군 횡성읍 학곡리 877-4","강원특별자치도 횡성군 횡성읍 경강로 1628","25210","횡성공인계량소","2025-07-18 17:59:42","I","2025-07-20 00:20:22","","284445.065882559","445139.906495485","","",
"92","계량기증명업","09_28_04_P","4271000","2005427004206500001","2005-03-11","","01","영업/정상","01","영업중","","","","","0333758933","","","강원특별자치도 영월군 한반도면 쌍용리 산 141번지 1호","강원특별자치도 영월군 한반도면 강원남로 259 (쌍룡계량소)","26214","쌍용계량소","2022-08-05 11:17:37","I","2023-06-13 00:00:00","","317229.695090913","408903.773943574","0333758933","",
"93","계량기증명업","09_28_04_P","4271000","2015427007006524668","2015-05-11","","01","영업/정상","01","영업중","","","","","033 375 2929","","","","강원특별자치도 영월군 북면 원동로 332","26208","주식회사 이엔에스","2022-08-31 14:12:18","I","2023-06-13 00:00:00","","321123.449418684","419575.967499012","033 375 2929","",
"94","계량기증명업","09_28_04_P","4281000","2000428000506500001","2000-08-17","","01","영업/정상","01","영업중","","","","","033 3343356","","232-953","강원특별자치도 평창군 대관령면 유천리 717번지 3호","강원특별자치도 평창군 대관령면 경강로 4259","232-951","성진유천계량증명","2012-02-07 09:37:39","I","2023-06-13 00:00:00","","341873.540921081","464442.671895366","033 3343356","",
"95","계량기증명업","09_28_04_P","4281000","2003428003906500001","2003-07-08","","01","영업/정상","01","영업중","","","","","003303351001","","","강원특별자치도 평창군 진부면 하진부리 687번지 1호 2통 1반","강원특별자치도 평창군 진부면 경강로 3406","232-940","천일계량증명업소","2011-11-22 11:35:15","I","2023-06-13 00:00:00","","336096.988104131","460864.945116386","003303351001","",
"96","계량기증명업","09_28_04_P","4281000","2005428004806500001","2005-05-11","","01","영업/정상","01","영업중","","","","","003303364444","","","강원특별자치도 평창군 진부면 하진부리 1번지 3호","강원특별자치도 평창군 진부면 진부중앙로 184-2","","LG계량소","2017-07-18 21:52:58","I","2023-06-13 00:00:00","","338006.267133633","461608.804187855","003303364444","",
"97","계량기증명업","09_28_04_P","4281000","2008428008306500001","2008-04-17","","01","영업/정상","01","영업중","","","","","0333361300","","232-947","강원특별자치도 평창군 진부면 상진부리 630번지 11호","강원특별자치도 평창군 진부면 진부중앙로 183","","대산진부IC주유소","2013-07-17 15:30:16","I","2023-06-13 00:00:00","","337946.358942229","461631.969028656","0333361300","",
"98","계량기증명업","09_28_04_P","4281000","2013428009406500001","2013-01-18","","01","영업/정상","01","영업중","","","","","033 334 0070","","232-915","강원특별자치도 평창군 대화면 하안미리 1355번지 2호","강원특별자치도 평창군 대화면 평창대로 572","","대화농협주유소","2021-10-15 10:32:57","I","2023-06-13 00:00:00","","328006.137099137","442205.770980054","033 334 0070","",
"99","계량기증명업","09_28_04_P","4281000","2013428009406500002","2013-12-04","","01","영업/정상","01","영업중","","","","","033-336-4506","","232-924","강원특별자치도 평창군 봉평면 평촌리 436번지 6호","강원특별자치도 평창군 봉평면 경강로 1233","232-924","봉평농업협동조합","2013-12-04 16:07:29","I","2023-06-13 00:00:00","","322051.744723757","455797.103864084","033-336-4506","",
"100","계량기증명업","09_28_04_P","4281000","2025428109606500001","2025-06-02","","01","영업/정상","01","영업중","","","","","033 336 5959","","","강원특별자치도 평창군 진부면 하진부리 25-1","강원특별자치도 평창군 진부면 진부로 8","25326","진부공인계량소","2025-06-02 16:23:01","I","2025-06-04 00:20:42","","337984.907508769","461531.026219656","033 336 5959","",
"101","계량기증명업","09_28_04_P","4281000","2004428003906500001","2004-03-02","","03","폐업","03","폐업","2008-07-03","","","","003303325220","","","강원특별자치도 평창군 용평면 이목정리 726번지 1호","강원특별자치도 평창군 용평면 경강로 2220","","대관령원예농협 산지공판장사업소","2008-07-03 20:42:27","I","2023-06-13 00:00:00","","329012.188716602","456859.835766853","003303325220","",
"102","계량기증명업","09_28_04_P","4291000","2006429004006500001","2006-07-12","","01","영업/정상","01","영업중","","","","","033 3780080","","","강원특별자치도 정선군 신동읍 예미리 344번지 1호","강원특별자치도  신동읍 의림로 426","233-822","예미농협계량증명업소","2019-04-08 15:37:32","I","2023-06-13 00:00:00","","346449.729368134","415283.320694233","033 3780080","",
"103","계량기증명업","09_28_04_P","4291000","2007429004006500001","2007-08-23","","01","영업/정상","01","영업중","","","","","033 592 7777","","233-832","강원특별자치도 정선군 남면 유평리 597번지","강원특별자치도 정선군 남면 칠현로 329","233-832","공영공인계량증명업소","2011-11-15 14:31:00","I","2023-06-13 00:00:00","","353748.629123535","422160.431165606","033 592 7777","",
"104","계량기증명업","09_28_04_P","4291000","2011429007206500001","2011-08-17","","01","영업/정상","01","영업중","","","","","033 562 6052","","233-872","강원특별자치도 정선군 임계면 송계리 792번지","강원특별자치도 정선군 임계면 서동로 4570","233-872","임계농업협동조합","2019-04-12 08:39:39","I","2023-06-13 00:00:00","","363669.663900055","445162.323659042","033 562 6052","",
"105","계량기증명업","09_28_04_P","4291000","2018429007206500001","2018-05-29","","01","영업/정상","01","영업중","","","","","033 562 0070","","","강원특별자치도 정선군 정선읍 북실리 778번지 1호","강원특별자치도 정선군 정선읍 정선로 1176","26132","정선회동자원","2018-05-29 11:55:30","I","2023-06-13 00:00:00","","345649.777481389","432324.439663624","033 562 0070","",
"106","계량기증명업","09_28_04_P","4301000","2000430005506500001","1997-10-04","","01","영업/정상","01","영업중","","","","","033 452 7121","","","강원특별자치도 철원군 갈말읍 지포리 47번지 3호","강원특별자치도 철원군 갈말읍 명성로 151","269-802","철원축협","2012-01-25 15:21:24","I","2023-06-13 00:00:00","","226902.843387418","515855.565053614","033 452 7121","",
"107","계량기증명업","09_28_04_P","4301000","2006430005506500001","2006-08-02","","01","영업/정상","01","영업중","","","","","033 452 7121","","","강원특별자치도 철원군 갈말읍 문혜리 1383-8번지","강원특별자치도 철원군 갈말읍 호국로 4991","269-804","철원한양영농조합","2012-01-25 15:19:34","I","2023-06-13 00:00:00","","227530.324082784","518324.256434523","033 452 7121","",
"108","계량기증명업","09_28_04_P","4311000","2005431000706500002","2005-10-03","","01","영업/정상","01","영업중","","","","","033441 8842","","","강원특별자치도 화천군 하남면 원천리 1149번지","강원특별자치도 화천군 하남면 영서로 5785","","(합)대현산업","2022-12-23 16:43:30","I","2023-06-13 00:00:00","","259749.474096788","508333.339311172","033441 8842","",
"109","계량기증명업","09_28_04_P","4311000","2015431005206500001","2015-02-03","","01","영업/정상","01","영업중","","","","","033-442-6626","","","","강원특별자치도 화천군 화천읍 상승로 227-4","209-802","화천군한우협회","2015-02-03 14:21:15","I","2023-06-13 00:00:00","","260701.293864771","511850.781043931","033-442-6626","",
"110","계량기증명업","09_28_04_P","4311000","2000431000706500001","2000-09-18","","03","폐업","03","폐업","2012-12-31","","","","033 4421751","","","강원특별자치도 화천군 화천읍 하리 43번지 19호","강원특별자치도 화천군 화천읍 상승로 48","","화천축산협동조합","2013-06-18 18:20:48","I","2023-06-13 00:00:00","","261726.424341884","511583.049351682","033 4421751","",
"111","계량기증명업","09_28_04_P","4311000","2005431000706500001","2005-01-11","","03","폐업","03","폐업","2009-11-26","","","","033 442 3054","","","강원특별자치도 화천군 하남면 위라리 503번지 5호","강원특별자치도 화천군 하남면 춘화로 3346","","화천공인계량소","2013-06-18 18:19:43","I","2023-06-13 00:00:00","","261826.561553533","510763.126482094","033 442 3054","",
"112","계량기증명업","09_28_04_P","4311000","2011431005206500001","2011-03-03","","03","폐업","03","폐업","2012-12-05","","","","070 42307675","","209-803","강원특별자치도 화천군 화천읍 신읍리 651번지 4호","강원특별자치도 화천군 화천읍 노신로 54-10","209-803","인천계량소","2013-12-16 15:38:39","I","2023-06-13 00:00:00","","261303.493348288","512730.093523278","070 42307675","",
"113","계량기증명업","09_28_04_P","4321000","1998432000706500001","1998-09-01","","03","폐업","03","폐업","","","","","033 481 5601","","","강원특별자치도 양구군 양구읍 상리 269-5번지","","","양구축산업협동조합(폐업)","2011-09-23 15:55:50","I","2023-06-13 00:00:00","","","","033 481 5601","",
"114","계량기증명업","09_28_04_P","4331000","2002433004106500001","2002-11-04","","03","폐업","03","폐업","2017-01-24","","","","033 4612056","","","강원특별자치도 인제군 인제읍 상동리 307번지","강원특별자치도 인제군 인제읍 인제로 166-12","252-806","인제고물상","2017-01-25 08:40:13","I","2023-06-13 00:00:00","","302541.415415205","507732.187490666","033 4612056","",
"115","계량기증명업","09_28_04_P","4331000","2002433003006500001","2002-05-27","","03","폐업","03","폐업","","","","","033 4615421","","","강원특별자치도 인제군 인제읍 합강리 179-9번지","","","인제상사","2008-04-25 11:56:00","I","2023-06-13 00:00:00","","","","033 4615421","",
"116","계량기증명업","09_28_04_P","4331000","2013433005406500001","2013-03-20","","03","폐업","03","폐업","2019-03-05","","","","033 461 9688","","252-802","강원특별자치도 인제군 인제읍 가아리 11번지 9호","강원특별자치도 인제군 인제읍 광치령로 125","252-802","(주)에스엔에너지(지점)","2019-03-05 16:46:06","I","2023-06-13 00:00:00","","304286.064225157","512265.607792289","033 461 9688","",
"117","계량기증명업","09_28_04_P","4351000","2000435000006500001","2000-02-10","","01","영업/정상","01","영업중","","","","","003306725588","","","강원특별자치도 양양군 양양읍 포월리 252번지 포월농공단지내","강원특별자치도 양양군 양양읍 포월새말길 23-68","215-801","양양자동차해체산업(주)","2018-06-11 14:53:07","I","2023-06-13 00:00:00","","342719.825917322","511911.184944725","003306725588","",
"118","계량기증명업","09_28_04_P","4351000","2021435006906500001","2021-10-21","","01","영업/정상","01","영업중","","","","","0336710207","","","","강원특별자치도 양양군 양양읍 안산1길 61","25032","대룡자원","2021-10-26 15:52:05","I","2023-06-13 00:00:00","","342856.573926575","508885.303767626","0336710207","",
"119","계량기증명업","09_28_04_P","4351000","2024435100906500001","2024-01-03","","01","영업/정상","01","영업중","","","","","033 673 1151","","","강원특별자치도 양양군 손양면 와리 194 (주)제아이씨","강원특별자치도 양양군 손양면 상촌로 160, (주)제아이씨","25045","(주)제아이씨","2024-01-03 17:04:50","I","2024-01-05 00:16:30","","344088.763723837","505661.589466825","033 673 1151","",
