"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료유사업종별명","직원수","자격증소유자수","보조직원수","시설관리자수","기타직원수","병상수","욕실면적","총면적",
"67","의료유사업","01_01_10_P","4191000","PHMB420074190023042400006","2007-10-01","","01","영업/정상","13","영업중","","","","","033-742-5445","","220-939","강원특별자치도 원주시 단계동 843번지 6호 5층","강원특별자치도 원주시 장미공원길 16 (단계동,5층)","","S안마시술소","2024-10-21 17:42:20","U","2024-10-23 02:40:00","안마시술소","282635.746155262","427600.847930095","안마시술소","5","0","0","0","0","30","0","750.8",
"68","의료유사업","01_01_10_P","4191000","PHMB420084190023042400002","2008-08-27","","01","영업/정상","13","영업중","","","","","","","220-904","강원특별자치도 원주시 중앙동 56번지 44호 자유시장 지하 나-7호","강원특별자치도 원주시 중앙시장길 11 (중앙동,자유시장 지하 나-7호)","","명안마원","2012-01-05 10:50:36","I","2023-06-13 00:00:00","안마원","284033.921552232","428036.658847502","안마원","1","0","0","0","0","1","0","55",
"69","의료유사업","01_01_10_P","4191000","PHMB420104190023042400002","2010-12-29","","01","영업/정상","13","영업중","","","","","033-743-7553","","","강원특별자치도 원주시 평원동 310-12","강원특별자치도 원주시 평원로 44, 1층 (평원동)","26430","권재혁전통안마원","2025-07-15 16:35:20","U","2025-07-17 02:40:00","안마원","284288.256506169","427981.380519003","안마원","6","0","0","0","0","7","0","184",
"70","의료유사업","01_01_10_P","4191000","PHMB420244191050042400001","2024-01-29","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 관설동 1735-10","강원특별자치도 원주시 관설안길 26, 1층 (관설동)","26472","원주안마원","2024-02-07 16:17:35","U","2024-02-09 02:40:00","안마원","285074.054174231","424344.063065181","안마원","1","0","0","0","0","5","0","120.05",
"71","의료유사업","01_01_10_P","4191000","PHMB420254191050042400001","2025-05-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 관설동 1716-6","강원특별자치도 원주시 단관초교길 30-5, 102호 (관설동)","26472","행복한 안마원","2025-05-29 16:31:54","I","2025-05-31 00:20:02","안마원","285327.538680588","424224.657570322","안마원","1","0","0","0","0","1","0","51.22",
"72","의료유사업","01_01_10_P","4191000","PHMB42007042400001","2007-05-09","","04","취소/말소/만료/정지/중지","24","직권폐업","2009-02-27","","","","033-901-9754","","220-940","강원특별자치도 원주시 단구동 114번지 14호","강원특별자치도 원주시 치악로1570번길 2 (단구동)","","대로안마원","2010-12-17 10:38:50","I","2023-06-13 00:00:00","안마원","285227.912574244","425040.698217521","안마원","1","0","0","0","0","1","0","70.5",
"73","의료유사업","01_01_10_P","4201000","PHMB419964200028042400001","1996-08-22","","03","폐업","03","폐업","2011-08-04","2011-01-18","2011-07-17","","647-3100","","210-933","강원특별자치도 강릉시 옥천동 304번지","강원특별자치도 강릉시 중기1길 13 (옥천동)","","신데렐라안마시술소","2011-08-04 11:15:43","I","2023-06-13 00:00:00","안마시술소","367511.627965187","475074.120066318","안마시술소","2","0","0","0","0","12","0","406",
"74","의료유사업","01_01_10_P","4201000","PHMB420014200028042400001","2001-04-23","","03","폐업","03","폐업","2021-06-07","2019-07-01","2019-10-01","","","","210-920","강원특별자치도 강릉시 교2동 149번지 19호","강원특별자치도 강릉시 강릉대로 250 (교동)","25551","와우안마시술소","2021-06-07 13:58:19","I","2023-06-13 00:00:00","안마시술소","367132.990435717","474760.60502348","안마시술소","2","0","0","0","0","17","0","356.5",
"75","의료유사업","01_01_10_P","4201000","PHMB420124200028042400001","2012-08-29","","03","폐업","03","폐업","2013-12-12","","","","644-5511","","210-920","강원특별자치도 강릉시 교2동 136번지 11호","강원특별자치도 강릉시 옥천로62번길 24 (교동)","","안마코리아","2013-12-12 13:51:20","I","2023-06-13 00:00:00","안마시술소","367347.216223276","474938.192905934","안마시술소","2","0","0","0","0","17","0","575.25",
"76","의료유사업","01_01_10_P","4201000","PHMB420134200028042400001","2013-12-16","","03","폐업","03","폐업","2014-07-24","","","","","","","","강원특별자치도 강릉시 옥천로62번길 24 (옥천동)","210-933","안마코리아","2014-07-24 07:08:04","I","2023-06-13 00:00:00","안마시술소","367347.216223276","474938.192905934","안마시술소","2","0","0","0","0","17","0","575.25",
"77","의료유사업","01_01_10_P","4201000","PHMB420144200028042400001","2014-07-23","","03","폐업","03","폐업","2021-03-23","2015-09-08","2015-12-31","","033-644-5511","","210-920","강원특별자치도 강릉시 교동 136번지 11호","강원특별자치도 강릉시 옥천로62번길 24 (교동)","210-920","안마코리아","2021-03-31 16:48:26","I","2023-06-13 00:00:00","안마시술소","367347.216223276","474938.192905934","안마시술소","2","0","0","0","0","18","0","575.25",
"78","의료유사업","01_01_10_P","4201000","PHMB420164200028042400002","2016-11-30","","03","폐업","03","폐업","2021-11-01","","","","033-662-2020","","","","강원특별자치도 강릉시 주문진읍 해안로 1808, 2층","25411","대린안마원","2021-11-04 14:13:32","I","2023-06-13 00:00:00","안마원","361111.802169231","489606.801019084","안마원","2","0","0","0","0","0","0","88",
"79","의료유사업","01_01_10_P","4201000","PHMB420204200028042400001","2020-10-07","","01","영업/정상","13","영업중","","","","","033-642-6663","","","강원특별자치도 강릉시 임당동 109-2","강원특별자치도 강릉시 경강로 2113, 3층 (임당동)","25531","강릉시민안마원","2024-11-15 09:01:46","U","2024-11-17 02:40:00","안마원","367161.616976818","474310.541057523","안마원","2","0","0","0","0","5","0","151.8",
"80","의료유사업","01_01_10_P","4201000","PHMB420214200028042400002","2021-04-21","","01","영업/정상","13","영업중","","","","","0336445511","","","","강원특별자치도 강릉시 옥천로62번길 24 (교동)","25551","안마코리아","2023-12-29 16:11:06","U","2023-12-31 02:40:00","안마시술소","367347.216223276","474938.192905934","안마시술소","2","0","0","0","0","24","0","697.77",
"81","의료유사업","01_01_10_P","4201000","PHMB420214200028042400003","2021-06-01","","01","영업/정상","13","영업중","","","","","033-645-4787","","","강원특별자치도 강릉시 교동 136","강원특별자치도 강릉시 옥가로 61, 1층 (교동)","25551","기찬안마원","2023-10-16 14:29:02","U","2023-10-18 02:40:00","안마원","367370.455209422","474959.962199995","안마원","1","0","0","0","0","3","0","66",
"82","의료유사업","01_01_10_P","4201000","PHMB420104200028042400001","2010-01-27","","01","영업/정상","13","영업중","","","","","653-8917","","210-953","강원특별자치도 강릉시 포남1동 1170번지 5호","강원특별자치도 강릉시 성덕포남로162번길 9-2 (포남동)","25571","덕산지압원","2023-10-16 14:36:57","U","2023-10-18 02:40:00","안마원","368351.906945487","475600.066637713","안마원","1","0","0","0","0","5","0","62.84",
"83","의료유사업","01_01_10_P","4201000","PHMB420154200028042400001","2015-03-12","","01","영업/정상","13","영업중","","","","","033-644-5637","","","","강원특별자치도 강릉시 범일로 664 (내곡동)","25604","강릉안마원","2023-10-16 14:39:08","U","2023-10-18 02:40:00","안마원","366070.826803292","473074.893953062","안마원","3","0","0","0","0","0","0","32.75",
"84","의료유사업","01_01_10_P","4201000","PHMB420164200028042400001","2016-09-28","","01","영업/정상","13","영업중","","","","","033-643-5510","","","","강원특별자치도 강릉시 경강로 2251-1, 5층 (포남동)","25546","보건안마원","2023-10-16 13:27:13","U","2023-10-18 02:40:00","안마원","368094.483252295","475314.106451524","안마원","5","0","0","0","0","7","0","151.09",
"85","의료유사업","01_01_10_P","4201000","PHMB420174200028042400001","2017-10-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 포남동 1174번지 9호","강원특별자치도 강릉시 하평길 2, 2층 (포남동)","25572","약손지압안마원","2023-10-16 14:28:06","U","2023-10-18 02:40:00","안마원","368140.807516594","475816.67103829","안마원","1","0","0","0","0","1","0","144.26",
"86","의료유사업","01_01_10_P","4211000","PHMB420064210020042400001","2006-08-23","","03","폐업","03","폐업","2010-02-17","","","","033-533-9494","","240-812","강원특별자치도 동해시 천곡동 857번지  3층","강원특별자치도 동해시 한섬로 107 (천곡동,3층)","","동해안마시술소","2010-02-17 10:02:22","I","2023-06-13 00:00:00","안마시술소","386960.063949272","448670.809283514","안마시술소","3","0","0","0","0","11","0","220.47",
"87","의료유사업","01_01_10_P","4211000","PHMB420104210020042400001","2014-05-08","","03","폐업","03","폐업","2025-09-01","","","","033-533-9494","","240-812","강원특별자치도 동해시 천곡동 857번지 경성빌딩 3층","강원특별자치도 동해시 한섬로 107, 3층 (천곡동, 경성빌딩)","25769","동하안마시술소","2025-09-01 13:55:23","U","2025-09-03 02:40:00","안마시술소","386960.063949272","448670.809283514","안마시술소","3","0","0","0","0","14","0","264.42",
"88","의료유사업","01_01_10_P","4211000","PHMB420224210020042400001","2022-05-25","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 천곡동 1078-17","강원특별자치도 동해시 샘실3길 84-2, 1층 (천곡동)","25761","힐링조이안마원","2023-10-05 15:08:45","U","2023-10-07 02:40:00","안마원","386538.345980109","448654.200240346","안마원","1","0","0","0","0","3","0","61.1",
"89","의료유사업","01_01_10_P","4221000","PHMB420114220024042400001","2011-05-17","","03","폐업","03","폐업","2012-03-20","","","","552-6537","","235-030","강원특별자치도 태백시 소도동 10번지 22호","강원특별자치도 태백시 소도길 40 (소도동)","","소도안마원","2012-03-20 16:50:25","I","2023-06-13 00:00:00","안마원","375513.048162195","405637.102286772","안마원","1","0","0","0","0","3","0","42",
"90","의료유사업","01_01_10_P","4221000","PHMB420164220024042400001","2016-06-30","","01","영업/정상","13","영업중","","","","","033-552-6537","","","강원특별자치도 태백시 황지동 95번지 9호","강원특별자치도 태백시 황지로 34-1, 2층 (황지동)","26021","태백건강안마원","2018-11-21 11:53:48","I","2023-06-13 00:00:00","안마원","376786.401135022","408519.915309989","안마원","1","0","0","0","0","0","0","108.6",
"91","의료유사업","01_01_10_P","4231000","PHMB420034230018042400001","2003-09-23","","03","폐업","03","폐업","2019-12-30","2015-11-03","2015-12-03","","033-638-0022","","217-060","강원특별자치도 속초시 교동 988-1","강원특별자치도 속초시 먹거리2길 34 (교동)","24855","뉴속초안마시술소","2019-12-30 17:17:36","I","2023-06-13 00:00:00","안마시술소","338054.634069055","522366.505391292","안마시술소","3","0","0","0","0","31","0","797.83",
"92","의료유사업","01_01_10_P","4231000","PHMB420044230018042400001","2004-09-17","","03","폐업","03","폐업","2014-08-18","","","","033-636-5301","","217-060","강원특별자치도 속초시 교동 664-178","강원특별자치도 속초시 중앙로40번길 5 (교동)","217-060","대명안마시술소","2014-08-18 09:59:27","I","2023-06-13 00:00:00","안마시술소","338442.864179986","523028.225686356","안마시술소","2","0","0","0","0","16","0","438",
"93","의료유사업","01_01_10_P","4231000","PHMB420114230018042400002","2011-04-04","","03","폐업","03","폐업","2011-12-30","","","","033-633-5599","","217-812","강원특별자치도 속초시 조양동 1419번지 40호","강원특별자치도 속초시 청호로1길 27 (조양동)","217-080","해븐안마시술소","2012-07-27 16:10:22","I","2023-06-13 00:00:00","안마시술소","339921.145633858","522057.044174246","안마시술소","4","0","0","0","0","27","0","799.7",
"94","의료유사업","01_01_10_P","4231000","PHMB420124230018042400001","2012-01-06","","03","폐업","03","폐업","2015-04-07","2014-09-01","2015-08-31","","","","217-812","강원특별자치도 속초시 조양동 1419번지 40호","강원특별자치도 속초시 청호로1길 27 (조양동)","","해븐안마시술소","2015-04-07 14:38:03","I","2023-06-13 00:00:00","안마시술소","339921.145633858","522057.044174246","안마시술소","2","0","0","0","0","31","0","799.7",
"95","의료유사업","01_01_10_P","4231000","PHMB420114230018042400001","2011-03-22","","01","영업/정상","13","영업중","","","","","","","217-130","강원특별자치도 속초시 장사동 626번지","강원특별자치도 속초시 중앙로 406 (장사동)","24804","다나시술원","2011-11-08 18:13:17","I","2023-06-13 00:00:00","안마원","339027.793719843","525760.33963042","안마원","1","0","0","0","0","0","0","98.29",
"96","의료유사업","01_01_10_P","4231000","PHMB420114230018042400003","2011-05-02","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 속초시 중앙동 468-95","강원특별자치도 속초시 중앙로 164, 2층 (중앙동)","24824","드림안마시술원","2024-08-16 17:45:05","U","2024-08-18 02:40:00","안마원","339409.460585698","523662.239363715","안마원","1","0","0","0","0","0","0","127.67",
"97","의료유사업","01_01_10_P","4231000","PHMB420214230018042400001","2021-07-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 속초시 교동 963-4","강원특별자치도 속초시 먹거리길 18, 2층 (교동)","24858","수기근통안마원","2021-07-14 15:50:19","I","2023-06-13 00:00:00","안마원","337877.848377721","522648.692648239","안마원","1","0","0","0","0","1","0","60.01",
"98","의료유사업","01_01_10_P","4231000","PHMB420204230018042400001","2020-04-29","","01","영업/정상","13","영업중","","","","","033-638-0022","","","","강원특별자치도 속초시 먹거리2길 34 (교동)","24855","킹안마시술소","2025-06-27 17:32:58","U","2025-06-29 02:40:00","안마시술소","338054.634069055","522366.505391292","안마시술소","2","0","0","0","0","31","0","797.83",
"99","의료유사업","01_01_10_P","4241000","PHMB420164240025042400001","2016-11-10","","01","영업/정상","13","영업중","","","","","033-575-9588","","","강원특별자치도 삼척시 성내동 2번지 18호","강원특별자치도 삼척시 대학로 17-19 (성내동)","25917","대명안마원","2020-05-20 16:55:07","I","2023-06-13 00:00:00","안마원","391338.901078053","440015.494733465","안마원","1","0","0","0","0","0","0","69.7",
"100","의료유사업","01_01_10_P","4251000","PHMB420094250013042400001","2009-10-22","","03","폐업","03","폐업","2013-11-01","","","","033-436-7588","","250-805","강원특별자치도 홍천군 홍천읍 신장대리 16번지 3호","강원특별자치도 홍천군 홍천읍 번영로 58","250-805","홍천별안마원","2013-11-01 14:05:49","I","2023-06-13 00:00:00","안마원","278141.784628924","465671.492702223","안마원","1","0","0","0","0","4","0","45.81",
"101","의료유사업","01_01_10_P","4251000","PHMB420064250013042400001","2006-06-01","","03","폐업","03","폐업","2009-11-20","","","","(033)435-8817","","250-885","강원특별자치도 홍천군 북방면 상화계리 329번지 9호 (2층)","강원특별자치도 홍천군 북방면 홍천로 11 ((2층))","","북방안마원","2009-11-20 09:10:42","I","2023-06-13 00:00:00","안마원","275101.71330923","466887.718613674","안마원","1","0","0","0","0","1","0","9.45",
"102","의료유사업","01_01_10_P","4251000","PHMB420084250013042400001","2008-06-19","","03","폐업","03","폐업","2010-05-17","","","","433-9778","","250-930","강원특별자치도 홍천군 홍천읍 연봉리 260번지 3호","","","세븐안마시술소","2010-05-17 13:00:12","I","2023-06-13 00:00:00","안마시술소","277448.073696473","465254.232505892","안마시술소","2","0","0","0","0","23","56.51","771.08",
"103","의료유사업","01_01_10_P","4251000","PHMB419714250013042400001","1971-09-11","","03","폐업","03","폐업","2017-12-26","","","","033-435-3258","","250-864","강원특별자치도 홍천군 내촌면 물걸리 220번지","강원특별자치도 홍천군 내촌면 동창복골길 6","25162","동창안마물리시술원","2017-12-26 11:40:18","I","2023-06-13 00:00:00","안마원","301028.972091538","476383.550311713","안마원","0","0","0","0","0","1","0","150",
"104","의료유사업","01_01_10_P","4251000","PHMB419734250013042400001","1973-06-20","","03","폐업","03","폐업","2012-04-05","","","","033-434-3037","","250-809","강원특별자치도 홍천군 홍천읍 희망리 320번지 12호","","","이철수안마시술소","2012-04-20 15:17:07","I","2023-06-13 00:00:00","안마원","277830.214654698","465884.379369346","안마원","1","0","0","0","0","0","0","23",
"105","의료유사업","01_01_10_P","4251000","PHMB420144250013042400002","2014-12-02","","03","폐업","03","폐업","2015-02-05","","","","","","","","강원특별자치도 홍천군 홍천읍 남산강변로 51","250-807","이정일건강지킴이안마원","2015-02-05 14:51:21","I","2023-06-13 00:00:00","안마원","277937.25347002","465222.536644631","안마원","0","0","0","0","0","2","0","101.85",
"106","의료유사업","01_01_10_P","4251000","PHMB420114250013042400001","2011-05-16","","01","영업/정상","13","영업중","","","","","033-435-5286","","250-813","강원특별자치도 홍천군 화촌면 굴운리 439번지 1반","강원특별자치도 홍천군 화촌면 굴운로75번길 20-3","","오산시술원","2022-04-21 18:24:42","I","2023-06-13 00:00:00","안마원","283679.597655762","470836.122649862","안마원","0","0","0","0","0","3","0","87.81",
"107","의료유사업","01_01_10_P","4251000","PHMB419954250013042400001","1995-11-23","","01","영업/정상","13","영업중","","","","","033-434-7012","","250-809","강원특별자치도 홍천군 홍천읍 희망리 378번지 1호","강원특별자치도 홍천군 홍천읍 홍천로 336-9","","건강안마시술소","2022-04-21 18:21:34","I","2023-06-13 00:00:00","안마원","277779.627132551","465433.883863684","안마원","1","0","0","0","0","1","0","50",
"108","의료유사업","01_01_10_P","4251000","PHMB419964250013042400001","1996-06-02","","01","영업/정상","13","영업중","","","","","033-435-2919","","250-821","강원특별자치도 홍천군 두촌면 자은리 887번지 5호","강원특별자치도 홍천군 두촌면 자은장터길 4-7","","두촌시술원","2022-04-21 18:23:29","I","2023-06-13 00:00:00","안마원","289639.801976057","485492.871389381","안마원","0","0","0","0","0","2","0","32.55",
"109","의료유사업","01_01_10_P","4251000","PHMB420084250013042400002","2008-10-23","","01","영업/정상","13","영업중","","","","","033-433-8575","","250-936","강원특별자치도 홍천군 홍천읍 연봉6리 492번지 3호","강원특별자치도 홍천군 홍천읍 연봉중앙로 90-1","25147","송화지압안마원","2025-10-27 15:43:46","U","2025-10-29 02:40:00","안마원","277723.26117432","465012.038569818","안마원","2","0","0","0","0","5","0","149.46",
"110","의료유사업","01_01_10_P","4251000","PHMB420144250013042400001","2014-03-14","","01","영업/정상","13","영업중","","","","","033-436-5009","","250-801","강원특별자치도 홍천군 홍천읍 검율리 117번지 3호 4반","강원특별자치도 홍천군 홍천읍 오룡로 63-8","25151","고침안마원","2022-04-21 18:25:37","I","2023-06-13 00:00:00","안마원","280961.687756916","466507.640692309","안마원","0","0","0","0","0","2","0","28.47",
"111","의료유사업","01_01_10_P","4251000","PHMB420154250013042400001","2015-02-13","","01","영업/정상","13","영업중","","","","","033-432-1075","","","강원특별자치도 홍천군 홍천읍 희망리 155-2","강원특별자치도 홍천군 홍천읍 희망로 67","25123","건강지킴이안마원","2022-07-22 13:33:37","I","2023-06-13 00:00:00","안마원","278458.048159198","466131.957330196","안마원","1","0","0","0","0","4","0","114.3",
"112","의료유사업","01_01_10_P","4251000","PHMB420254251049042400001","2025-10-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 홍천군 홍천읍 신장대리 8-136","강원특별자치도 홍천군 홍천읍 신장대로 88, 2층","25137","김선생 안마원","2025-10-27 13:29:50","I","2025-10-29 00:20:02","안마원","278081.093622217","465736.281289887","안마원","1","0","0","0","0","2","0","72",
"113","의료유사업","01_01_10_P","4261000","PHMB420134260015042400001","2013-10-17","","01","영업/정상","13","영업중","","2014-10-23","2017-02-28","","","","","강원특별자치도 횡성군 횡성읍 읍하리 134-32","강원특별자치도 횡성군 횡성읍 문정로 10, 1층","25233","오성안마원","2025-03-18 15:08:45","U","2025-03-20 02:40:00","안마원","287006.763140385","443563.362679725","안마원","1","0","0","0","0","2","0","55.51",
"114","의료유사업","01_01_10_P","4261000","PHMB420174260015042400001","2017-01-02","","01","영업/정상","13","영업중","","","","","033-345-8889","","","","강원특별자치도 횡성군 횡성읍 읍마남로25번길 14-5","25227","라파참안마원","2017-01-04 17:46:05","I","2023-06-13 00:00:00","안마원","287745.827298517","443463.384059201","안마원","1","0","0","0","0","4","0","93.95",
"115","의료유사업","01_01_10_P","4271000","PHMB420134270014042400001","2013-08-07","","03","폐업","03","폐업","2013-09-02","","","","","","","","강원특별자치도 영월군 영월읍 영월향교1길 5","230-805","약손지압안마원","2013-09-02 16:10:53","I","2023-06-13 00:00:00","안마원","330664.657402719","410206.018816283","안마원","1","0","0","0","0","1","0","56.68",
"116","의료유사업","01_01_10_P","4271000","PHMB420224270014042400001","2022-11-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 영월군 영월읍 영흥리 940-18","강원특별자치도 영월군 영월읍 하송안길 117, 2층","26236","보건안마원","2024-10-22 15:05:51","U","2024-10-24 02:40:00","안마원","330367.834238932","410066.967469507","안마원","2","0","0","0","0","6","0","163.6",
"117","의료유사업","01_01_10_P","4281000","PHMB420194280009042400001","2019-12-06","","03","폐업","03","폐업","2023-10-10","","","","033-332-7588","","","","강원특별자치도 평창군 진부면 진부중앙로 99","25325","약손안마지압원","2023-10-11 16:50:58","U","2023-10-13 02:40:00","안마원","337672.846847436","460863.298035356","안마원","2","0","0","0","0","4","0","120.57",
"118","의료유사업","01_01_10_P","4291000","PHMB420054290013042400001","2005-03-16","","03","폐업","03","폐업","2019-10-29","","","","592-8088","","233-901","강원특별자치도 정선군 사북읍 사북리 369번지 19호","강원특별자치도 정선군 사북읍 사북3길 8","26153","스타","2019-10-28 16:14:31","I","2023-06-13 00:00:00","안마시술소","361318.90158625","415507.593203062","안마시술소","2","0","0","0","0","15","48","756",
"119","의료유사업","01_01_10_P","4291000","PHMB420084290013042400001","2008-08-06","","03","폐업","03","폐업","2012-04-02","","","","592-9905","","233-901","강원특별자치도 정선군 사북읍 사북리 356번지 27호 (석탄회관3층)","강원특별자치도  사북1길 37 (석탄회관3층)","233-906","서울안마시술소","2012-05-14 11:01:16","I","2023-06-13 00:00:00","안마시술소","360900.728082379","415501.61057105","안마시술소","3","0","0","0","0","15","0","488.4",
"120","의료유사업","01_01_10_P","4291000","PHMB420034290013042400001","2003-08-18","","03","폐업","03","폐업","2012-05-14","","","","592-3155","","233-901","강원특별자치도 정선군 사북읍 사북리 317번지 3호","강원특별자치도 정선군 사북읍 사북중앙로 77","233-900","벅시","2012-05-14 13:14:11","I","2023-06-13 00:00:00","안마시술소","361743.847071161","415460.989494343","안마시술소","2","0","0","0","0","16","0","296",
"121","의료유사업","01_01_10_P","4291000","PHMB420094290013042400001","2009-08-14","","03","폐업","03","폐업","2010-08-09","","","","","","","강원특별자치도 정선군 사북읍 사북리 317-31 동양빌딩","강원특별자치도 정선군 사북읍 사북중앙로 69, 동양빌딩","26150","대박","2020-10-28 19:48:34","I","2023-06-13 00:00:00","안마시술소","361657.991324115","415496.892500557","안마시술소","2","0","0","0","0","26","22.5","703",
"122","의료유사업","01_01_10_P","4291000","PHMB420104290013042400001","2010-08-11","","03","폐업","03","폐업","2017-01-19","2016-06-09","2016-07-08","","591-0080","","233-901","강원특별자치도 정선군 사북읍 사북리 317번지 31호","강원특별자치도 정선군 사북읍 사북중앙로 69","26150","세븐안마","2017-01-20 16:36:53","I","2023-06-13 00:00:00","안마시술소","361657.991324115","415496.892500557","안마시술소","2","0","0","0","0","25","22.5","422",
"123","의료유사업","01_01_10_P","4291000","PHMB420124290013042400001","2012-12-11","","03","폐업","03","폐업","2018-06-08","","","","","","","강원특별자치도 정선군 남면 369번지 16호","강원특별자치도 정선군 남면 지장천로 64-1","26147","해피지압안마원","2018-06-14 09:19:43","I","2023-06-13 00:00:00","안마원","357645.742186634","416926.377791948","안마원","2","0","0","0","0","1","0","46",
"124","의료유사업","01_01_10_P","4291000","PHMB420124290013042400002","2012-12-20","","03","폐업","03","폐업","2023-08-17","","","","","","","강원특별자치도 정선군 사북읍 사북리 317-3 태림빌딩","강원특별자치도 정선군 사북읍 사북중앙로 77, 태림빌딩","26150","수안마","2023-08-17 19:48:01","U","2023-08-19 02:40:00","안마시술소","361743.847071161","415460.989494343","안마시술소","2","0","0","0","0","7","37.9","734.94",
"125","의료유사업","01_01_10_P","4311000","PHMB420084310010042400001","2008-01-04","","03","폐업","03","폐업","2010-03-25","","","","033-441-4242","","209-834","강원특별자치도 화천군 사내면 사창리 456번지 17호","강원특별자치도 화천군 사내면 사내로2길 10-14","","생수시술원","2010-03-25 14:53:53","I","2023-06-13 00:00:00","안마시술소","245741.982518887","507650.258796816","안마시술소","1","0","0","0","0","1","0","66.93",
"126","의료유사업","01_01_10_P","4321000","PHMB419984320010042400001","1998-02-26","","03","폐업","03","폐업","2010-05-03","","","","033-482-7896","","255-802","강원특별자치도 양구군 양구읍 상리 259번지","","","원강안마원","2010-05-03 12:53:34","I","2023-06-13 00:00:00","안마원","286760.141418355","511795.064179073","안마원","1","0","0","0","0","0","0","25.66",
"127","의료유사업","01_01_10_P","4321000","PHMB420124320010042400001","2012-08-28","","03","폐업","03","폐업","2024-08-22","","","","033-482-7895","","","강원특별자치도 양구군 양구읍 상리 243-9","강원특별자치도 양구군 양구읍 장터길 22","24534","원강안마테라피안마원","2024-08-23 10:15:11","U","2024-08-25 02:40:00","안마원","286781.108369528","511660.380173605","안마원","2","0","0","0","0","2","0","57",
"128","의료유사업","01_01_10_P","4331000","PHMB419984330012042400001","1998-03-03","","01","영업/정상","13","영업중","","","","","461-5758","","","강원특별자치도 인제군 기린면 현리 415번지 10호","강원특별자치도 인제군 기린면 기린로 47-1","24660","오행안마원","2025-07-28 16:22:56","U","2025-07-30 02:40:00","안마원","315780.998020742","495683.330175698","안마원","1","0","0","0","0","1","0","36.61",
"129","의료유사업","01_01_10_P","4331000","PHMB420024330012042400001","2002-06-27","","01","영업/정상","13","영업중","","","","","461-3208","","","","강원특별자치도 인제군 인제읍 비봉로 9-2","24635","한림침안마시술원","2015-07-14 16:55:41","I","2023-06-13 00:00:00","안마원","302860.324554382","507918.46201144","안마원","1","0","0","0","0","1","0","87.61",
"130","의료유사업","01_01_10_P","4331000","PHMB420064330012042400001","2006-03-30","","01","영업/정상","13","영업중","","","","","461-2356","","","강원특별자치도 인제군 서화면 천도리 625-7","강원특별자치도 인제군 서화면 천도로 110","24603","동명침안마원","2021-06-28 13:02:10","I","2023-06-13 00:00:00","안마원","305786.2861209","525021.628839023","안마원","1","0","0","0","0","1","0","33",
"131","의료유사업","01_01_10_P","4341000","PHMB420144340013042400001","2014-10-17","","01","영업/정상","13","영업중","","","","","","","219-801","강원특별자치도 고성군 간성읍 하리 22번지 2호","강원특별자치도 고성군 간성읍 간성로 75","24729","구민시술원","2014-10-17 17:37:05","I","2023-06-13 00:00:00","안마원","328079.783022061","542823.753363609","안마원","0","0","0","0","0","0","0","85.92",
"132","의료유사업","01_01_10_P","4351000","PHMB420034350012042400001","2003-04-22","","03","폐업","03","폐업","2009-09-07","2009-03-13","2009-09-12","","033)672-2922","","","강원특별자치도 양양군 양양읍 남문리 29","강원특별자치도 양양군 양양읍 양양로 53","25030","양양안마시술소","2020-11-05 17:11:55","I","2023-06-13 00:00:00","안마시술소","342361.779394766","509324.852072128","안마시술소","5","0","0","0","0","15","0","484.02",
