"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"68","문화예술법인","03_08_03_P","6530000","A0100642000020060006","2006-03-20","","01","영업/정상","1","","","","","","0332568000","","","강원특별자치도 춘천시 효자동 709번지 10호 화남빌딩 내","강원특별자치도 춘천시 공지로 293 (효자동,화남빌딩 내)","","춘천팝스오케스트라","2006-11-09 14:49:01","I","2023-06-13 00:00:00","","264397.572006772","485169.460834348","예술(사단)","","","","","","","","0","","지역의 대중음악연주 활동과 청소년음악전공자의 학자금 지원사업과 양로원, 불우단체 등 문화소외지역
주민을 위한 음악연주사업, 기타 국내외 문화친선 교류사업 등 시민들의 문화예술 활동을 지원코자 함","","","춘천팝스오케스트라",
"69","문화예술법인","03_08_03_P","6530000","A0100642000020060007","2006-03-23","","01","영업/정상","1","","","","","","0337621400","","","강원특별자치도 원주시 개운동 384번지 42호","강원특별자치도 원주시 개봉교길 10 (개운동)","","한반도문화예술협회","2006-11-09 14:50:41","I","2023-06-13 00:00:00","","284670.078827731","427201.282452413","문화(사단)","","","","","","","","0","","주민들의 애국심고취 및 남북문화예술교류에 관한 사업과 학생과 일반인의 문화예술활동을 지원하여
저변을 확대하고 한반도문화예술상을 제저하여 시상함으로써 누구나 문화예술에 접근할 수 &#51062;는 평생
교육의 장으로 만들기 위함","","","한반도문화예술협회",
"70","문화예술법인","03_08_03_P","6530000","A0100642000020060008","2006-04-03","","01","영업/정상","1","","","","","","0334559782","","","강원특별자치도 철원군 철원읍 화지리 31번지 12호 7통 2반","강원특별자치도 철원군 철원읍 금학로291번길 4-3","","중정다례교육원","2006-11-09 14:51:55","I","2023-06-13 00:00:00","","218630.486809397","523448.392740047","문화(사단)","","","","","","","","0","","주민 및 청소년들에게 다례교육을 통한 인성예절교육을 실시하고, 전통차예절교육을 통하여 전통문화를 
계승 및 발전시키며, 우리것에 대한 사랑과 깊은 이해를 통해 애국 애족의 정신을 복돋우어 민족문화
창달에 기여하고 바탕이 되고자 함","","","중정다례교육원",
"71","문화예술법인","03_08_03_P","6530000","A0100642000020060009","2006-08-30","","01","영업/정상","1","","","","","","0337663905","","","강원특별자치도 원주시 판부면 서곡리 2021번지 3호","강원특별자치도 원주시 판부면 오성마을길 57-16","","예술이 흐르는 강","2006-11-09 14:52:58","I","2023-06-13 00:00:00","","284021.013137744","424489.001665369","문화(사단)","","","","","","","","0","","강원도 문화예술향상 발전을 도모하며, 국내외의 문화교류 및 예술전통도시개발과 도민생활의 질적
향상을 위한 건전생활 문화의 창조적 개발보급과 전통문화 예술을 계승하여 새로운 문화를 창달하고자
함.","","","예술이 흐르는 강",
"72","문화예술법인","03_08_03_P","6530000","A0100642000020060012","1998-10-16","","01","영업/정상","1","","","","","","","0","","강원특별자치도 강릉시 홍제동 15번지 2호","강원특별자치도 강릉시 경강로2021번길 9-1, 1동 (명주동,명주예술마당)","","강릉문화재단","2024-11-04 14:26:18","U","2024-11-06 02:40:00","","366482.193993604","474129.987843492","행정(재단)","","","","","","","","0","","강릉시의 문화예술진흥을 위한 사업, 활동, 시설지원 및 전통문화예술을 계승하고 지역문화창달에 이바지하고자 함","민법제32조","","강릉문화재단",
"73","문화예술법인","03_08_03_P","6530000","A0100642000020070001","2001-12-11","","01","영업/정상","1","","","","","","0336449411","","","강원특별자치도 강릉시 왕산면 왕산리 397번지","강원특별자치도 강릉시 왕산면 백두대간로 1488","","(사)왕산국제문화예술원","2014-01-02 12:41:55","I","2023-06-13 00:00:00","","358565.087731377","464888.553498628","문화(사단)","","","","","","","","0","","현대예술의 창작활동과 학술연구 지원 및 문화예술 교류를 통한 국제적 이해, 협력증진","민법제42조","","(사)왕산국제문화예술원",
"74","문화예술법인","03_08_03_P","6530000","A0100642000020070002","2007-03-09","","01","영업/정상","1","","","","","","0337316757","","","강원특별자치도 원주시 문막읍 취병리 838번지","강원특별자치도 원주시 문막읍 취병로 711","","오랜미래문화연구회","2014-01-02 11:23:57","I","2023-06-13 00:00:00","","268075.226831779","427838.330145133","예술(사단)","","","","","","","","0","","동아시아 문화원형과 한국문화 정체성 연구","민법제32조 및 문화관광부문화재청소관비영리사단법인설립및감독에관한규칙","","오랜미래문화연구회",
"75","문화예술법인","03_08_03_P","6530000","A0100642000020070003","2007-03-21","","01","영업/정상","1","","","","","","0336514881","","","강원특별자치도 강릉시 포남동 1237번지 1호","강원특별자치도 강릉시 성덕포남로200번길 9 (포남동)","","사단법인 강릉사투리보존회","2007-03-21 10:51:01","I","2023-06-13 00:00:00","","368037.878787745","475870.460008018","문화(사단)","","","","","","","","0","","강릉사투리의 체계적 발전 및 보존 전승","민법제32조","","사단법인 강릉사투리보존회",
"76","문화예술법인","03_08_03_P","6530000","A0100642000020080021","2008-10-15","","01","영업/정상","1","","","","","","0337476880","","","강원특별자치도 원주시 단계동 790번지 5호","강원특별자치도 원주시 단구로 34 (단계동)","","사단법인 강봉회","2008-10-15 15:58:25","I","2023-06-13 00:00:00","","282932.67591839","427431.687222976","문화(사단)","","","","","","","","0","","창조적인 지역문화를 생산하며 소외된 지역의 불우노인 및 소년소녀 가장, 장애인에게 웃음과 희망을 주기 위함","민법과 문화관광부 및 문화재청 소관 비영리법인의설립및감독에관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 강봉회",
"77","문화예술법인","03_08_03_P","6530000","A0100642000020080022","2008-10-15","","01","영업/정상","1","","","","","","0332420058","","","강원특별자치도 춘천시 중앙로2가 64번지 1호","강원특별자치도 춘천시 중앙로 82-1 (중앙로2가)","","사단법인 강원예절문화교육원","2008-10-15 16:05:06","I","2023-06-13 00:00:00","","263724.558329639","486456.800895339","문화(사단)","","","","","","","","0","","전통적 예절문화의 현대적 재조명과 실천적 예절교육모형 개발 및 실제교육을 통한 현재의 올바른 윤리의식 고양과 건전한 생활문화 정착에 기여함을 목적","민법과 문화관광부 및 문화재청 소관 비영리법인의설립및감독에관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 강원예절문화교육원",
"78","문화예술법인","03_08_03_P","6530000","A0100642000020080023","2008-10-15","","01","영업/정상","1","","","","","","0336613578","","","강원특별자치도 강릉시 연곡면 송림리 738번지 3호","강원특별자치도 강릉시 연곡면 송림골바다길 36-6","","사단법인 신사임당 예술연구회","2014-01-02 11:16:37","I","2023-06-13 00:00:00","","358881.968096651","485133.222420103","예술(사단)","","","","","","","","0","","사임당의 고귀한 예술 창작 정신을 계승, 발전시키고 새로운 문화를 창조하며 민족 문화 창달에 기여","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 신사임당 예술연구회",
"79","문화예술법인","03_08_03_P","6530000","A0100642000020080024","2008-10-29","","01","영업/정상","1","","","","","","","","","강원특별자치도 원주시 단계동 942번지 3호","강원특별자치도 원주시 이화3길 9 (단계동)","","원주옻칠문화진흥회","2022-12-27 15:42:38","I","2023-06-13 00:00:00","","282704.665761102","426527.215609138","문화(사단)","","","","","","","","0","","옻칠공예인의 교류협력 및 창작활동 지원을 통하여 우리나라 전래의 옻칠문화 진흥을 위해 노력하며 옻칠문화의 우수성을 계승발전시켜 국민문화예술 창달에 이바지 함","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","원주옻칠문화진흥회",
"80","문화예술법인","03_08_03_P","6530000","A0100642000020080025","2008-12-11","","01","영업/정상","1","","","","","","","","","강원특별자치도 속초시 노학동 627번지 3호","강원특별자치도 속초시 노리6길 8 (노학동)","","계태사 고려불화 학술연구소","2008-12-11 10:29:59","I","2023-06-13 00:00:00","","336150.305959277","522051.709254405","문화(사단)","","","","","","","","0","","민족고유의 전통문화유산인 고려불화의 학술자료연구 및 국내외에 전시, 홍보","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","계태사 고려불화 학술연구소",
"81","문화예술법인","03_08_03_P","6530000","A0100642000020080026","2008-12-11","","01","영업/정상","1","","","","","","0332503060","","","강원특별자치도 춘천시 옥천동 111번지","강원특별자치도 춘천시 효자상길 5-13 (효자동)","","재단법인 춘천시 문화재단","2014-01-02 11:14:31","I","2023-06-13 00:00:00","","264161.29074819","486774.225238428","문화(재단)","","","","","","","","0","","춘천시 지역문화 예술의 특성과 정체성을 확립, 춘천이 문화중심도시로 성장할 수 있는 토대를 마련하고 시민들의 삶의 질 향상 및 지역문화예술의 세계화 등을 통하여 시민의 문화 복지 구현","민법과 문화체육관광부 및 문화재청 소관 비영리법인의설립및감독에관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","재단법인 춘천시 문화재단",
"82","문화예술법인","03_08_03_P","6530000","A0100642000020080027","2008-12-11","","01","영업/정상","1","","","","","","0332526360","","","강원특별자치도 춘천시 근화동 709번지 2호","강원특별자치도 춘천시 공지로 442-33 (근화동)","","사단법인 동아국제미술협회","2008-12-11 10:34:28","I","2023-06-13 00:00:00","","263057.685424097","486041.770959612","예술(사단)","","","","","","","","0","","민족문화예술 창달과 국제교류의 활성화를 도모하며 예술인 저변 확대와 상호간 연대를 돈독히하여 문화예술 발전에  기여","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 동아국제미술협회",
"83","문화예술법인","03_08_03_P","6530000","A0100642000020090002","2004-05-31","","01","영업/정상","1","","","","","","","","","강원특별자치도 평창군 봉평면 흥정리 산 54번지 2호","강원특별자치도 평창군 봉평면 흥정계곡길 192-19","","재단법인 지암불교문화재단","2018-09-05 16:53:47","I","2023-06-13 00:00:00","","318770.563973745","460350.319814449","종교(재단)","","","","","","","","0","","법인은 지암 이종욱 스님의 부종수교, 구국제민의 정신을 유지 보존하고 계승 발전시켜 불교 사상연구, 표교교육, 도재양성, 학술지원, 출판지원 등 불교문화 발전에 이바지함을 목적을 함","","","재단법인 지암불교문화재단",
"84","문화예술법인","03_08_03_P","6530000","A0100642000020090003","2009-04-10","","01","영업/정상","1","","","","","","0333748007","","","강원특별자치도 영월군 김삿갓면 예밀리 8번지 1호","강원특별자치도 영월군 김삿갓면 망경대산길 135-3","","재단법인 신원(만봉)불교재단","2013-12-31 10:38:29","I","2023-06-13 00:00:00","","342827.633835588","407119.15966343","종교(재단)","","","","","","","","0","","불교의 보급과 교화, 포교 및 불교문화 창달에 기여함을 목적","","","재단법인 신원(만봉)불교재단",
"85","문화예술법인","03_08_03_P","6530000","A0100642000020090004","2009-04-30","","01","영업/정상","1","","","","","","0335625471","","","강원특별자치도 정선군 정선읍 봉양리 318번지 3호","강원특별자치도 정선군 정선읍 봉양5길 43","","정선문화원","2022-03-17 09:27:53","I","2023-06-13 00:00:00","","347121.231508387","432269.641564985","문화(사단)","","","","","","","","0","","정선문화원","","","정선문화원",
"86","문화예술법인","03_08_03_P","6530000","A0100642000020100002","2010-02-06","","01","영업/정상","1","","","","","","0333745888","","","강원특별자치도 영월군 북면 문곡리 604번지 1호","강원특별자치도 영월군 북면 강구길 9-0","","사단법인 영월박물관협회","2018-02-05 17:58:04","I","2023-06-13 00:00:00","","326246.963043384","413108.033774198","문화(사단)","","","","","","","","0","","영월군 소재 박물관, 미술관 협의체로서 건전한 활동을 통하여 민족문화와 지역사회 발전에 기여하며 사회교육기관으로서의 역할을 충실히 이행할 수 있도록 상호간의 유기적 협조체제 유지 및 제도적 보호 육성에 이바지함","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 영월박물관협회",
"87","문화예술법인","03_08_03_P","6530000","A0100642000020100003","2010-02-06","","01","영업/정상","1","","","","","","0332542421","","","강원특별자치도 춘천시 옥천동 38번지 1호","강원특별자치도 춘천시 서부대성로 69 (옥천동)","","사단법인 다빈치코리아","2010-02-06 11:55:01","I","2023-06-13 00:00:00","","264222.499426661","486913.803645761","문화(사단)","","","","","","","","0","","국제 문화 교류와 레오나르도 다빈치의 예술 세계 및 과학 기술 분야의 업적을 바탕으로 한 각종 전시, 체험 학습과 교육프로그램 보급을 목적","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 다빈치코리아",
"88","문화예술법인","03_08_03_P","6530000","A0100642000020100004","2010-02-06","","01","영업/정상","1","","","","","","0337621400","","","강원특별자치도 원주시 개운동 384번지 42호","강원특별자치도 원주시 개봉교길 10 (개운동)","","사단법인 강원전통문화예술협회","2010-02-06 12:05:19","I","2023-06-13 00:00:00","","284670.078827731","427201.282452413","문화(사단)","","","","","","","","0","","우리 전통문화예술의 발전을 위하고 저변을 확대하며 이 분야에 역량 있는 작가의 발굴과 전통문화예술의 보급함","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 강원전통문화예술협회",
"89","문화예술법인","03_08_03_P","6530000","A0100642000020100005","2010-02-06","","01","영업/정상","1","","","","","","0336511379","","","강원특별자치도 강릉시 포남동 1116번지 10호","강원특별자치도 강릉시 강릉대로 341 (포남동)","","사단법인 아시아 지역문화연구원","2010-02-06 12:14:32","I","2023-06-13 00:00:00","","367743.598394974","475467.342826126","문화(사단)","","","","","","","","0","","강원도를 비롯한 아시아 전반의 문화에 대한 연구와 기록을 포함한 문화 활동 및 문화관련 제반 활동을 통해 문화 저변확대","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 아시아 지역문화연구원",
"90","문화예술법인","03_08_03_P","6530000","A0100642000020100006","2010-02-06","","01","영업/정상","1","","","","","","0332517694","","","강원특별자치도 춘천시 효자동 305번지 16호","강원특별자치도 춘천시 동내면 영서로 1781, 지하1층","","사단법인 문화강대국","2020-06-29 11:20:53","I","2023-06-13 00:00:00","","264595.98464401","485000.960606945","문화(사단)","","","","","","","","0","","건강한 문화예술의 발굴, 계승, 보급을 통해 지역문화의 발전에 기여함","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에  관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 문화강대국",
"91","문화예술법인","03_08_03_P","6530000","A0100642000020100007","2010-02-06","","01","영업/정상","1","","","","","","0337624881","","","강원특별자치도 원주시 단계동 1116번지 3호","강원특별자치도 원주시 천사로 24 (단계동)","","사단법인 박건호기념사업회","2010-02-06 12:37:43","I","2023-06-13 00:00:00","","282157.709732191","427714.288179997","문화(사단)","","","","","","","","0","","박건호의 예술 혼을 선양하고, 문화 예술 진흥 사업을 수행 함","민법과 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","사단법인 박건호기념사업회",
"92","문화예술법인","03_08_03_P","6530000","A0100642000020100008","2010-02-06","","01","영업/정상","1","","","","","","0334610027","","","강원특별자치도 인제군 인제읍 남북리 388번지","강원특별자치도 인제군 인제읍 비봉로44번길 100","","재단법인 인제군문화재단","2022-01-27 18:04:56","I","2023-06-13 00:00:00","","302196.86161156","507078.279113904","행정(재단)","","","","","","","","0","","군민의 문화향수 기회를 확대하고 문화창달에 기여할 수 있는 문화예술 공간의 운영 등을 통해 인제군민의 문화 복지 구현에 이바지함","민법과 문화체육관광부 및 문화재청 소관 비영리법인의설립및감독에관한 규칙 등 관련법규와 정관에서 정하는 제 규정을 성실히 준수","","재단법인 인제군문화재단",
"93","문화예술법인","03_08_03_P","6530000","A0100642000020070005","2006-12-05","","01","영업/정상","1","","","","","","0333323925","","","강원특별자치도 평창군 미탄면 평안리 산 69번지 1호","강원특별자치도 평창군 미탄면 평안한치길 721-98","","재단법인 삼신신앙대본사유지재단","2007-05-08 11:07:30","I","2023-06-13 00:00:00","","334016.64161304","433966.57178463","종교(재단)","","","","","","","","0","","천지인의 삼신신앙을 구심점으로 국가발전과 세계인류 평화정착에 기여함을 목적으로 함","3주 내에 법인등기를 한 후 법인등기부등본과 인감증명 각 한 부를 주무관청에 제출","","재단법인 삼신신앙대본사유지재단",
"94","문화예술법인","03_08_03_P","6530000","A0100642000020070006","2006-11-29","","01","영업/정상","1","","","","","","0332431787","","","강원특별자치도 춘천시 사북면 지촌리 95번지","강원특별자치도 춘천시 사북면 영서로 4892-23","","재단법인 영산불교유지재단","2009-01-28 14:12:18","I","2023-06-13 00:00:00","","256620.694078848","504991.56055873","종교(재단)","","","","","","","","0","","부처님 제세 영산 당시 교단의 올바른 수행정신을 본받아 여법하게 수행하고 바른 부처님 법을 포교함을 목적으로 함","3주내에 관할 법원 등기소에 등기한 후 법인등기부등본과 인감증명 각 1부를 주무관청에 제출","","재단법인 영산불교유지재단",
"95","문화예술법인","03_08_03_P","6530000","A0100642000020070007","2007-03-05","","01","영업/정상","1","","","","","","0332533399","","","강원특별자치도 춘천시 효자동 312번지 1호","강원특별자치도 춘천시 공지로 270 (효자동)","","사단법인 베드로선교문화센타","2013-03-13 17:12:12","I","2023-06-13 00:00:00","","264636.115691457","485077.929690747","종교(사단)","","","","","","","","0","","기독교 선교의 정신에 입각하여 국내외 사회복지, 문화예술교류 및 교육사업에 힘쓰는 단체와 협력사업을 통하여 아름다운 지구적 공동체를 만들어 나아감.","3주 내에 관할 법원의 등기소에 등기 후 법인등기부등본과 인감증명 각 1부를 주무관청에 제출","","사단법인 베드로선교문화센타",
"96","문화예술법인","03_08_03_P","6530000","A0100642000020070008","2001-09-04","","01","영업/정상","1","","","","","","0332634219","","","강원특별자치도 원주시 관설동 1692번지 7호","강원특별자치도 원주시 라옹정길 22-0 (관설동)","","재단법인 대한예수교장로회 강원노회 유지재단","2023-09-07 14:54:35","U","2023-09-09 02:40:00","","285348.277846302","424561.367884124","종교(재단)","","","","","","","","0","","예배, 전도, 구호, 교육 및 기독교문화 창달을 위한 사업을 지원하며, 강원노회 산하 각 교회의 토지와 건물 등 재산을 소유 및 관리","3주 내에 관할 법원 등기소에 등기한 후 법인등기부등본과 인감증명 각 1부를 주무관청에 제출","","재단법인 대한예수교장로회 강원노회 유지재단",
"97","문화예술법인","03_08_03_P","6530000","A0100642000020070009","2002-02-06","","01","영업/정상","1","","","","","","0333326664","","","강원특별자치도 평창군 진부면 동산리 63번지 1호","강원특별자치도 평창군 진부면 오대산로 374-8","","재단법인 불교문화진흥 조계종 성찬회","2013-12-31 11:07:13","I","2023-06-13 00:00:00","","340312.731106935","471103.270461203","종교(재단)","","","","","","","","0","","한국불교의 전통을 이어 불교학을 연구하고, 유능한 인재를 양성하며 평화와 자비를 구현해 나감","설립허가 후 3주내에 관할 법원 등기소에 등기 한 후 법인등기부등본과 인감증명 1부를 주무관청에 제출","","재단법인 불교문화진흥 조계종 성찬회",
"98","문화예술법인","03_08_03_P","6530000","A0100642000020070010","2003-09-29","","01","영업/정상","1","","","","","","0332551001","","","강원특별자치도 춘천시 후평동 849번지 6호","강원특별자치도 춘천시 후석로379번길 27 (후평동)","","재단법인 춘천기독교 청년회 유지재단","2019-08-21 15:44:09","I","2023-06-13 00:00:00","","265426.824267281","487031.17141339","종교(재단)","","","","","","","","0","","인간과 세계를 구원하고 미래에 희망을 주고자하는 선교운동체이며 사회운동체","설립허가 후 3주내에 관할 법원 등기소에 등기 한 후 법인등기부등본과 인감증명 1부를 주무관청에 제출","","재단법인 춘천기독교 청년회 유지재단",
"99","문화예술법인","03_08_03_P","6530000","A0100642000020070011","2004-09-20","","01","영업/정상","1","","","","","","0337439781","","","강원특별자치도 원주시 단계동 776번지 24호","강원특별자치도 원주시 원문로 294 (단계동)","","재단법인 프란치스꼬 전교봉사 수녀회","2013-03-13 17:10:13","I","2023-06-13 00:00:00","","281538.020588469","428918.659962673","종교(재단)","","","","","","","","0","","선교활동을 통한 천주교회의 확산과 발전을 유도 및 법인의 재산관리","설립허가 후 3주내에 관할 법원 등기소에 등기 한 후 법인등기부등본과 인감증명 1부를 주무관청에 제출","","재단법인 프란치스꼬 전교봉사 수녀회",
"100","문화예술법인","03_08_03_P","6530000","A0100642000020070012","2004-12-27","","01","영업/정상","1","","","","","","0336510043","","","강원특별자치도 강릉시 포남동 1239번지 6호","강원특별자치도 강릉시 강릉대로 397 (포남동)","","재단법인 대한예수교장로회 강원동노회 유지재단","2024-07-05 14:18:00","U","2024-07-07 02:40:00","","368110.286782717","475876.729847127","종교(재단)","","","","","","","","0","","예배, 전도, 교육, 구호, 기독교문화 창달 
강원동노회 산하 토지 및 건물 등의 재산을 관리,소유","설립허가 후 3주내에 관할 법원 등기소에 등기 한 후 법인등기부등본과 인감증명 1부를 주무관청에 제출","","재단법인 대한예수교장로회 강원동노회 유지재단",
"101","문화예술법인","03_08_03_P","6530000","A0100642000020070014","2005-05-20","","01","영업/정상","1","","","","","","0332517740","","","강원특별자치도 춘천시 운교동 182번지","강원특별자치도 춘천시 동부시장길 8-4 (운교동)","","사단법인 정심회","2015-02-10 20:48:50","I","2023-06-13 00:00:00","","264498.484475409","486276.814960253","종교(사단)","","","","","","","","0","","선조들의 유구한 정신문화와 전통사상을 이어받아 하늘을 숭상하고, 자연의 섭리를 체득하며 충효예를 실천함으로써 광명세계, 지상선경을 이루며, 이를 위해 포덕, 수도, 교화, 사회복지 및 구호사업을 실시코자 설립","설립허가 후 3주내에 관할 법원 등기소에 등기 한 후 법인등기부등본과 인감증명 1부를 주무관청에 제출","","사단법인 정심회",
"102","문화예술법인","03_08_03_P","6530000","A0100642000020070015","2005-08-02","","01","영업/정상","1","","","","","","0334331323","","","강원특별자치도 홍천군 화촌면 주음치리 300번지 1호","강원특별자치도 홍천군 화촌면 주음치로 499-7","","사단법인 전국기도원 총연합회","2018-03-22 11:10:56","I","2023-06-13 00:00:00","","289739.244057978","474980.713837589","종교(사단)","","","","","","","","0","","기독교 정신에 입각하여 기도원 간의 네트워크를 형성하여 상호 협력체계를 구축하고, 궁극적으로 국가발전을 위해 애쓰는 것을 목적으로 함.","설립허가 후 3주내에 관할 법원 등기소에 등기 한 후 법인등기부등본과 인감증명 1부를 주무관청에 제출","","사단법인 전국기도원 총연합회",
"103","문화예술법인","03_08_03_P","6530000","A0100642000020070016","2007-05-17","","01","영업/정상","1","","","","","","","","","강원특별자치도 춘천시 남산면 수동리 713번지","강원특별자치도 춘천시 남산면 추곡고개길 317","","사단법인 상락회","2013-12-31 10:51:09","I","2023-06-13 00:00:00","","256557.042201915","473923.979546937","종교(사단)","","","","","","","","0","","부처님의 자비사상을 바탕으로 불우한 불자들 및 자녀들을 위한 장학 복지사업","3주 내에 법인 관할 소재지 법원에 등기한 후 법인등기부등본과 인감증명 각 1부를 제출","","사단법인 상락회",
"104","문화예술법인","03_08_03_P","6530000","A0100642000020070017","2007-05-23","","01","영업/정상","1","","","","","","0332614618","","","강원특별자치도 춘천시 석사동 194번지 1호","강원특별자치도 춘천시 스무숲2길 16-3 (석사동)","","재단법인 착한목자 수녀회","2013-12-31 10:47:56","I","2023-06-13 00:00:00","","265929.713578059","483004.920855561","종교(재단)","","","","","","","","0","","본 수녀회의 기본인 회헌에 입각하여 모든 사업 및 활동이 원활히 이루어지도록 필요한 재원의 확보와 공급, 법인재산의 관리","3주 내에 법인설립 등기를 한 후 법인등기부등본과 인감증명 각1부를 제출","","재단법인 착한목자 수녀회",
"105","문화예술법인","03_08_03_P","6530000","A0100642000020070019","2005-04-30","","01","영업/정상","1","","","","","","0332485014","0","","강원특별자치도 춘천시 효자동 709번지","강원특별자치도 춘천시 공지로 289 (효자동)","","(재)GTB문화재단","2007-06-04 13:28:15","I","2023-06-13 00:00:00","","264417.559626624","485150.06239761","행정(재단)","","","","","","","","0","","문화예술 진흥사업 및 장학사업등 지역발전에 기여","민법제45조","","(재)GTB문화재단",
"106","문화예술법인","03_08_03_P","6530000","A0100642000020070020","2007-07-20","","01","영업/정상","1","","","","","","0332485014","","","강원특별자치도 춘천시 동면 장학리 635번지","강원특별자치도 춘천시 동면 소양강로 274","","지원문화재단","2022-09-02 10:30:12","I","2023-06-13 00:00:00","","265770.452755788","490114.95221028","문화(재단)","","","","","","","","0","","문화예술진흥사업, 학술단체 지원사업, 장학사업, 불우이웃돕기사업, 방송문화 진흥사업 등","민법제32조 및 공익법인설립,운영에관한법률시행령 제5조","","지원문화재단",
"107","문화예술법인","03_08_03_P","6530000","A0100642000020070021","2007-12-27","","01","영업/정상","1","","","","","","0337654221","","","강원특별자치도 원주시 학성동 1023번지","강원특별자치도 원주시 원일로 28 (학성동)","","재단법인천주교원주교구유지재단","2013-12-31 10:44:51","I","2023-06-13 00:00:00","","284427.759988708","427531.495309273","종교(재단)","","","","","","","","0","","천주교 포교활동 등","민법 중 법인, 문광부소관 비영리법인의 설립및감독에관한 규칙","","재단법인천주교원주교구유지재단",
"108","문화예술법인","03_08_03_P","6530000","A0100642000020080001","1970-12-21","","01","영업/정상","1","","","","","","0332543231","741.2","","강원특별자치도 춘천시 온의동 14번지 1호","강원특별자치도 춘천시 방송길 102 (온의동)","","재단법인 기독교 한국효신선교회","2013-12-31 11:09:14","I","2023-06-13 00:00:00","","263290.079552956","485217.725628712","종교(재단)","","","","","","","","0","","ㅇ 그리스도와 복음전파사업
ㅇ 소유재산의 유지 관리
ㅇ 사업에 필요한 재산 공급","민법 제32조 비영리법인","","재단법인 기독교 한국효신선교회",
"109","문화예술법인","03_08_03_P","6530000","A0100642000020080002","1955-11-11","","01","영업/정상","1","","","","","","0332406032","","","강원특별자치도 춘천시 효자동 400번지","강원특별자치도 춘천시 공지로 300 (효자동)","","재단법인 춘천교구 천주교회","2010-04-21 16:57:25","I","2023-06-13 00:00:00","","264384.230715395","485316.853493245","종교(재단)","","","","","","","","0","","만인에게 천주교 교리를 전하므로서 인류의 영혼을 구하고 겸하여 이에  소요되는 제 재산을 관리함","민법 제32조","","재단법인 춘천교구 천주교회",
"110","문화예술법인","03_08_03_P","6530000","A0100642000020080003","2008-07-04","","01","영업/정상","1","","","","","","0333424531","0","","강원특별자치도 횡성군 안흥면 안흥리 산 78번지 1호","강원특별자치도 횡성군 안흥면 주천강로안흥2길 163","","사단법인 연합과섬김순회선교단","2008-07-04 14:47:02","I","2023-06-13 00:00:00","","302232.012828564","432916.32071361","종교(사단)","","","","","","","","0","","세계복음화를 위한 국내외 선교활동 및 선교사 양성 등","민법 및 문화부 규칙 제4조","","사단법인 연합과섬김순회선교단",
