"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","기공용레스수","원심주조기수","기공용모터수","아세틸렌수","치과용프레스수","전기로수","포셀린로수","초음파청소기수","서베이어수","진동기수","트리머수","기공용컴프레서수","샌드기수","진공매몰기수","핀덱스수",
"65","치과기공소","01_02_04_P","4191000","PHMB320224190023062300001","2022-05-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단계동 856-1","강원특별자치도 원주시 천사로 50, 5, 7층 (단계동)","26436","다름","2025-10-17 18:08:11","U","2025-10-19 02:40:00","","282420.098915424","427686.41771977","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1",
"66","치과기공소","01_02_04_P","4191000","PHMB320224190023062300002","2022-05-26","","01","영업/정상","13","영업중","","","","","033-732-2801","","","강원특별자치도 원주시 중앙동 39-4","강원특별자치도 원주시 중앙로 154, 2층 (중앙동)","26428","한솔치과기공소","2022-05-26 13:58:14","I","2023-06-13 00:00:00","","284023.302092696","428158.619092062","1","1","3","1","1","2","1","1","1","2","1","1","1","1","1",
"67","치과기공소","01_02_04_P","4191000","PHMB320224190023062300003","2018-07-26","","01","영업/정상","13","영업중","","","","","033-734-2879","","","강원특별자치도 원주시 반곡동 1899-2 (주)강림빌딩","강원특별자치도 원주시 미래로 1, (주)강림빌딩 201호 (반곡동)","26462","가온누리치과기공소","2023-05-09 15:59:58","I","2023-06-13 00:00:00","","287175.792304778","425342.028675645","1","1","3","0","1","1","1","1","1","1","1","1","2","1","1",
"68","치과기공소","01_02_04_P","4191000","PHMB320254191050062300005","2020-01-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 반곡동 1809-11 엔터비즈타워","강원특별자치도 원주시 입춘로 45, 엔터비즈타워 C동 1308호 (반곡동)","26460","아이디얼라인","2025-09-23 16:48:07","I","2025-09-25 00:20:40","","286650.196160256","425529.258545694","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"69","치과기공소","01_02_04_P","4191000","PHMB320254191050062300003","2025-05-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 반곡동 1903-3","강원특별자치도 원주시 황금로 2, 센트럴파크원 5층 402호 (반곡동)","26462","이플랜덴탈랩","2025-05-16 11:25:31","I","2025-05-18 00:20:43","","287371.668467947","425538.294351337","1","1","3","0","1","1","1","1","1","1","1","1","1","1","1",
"70","치과기공소","01_02_04_P","4191000","PHMB320254191050062300004","2025-07-18","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 반곡동 1899-7","강원특별자치도 원주시 양지로 68-1, 3동 302호 (반곡동)","26462","씨앤디자인 치과기공소","2025-10-17 17:23:51","U","2025-10-19 02:40:00","","287287.600644397","425430.388215489","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0",
"71","치과기공소","01_02_04_P","4191000","PHMB320254191050062300002","2005-11-15","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 개운동 412","강원특별자치도 원주시 도말리길 12, 2층 (개운동)","26444","소망치과기공소","2025-10-18 15:40:43","U","2025-10-20 02:40:00","","284747.121311807","426684.822540006","1","1","3","1","1","2","1","1","1","1","1","1","1","1","1",
"72","치과기공소","01_02_04_P","4191000","PHMB320254191050062300001","2025-01-16","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 단계동 812-4","강원특별자치도 원주시 평원초교길 32-6, 1층 (단계동)","26423","굿모닝 치과기공소","2025-10-17 17:36:23","U","2025-10-19 02:40:00","","282551.25164866","427972.78449704","1","1","2","1","1","1","1","1","2","1","1","1","1","3","1",
"73","치과기공소","01_02_04_P","4201000","PHMB320054200028062300001","2005-03-04","","03","폐업","03","폐업","2010-07-01","","","","642-2804","","210-924","강원특별자치도 강릉시 교1동 1006번지 9호 3층","","","베스트치과기공소","2010-07-01 18:06:10","I","2023-06-13 00:00:00","","366584.033797454","474452.69718626","1","1","2","1","1","1","1","1","1","1","1","0","0","0","0",
"74","치과기공소","01_02_04_P","4201000","PHMB320104200028062300001","2010-08-02","","03","폐업","03","폐업","2010-11-25","","","","6552875","","210-080","강원특별자치도 강릉시 임당동 112번지 1호 문선빌딩2층","강원특별자치도 강릉시 경강로 2109 (임당동,문선빌딩2층)","","라인치과기공소","2011-02-17 14:01:29","I","2023-06-13 00:00:00","","367111.831343426","474287.818576962","1","1","3","1","1","2","1","1","2","1","1","0","0","0","0",
"75","치과기공소","01_02_04_P","4201000","PHMB320114200028062300001","2011-02-16","","03","폐업","03","폐업","2012-05-31","","","","655-2875","","210-080","강원특별자치도 강릉시 임당동 112번지 1호 문선빌딩2층","강원특별자치도 강릉시 경강로 2109 (임당동)","210-080","라인치과기공소","2012-05-31 09:20:45","I","2023-06-13 00:00:00","","367111.831343426","474287.818576962","1","1","3","1","1","2","2","1","1","1","1","1","1","1","1",
"76","치과기공소","01_02_04_P","4201000","PHMB320154200028062300001","2015-04-14","","03","폐업","03","폐업","2017-02-20","","","","655-2804","","","","강원특별자치도 강릉시 강릉대로 236, 3층 (교동)","25551","중앙치과기공소","2017-02-20 16:05:49","I","2023-06-13 00:00:00","","367041.003407424","474672.178440585","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"77","치과기공소","01_02_04_P","4201000","PHMB320164200028062300001","2016-01-12","","01","영업/정상","13","영업중","","","","","033-643-2804","","","강원특별자치도 강릉시 연곡면 영진리 354번지 5호","강원특별자치도 강릉시 연곡면 영진길 8","25429","보금치과기공소","2023-11-07 12:27:07","U","2023-11-09 02:40:00","","361577.729099214","486945.100226887","1","1","3","1","1","2","2","2","1","2","1","2","3","1","1",
"78","치과기공소","01_02_04_P","4201000","PHMB319804200028062300001","1980-07-04","","01","영업/정상","13","영업중","","","","","033-652-1216","","","강원특별자치도 강릉시 옥천동 154-4","강원특별자치도 강릉시 옥가로7번길 2, 3층 (옥천동)","25551","영동치과기공소","2023-11-07 12:37:18","U","2023-11-09 02:40:00","","367266.551228747","474482.966779189","1","3","5","1","1","3","3","1","2","2","2","2","3","1","2",
"79","치과기공소","01_02_04_P","4201000","PHMB319944200028062300001","1994-08-29","","01","영업/정상","13","영업중","","","","","033-643-6879","","","강원특별자치도 강릉시 옥천동 177-3","강원특별자치도 강릉시 토성로 196, 4층 (옥천동)","25531","뉴치과기공소","2023-11-07 12:36:56","U","2023-11-09 02:40:00","","367119.46030155","474476.537881227","1","1","3","1","1","2","3","1","1","1","1","1","1","1","1",
"80","치과기공소","01_02_04_P","4201000","PHMB320004200028062300001","2000-02-03","","01","영업/정상","13","영업중","","","","","033-647-6467","","","강원특별자치도 강릉시 임당동 90-7","강원특별자치도 강릉시 문화의길8번길 9, 2층 (임당동)","25532","삼일치과기공소","2023-11-07 12:36:33","U","2023-11-09 02:40:00","","366958.400458888","474229.772308787","1","4","6","1","1","2","2","1","1","1","1","2","3","1","1",
"81","치과기공소","01_02_04_P","4201000","PHMB320184200028062300005","2018-12-20","","01","영업/정상","13","영업중","","","","","033-647-9072","","","강원특별자치도 강릉시 구정면 학산리 439번지 6호","강원특별자치도 강릉시 구정면 왕고개길 7-1, 1층","25623","행복한치과기공소","2023-11-07 12:22:04","U","2023-11-09 02:40:00","","366497.852616164","469959.688083937","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"82","치과기공소","01_02_04_P","4201000","PHMB320204200028062300001","2020-11-20","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 옥천동 288-4","강원특별자치도 강릉시 동부시장3길 5, 3층 (옥천동)","25552","덴탈플러스치과기공소","2023-11-07 12:19:44","U","2023-11-09 02:40:00","","367390.612692606","474578.882334213","1","2","3","0","1","1","1","1","1","1","1","1","1","1","0",
"83","치과기공소","01_02_04_P","4201000","PHMB320224200028062300001","2022-09-23","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 담산동 283-1","강원특별자치도 강릉시 모산로 120(담산동)","25607","제이-원 치과기공소","2023-11-07 12:17:17","U","2023-11-09 02:40:00","","367684.675863626","470536.451256629","1","2","3","0","1","1","1","2","1","1","1","1","2","1","0",
"84","치과기공소","01_02_04_P","4201000","PHMB320224200028062300002","2022-12-08","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 옥천동 181","강원특별자치도 강릉시 경강로2115번길 12, 1층 (옥천동)","25531","에이플러스치과기공소","2022-12-09 09:08:06","I","2023-06-13 00:00:00","","367124.228975132","474392.304326352","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"85","치과기공소","01_02_04_P","4201000","PHMB320004200028062300002","2000-03-23","","01","영업/정상","13","영업중","","","","","033-647-2125","","","강원특별자치도 강릉시 임당동 153-4","강원특별자치도 강릉시 임영로 138, 2층 (임당동)","25533","심미치과기공소","2023-11-07 12:35:59","U","2023-11-09 02:40:00","","366707.547996397","474036.38280678","1","1","5","1","1","3","3","1","2","1","1","2","3","1","1",
"86","치과기공소","01_02_04_P","4201000","PHMB320014200028062300001","2001-12-24","","01","영업/정상","13","영업중","","","","","033-648-3505","","","강원특별자치도 강릉시 옥천동 304-3","강원특별자치도 강릉시 용지로 154, 2층 (옥천동)","25550","율곡치과기공소","2023-11-07 12:35:28","U","2023-11-09 02:40:00","","367497.653821644","475018.43249647","1","1","5","1","1","2","2","2","2","2","1","1","1","1","1",
"87","치과기공소","01_02_04_P","4201000","PHMB320014200028062300002","2001-09-18","","01","영업/정상","13","영업중","","","","","033-644-2804","","","강원특별자치도 강릉시 성내동 6-13","강원특별자치도 강릉시 경강로 2064-1, 2층 (성내동)","25539","정밀치과기공소","2023-11-07 12:34:49","U","2023-11-09 02:40:00","","366813.817302438","473953.654001465","1","1","5","1","1","4","2","1","1","1","1","1","2","1","1",
"88","치과기공소","01_02_04_P","4201000","PHMB320044200028062300001","2004-03-09","","01","영업/정상","13","영업중","","","","","644-2820","","210-924","강원특별자치도 강릉시 교1동 1006번지 1호 3층","강원특별자치도 강릉시 원대로17번길 15 (교동)","25518","제일치과기공소","2020-09-25 16:50:50","I","2023-06-13 00:00:00","","366602.231252997","474460.64368251","1","1","3","1","1","2","1","1","1","1","1","1","3","1","1",
"89","치과기공소","01_02_04_P","4201000","PHMB320054200028062300002","2005-06-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 교동 1775번지 부영아파트","강원특별자치도 강릉시 정원로 53-5, 상가동 3층 301호 (교동, 부영아파트)","25517","이레치과기공소","2023-11-07 12:33:48","U","2023-11-09 02:40:00","","365284.739915424","474874.053902234","2","5","10","1","2","2","3","1","2","2","1","3","2","1","1",
"90","치과기공소","01_02_04_P","4201000","PHMB320094200028062300001","2009-10-14","","01","영업/정상","13","영업중","","","","","033-647-2804","","","강원특별자치도 강릉시 교동 982-30","강원특별자치도 강릉시 강릉대로 128, 2층 (교동)","25527","잔-아트치과기공소","2023-11-07 12:33:01","U","2023-11-09 02:40:00","","366042.780114009","474295.901429439","1","1","4","1","1","2","2","1","1","1","2","2","2","2","1",
"91","치과기공소","01_02_04_P","4201000","PHMB320124200028062300001","2012-07-05","","01","영업/정상","13","영업중","","","","","033-662-2804","","210-804","강원특별자치도 강릉시 주문진읍 교항리 220번지 6호 2층","강원특별자치도 강릉시 주문진읍 작은다리길 6","25414","탑 치과기공소","2023-11-07 12:32:10","U","2023-11-09 02:40:00","","360451.350658247","489122.399840021","1","1","4","0","1","2","2","1","2","2","1","1","3","1","1",
"92","치과기공소","01_02_04_P","4201000","PHMB320124200028062300002","2012-07-24","","01","영업/정상","13","영업중","","","","","033-648-2804","","","강원특별자치도 강릉시 옥천동 333-4","강원특별자치도 강릉시 동부시장1길 6, 2층 (옥천동)","25552","나래치과기공소","2023-11-07 12:31:28","U","2023-11-09 02:40:00","","367482.839297328","474867.844196483","1","2","5","1","2","2","1","2","1","1","2","2","3","1","1",
"93","치과기공소","01_02_04_P","4201000","PHMB320124200028062300003","2012-12-21","","01","영업/정상","13","영업중","","","","","033-641-2887","","","강원특별자치도 강릉시 포남동 1260-13","강원특별자치도 강릉시 용지로 118-1, 2층 (포남동)","25548","무성치과기공소","2023-11-07 12:30:42","U","2023-11-09 02:40:00","","367753.406381079","474769.268898711","1","1","1","1","1","2","1","1","2","1","1","1","1","1","1",
"94","치과기공소","01_02_04_P","4201000","PHMB320134200028062300001","2013-04-26","","01","영업/정상","13","영업중","","","","","070-7520-2174","","","강원특별자치도 강릉시 옥천동 117-3","강원특별자치도 강릉시 옥천로20번길 14, 1층 (옥천동)","25553","드림치과기공소","2024-03-22 16:04:16","U","2024-03-24 02:40:00","","367723.867285716","474490.561892463","1","3","4","1","1","2","2","1","1","1","1","1","1","1","1",
"95","치과기공소","01_02_04_P","4201000","PHMB320134200028062300002","2013-05-31","","01","영업/정상","13","영업중","","","","","6442809","","","강원특별자치도 강릉시 옥천동 32-22","강원특별자치도 강릉시 수문길 20, 1층 (옥천동)","25555","바우치과기공소","2023-11-07 12:29:35","U","2023-11-09 02:40:00","","367646.772896409","474234.249056157","1","3","4","1","1","4","1","1","1","2","1","3","3","1","1",
"96","치과기공소","01_02_04_P","4201000","PHMB320134200028062300003","2013-09-27","","01","영업/정상","13","영업중","","","","","033-648-1480","","","","강원특별자치도 강릉시 중기1길 9, 2층 (옥천동)","25550","예성치과기공소","2023-11-07 12:28:57","U","2023-11-09 02:40:00","","367552.532368224","475084.46737731","1","1","4","1","1","2","2","1","1","2","1","1","2","1","1",
"97","치과기공소","01_02_04_P","4201000","PHMB320144200028062300001","2014-10-28","","01","영업/정상","13","영업중","","","","","033-641-2804","","","강원특별자치도 강릉시 임당동 77-2","강원특별자치도 강릉시 문화의길7번길 7, 3층 (임당동)","25533","신우치과기공소","2023-11-07 12:27:43","U","2023-11-09 02:40:00","","366861.985001848","474104.352427283","1","1","5","1","1","2","2","1","2","2","1","1","2","2","1",
"98","치과기공소","01_02_04_P","4201000","PHMB320184200028062300001","2018-04-02","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 입암동 662번지 313호","강원특별자치도 강릉시 강중길 24, 2층 (입암동)","25584","채움치과기공소","2023-11-07 12:25:48","U","2023-11-09 02:40:00","","368025.33251351","474027.109887929","1","1","3","1","1","1","1","1","2","1","1","1","1","1","1",
"99","치과기공소","01_02_04_P","4201000","PHMB320184200028062300002","2018-06-18","","01","영업/정상","13","영업중","","","","","033-647-0548","","","강원특별자치도 강릉시 옥천동 184번지 2호","강원특별자치도 강릉시 율곡로 2827, 7층 (옥천동)","25531","엠플러스","2023-11-07 12:25:02","U","2023-11-09 02:40:00","","367216.598733735","474366.512680712","1","6","6","1","2","2","2","2","2","2","1","3","2","1","1",
"100","치과기공소","01_02_04_P","4201000","PHMB320184200028062300003","2018-07-06","","01","영업/정상","13","영업중","","","","","033-644-2805","","","","강원특별자치도 강릉시 사천면 구라미길 22-62","25434","지르덴","2023-11-07 12:23:53","U","2023-11-09 02:40:00","","361773.775788691","483542.200294418","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"101","치과기공소","01_02_04_P","4201000","PHMB320184200028062300004","2018-11-13","","01","영업/정상","13","영업중","","","","","033-643-6333","","","강원특별자치도 강릉시 임당동 34번지 1호","강원특별자치도 강릉시 강릉대로210번길 22, 3층 (임당동)","25529","정치과기공소","2023-11-07 12:23:23","U","2023-11-09 02:40:00","","366787.525780619","474324.186517698","1","1","5","1","1","2","2","1","1","1","1","1","2","1","1",
"102","치과기공소","01_02_04_P","4201000","PHMB320244201026062300001","2020-09-18","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 성남동 113-1","강원특별자치도 강릉시 중앙시장2길 2, 7층 (성남동)","25544","이플랜(E-PLAN) 치과기공소","2024-09-12 14:06:18","I","2024-09-14 00:12:56","","366994.031320575","473815.159587535","1","1","3","1","1","1","2","1","1","1","1","1","1","1","1",
"103","치과기공소","01_02_04_P","4201000","PHMB320254201026062300001","2025-04-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 강릉시 홍제동 62-3","강원특별자치도 강릉시 토성로 94 (홍제동)","25535","우리치과기공소","2025-04-08 08:53:44","I","2025-04-10 00:11:01","","366300.096898372","473883.014340752","1","1","2","0","1","1","1","1","1","1","1","1","1","1","1",
"104","치과기공소","01_02_04_P","4201000","PHMB319894200028062300001","1989-05-22","","04","취소/말소/만료/정지/중지","24","직권폐업","2021-11-19","","","","033-646-2877","","","강원특별자치도 강릉시 옥천동 302-5","강원특별자치도 강릉시 중기1길 12, 3층 (옥천동)","25550","강릉치과기공소","2021-12-27 15:32:59","I","2023-06-13 00:00:00","","367523.276039215","475118.196428006","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"105","치과기공소","01_02_04_P","4211000","PHMB320014210020062300001","2001-11-08","","03","폐업","03","폐업","2018-12-31","","","","535-7575","","","","강원특별자치도 동해시 감추5길 6-2, 칠만도장 (천곡동)","25778","에이스치과기공소","2018-12-21 15:26:49","I","2023-06-13 00:00:00","","387525.145975099","448106.003566946","1","1","5","1","2","2","2","1","1","1","2","1","3","1","1",
"106","치과기공소","01_02_04_P","4211000","PHMB320064210020062300001","2006-10-25","","03","폐업","03","폐업","2012-11-26","","","","531-2804","","240-041","강원특별자치도 동해시 발한동 39번지 34호 외2필지 2층","강원특별자치도 동해시 발한로 204-1, 2층 (발한동)","240-804","이사랑치과기공소","2012-11-26 13:14:45","I","2023-06-13 00:00:00","","386310.205623318","451582.824319102","1","1","3","1","1","2","1","1","1","1","2","1","2","1","1",
"107","치과기공소","01_02_04_P","4211000","PHMB319824210020062300001","1982-02-06","","01","영업/정상","13","영업중","","","","","033-532-9172","","240-802","강원특별자치도 동해시 발한동 299번지 5호","강원특별자치도 동해시 발한로 244 (발한동)","25720","동해치과기공소","2017-01-20 15:21:50","I","2023-06-13 00:00:00","","386162.456137172","451917.446206455","1","1","3","0","1","2","2","1","2","1","1","2","2","1","1",
"108","치과기공소","01_02_04_P","4211000","PHMB320054210020062300001","2005-04-13","","01","영업/정상","13","영업중","","","","","033-532-2879","","","강원특별자치도 동해시 천곡동 1032번지 5호","강원특별자치도 동해시 동굴4길 7, 201호 (천곡동)","25771","정석치과기공소","2019-11-22 11:48:05","I","2023-06-13 00:00:00","","386903.256696739","448341.345410041","1","1","4","1","1","2","3","1","2","2","1","1","3","1","1",
"109","치과기공소","01_02_04_P","4211000","PHMB320134210020062300001","2013-03-19","","01","영업/정상","13","영업중","","","","","033-532-2808","","","","강원특별자치도 동해시 충혼길 3-34 (천곡동, 오리명가)","25775","동해심미치과기공소","2025-05-27 14:32:17","U","2025-05-29 02:40:00","","387021.073544459","448213.303075074","1","1","4","1","1","1","1","1","3","1","1","1","2","1","1",
"110","치과기공소","01_02_04_P","4211000","PHMB320174210020062300002","2017-04-19","","01","영업/정상","13","영업중","","","","","070-8285-2804","","","강원특별자치도 동해시 송정동 820","강원특별자치도 동해시 송정3길 29, 101호 (송정동)","25789","미소치과기공소","2024-04-24 15:56:42","U","2024-04-26 02:40:00","","387947.879631284","445912.271618002","1","1","3","1","1","2","1","2","1","1","1","1","1","1","1",
"111","치과기공소","01_02_04_P","4211000","PHMB320194210020062300001","2019-01-02","","01","영업/정상","13","영업중","","","","","033-535-7575","","","","강원특별자치도 동해시 감추5길 6-2, 칠만도장 (천곡동)","25778","에이스치과기공소","2021-01-07 16:19:03","I","2023-06-13 00:00:00","","387525.145975099","448106.003566946","1","1","4","1","1","2","2","2","2","1","1","1","2","1","1",
"112","치과기공소","01_02_04_P","4211000","PHMB320174210020062300001","2005-04-20","","01","영업/정상","13","영업중","","","","","033-534-2884","","","","강원특별자치도 동해시 동해대로 5464, 2층 4호 (평릉동, 광진자동차정비)","25751","성원치과기공소","2025-05-27 14:34:45","U","2025-05-29 02:40:00","","386087.481161002","449612.120717788","1","1","3","1","1","3","2","2","2","2","1","1","2","1","1",
"113","치과기공소","01_02_04_P","4211000","PHMB320254211036062300001","2025-05-01","","01","영업/정상","13","영업중","","","","","033-522-2075","","","강원특별자치도 동해시 송정동 625-1","강원특별자치도 동해시 솔밭2길 16, 1층 (송정동)","25788","현대치과기공소","2025-05-27 16:36:17","U","2025-05-29 02:40:00","","388265.770772696","445985.585570163","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"114","치과기공소","01_02_04_P","4221000","PHMB319864220024062300001","1986-09-02","","03","폐업","03","폐업","2022-11-21","","","","033-552-3635","","","강원특별자치도 태백시 황지동 114번지 25호","강원특별자치도 태백시 상장로 41 (황지동)","26039","황지치과기공소","2022-11-21 17:38:46","I","2023-06-13 00:00:00","","376744.129100867","407209.743921664","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"115","치과기공소","01_02_04_P","4221000","PHMB320004220024062300001","2000-08-09","","01","영업/정상","13","영업중","","","","","033-553-2935","","235-010","강원특별자치도 태백시 황지동 95번지 8호","강원특별자치도 태백시 황지로 36 (황지동)","26021","태백심미치과기공소","2016-12-28 09:48:30","I","2023-06-13 00:00:00","","376788.51669794","408532.473963576","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"116","치과기공소","01_02_04_P","4221000","PHMB320194220024062300001","2008-02-25","","01","영업/정상","13","영업중","","","","","0335537940","","","강원특별자치도 태백시 황지동 38번지 257호","강원특별자치도 태백시 새시장길 54, 2층층 (황지동)","26011","대현치과기공소","2019-05-08 17:34:50","I","2023-06-13 00:00:00","","376880.357725218","409938.460292478","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"117","치과기공소","01_02_04_P","4231000","PHMB319884230018062300001","1988-03-14","","03","폐업","03","폐업","2009-10-23","","","","636-2804","","217-080","강원특별자치도 속초시 조양동 1034-49(2층)","","","스마일치과기공소","2009-10-23 16:59:15","I","2023-06-13 00:00:00","","","","1","1","2","1","1","1","1","1","1","1","1","0","0","0","0",
"118","치과기공소","01_02_04_P","4231000","PHMB320204230018062300001","2020-04-07","","03","폐업","03","폐업","2023-10-10","","","","","","","강원특별자치도 속초시 청학동 632번지 32호","강원특별자치도 속초시 번영로 38, 5층 (청학동)","24830","위너치과기공소","2023-10-11 16:41:58","U","2023-10-13 02:40:00","","338556.816077036","523486.643887321","1","1","2","0","1","1","1","1","1","1","1","1","1","1","1",
"119","치과기공소","01_02_04_P","4231000","PHMB320134230018062300001","2013-09-06","","03","폐업","03","폐업","2017-12-28","","","","","","217-060","강원특별자치도 속초시 교동 655번지 44호","강원특별자치도 속초시 교동로 48-1 (교동)","24839","미라클치과기공소","2017-12-28 10:49:26","I","2023-06-13 00:00:00","","338184.541651019","523453.081827681","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"120","치과기공소","01_02_04_P","4231000","PHMB320094230018062300001","2009-11-13","","03","폐업","03","폐업","2012-09-25","","","","636-2804","","217-080","강원특별자치도 속초시 조양동 1034-49,청초프라자 2층 210호","강원특별자치도 속초시 동해대로 4030 (조양동)","217-080","스마일치과기공소","2012-09-25 16:01:22","I","2023-06-13 00:00:00","","339562.195482133","522000.988103454","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"121","치과기공소","01_02_04_P","4231000","PHMB319984230018062300001","1998-04-21","","01","영업/정상","13","영업중","","","","","","","","","강원특별자치도 속초시 노리4길 21, 2층 (노학동)","24864","피닉스치과기공소","2017-12-21 13:42:27","I","2023-06-13 00:00:00","","336329.63076635","521985.841909265","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"122","치과기공소","01_02_04_P","4231000","PHMB320184230018062300001","2018-06-21","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 속초시 교동 636번지 96호","강원특별자치도 속초시 번영로23번길 24, 1층 (교동)","24839","위드유치과기공소","2018-06-21 16:55:21","I","2023-06-13 00:00:00","","338326.186531973","523454.602007092","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"123","치과기공소","01_02_04_P","4231000","PHMB320194230018062300001","2019-04-03","","01","영업/정상","13","영업중","","","","","","","","","강원특별자치도 속초시 번영로129번길 5 (동명동)","24828","행복치과기공소","2019-04-03 11:49:03","I","2023-06-13 00:00:00","","339020.506796611","524244.544310328","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"124","치과기공소","01_02_04_P","4231000","PHMB320174230018062300001","2017-06-29","","01","영업/정상","13","영업중","","","","","033-631-0311","","","","강원특별자치도 속초시 수복로 91, 202호 (교동)","24846","아트치과기공소","2017-06-30 13:16:59","I","2023-06-13 00:00:00","","338259.829444516","523104.236532736","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"125","치과기공소","01_02_04_P","4231000","PHMB320034230018062300001","2003-01-13","","01","영업/정상","13","영업중","","","","","635-6890","","217-040","강원특별자치도 속초시 금호동 479-46","강원특별자치도 속초시 중앙로 125-1 (금호동)","24835","윤치과기공소","2011-11-08 18:03:05","I","2023-06-13 00:00:00","","339187.525299558","523392.793297195","1","1","2","1","1","1","1","1","1","1","1","0","0","0","0",
"126","치과기공소","01_02_04_P","4231000","PHMB320054230018062300001","2005-11-01","","01","영업/정상","13","영업중","","","","","","","","","강원특별자치도 속초시 수복로 91, 201호 (교동)","24846","우리치과기공소","2024-05-29 14:10:40","U","2024-05-31 02:40:00","","338259.829444516","523104.236532736","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"127","치과기공소","01_02_04_P","4231000","PHMB320114230018062300001","2011-01-13","","01","영업/정상","13","영업중","","","","","033-637-6375","","","강원특별자치도 속초시 청학동 482번지 367호","강원특별자치도 속초시 청초호반로 251, 2층 (청학동)","24837","마루치과 기공소","2018-08-02 15:47:11","I","2023-06-13 00:00:00","","338726.407969395","523174.10044101","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"128","치과기공소","01_02_04_P","4241000","PHMB320114240025062300003","2000-11-13","","03","폐업","03","폐업","2017-02-15","","","","574-2804","","245-010","강원특별자치도 삼척시 남양동 345번지","강원특별자치도 삼척시 남양길 41-30 (남양동)","25929","보예치과기공소","2017-05-31 18:43:09","I","2023-06-13 00:00:00","","392008.634189629","440049.69524877","1","1","5","1","1","3","1","1","1","1","1","1","1","1","1",
"129","치과기공소","01_02_04_P","4241000","PHMB320174240025062300001","2017-02-15","","03","폐업","03","폐업","2017-05-10","","","","033-574-2804","","25929","","강원특별자치도 삼척시 남양길 41-30 (남양동, 박상철헤어아트)","25929","보예치과기공소","2017-05-10 18:00:52","I","2023-06-13 00:00:00","","392008.634189629","440049.69524877","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"130","치과기공소","01_02_04_P","4241000","PHMB320114240025062300001","2004-08-26","","01","영업/정상","13","영업중","","","","","574-1803","","25917","강원특별자치도 삼척시 성내동 6번지 18호","강원특별자치도 삼척시 오십천로 402 (성내동)","25917","원치과기공소","2015-08-03 10:46:31","I","2023-06-13 00:00:00","","391214.659514072","439987.13631928","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"131","치과기공소","01_02_04_P","4241000","PHMB320114240025062300002","1992-04-13","","01","영업/정상","13","영업중","","","","","574-2808","","245-010","강원특별자치도 삼척시 남양동 14번지 18호","강원특별자치도 삼척시 사대길 22-16 (남양동)","25922","삼척치과기공소","2011-12-16 11:10:38","I","2023-06-13 00:00:00","","391865.644716975","440381.275602555","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
