"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","보유자격증명","국비지원여부","담당직원내용","삭제일자",
"74","요양보호사교육기관","11_49_01_P","6530000","201165300000040034-20110214","2011-02-14","","03","폐업","1","폐지","2016-12-31","","","","0334520125","","","강원특별자치도 철원군 갈말읍 신철원리  682번지 15호 2층","강원특별자치도 철원군 갈말읍 삼부연로 21 (2층)","51780","철원요양보호사교육원","2012-11-06 18:34:59","I","2025-03-12 00:10:35","","227132.583939774","515906.924438717","","","","",
"75","요양보호사교육기관","11_49_01_P","6530000","201165300000040048-20110215","2011-02-15","","03","폐업","1","폐지","2012-01-14","","","","07082362630","","","강원특별자치도 춘천시 소양로2가   178번지 3호","강원특별자치도 춘천시 소양로 169 (소양로2가)","","명성노인복지센터병설 요양보호사교육원","2013-12-16 11:19:38","I","2025-03-12 00:10:35","","264555.198955845","488532.791607212","","","","",
"76","요양보호사교육기관","11_49_01_P","6530000","201165300000040023-20110215","2011-02-15","","03","폐업","1","폐지","2014-01-14","","","","0332545239","","","강원특별자치도 춘천시 석사동   679번지 1호 3층","강원특별자치도 춘천시 후석로66번길 25 (석사동,3층)","51110","강원보건학원부설요양보호사교육원","2011-12-27 18:39:44","I","2025-03-12 00:10:35","","265523.522575749","484234.002559846","","","","",
"77","요양보호사교육기관","11_49_01_P","6530000","201165300000040010-20110214","2011-02-14","","03","폐업","1","폐지","2014-01-02","","","","0337427571","","","강원특별자치도 원주시 중앙동   122번지","강원특별자치도 원주시 중앙로 83 (중앙동)","51130","밝음요양보호사교육원","2013-06-10 20:50:25","I","2025-03-12 00:10:35","","284226.483296255","427807.605078328","","","","",
"78","요양보호사교육기관","11_49_01_P","6530000","201165300000040014-20110214","2011-02-14","","03","폐업","1","폐지","2018-01-23","","","","0335327805","","","강원특별자치도 동해시 천곡동   1078번지 3호","강원특별자치도 동해시 천곡로 56, 4층 (천곡동)","51170","동해간호학원부설요양보호사교육원","2012-09-10 13:42:42","I","2025-03-12 00:10:35","","386536.785042744","448900.897697686","","","","",
"79","요양보호사교육기관","11_49_01_P","6530000","201165300000040009-20110215","2011-02-15","","03","폐업","1","폐지","2014-05-27","","","","0336315767","","","강원특별자치도 속초시 교동   908번지 10호","강원특별자치도 속초시 만천7길 17 (교동)","51210","속초요양보호사교육원","2011-10-30 17:32:07","I","2025-03-12 00:10:35","","338115.987712668","523142.660585429","","","","",
"80","요양보호사교육기관","11_49_01_P","6530000","201165300000040015-20110214","2011-02-14","","03","폐업","1","폐지","2012-01-13","","","","0332544867","","","강원특별자치도 춘천시 온의동   514번지 대일빌딩 4층","강원특별자치도 춘천시 경춘로 2354 (온의동)","51110","춘천YWCA부설요양보호사교육원","2011-10-30 17:23:17","I","2025-03-12 00:10:35","","263297.231644072","484808.077816798","","","","",
"81","요양보호사교육기관","11_49_01_P","6530000","201165300000040017-20110214","2011-02-14","","03","폐업","1","폐지","2022-10-31","","","","0337300977","","","강원특별자치도 원주시 우산동 660번지 상지대학교","강원특별자치도 원주시 상지대길 83, 상지대학교(우산동)","","상지대학교부설 요양보호사교육원","2022-10-29 16:40:18","I","2025-03-12 00:10:35","","","","","","","",
"82","요양보호사교육기관","11_49_01_P","6530000","201165300000040003-20110214","2011-02-14","","03","폐업","1","폐지","2011-08-26","","","","0336100129","","","강원특별자치도 강릉시 홍제동  1009번지 강릉영동대학","","","강릉영동대학부설요양보호사교육원","2011-05-31 10:34:26","I","2025-03-12 00:10:35","","","","","","","",
"83","요양보호사교육기관","11_49_01_P","6530000","201165300000040011-20110215","2011-02-15","","03","폐업","1","폐지","2024-08-02","","","","0336538898","","","강원특별자치도 강릉시 포남1동   898번지 21호","강원특별자치도 강릉시 용지각길 20 (포남동)","","강릉요양보호사교육원","2025-03-19 10:29:56","U","2025-03-21 02:40:00","","367874.700306367","474912.896808704","","","","",
"84","요양보호사교육기관","11_49_01_P","6530000","201165300000040041-20110214","2011-02-14","","03","폐업","1","폐지","2012-01-09","","","","0336431145","","","강원특별자치도 강릉시 포남1동   1117번지 13호","강원특별자치도 강릉시 강릉대로 317 (포남동)","51150","강릉YWCA여성인력개발센터부설요양보호사교육원","2011-10-30 14:46:29","I","2025-03-12 00:10:35","","367561.485591304","475286.253423978","","","","",
"85","요양보호사교육기관","11_49_01_P","6530000","201165300000040032-20110214","2011-02-14","","03","폐업","1","폐지","2012-03-05","","","","0334619395","","","강원특별자치도 인제군 남면 어론리  576번지 3호","강원특별자치도 인제군 남면 응봉길 26-33","51810","사회복지법인실버홈부설인제요양보호사교육원","2012-08-28 10:05:35","I","2025-03-12 00:10:35","","293618.141447354","491981.27382212","","","","",
"86","요양보호사교육기관","11_49_01_P","6530000","201165300000040027-20110214","2011-02-14","","03","폐업","1","폐지","2014-11-11","","","","0334819992","","","강원특별자치도 양구군 남면 적리","강원특별자치도 양구군 남면 남동로 282","","양구군사회복지협의회부설요양보호사교육원","2014-11-14 09:14:01","I","2025-03-12 00:10:35","","","","","","","",
"87","요양보호사교육기관","11_49_01_P","6530000","201165300000040040-20110215","2011-02-15","","03","폐업","1","폐지","2012-10-26","","","","0332445960","","","강원특별자치도 춘천시 우두동   1053-7","강원특별자치도 춘천시 신흥길5번길 4 (우두동)","","춘천명성요양보호사교육원","2012-08-31 11:30:56","I","2025-03-12 00:10:35","","","","","","","",
"88","요양보호사교육기관","11_49_01_P","6530000","201165300000040036-20110214","2011-02-14","","03","폐업","1","폐지","2012-09-27","","","","0336464321","","","강원특별자치도 강릉시 용강동   29번지 14호 서부시장2층79호","강원특별자치도 강릉시 임영로155번길 6 (용강동)","51150","미래요양보호사교육원","2011-12-30 16:05:59","I","2025-03-12 00:10:35","","366564.34266928","474192.135182166","","","","",
"89","요양보호사교육기관","11_49_01_P","6530000","201165300000040033-20110215","2011-02-15","","03","폐업","1","폐지","2024-02-27","","","","0335506241","","","강원특별자치도 태백시 황지동  439번지 강원관광대학","강원특별자치도 태백시 대학길 97 (황지동,강원관광대학)","","강원관광대부설요양보호사교육원","2022-08-03 13:51:25","I","2025-03-12 00:10:35","","375366.896553026","408426.548493144","","","","",
"90","요양보호사교육기관","11_49_01_P","6530000","201165300000040007-20110215","2011-02-15","","03","폐업","1","폐지","2024-03-22","","","","0334359754","","","강원특별자치도 홍천군 홍천읍 희망리 332-26","강원특별자치도 홍천군 홍천읍 신장대로 46, 2층","51720","홍천간호학원부설요양보호사교육원","2021-10-15 09:02:46","I","2025-03-12 00:10:35","","277664.820588455","465667.009213842","","","","",
"91","요양보호사교육기관","11_49_01_P","6530000","201165300000040043-20110215","2011-02-15","","03","폐업","1","폐지","2011-10-21","","","","0333343317","","","강원특별자치도 평창군 평창읍 천변리  32번지 3호","강원특별자치도 평창군 평창읍 천변길 24-8","51760","대화요양보호사교육원","2011-10-30 14:43:19","I","2025-03-12 00:10:35","","323633.562102988","430282.727714357","","","","",
"92","요양보호사교육기관","11_49_01_P","6530000","201165300000040049-20111030","2011-10-30","","03","폐업","1","폐지","2022-07-31","","","","0336325655","","","강원특별자치도 속초시 교동   665번지 4호","강원특별자치도 속초시 중앙로 25 (교동)","","대한요양보호사교육원","2022-07-26 20:23:25","I","2025-03-12 00:10:35","","","","","","","",
"93","요양보호사교육기관","11_49_01_P","6530000","201165300000040024-20110214","2011-02-14","","03","폐업","1","폐지","2023-12-28","","","","0332410829","","","강원특별자치도 춘천시 우두동   410번지 25호","강원특별자치도 춘천시 충열로 62 (우두동)","","계명요양보호사교육원","2023-12-28 14:08:57","U","2025-03-12 02:40:00","","264554.513252214","488789.426904602","","","","",
"94","요양보호사교육기관","11_49_01_P","6530000","201165300000040047-20110214","2011-02-14","","02","휴업","2","휴지","","2020-01-01","","","0333442700","","","강원특별자치도 횡성군 청일면 갑천리  1311번지 3호","강원특별자치도 횡성군 청일면 갑천로 1136","","스마일요양보호사교육원","2019-12-24 17:30:56","I","2025-03-12 00:10:35","","305835.917543086","448921.004969248","","","","",
