"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","직원수","허가기간시작일자","허가기간종료일자",
"79","급수공사대행업","09_30_06_P","4181000","418100016201900003","2019-04-08","","01","영업/정상","11","정상","","","","","033-243-9933","","","강원특별자치도 춘천시 온의동 ***","강원특별자치도 춘천시 옛경춘로 ***-** (온의동)","","(주)유희건설","2019-04-08 15:09:05","I","2023-06-13 00:00:00","","262732.555498085","483368.974338652","0","20190408","20220407",
"80","급수공사대행업","09_30_06_P","4181000","418100016201900004","2019-05-10","","01","영업/정상","11","정상","","","","","033-263-9084","","","강원특별자치도 춘천시 퇴계동 *** 한주아파트 상가동","강원특별자치도 춘천시 안마산로 ***-*, 한주아파트 상가동 (퇴계동)","","(주)다경","2022-12-08 18:09:32","I","2023-06-13 00:00:00","","264906.022305039","483375.580147211","0","20190510","20220509",
"81","급수공사대행업","09_30_06_P","4181000","418100016201900005","2019-08-09","","01","영업/정상","11","정상","","","","","033-261-3500","","","강원특별자치도 춘천시 동내면 학곡리 ***-*","강원특별자치도 춘천시 동내면 학곡서*길 **","","(주)플렉스건설","2019-08-09 11:19:47","I","2023-06-13 00:00:00","","266793.14725048","481440.488006925","0","20190809","20220808",
"82","급수공사대행업","09_30_06_P","4181000","418100016201900006","2019-09-26","","01","영업/정상","11","정상","","","","","033-244-0455","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 공단로 ** (후평동)","","(합)다래건설","2019-09-26 14:01:16","I","2023-06-13 00:00:00","","265886.688731123","487544.046076699","0","20191005","20221004",
"83","급수공사대행업","09_30_06_P","4181000","418100016201900007","2019-11-14","","01","영업/정상","11","정상","","","","","033-243-6614","","","강원특별자치도 춘천시 동내면 고은리 ***-*","강원특별자치도 춘천시 동내면 순환대로 ***-**","","(합)건일건설","2019-11-14 10:15:11","I","2023-06-13 00:00:00","","267997.133709191","483026.873763906","0","20191119","20221118",
"84","급수공사대행업","09_30_06_P","4181000","418100016201900008","2019-11-14","","01","영업/정상","11","정상","","","","","033-253-1557","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 공원*길 **-* (퇴계동)","","(합)신진건설","2019-11-14 10:16:12","I","2023-06-13 00:00:00","","263622.681113762","484402.481538425","0","20191119","20221118",
"85","급수공사대행업","09_30_06_P","4181000","418100016201900009","2019-11-14","","01","영업/정상","11","정상","","","","","033-262-9747","","","강원특별자치도 춘천시 동면 만천리 ***-**","강원특별자치도 춘천시 동면 만천양지길 ***","","(합)보광건설","2019-11-14 10:17:13","I","2023-06-13 00:00:00","","267654.810463875","487719.291333845","0","20191119","20221118",
"86","급수공사대행업","09_30_06_P","4181000","418100016201900010","2019-12-09","","01","영업/정상","11","정상","","","","","033-243-9393","","","강원특별자치도 춘천시 온의동 ***","강원특별자치도 춘천시 옛경춘로 ***-** (온의동)","","이지건설(주)","2019-12-09 11:35:25","I","2023-06-13 00:00:00","","262732.555498085","483368.974338652","0","20191212","20221211",
"87","급수공사대행업","09_30_06_P","4181000","418100016201900012","2019-12-23","","01","영업/정상","11","정상","","","","","033-263-5747","","","강원특별자치도 춘천시 동면 장학리 ***-*","강원특별자치도 춘천시 동면 춘천로 ***","","후평수도공무소","2019-12-23 10:53:01","I","2023-06-13 00:00:00","","266750.518920082","488187.425478583","0","20200101","20221231",
"88","급수공사대행업","09_30_06_P","4181000","418100016202000001","2020-03-19","","01","영업/정상","11","정상","","","","","033-251-9574","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로***번길 ** (후평동)","","(주)거인건설","2020-03-19 11:47:48","I","2023-06-13 00:00:00","","265426.851298193","487384.159796493","0","20200324","20230323",
"89","급수공사대행업","09_30_06_P","4181000","418100016202000002","2020-05-19","","01","영업/정상","11","정상","","","","","033-241-0494","","","강원특별자치도 춘천시 동내면 신촌리 ***-*","강원특별자치도 춘천시 동내면 향군길 **, A동 ***호","","(합)토성건설","2020-05-19 10:14:17","I","2023-06-13 00:00:00","","267580.813382908","482899.627577191","0","20200520","20230519",
"90","급수공사대행업","09_30_06_P","4181000","418100016202000003","2020-05-25","","01","영업/정상","11","정상","","","","","033-252-1246","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로***번길 ** (후평동)","","(주)현대배관","2020-05-25 10:35:13","I","2023-06-13 00:00:00","","265426.851298193","487384.159796493","0","20200526","20230525",
"91","급수공사대행업","09_30_06_P","4181000","418100016202000004","2020-06-01","","01","영업/정상","11","정상","","","","","033-253-5044","","","강원특별자치도 춘천시 우두동 ***-*","강원특별자치도 춘천시 우두상리길 *-* (우두동)","","(합)고광건설","2020-06-01 09:36:51","I","2023-06-13 00:00:00","","265252.086963969","489677.771596376","0","20200602","20230601",
"92","급수공사대행업","09_30_06_P","4181000","418100016202000005","2020-06-15","","01","영업/정상","11","정상","","","","","033-243-8002","","","강원특별자치도 춘천시 서면 방동리 ***-*","강원특별자치도 춘천시 서면 신숭겸로 ***-**, ***호","","(합)영흥디앤씨","2023-02-05 14:25:24","I","2023-06-13 00:00:00","","259005.733136585","488230.611053893","0","20180625","20210624",
"93","급수공사대행업","09_30_06_P","4181000","418100016202000006","2020-07-17","","01","영업/정상","11","정상","","","","","033-252-7200","","","강원특별자치도 춘천시 신동면 증리 ***-*","강원특별자치도 춘천시 신동면 김유정로 ****, ***호","","미륭건설 주식회사","2024-10-24 15:21:00","U","2024-10-26 02:40:00","","262756.426976407","479555.955659144","0","20200720","20230717",
"94","급수공사대행업","09_30_06_P","4181000","418100016202000007","2020-07-17","","01","영업/정상","11","정상","","","","","244-8978","","","강원특별자치도 춘천시 동내면 신촌리 ***-*","강원특별자치도 춘천시 동내면 장안길 **","","(주)남토건설","2020-07-17 14:38:29","I","2023-06-13 00:00:00","","267159.57129252","482467.323293313","0","20200721","20230720",
"95","급수공사대행업","09_30_06_P","4181000","418100016202100008","2021-06-24","","01","영업/정상","11","정상","","","","","033)243-6653","","","강원특별자치도 춘천시 퇴계동 ***-**","강원특별자치도 춘천시 남춘로**번길 **, *층 (퇴계동)","","합자회사 진보","2021-06-24 15:27:52","I","2023-06-13 00:00:00","","264463.715517845","484767.189610861","0","20210625","20240624",
"96","급수공사대행업","09_30_06_P","4181000","418100016202100009","2021-07-01","","01","영업/정상","11","정상","","","","","033)252-1246","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 후석로***번길 ** (후평동)","","(주)보령건설","2023-06-12 16:30:47","U","2023-06-14 02:40:00","","265426.851298193","487384.159796493","0","20210703","20240702",
"97","급수공사대행업","09_30_06_P","4181000","418100016202100010","2021-07-13","","01","영업/정상","11","정상","","","","","033) 243-6977","","","강원특별자치도 춘천시 동내면 고은리 ***-**","강원특별자치도 춘천시 동내면 고은길 **","","(합)우신건설","2021-10-06 16:15:48","I","2023-06-13 00:00:00","","268071.873816021","482615.262015683","0","20210713","20240712",
"98","급수공사대행업","09_30_06_P","4181000","418100016202100011","2021-09-21","","01","영업/정상","11","정상","","","","","033) 263-4674","","","강원특별자치도 춘천시 동내면 사암리 ***-*","강원특별자치도 춘천시 동내면 사래울*길 ***","","수정건설(주)","2021-10-06 16:16:50","I","2023-06-13 00:00:00","","268233.211482143","480501.185729246","0","20210921","20240920",
"99","급수공사대행업","09_30_06_P","4181000","418100016202100012","2021-10-12","","01","영업/정상","11","정상","","","","","033)255-3980","","","강원특별자치도 춘천시 온의동 **-**","강원특별자치도 춘천시 스포츠타운길 ***, *층 (온의동)","","주식회사 강산측량설계공사","2021-10-12 10:05:47","I","2023-06-13 00:00:00","","262762.329959774","485322.187894293","0","20211012","20241011",
"100","급수공사대행업","09_30_06_P","4181000","418100016202200001","2022-06-07","","01","영업/정상","11","정상","","","","","033)242-0378","","","강원특별자치도 춘천시 동면 장학리 *","강원특별자치도 춘천시 동면 가락재로 *, *층","","주식회사 정수건설","2024-10-24 15:18:53","U","2024-10-26 02:40:00","","268108.428366998","488822.913158491","0","20220607","20240405",
"101","급수공사대행업","09_30_06_P","4181000","418100016202200002","2022-06-09","","01","영업/정상","11","정상","","","","","033)255-9982","","","강원특별자치도 춘천시 후평동 ***-*","강원특별자치도 춘천시 세실로***번길 *-*, *층 (후평동)","","주식회사 해광건설","2022-06-09 09:56:39","I","2023-06-13 00:00:00","","266611.103117044","486223.954150638","0","20220609","20250608",
"102","급수공사대행업","09_30_06_P","4181000","418100016202200003","2022-06-24","","01","영업/정상","11","정상","","","","","033)243-9393","","","강원특별자치도 춘천시 온의동 ***","강원특별자치도 춘천시 옛경춘로 ***-** (온의동)","","유희건설(주)","2024-10-24 15:18:36","U","2024-10-26 02:40:00","","262732.555498085","483368.974338652","0","","20240228",
"103","급수공사대행업","09_30_06_P","4181000","418100016202200004","2022-10-26","","01","영업/정상","11","정상","","","","","033-244-0455","","","강원특별자치도 춘천시 후평동 ***-**","강원특별자치도 춘천시 공단로 ** (후평동)","","(자)다래건설","2022-10-28 16:32:48","I","2023-06-13 00:00:00","","265886.688731123","487544.046076699","2","20221005","20251004",
"104","급수공사대행업","09_30_06_P","4181000","418100016202200005","2022-11-02","","01","영업/정상","11","정상","","","","","033-253-1557","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 공원*길 **-* (퇴계동)","","합자회사 신진건설","2022-11-02 17:42:47","I","2023-06-13 00:00:00","","263622.681113762","484402.481538425","0","20221119","20251118",
"105","급수공사대행업","09_30_06_P","4181000","418100016202200006","2022-11-07","","01","영업/정상","11","정상","","","","","0332629747","","","강원특별자치도 춘천시 동면 감정리 ***-**","강원특별자치도 춘천시 동면 연산골길 ***","","합자회사 보광건설","2022-11-07 17:45:18","I","2023-06-13 00:00:00","","269557.445509863","487636.973974379","0","20221119","20251118",
"106","급수공사대행업","09_30_06_P","4181000","418100016202200007","2022-11-08","","01","영업/정상","11","정상","","","","","0332436614","","","강원특별자치도 춘천시 동내면 고은리 ***-*","강원특별자치도 춘천시 동내면 순환대로 ***-**","","합자회사 건일건설","2022-11-08 15:26:16","I","2023-06-13 00:00:00","","267997.133709191","483026.873763906","0","20221119","20251118",
"107","급수공사대행업","09_30_06_P","4181000","418100016202200008","2022-12-05","","01","영업/정상","11","정상","","","","","033-243-9393","","","강원특별자치도 춘천시 온의동 ***","강원특별자치도 춘천시 옛경춘로 ***-** (온의동)","","이지건설(주)","2022-12-06 10:53:21","I","2023-06-13 00:00:00","","262732.555498085","483368.974338652","0","20221212","20251211",
"108","급수공사대행업","09_30_06_P","4181000","418100016202200009","2022-12-06","","01","영업/정상","11","정상","","","","","033-261-5747","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두길 ***-**","","주식회사 가경건설","2022-12-06 16:06:54","I","2023-06-13 00:00:00","","268745.049399604","484427.867628968","0","20221219","20251218",
"109","급수공사대행업","09_30_06_P","4181000","418100016202200010","2022-12-26","","01","영업/정상","11","정상","","","","","033-263-5747","","","강원특별자치도 춘천시 동면 장학리 ***-*","강원특별자치도 춘천시 동면 춘천로 ***","","후평수도공무소","2022-12-26 11:21:29","I","2023-06-13 00:00:00","","266750.518920082","488187.425478583","0","20230101","20251231",
"110","급수공사대행업","09_30_06_P","4181000","418100016202300001","2023-01-31","","01","영업/정상","11","정상","","","","","0332627519","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두길 ***-**","","(주)제이앤피건설","2024-10-24 15:19:38","U","2024-10-26 02:40:00","","268745.049399604","484427.867628968","0","20230131","20231215",
"111","급수공사대행업","09_30_06_P","4181000","418100016202300002","2023-03-07","","01","영업/정상","11","정상","","","","","033-263-7858","","","강원특별자치도 춘천시 석사동 ***-*","강원특별자치도 춘천시 후석로**번길 ** (석사동)","","티에스건설주식회사","2023-03-07 13:44:43","I","2023-06-13 00:00:00","","265006.260466628","484475.78826163","7","20230307","20260306",
"112","급수공사대행업","09_30_06_P","4181000","418100016202300003","2023-03-10","","01","영업/정상","11","정상","","","","","033-251-9574","","","강원특별자치도 춘천시 근화동 ***-**","강원특별자치도 춘천시 중앙로 ***, ***호 (근화동)","","주식회사 거인건설","2023-06-16 16:12:40","U","2023-06-18 02:40:00","","262906.898136704","486034.230859133","3","20230324","20260323",
"113","급수공사대행업","09_30_06_P","4181000","418100016202300004","2023-05-15","","01","영업/정상","11","정상","","","","","0332410494","","","강원특별자치도 춘천시 동내면 신촌리 ***-*","강원특별자치도 춘천시 동내면 향군길 **, 에이동 ***호","","(합)토성건설","2023-05-15 13:51:45","I","2023-06-13 00:00:00","","267580.813382908","482899.627577191","0","20230520","20260519",
"114","급수공사대행업","09_30_06_P","4181000","418100016202300005","2023-05-15","","01","영업/정상","11","정상","","","","","0332542618","","","강원특별자치도 춘천시 소양로*가 ***-* 신동아아파트","강원특별자치도 춘천시 서부대성로 **, *층 **호 (소양로*가, 신동아아파트)","","주식회사 현대배관","2023-06-16 16:15:58","U","2023-06-18 02:40:00","","263675.833817836","487157.336209289","0","20230526","20260525",
"115","급수공사대행업","09_30_06_P","4181000","418100016202300006","2023-05-24","","01","영업/정상","11","정상","","","","","033-253-5044","","","강원특별자치도 춘천시 우두동 ***-*","강원특별자치도 춘천시 우두상리길 *-* (우두동)","","(합)고광건설","2023-05-24 10:17:23","I","2023-06-13 00:00:00","","265252.086963969","489677.771596376","0","20230602","20260601",
"116","급수공사대행업","09_30_06_P","4181000","418100016202400012","2024-10-28","","01","영업/정상","11","정상","","","","","033-243-4478","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두길 ***-**","","(주)재유건설","2024-10-28 16:37:15","I","2024-10-30 00:12:25","","268745.049399604","484427.867628968","0","20241028","20271027",
"117","급수공사대행업","09_30_06_P","4181000","418100016202400011","2024-09-19","","01","영업/정상","11","정상","","","","","033-263-4674","","","강원특별자치도 춘천시 동내면 사암리 ***-*","강원특별자치도 춘천시 동내면 사래울*길 ***","","수정건설(주)","2024-09-19 11:42:50","I","2024-09-21 00:12:49","","268233.211482143","480501.185729246","0","20240919","20270918",
"118","급수공사대행업","09_30_06_P","4181000","418100016202400009","2024-06-27","","01","영업/정상","11","정상","","","","","033-252-1246","","","강원특별자치도 춘천시 근화동 ***-**","강원특별자치도 춘천시 공지로 ***, *층 *호 (근화동)","","(주)보령건설","2024-06-27 10:02:59","I","2024-06-29 00:14:02","","263161.857288675","485943.610341716","0","20240627","20270626",
"119","급수공사대행업","09_30_06_P","4181000","418100016202400010","2024-07-08","","01","영업/정상","11","정상","","","","","033-243-6977","","","강원특별자치도 춘천시 동내면 고은리 ***-**","강원특별자치도 춘천시 동내면 고은길 **","","(합)우신건설","2024-07-08 11:02:49","I","2024-07-10 00:13:52","","268071.873816021","482615.262015683","0","20240708","20270707",
"120","급수공사대행업","09_30_06_P","4181000","418100016202400008","2024-06-21","","01","영업/정상","11","정상","","","","","033-243-2911","","","강원특별자치도 춘천시 퇴계동 ***-**","강원특별자치도 춘천시 남춘로 **, *층 *호 (퇴계동)","","(합)진보","2024-06-21 13:06:20","I","2024-06-23 00:14:06","","264256.766682684","484866.120110744","0","20240621","20270620",
"121","급수공사대행업","09_30_06_P","4181000","418100016202400007","2024-06-10","","01","영업/정상","11","정상","","","","","033-243-8002","","","강원특별자치도 춘천시 서면 방동리 ***-*","강원특별자치도 춘천시 서면 신숭겸로 ***-**, ***호","","(합)영흥디앤씨","2024-06-10 13:14:23","I","2024-06-12 00:14:15","","259005.733136585","488230.611053893","0","20240610","20270609",
"122","급수공사대행업","09_30_06_P","4181000","418100016202400005","2024-02-06","","01","영업/정상","11","정상","","","","","033-263-5748","","","강원특별자치도 춘천시 동면 장학리 ***-*","강원특별자치도 춘천시 동면 춘천로 ***","","(합)대호건설","2024-02-06 10:49:52","I","2024-02-08 00:16:10","","266750.518920082","488187.425478583","0","20240206","20270205",
"123","급수공사대행업","09_30_06_P","4181000","418100016202400003","2024-01-25","","01","영업/정상","11","정상","","","","","033-262-9443","","","강원특별자치도 춘천시 신동면 증리 ***-*","강원특별자치도 춘천시 신동면 김유정로 ****-**","","맑은물주식회사","2024-01-25 09:23:17","I","2024-01-27 00:16:14","","264088.540031621","481676.340341332","0","20240125","20270124",
"124","급수공사대행업","09_30_06_P","4181000","418100016202400002","2024-01-24","","01","영업/정상","11","정상","","","","","033-257-2126","","","강원특별자치도 춘천시 동면 장학리 ***-*","강원특별자치도 춘천시 동면 춘천순환로 ***, *층 ***호","","투에스건설(주)","2024-01-24 16:33:18","I","2024-01-26 00:16:29","","266140.86776281","489621.046588032","0","20240124","20270123",
"125","급수공사대행업","09_30_06_P","4181000","418100016202400006","2024-02-22","","01","영업/정상","11","정상","","","","","033-261-5575","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 거두길 ***","","(주)대영건설","2024-02-22 11:00:37","I","2024-02-24 00:16:04","","268793.931729711","484480.297928242","0","20240222","20270221",
"126","급수공사대행업","09_30_06_P","4181000","418100016202400001","2024-01-18","","01","영업/정상","11","정상","","","","","033-264-8846","","","강원특별자치도 춘천시 신동면 증리 ***-*","강원특별자치도 춘천시 신동면 김유정로 ****-**","","(합)한빛환경","2024-01-18 10:36:58","I","2024-01-20 00:16:22","","264088.540031621","481676.340341332","0","20240118","20270117",
"127","급수공사대행업","09_30_06_P","4181000","418100016202400004","2024-02-01","","01","영업/정상","11","정상","","","","","033-243-7741","","","강원특별자치도 춘천시 동내면 고은리 ***-**","강원특별자치도 춘천시 동내면 고은길 ***","","(주)희영건설","2024-02-01 11:25:35","I","2024-02-03 00:16:05","","268549.545932456","482126.391547813","0","20240201","20270131",
"128","급수공사대행업","09_30_06_P","4181000","418100016202500007","2023-08-30","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 춘천시 신동면 정족리 ***","강원특별자치도 춘천시 신동면 솟발길 **","","주식회사 남광건설","2025-10-02 14:07:44","I","2025-10-05 00:20:16","","263882.943181481","482567.08429969","0","20230830","20260829",
"129","급수공사대행업","09_30_06_P","4181000","418100016202500006","2025-09-23","","01","영업/정상","11","정상","","","","","033-244-0455","","","강원특별자치도 춘천시 신북읍 산천리 ***-*","강원특별자치도 춘천시 신북읍 금광길 ***-*","","합자회사 다래건설","2025-09-23 14:55:41","I","2025-09-25 00:20:40","","265059.144493746","494841.373337455","0","20250923","20280922",
"130","급수공사대행업","09_30_06_P","4181000","418100016202500004","2023-05-15","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 춘천시 근화동 ***-**","강원특별자치도 춘천시 중앙로 ***, *층 ***호 (근화동)","","(주)현대배관","2025-05-27 13:41:55","I","2025-05-29 00:20:10","","262906.898136704","486034.230859133","0","20230526","20260525",
"131","급수공사대행업","09_30_06_P","4181000","418100016202500003","2022-11-08","","01","영업/정상","11","정상","","","","","","","","강원특별자치도 춘천시 동내면 고은리 ***-*","강원특별자치도 춘천시 동내면 순환대로 ***-**","","합자회사 건일건설","2025-05-14 17:50:36","I","2025-05-16 00:21:17","","267997.133709191","483026.873763906","0","20221119","20251118",
"132","급수공사대행업","09_30_06_P","4181000","418100016202500005","2025-06-12","","01","영업/정상","11","정상","","","","","033-255-9982","","","강원특별자치도 춘천시 동면 만천리 **","강원특별자치도 춘천시 동면 금촌로 ***-*","","(주)해광건설","2025-06-12 14:49:47","I","2025-06-15 00:20:02","","269326.686059947","485340.614107794","0","20250612","20280611",
"133","급수공사대행업","09_30_06_P","4181000","418100016202500002","2022-11-07","","01","영업/정상","11","정상","","","","","033-262-9747","","","강원특별자치도 춘천시 동내면 거두리 ***-*","강원특별자치도 춘천시 동내면 순환대로 ***, ***호","","합자회사 보광건설","2025-03-21 18:01:55","I","2025-03-23 00:10:24","","268350.366313008","484813.435623108","0","20221119","20251118",
"134","급수공사대행업","09_30_06_P","4181000","418100016202500001","2022-11-08","","01","영업/정상","11","정상","","","","","033-243-6614","","","강원특별자치도 춘천시 동내면 고은리 ***-*","강원특별자치도 춘천시 동내면 순환대로 ***-**","","합자회사 건일건설","2025-02-21 15:20:26","I","2025-02-23 00:10:47","","267997.133709191","483026.873763906","0","20221119","20251118",
"135","급수공사대행업","09_30_06_P","4181000","418100016202300011","2023-09-18","","01","영업/정상","11","정상","","","","","033-255-7897","","","강원특별자치도 춘천시 동면 만천리 ***-* 만천빌딩","강원특별자치도 춘천시 동면 만천로 **, 만천빌딩 *층","","(주)비앤씨건설","2023-09-18 10:18:31","I","2023-09-20 00:18:00","","267124.888872612","486688.51800364","","","",
"136","급수공사대행업","09_30_06_P","4181000","418100016202300012","2023-10-16","","01","영업/정상","11","정상","","","","","033-262-1824","","","강원특별자치도 춘천시 동내면 학곡리 ***-*","강원특별자치도 춘천시 동내면 학곡서*길 **","","돌사랑건설(주)","2023-10-16 10:35:59","I","2023-10-18 00:17:48","","266640.425799565","481628.292341411","","","",
"137","급수공사대행업","09_30_06_P","4181000","418100016202000009","2020-07-30","","03","폐업","2","폐업","","","","","033-241-9836","","","강원특별자치도 춘천시 우두동 ***-*","강원특별자치도 춘천시 우두상리길 *-* (우두동)","","국정건설(주)","2020-07-30 09:48:00","I","2023-06-13 00:00:00","","265252.086963969","489677.771596376","0","20200805","20230804",
"138","급수공사대행업","09_30_06_P","4191000","419100016200800001","2000-08-22","","01","영업/정상","11","정상","","","","","033-761-0904","","","강원특별자치도 원주시 원동  ***번지 **  호","","","강원수도공무소","2015-01-05 21:13:02","I","2023-06-13 00:00:00","","","","3","20000822","20050821",
"139","급수공사대행업","09_30_06_P","4201000","420100016201400004","2014-04-29","","01","영업/정상","11","정상","","","","","651-2044","","","강원특별자치도 강릉시 병산동  ***번지 *호","","","필립건설 주식회사","2015-01-05 21:07:50","I","2023-06-13 00:00:00","","","","10","20140430","20160429",
"140","급수공사대행업","09_30_06_P","4201000","420100016201400006","2014-10-15","","01","영업/정상","11","정상","","","","","647-3800","","","강원특별자치도 강릉시 유산동  ***번지 *호","","","서림건설(주)","2015-01-05 21:07:50","I","2023-06-13 00:00:00","","","","3","20141015","20161014",
"141","급수공사대행업","09_30_06_P","4201000","420100016201400008","2014-11-06","","01","영업/정상","11","정상","","","","","651-1536","","","강원특별자치도 강릉시 성산면 위촌리 ***번지 *호","","","정진건설(주)","2015-01-05 21:07:50","I","2023-06-13 00:00:00","","","","2","20141112","20161111",
"142","급수공사대행업","09_30_06_P","4201000","420100016201500001","2015-02-23","","01","영업/정상","11","정상","","","","","646-6552","","","강원특별자치도 강릉시 노암동 ***-**","강원특별자치도 강릉시 안땔길 ** (노암동)","","(주)한일개발","2015-02-23 16:29:38","I","2023-06-13 00:00:00","","367023.827400148","473279.007146246","2","20150311","20170310",
"143","급수공사대행업","09_30_06_P","4201000","420100016201500002","2015-03-11","","01","영업/정상","11","정상","","","","","647-6254","","","강원특별자치도 강릉시 남문동 ***-*","강원특별자치도 강릉시 남문길 **-* (남문동)","","(주)태운건설","2015-03-11 11:34:48","I","2023-06-13 00:00:00","","366597.933162907","473572.267893822","7","20150322","20170321",
"144","급수공사대행업","09_30_06_P","4201000","420100016201500003","2015-03-11","","01","영업/정상","11","정상","","","","","646-5339","","","","강원특별자치도 강릉시 연화봉길 ** (노암동)","","보광건설(주)","2015-03-11 15:21:19","I","2023-06-13 00:00:00","","367478.567798288","473578.920057603","4","20150311","20170310",
"145","급수공사대행업","09_30_06_P","4201000","420100016201500004","2015-04-09","","01","영업/정상","11","정상","","","","","647-9800","","","강원특별자치도 강릉시 포남동 ****","강원특별자치도 강릉시 경강로****번길 * (포남동)","","명성건설(주)","2015-04-09 17:57:32","I","2023-06-13 00:00:00","","367882.34136911","475092.593791533","3","20150417","20170416",
"146","급수공사대행업","09_30_06_P","4201000","420100016201500005","2015-05-15","","01","영업/정상","11","정상","","","","","652-8950","","","","강원특별자치도 강릉시 강릉대로 ***-** (교동)","","(주)정산건설","2015-05-15 11:27:08","I","2023-06-13 00:00:00","","367667.105149393","475493.723290774","2","20150515","20170514",
"147","급수공사대행업","09_30_06_P","4201000","420100016201500006","2015-06-29","","01","영업/정상","11","정상","","","","","645-1999","","","강원특별자치도 강릉시 성산면 위촌리 ***-*","강원특별자치도 강릉시 성산면 송두길 **","","(주)도시건설","2015-06-29 14:49:49","I","2023-06-13 00:00:00","","362518.606574535","475153.006556647","1","20150629","20170628",
"148","급수공사대행업","09_30_06_P","4201000","420100016201500007","2015-08-07","","01","영업/정상","11","정상","","","","","6530943","","","","강원특별자치도 강릉시 남부로**번길 **-* (내곡동)","","세방건설(주)","2015-08-07 10:29:47","I","2023-06-13 00:00:00","","365886.964895317","472747.769599003","4","20150817","20170816",
"149","급수공사대행업","09_30_06_P","4201000","420100016201500008","2015-11-23","","01","영업/정상","11","정상","","","","","662-6426","","","강원특별자치도 강릉시 주문진읍 교항리 ***","강원특별자치도 강릉시 주문진읍 연주로 ***","","(주)명주건설","2021-01-27 18:05:48","I","2023-06-13 00:00:00","","360421.256805038","488506.398967062","4","20151129","20171128",
"150","급수공사대행업","09_30_06_P","4201000","420100016200400001","1994-12-09","","01","영업/정상","11","정상","","","","","534-1419","","","강원특별자치도 강릉시 옥계면 낙풍리 ***번지  *호","","","서부수도공무소","2015-01-05 21:07:50","I","2023-06-13 00:00:00","","","","2","20041127","20061126",
"151","급수공사대행업","09_30_06_P","4201000","420100016200400002","1993-03-17","","01","영업/정상","11","정상","","","","","643-9411","","","강원특별자치도 강릉시 교동  ***번지  **호","","","동부수도공무소","2015-01-05 21:07:50","I","2023-06-13 00:00:00","","","","0","20030317","20050316",
"152","급수공사대행업","09_30_06_P","4201000","420100016200400003","2011-03-09","","01","영업/정상","11","정상","","","","","033-646-6552","","","강원특별자치도 강릉시 노암동  ***번지  **호","","","(주)한일개발","2015-01-05 21:07:50","I","2023-06-13 00:00:00","","","","4","20110309","20130308",
"153","급수공사대행업","09_30_06_P","4201000","420100016200400004","1994-07-08","","01","영업/정상","11","정상","","","","","662-6426","","","강원특별자치도 강릉시 주문진읍 교항리 ***번지  *호","","","(주)주문건설","2015-01-05 21:07:50","I","2023-06-13 00:00:00","","","","0","20040708","20060707",
"154","급수공사대행업","09_30_06_P","4201000","420100016200400005","1994-07-08","","01","영업/정상","11","정상","","","","","662-2130","","","강원특별자치도 강릉시 연곡면 방내리 ***번지","","","광명수도공무소","2015-01-05 21:07:50","I","2023-06-13 00:00:00","","","","0","20040708","20060707",
"155","급수공사대행업","09_30_06_P","4201000","420100016200400006","2000-02-29","","01","영업/정상","11","정상","","","","","651-1436","","","강원특별자치도 강릉시 포남동  ****번지  *호","","","삼양산업개발(주)","2015-01-05 21:07:50","I","2023-06-13 00:00:00","","","","0","20040301","20060228",
"156","급수공사대행업","09_30_06_P","4201000","420100016200400007","2000-03-08","","01","영업/정상","11","정상","","","","","648-9111","","","강원특별자치도 강릉시 포남동  ****번지","","","(주)영일건설","2015-01-05 21:07:50","I","2023-06-13 00:00:00","","","","0","20040308","20060307",
"157","급수공사대행업","09_30_06_P","4201000","420100016200400008","2000-03-10","","01","영업/정상","11","정상","","","","","647-4330","","","강원특별자치도 강릉시 교동  ****번지  *호","","","유호건설(주)","2015-01-05 21:07:50","I","2023-06-13 00:00:00","","","","0","20040310","20060309",
